Orthogroup	schistosoma_mansoni	s.mekongi
OG0001036	Smp_167810.1	KAK4474919.1
OG0001037	Smp_163780.1	KAK4475368.1
OG0001038	Smp_064590.1	KAK4474755.1
OG0001039	Smp_076960.1	KAK4473079.1
OG0001040	Smp_242860.1, Smp_242860.2	KAK4468300.1
OG0001041	Smp_057320.1	KAK4467710.1
OG0001042	Smp_340300.1, Smp_340300.2	KAK4474426.1
OG0001043	Smp_341110.1	KAK4469557.1
OG0001044	Smp_312230.1	KAK4471581.1
OG0001045	Smp_333610.1	KAK4471626.1
OG0001046	Smp_009540.1	KAK4469663.1
OG0001047	Smp_212300.1, Smp_212300.2	KAK4467816.1
OG0001048	Smp_343740.1	KAK4470819.1
OG0001049	Smp_194570.1	KAK4469820.1
OG0001050	Smp_336680.1	KAK4471737.1
OG0001051	Smp_158190.1	KAK4468758.1
OG0001052	Smp_121600.1	KAK4469823.1
OG0001053	Smp_150210.1	KAK4471433.1
OG0001054	Smp_147520.1	KAK4474485.1, KAK4474484.1
OG0001055	Smp_165040.1	KAK4473796.1
OG0001056	Smp_345120.1	KAK4471152.1
OG0001057	Smp_344960.1	KAK4468746.1
OG0001058	Smp_337785.1, Smp_337780.1	KAK4471917.1, KAK4471918.1
OG0001059	Smp_121640.1	KAK4474872.1
OG0001060	Smp_087620.1	KAK4471301.1
OG0001061	Smp_343890.1, Smp_178760.1, Smp_242450.1	KAK4474418.1, KAK4467307.1, KAK4474419.1
OG0001062	Smp_065420.1, Smp_157450.1	KAK4469297.1
OG0001064	Smp_011150.1	KAK4469625.1
OG0001065	Smp_133090.1	KAK4472778.1
OG0001065	Smp_133080.1	KAK4472745.1
OG0001065	Smp_342760.1	KAK4472746.1
OG0001066	Smp_080920.1	KAK4476315.1
OG0001068	Smp_058980.1	KAK4470504.1
OG0001070	Smp_013060.1	KAK4471390.1
OG0001070	Smp_212740.1	KAK4470698.1
OG0001071	Smp_134910.1	KAK4471222.1
OG0001072	Smp_121940.1	KAK4473457.1
OG0001073	Smp_176580.1	KAK4474855.1
OG0001074	Smp_175860.1	KAK4473040.1
OG0001075	Smp_246600.1, Smp_246600.2	KAK4471794.1
OG0001076	Smp_095910.1	KAK4469186.1
OG0001077	Smp_129670.1, Smp_129670.2	KAK4469392.1, KAK4469391.1
OG0001078	Smp_336670.1	KAK4471959.1
OG0001079	Smp_145460.1	KAK4470554.1
OG0001080	Smp_009030.1	KAK4470619.1
OG0001081	Smp_092020.1, Smp_092020.3, Smp_092020.2	KAK4472281.1
OG0001082	Smp_171200.1	KAK4469312.1
OG0001083	Smp_057530.1	KAK4467695.1
OG0001084	Smp_051210.1	KAK4475334.1
OG0001085	Smp_005880.1	KAK4467681.1
OG0001086	Smp_344990.1	KAK4470175.1
OG0001087	Smp_063640.1	KAK4469641.1
OG0001087	Smp_010230.1	KAK4474021.1
OG0001088	Smp_129590.1, Smp_129590.2, Smp_158540.1	KAK4473163.1
OG0001089	Smp_023550.1	KAK4471220.1
OG0001090	Smp_031690.1, Smp_031690.2	KAK4467837.1
OG0001091	Smp_161170.1	KAK4469323.1
OG0001092	Smp_334020.1	KAK4470091.1
OG0001093	Smp_056810.1	KAK4468335.1
OG0001094	Smp_337200.1	KAK4473987.1
OG0001095	Smp_127180.1	KAK4469671.1
OG0001096	Smp_163180.1	KAK4475079.1
OG0001097	Smp_000790.1, Smp_000790.2	KAK4471387.1
OG0001098	Smp_006760.1	KAK4472593.1
OG0001099	Smp_164100.1	KAK4468772.1
OG0001099	Smp_077720.1, Smp_077720.2	KAK4468783.1
OG0001100	Smp_309590.1, Smp_309590.2	KAK4471534.1
OG0001101	Smp_122730.1, Smp_327640.1, Smp_327420.1	KAK4469623.1
OG0001102	Smp_106130.1	KAK4471719.1
OG0001103	Smp_057360.1	KAK4467708.1
OG0001104	Smp_186670.1	KAK4471723.1
OG0001105	Smp_140580.1	KAK4472587.1
OG0001106	Smp_309660.1, Smp_309670.1	KAK4471497.1
OG0001107	Smp_154320.1	KAK4469144.1, KAK4469142.1
OG0001108	Smp_141140.1	KAK4472830.1
OG0001110	Smp_241500.1	KAK4475672.1
OG0001111	Smp_157360.1	KAK4469284.1
OG0001112	Smp_005720.1	KAK4467791.1
OG0001112	Smp_300990.1, Smp_332980.1	KAK4467789.1, KAK4467788.1
OG0001113	Smp_019840.1, Smp_019840.2	KAK4476086.1, KAK4476087.1
OG0001114	Smp_044550.1	KAK4476057.1
OG0001115	Smp_344540.1, Smp_344540.2	KAK4467699.1
OG0001116	Smp_347070.1	KAK4468369.1
OG0001117	Smp_135170.1	KAK4475302.1
OG0001118	Smp_148820.1, Smp_312580.1, Smp_332640.1	KAK4470222.1
OG0001119	Smp_333660.1	KAK4471218.1
OG0001120	Smp_161730.1	KAK4472630.1, KAK4472629.1
OG0001121	Smp_210250.1, Smp_210250.2	KAK4467341.1
OG0001122	Smp_050470.1	KAK4470945.1
OG0001123	Smp_064280.1	KAK4468721.1
OG0001124	Smp_060570.1	KAK4473908.1
OG0001125	Smp_306580.1, Smp_335110.1	KAK4475252.1, KAK4475264.1
OG0001126	Smp_068300.1	KAK4476304.1
OG0001127	Smp_344130.1	KAK4473667.1
OG0001128	Smp_153990.2, Smp_153990.1, Smp_153990.5, Smp_153990.4, Smp_153990.3	KAK4470681.1
OG0001129	Smp_212840.1, Smp_212850.1	KAK4473880.1
OG0001130	Smp_340290.1	KAK4467488.1, KAK4467490.1, KAK4474435.1
OG0001131	Smp_313110.1	KAK4470638.1
OG0001131	Smp_313100.1	KAK4470637.1
OG0001132	Smp_045590.1	KAK4468209.1
OG0001133	Smp_054470.1	KAK4474780.1
OG0001134	Smp_123450.1	KAK4471240.1
OG0001135	Smp_176420.1	KAK4472564.1
OG0001136	Smp_245010.1	KAK4473309.1
OG0001137	Smp_103570.1	KAK4469354.1
OG0001138	Smp_061210.1	KAK4474983.1
OG0001139	Smp_180740.1	KAK4473852.1
OG0001140	Smp_159340.1	KAK4469259.1
OG0001141	Smp_090080.1	KAK4470986.1
OG0001142	Smp_323580.1	KAK4474696.1, KAK4474694.1
OG0001143	Smp_168340.1	KAK4471679.1
OG0001144	Smp_132660.1	KAK4474042.1
OG0001145	Smp_062240.1, Smp_123600.1	KAK4471255.1
OG0001146	Smp_322350.1, Smp_322350.2	KAK4475726.1
OG0001147	Smp_019760.1	KAK4474241.1
OG0001148	Smp_086460.1	KAK4470683.1
OG0001149	Smp_041770.1	KAK4470825.1
OG0001150	Smp_045400.1	KAK4469715.1
OG0001151	Smp_169870.1	KAK4468560.1
OG0001152	Smp_135910.1	KAK4467419.1, KAK4474691.1
OG0001153	Smp_000990.1	KAK4471271.1
OG0001154	Smp_142270.2, Smp_142270.1	KAK4472675.1
OG0001155	Smp_071880.1	KAK4469552.1
OG0001156	Smp_348790.1, Smp_348790.2	KAK4467253.1
OG0001156	Smp_019690.1, Smp_019690.2	KAK4470111.1, KAK4475961.1
OG0001157	Smp_010140.1	KAK4471675.1
OG0001158	Smp_144080.1	KAK4473471.1
OG0001159	Smp_077560.1	KAK4468670.1
OG0001160	Smp_131460.1	KAK4475388.1
OG0001161	Smp_123670.1, Smp_123670.2	KAK4471267.1, KAK4471268.1
OG0001162	Smp_180160.1	KAK4474084.1
OG0001163	Smp_062530.1	KAK4470411.1
OG0001164	Smp_341090.2, Smp_341090.1	KAK4468217.1
OG0001165	Smp_161580.1	KAK4467564.1, KAK4467567.1
OG0001166	Smp_178740.1	KAK4474416.1
OG0001167	Smp_180150.1	KAK4474085.1
OG0001168	Smp_136040.1	KAK4467300.1, KAK4474652.1
OG0001169	Smp_129650.1	KAK4469395.1
OG0001170	Smp_244570.1	KAK4474599.1
OG0001171	Smp_024370.1	KAK4475235.1
OG0001172	Smp_137890.2, Smp_137890.3, Smp_137890.1	KAK4471888.1
OG0001173	Smp_145810.1	KAK4474895.1
OG0001174	Smp_189960.1, Smp_189960.2	KAK4474366.1
OG0001176	Smp_027550.1, Smp_027550.2	KAK4470589.1
OG0001177	Smp_341700.1	KAK4473187.1
OG0001178	Smp_304060.1	KAK4475543.1
OG0001178	Smp_125940.1	KAK4475541.1
OG0001179	Smp_127680.1, Smp_127680.2	KAK4467736.1, KAK4467737.1
OG0001180	Smp_311140.1, Smp_180190.1	KAK4476155.1
OG0001181	Smp_347830.1	KAK4471120.1
OG0001182	Smp_019340.1	KAK4474056.1
OG0001183	Smp_164410.1	KAK4474411.1
OG0001184	Smp_171710.1	KAK4475631.1, KAK4476071.1
OG0001185	Smp_173900.1	KAK4476220.1
OG0001186	Smp_134250.1, Smp_134250.2	KAK4475791.1, KAK4467365.1
OG0001187	Smp_246500.1	KAK4472654.1
OG0001188	Smp_121140.1	KAK4476107.1
OG0001189	Smp_132170.1	KAK4474589.1
OG0001190	Smp_132640.1	KAK4474039.1
OG0001191	Smp_037190.1	KAK4476037.1
OG0001192	Smp_040570.1, Smp_320200.1	KAK4473508.1
OG0001193	Smp_058130.1	KAK4468256.1, KAK4468257.1
OG0001194	Smp_242400.1	KAK4476093.1
OG0001197	Smp_316630.1	KAK4475434.1
OG0001198	Smp_173230.1	KAK4468283.1
OG0001199	Smp_346020.1, Smp_336180.1	KAK4470046.1, KAK4470981.1, KAK4470980.1
OG0001202	Smp_058450.1	KAK4474738.1
OG0001203	Smp_175900.1	KAK4474544.1
OG0001203	Smp_314630.1	KAK4468110.1
OG0001204	Smp_030110.1	KAK4471653.1
OG0001205	Smp_010250.1	KAK4474018.1, KAK4474017.1
OG0001207	Smp_045790.1	KAK4475278.1
OG0001208	Smp_142620.1	KAK4473921.1, KAK4473920.1
OG0001210	Smp_180400.1	KAK4467724.1
OG0001211	Smp_244200.1	KAK4474925.1
OG0001212	Smp_068990.1	KAK4473153.1
OG0001213	Smp_139930.1	KAK4476051.1
OG0001214	Smp_035150.1	KAK4472906.1
OG0001215	Smp_243670.1	KAK4471303.1
OG0001216	Smp_333210.1, Smp_333210.2	KAK4472954.1
OG0001217	Smp_052280.1	KAK4470315.1
OG0001218	Smp_157670.1, Smp_157670.2, Smp_157670.3	KAK4474639.1
OG0001219	Smp_152370.1	KAK4476080.1
OG0001220	Smp_041630.1	KAK4467635.1
OG0001221	Smp_181460.1	KAK4471716.1
OG0001222	Smp_300380.1, Smp_300390.1, Smp_300380.2, Smp_300390.2	KAK4468493.1
OG0001223	Smp_152830.1, Smp_152830.2, Smp_152830.3	KAK4472509.1
OG0001224	Smp_094630.1	KAK4468309.1
OG0001225	Smp_138200.1	KAK4472086.1
OG0001226	Smp_131630.1	KAK4469416.1
OG0001227	Smp_145990.1	KAK4471789.1
OG0001228	Smp_075800.1	KAK4472331.1
OG0001229	Smp_071470.1	KAK4472410.1
OG0001230	Smp_198530.1	KAK4474860.1
OG0001231	Smp_048430.1	KAK4473724.1
OG0001232	Smp_068000.1, Smp_315750.1, Smp_315750.2, Smp_315750.3	KAK4468184.1
OG0001233	Smp_340710.1	KAK4475904.1
OG0001234	Smp_165190.1	KAK4472481.1, KAK4472579.1, KAK4472471.1
OG0001235	Smp_133210.1	KAK4472813.1
OG0001235	Smp_020340.1	KAK4472812.1
OG0001236	Smp_150220.1, Smp_150220.2	KAK4471432.1
OG0001237	Smp_096790.1	KAK4472962.1
OG0001238	Smp_156880.1	KAK4468030.1
OG0001239	Smp_341050.1	KAK4474642.1
OG0001240	Smp_146310.1	KAK4469937.1
OG0001241	Smp_194710.1	KAK4472005.1
OG0001241	Smp_069240.1	KAK4470468.1
OG0001242	Smp_095360.1	KAK4469975.1
OG0001243	Smp_344620.1	KAK4476064.1
OG0001244	Smp_154250.1	KAK4468578.1
OG0001245	Smp_305870.1	KAK4474453.1, KAK4474454.1
OG0001246	Smp_093950.1	KAK4472369.1
OG0001247	Smp_041100.1	KAK4473847.1
OG0001248	Smp_335650.1, Smp_067520.2, Smp_067520.1	KAK4467435.1, KAK4475814.1
OG0001249	Smp_342710.1	KAK4474050.1
OG0001250	Smp_142980.1	KAK4475185.1
OG0001251	Smp_247620.1	KAK4470393.1
OG0001252	Smp_045260.1	KAK4469959.1
OG0001253	Smp_140770.1	KAK4469853.1
OG0001254	Smp_301570.1, Smp_197230.1	KAK4472504.1, KAK4472506.1
OG0001255	Smp_133170.1	KAK4472793.1
OG0001256	Smp_161250.1	KAK4469560.1
OG0001258	Smp_096760.1	KAK4470450.1
OG0001259	Smp_080620.1	KAK4472020.1
OG0001260	Smp_021590.1	KAK4474629.1
OG0001261	Smp_078710.1	KAK4473580.1
OG0001262	Smp_085540.1	KAK4468252.1
OG0001263	Smp_169890.1	KAK4468562.1
OG0001263	Smp_169880.1	KAK4468561.1
OG0001265	Smp_132300.1	KAK4471920.1
OG0001266	Smp_346940.1	KAK4470747.1
OG0001267	Smp_012340.1	KAK4469544.1
OG0001268	Smp_316080.1	KAK4468580.1
OG0001268	Smp_121190.1	KAK4476115.1
OG0001269	Smp_016200.1	KAK4473303.1
OG0001270	Smp_345920.1	KAK4468598.1
OG0001271	Smp_342930.1	KAK4471210.1
OG0001272	Smp_089100.1	KAK4470053.1
OG0001273	Smp_127010.3, Smp_127010.1	KAK4470612.1
OG0001274	Smp_346490.1	KAK4471502.1
OG0001275	Smp_147630.1	KAK4469887.1
OG0001276	Smp_144390.1	KAK4471898.1
OG0001277	Smp_332880.1	KAK4475596.1
OG0001278	Smp_141970.1	KAK4468621.1
OG0001279	Smp_213170.1	KAK4474150.1
OG0001280	Smp_154930.1	KAK4469925.1
OG0001281	Smp_313760.1, Smp_313760.2, Smp_313740.1, Smp_332670.1	KAK4470830.1, KAK4470831.1
OG0001282	Smp_041480.1	KAK4467754.1
OG0001283	Smp_317370.1	KAK4474099.1
OG0001284	Smp_153110.1, Smp_146430.1, Smp_146430.2	KAK4474955.1
OG0001285	Smp_244810.1	KAK4475824.1
OG0001288	Smp_140100.1	KAK4467620.1
OG0001289	Smp_140840.1	KAK4472424.1
OG0001290	Smp_120360.1	KAK4475785.1
OG0001291	Smp_209040.1	KAK4476039.1
OG0001292	Smp_346070.1	KAK4476023.1
OG0001293	Smp_037540.1	KAK4469805.1
OG0001294	Smp_140490.1	KAK4472567.1
OG0001295	Smp_125810.1	KAK4472604.1
OG0001296	Smp_330650.1	KAK4475956.1, KAK4475955.1
OG0001297	Smp_163290.1, Smp_163290.2	KAK4474512.1
OG0001298	Smp_000040.1	KAK4474031.1
OG0001300	Smp_245090.1	KAK4475917.1
OG0001301	Smp_241750.1	KAK4469880.1
OG0001302	Smp_153170.1	KAK4475526.1
OG0001303	Smp_125800.1	KAK4472605.1, KAK4472606.1
OG0001304	Smp_087930.1	KAK4468665.1
OG0001305	Smp_021550.1	KAK4474662.1
OG0001306	Smp_075060.1, Smp_075060.2, Smp_162660.1	KAK4471984.1
OG0001307	Smp_152710.1	KAK4468348.1
OG0001307	Smp_314320.1	KAK4468345.1
OG0001308	Smp_144820.1	KAK4467630.1
OG0001309	Smp_126850.1	KAK4470646.1
OG0001310	Smp_163500.1	KAK4473092.1
OG0001311	Smp_079860.1	KAK4472492.1
OG0001312	Smp_094360.1	KAK4472637.1
OG0001313	Smp_344870.1	KAK4472134.1, KAK4473418.1
OG0001314	Smp_179720.1	KAK4476271.1
OG0001315	Smp_201760.1, Smp_073070.1	KAK4472633.1
OG0001316	Smp_127240.2, Smp_127240.1	KAK4474142.1
OG0001317	Smp_045920.1, Smp_045920.2	KAK4475271.1
OG0001319	Smp_344060.1	KAK4473722.1
OG0001320	Smp_052350.1	KAK4471435.1
OG0001321	Smp_345440.1	KAK4475382.1
OG0001322	Smp_128130.1	KAK4469624.1
OG0001323	Smp_130790.2, Smp_130790.1, Smp_130790.3	KAK4474405.1
OG0001324	Smp_341920.1	KAK4468826.1
OG0001325	Smp_198330.1	KAK4467845.1
OG0001326	Smp_123340.1	KAK4469191.1
OG0001327	Smp_046430.1	KAK4468417.1
OG0001328	Smp_007710.1	KAK4467516.1, KAK4475737.1, KAK4467405.1
OG0001330	Smp_012570.1	KAK4472695.1
OG0001331	Smp_143480.1	KAK4469579.1
OG0001332	Smp_004310.1	KAK4472042.1
OG0001332	Smp_062890.2, Smp_062890.1	KAK4470197.1
OG0001333	Smp_333640.1	KAK4471477.1
OG0001334	Smp_133820.1	KAK4474703.1
OG0001335	Smp_012740.1	KAK4472711.1
OG0001336	Smp_159330.1, Smp_310230.1	KAK4469248.1
OG0001337	Smp_341950.1	KAK4469179.1
OG0001338	Smp_144490.1	KAK4473835.1
OG0001339	Smp_155370.1	KAK4474554.1
OG0001340	Smp_116360.1, Smp_210650.1	KAK4476160.1
OG0001341	Smp_070190.1	KAK4470433.1
OG0001342	Smp_245860.1	KAK4469498.1
OG0001343	Smp_062900.1, Smp_062900.3	KAK4470199.1, KAK4470200.1
OG0001344	Smp_207030.1	KAK4470426.1
OG0001345	Smp_040190.1	KAK4473469.1
OG0001346	Smp_345885.1, Smp_345880.1	KAK4474563.1
OG0001347	Smp_301170.2, Smp_301170.1	KAK4472285.1
OG0001348	Smp_019380.1	KAK4474058.1
OG0001349	Smp_244400.1, Smp_244400.2	KAK4475304.1
OG0001350	Smp_246620.1	KAK4472671.1
OG0001351	Smp_342560.1	KAK4473300.1
OG0001352	Smp_089650.2, Smp_089650.1	KAK4473285.1
OG0001353	Smp_246550.1	KAK4471694.1
OG0001354	Smp_018950.1	KAK4471128.1
OG0001355	Smp_307950.1	KAK4472013.1
OG0001356	Smp_089220.1	KAK4470235.1
OG0001357	Smp_090980.1	KAK4473732.1
OG0001358	Smp_169970.1	KAK4468661.1
OG0001359	Smp_312870.3, Smp_312870.2, Smp_312870.1	KAK4470296.1
OG0001361	Smp_035030.1	KAK4472834.1
OG0001362	Smp_012900.1	KAK4472727.1
OG0001363	Smp_144860.1	KAK4467637.1
OG0001364	Smp_210130.1	KAK4468089.1
OG0001365	Smp_042020.1	KAK4470803.1
OG0001367	Smp_125280.1	KAK4467781.1
OG0001368	Smp_130480.1	KAK4475327.1
OG0001369	Smp_050890.1	KAK4468924.1
OG0001370	Smp_204740.1	KAK4471090.1
OG0001371	Smp_127440.1	KAK4474011.1
OG0001372	Smp_144520.1	KAK4473839.1
OG0001373	Smp_328230.1	KAK4475524.1
OG0001374	Smp_132260.1	KAK4471908.1
OG0001375	Smp_155840.1	KAK4470400.1
OG0001376	Smp_089400.1	KAK4468841.1
OG0001377	Smp_129500.1	KAK4471750.1
OG0001378	Smp_028440.1	KAK4475624.1
OG0001379	Smp_169430.1	KAK4470300.1
OG0001380	Smp_083480.1, Smp_083480.2	KAK4472050.1
OG0001381	Smp_050830.1, Smp_050830.2	KAK4470574.1
OG0001382	Smp_346350.1	KAK4472961.1
OG0001383	Smp_139060.1	KAK4467561.1, KAK4467562.1, KAK4475694.1
OG0001384	Smp_247890.1	KAK4467390.1
OG0001385	Smp_244700.2, Smp_244700.5, Smp_244700.1, Smp_244700.3, Smp_244700.4	KAK4473334.1
OG0001387	Smp_123165.1	KAK4468825.1
OG0001388	Smp_147390.1	KAK4474533.1
OG0001389	Smp_245480.1	KAK4469569.1
OG0001390	Smp_147890.1, Smp_147890.2	KAK4473695.1, KAK4467327.1
OG0001391	Smp_180810.1	KAK4474184.1
OG0001392	Smp_025550.1, Smp_025550.3, Smp_025550.2	KAK4467529.1, KAK4467530.1, KAK4474649.1
OG0001393	Smp_142700.1	KAK4474810.1
OG0001394	Smp_345220.1, Smp_350000.1	KAK4470691.1
OG0001395	Smp_087940.1	KAK4468666.1
OG0001395	Smp_073790.1	KAK4473275.1
OG0001397	Smp_070710.1	KAK4471735.1
OG0001398	Smp_155400.1	KAK4474558.1
OG0001399	Smp_046780.1, Smp_009310.1	KAK4468491.1
OG0001400	Smp_128070.1	KAK4468320.1
OG0001401	Smp_245710.1	KAK4469444.1
OG0001402	Smp_079400.1	KAK4472860.1
OG0001403	Smp_137660.1	KAK4469835.1
OG0001404	Smp_333330.1	KAK4475068.1
OG0001405	Smp_066820.1	KAK4472330.1
OG0001406	Smp_019900.1	KAK4472773.1
OG0001407	Smp_343670.1, Smp_330770.1	KAK4467966.1
OG0001408	Smp_152290.2, Smp_152290.1	KAK4473060.1
OG0001409	Smp_315850.1	KAK4469219.1, KAK4469220.1
OG0001410	Smp_319370.1, Smp_032230.1	KAK4474146.1, KAK4474145.1
OG0001411	Smp_141150.1	KAK4472836.1
OG0001412	Smp_246000.1	KAK4472825.1, KAK4472824.1
OG0001413	Smp_152940.1, Smp_152940.2	KAK4467707.1
OG0001414	Smp_347700.2, Smp_347700.1	KAK4475715.1
OG0001415	Smp_073290.1	KAK4472656.1
OG0001416	Smp_136580.1	KAK4474571.1
OG0001417	Smp_157770.1	KAK4474476.1
OG0001418	Smp_171720.1, Smp_171720.2	KAK4475658.1
OG0001420	Smp_082560.1	KAK4468277.1
OG0001421	Smp_319130.1	KAK4473975.1
OG0001422	Smp_042670.1	KAK4470355.1
OG0001423	Smp_343580.1	KAK4474401.1
OG0001424	Smp_347330.1	KAK4475978.1
OG0001425	Smp_003250.2, Smp_003250.1	KAK4473253.1
OG0001426	Smp_006190.1	KAK4476100.1
OG0001427	Smp_337460.1	KAK4472853.1
OG0001428	Smp_304030.1, Smp_304040.1	KAK4475537.1
OG0001429	Smp_181120.1	KAK4469523.1
OG0001430	Smp_121580.1	KAK4469827.1
OG0001431	Smp_123490.1	KAK4471244.1
OG0001432	Smp_166080.1	KAK4475480.1
OG0001433	Smp_051230.1, Smp_051230.2	KAK4475337.1
OG0001434	Smp_166680.1	KAK4467660.1
OG0001435	Smp_062420.1	KAK4470399.1
OG0001436	Smp_042300.1	KAK4470775.1
OG0001437	Smp_129700.1	KAK4469385.1
OG0001438	Smp_088250.1	KAK4475129.1
OG0001439	Smp_053550.1, Smp_053550.2	KAK4470521.1
OG0001440	Smp_301990.1, Smp_301990.2	KAK4473854.1
OG0001441	Smp_025010.1	KAK4468533.1, KAK4468536.1
OG0001442	Smp_333550.1	KAK4471727.1
OG0001443	Smp_076150.1	KAK4475081.1
OG0001444	Smp_211030.1	KAK4470278.1
OG0001445	Smp_342290.1	KAK4470607.1
OG0001446	Smp_154180.1, Smp_334190.1	KAK4467413.1, KAK4467414.1
OG0001447	Smp_090110.1	KAK4467426.1
OG0001447	Smp_090100.1	KAK4467428.1, KAK4467427.1
OG0001448	Smp_334415.1, Smp_334410.1	KAK4470984.1, KAK4470983.1
OG0001449	Smp_173620.1	KAK4472371.1, KAK4472370.1
OG0001450	Smp_074570.1, Smp_074570.2	KAK4474892.1
OG0001454	Smp_058140.2, Smp_058140.1, Smp_058140.3	KAK4468255.1
OG0001455	Smp_097560.1	KAK4467822.1
OG0001456	Smp_342870.1	KAK4471732.1
OG0001457	Smp_166580.1	KAK4475852.1
OG0001458	Smp_081200.1	KAK4472480.1
OG0001459	Smp_327210.1, Smp_313440.1, Smp_327200.1, Smp_317020.1	KAK4471159.1
OG0001460	Smp_132700.2, Smp_132700.1	KAK4474046.1
OG0001461	Smp_035390.1	KAK4472865.1
OG0001462	Smp_345300.1	KAK4467568.1
OG0001463	Smp_345620.1	KAK4472017.1
OG0001464	Smp_212080.1	KAK4469332.1
OG0001465	Smp_145420.1	KAK4470015.1, KAK4470333.1
OG0001466	Smp_022110.1	KAK4475780.1, KAK4475777.1, KAK4467227.1
OG0001467	Smp_326160.1, Smp_167880.2, Smp_167880.1	KAK4471670.1
OG0001468	Smp_241470.1	KAK4475755.1
OG0001469	Smp_150560.1	KAK4468293.1
OG0001470	Smp_132550.1	KAK4471118.1
OG0001471	Smp_029070.1	KAK4471762.1, KAK4471761.1
OG0001472	Smp_144370.1	KAK4471954.1
OG0001473	Smp_008830.1	KAK4470641.1
OG0001474	Smp_247270.1	KAK4473644.1
OG0001475	Smp_311650.1	KAK4469874.1
OG0001476	Smp_174230.1	KAK4476002.1
OG0001477	Smp_105200.1	KAK4469033.1
OG0001478	Smp_345630.1, Smp_345630.2	KAK4475476.1
OG0001479	Smp_305050.1, Smp_305060.1	KAK4476159.1
OG0001480	Smp_172810.1	KAK4475942.1
OG0001481	Smp_310510.1, Smp_310510.2, Smp_310520.1	KAK4469635.1, KAK4469636.1
OG0001482	Smp_164010.1	KAK4468865.1
OG0001483	Smp_341560.1	KAK4470165.1
OG0001484	Smp_099160.1	KAK4473387.1
OG0001485	Smp_172420.1	KAK4472286.1
OG0001486	Smp_148460.1	KAK4469506.1
OG0001487	Smp_129550.1, Smp_129580.1	KAK4473164.1
OG0001488	Smp_132750.1	KAK4474060.1
OG0001488	Smp_005790.1	KAK4467784.1
OG0001489	Smp_003340.1	KAK4473243.1
OG0001490	Smp_246460.1	KAK4472636.1
OG0001491	Smp_320940.3, Smp_320940.1, Smp_320940.2, Smp_158740.1	KAK4467448.1, KAK4475818.1
OG0001492	Smp_161220.1	KAK4469550.1
OG0001493	Smp_210300.1	KAK4469536.1
OG0001494	Smp_181040.1	KAK4472983.1
OG0001495	Smp_019680.1	KAK4475962.1
OG0001496	Smp_334250.1	KAK4470511.1
OG0001497	Smp_098760.1	KAK4474198.1
OG0001498	Smp_320530.1	KAK4473400.1
OG0001499	Smp_199800.1	KAK4471805.1
OG0001500	Smp_138330.1	KAK4471363.1
OG0001501	Smp_130260.1	KAK4467925.1
OG0001502	Smp_244820.1, Smp_244820.2	KAK4475834.1
OG0001503	Smp_154880.1	KAK4469162.1
OG0001504	Smp_092810.1	KAK4471426.1
OG0001505	Smp_127770.1	KAK4467674.1
OG0001506	Smp_132090.1	KAK4474547.1
OG0001507	Smp_130020.1	KAK4469704.1
OG0001508	Smp_054800.1	KAK4473780.1
OG0001509	Smp_153930.1	KAK4470670.1
OG0001510	Smp_065580.1	KAK4473423.1
OG0001511	Smp_006590.1	KAK4472609.1
OG0001512	Smp_092320.1	KAK4470155.1, KAK4470156.1
OG0001513	Smp_241410.1	KAK4474579.1
OG0001514	Smp_340970.1	KAK4474937.1
OG0001515	Smp_347370.1, Smp_021370.1	KAK4476213.1
OG0001516	Smp_143780.1	KAK4475046.1
OG0001517	Smp_097790.1, Smp_097790.2	KAK4473097.1
OG0001518	Smp_153870.1, Smp_153870.2	KAK4470507.1
OG0001519	Smp_150850.1	KAK4470526.1
OG0001520	Smp_012030.1	KAK4475990.1
OG0001521	Smp_245950.1	KAK4469850.1
OG0001522	Smp_345770.1	KAK4474373.1
OG0001523	Smp_171270.1	KAK4469319.1
OG0001524	Smp_247650.1	KAK4468358.1, KAK4468304.1
OG0001525	Smp_136160.1	KAK4472296.1
OG0001526	Smp_344110.1	KAK4469504.1
OG0001527	Smp_156160.1	KAK4468587.1
OG0001528	Smp_152060.1	KAK4473520.1
OG0001529	Smp_104520.1	KAK4472072.1
OG0001530	Smp_133590.1, Smp_133590.2, Smp_133590.3	KAK4469900.1
OG0001531	Smp_323830.2, Smp_323830.1	KAK4474840.1, KAK4474842.1
OG0001532	Smp_164820.1, Smp_322070.1	KAK4475577.1
OG0001533	Smp_047720.1	KAK4472100.1
OG0001534	Smp_156630.1	KAK4470485.1
OG0001535	Smp_123320.1	KAK4468789.1
OG0001536	Smp_149530.1	KAK4475341.1
OG0001537	Smp_133900.1, Smp_133890.1	KAK4474598.1
OG0001538	Smp_078240.1	KAK4468775.1
OG0001539	Smp_156990.1	KAK4474777.1
OG0001540	Smp_088460.1	KAK4473765.1
OG0001541	Smp_039160.1	KAK4468168.1
OG0001542	Smp_179010.1	KAK4469573.1
OG0001543	Smp_321255.1	KAK4468017.1
OG0001544	Smp_135990.1	KAK4474656.1
OG0001545	Smp_016510.1	KAK4469077.1
OG0001546	Smp_346820.1, Smp_335570.1	KAK4474025.1
OG0001547	Smp_345370.1	KAK4472298.1
OG0001548	Smp_317540.1	KAK4468448.1
OG0001549	Smp_154610.1	KAK4473526.1
OG0001554	Smp_129020.1	KAK4472720.1
