Orthogroup	schistosoma_mansoni	s.mekongi
OG0000034	Smp_309980.1, Smp_327270.1, Smp_168550.1, Smp_331970.1	KAK4471028.1, KAK4471029.1
OG0000035	Smp_045860.1	KAK4475274.1
OG0000036	Smp_173130.1	KAK4472140.1, KAK4468990.1, KAK4474348.1, KAK4471044.1, KAK4467539.1, KAK4472178.1, KAK4474273.1
OG0000037	Smp_157980.1, Smp_157980.2	KAK4471851.1
OG0000037	Smp_308100.1, Smp_308110.1	KAK4471850.1
OG0000041	Smp_158210.1	KAK4470035.1, KAK4472130.1, KAK4474248.1, KAK4467544.1, KAK4472166.1, KAK4471055.1, KAK4474254.1, KAK4474299.1, KAK4474270.1, KAK4474225.1, KAK4467970.1, KAK4471039.1, KAK4470023.1, KAK4472159.1, KAK4474219.1, KAK4472126.1, KAK4467340.1, KAK4468982.1, KAK4470032.1, KAK4474315.1, KAK4467976.1, KAK4468981.1, KAK4467950.1, KAK4471047.1, KAK4472157.1, KAK4472216.1, KAK4470029.1, KAK4472125.1, KAK4470036.1, KAK4472145.1, KAK4469994.1, KAK4468974.1, KAK4474334.1
OG0000042	Smp_247180.1	KAK4472150.1
OG0000042	Smp_247170.1	KAK4472153.1
OG0000042	Smp_048050.1, Smp_048050.2, Smp_049230.1	KAK4473688.1
OG0000042	Smp_302320.1, Smp_185680.2, Smp_302350.1, Smp_303690.1, Smp_185680.1, Smp_302350.2, Smp_302270.1, Smp_302280.1, Smp_302290.1	KAK4472151.1, KAK4472152.1
OG0000044	Smp_155560.1, Smp_315070.1, Smp_062120.1, Smp_305550.1	KAK4468903.1
OG0000044	Smp_155530.1, Smp_062080.1	KAK4468904.1
OG0000045	Smp_094770.1	KAK4468037.1
OG0000045	Smp_175400.1	KAK4470284.1
OG0000049	Smp_315900.2, Smp_315900.1	KAK4470136.1, KAK4470137.1
OG0000049	Smp_343120.1	KAK4470598.1
OG0000050	Smp_311520.1, Smp_245890.1	KAK4469367.1
OG0000052	Smp_034920.1	KAK4472821.1
OG0000052	Smp_332890.1	KAK4474336.1
OG0000052	Smp_130810.1	KAK4474374.1
OG0000052	Smp_303940.1	KAK4474946.1
OG0000052	Smp_159840.1	KAK4471620.1
OG0000053	Smp_075220.1	KAK4475177.1, KAK4475178.1
OG0000054	Smp_106390.1	KAK4471025.1, KAK4468371.1, KAK4474289.1, KAK4471019.1, KAK4472186.1, KAK4471074.1, KAK4472139.1, KAK4469996.1
OG0000055	Smp_309720.1, Smp_309710.1	KAK4471575.1, KAK4471564.1
