Orthogroup	schistosoma_japonicum	trichobilharzia_regenti
OG0001608	EWB00_006512	TREG1_68800.1
OG0001609	EWB00_007367.7, EWB00_007367.5, EWB00_007367.2, EWB00_007367.3, EWB00_007367.4, EWB00_007367.1, EWB00_007367.6	TREG1_103430.1, TREG1_103430.2, TREG1_103430.3, TREG1_103430.4
OG0001610	EWB00_004368	TREG1_143490.1, TREG1_52820.1
OG0001611	EWB00_011295	TREG1_85300.1
OG0001612	EWB00_005638.1, EWB00_005638.2	TREG1_12550.5, TREG1_12550.1, TREG1_12550.2, TREG1_12550.3, TREG1_12550.4, TREG1_12550.6
OG0001613	EWB00_011053.1, EWB00_011053.2, EWB00_011053.3	TREG1_104660.1
OG0001614	EWB00_003941	TREG1_40970.1, TREG1_40980.1
OG0001615	EWB00_003940	TREG1_40960.1, TREG1_40960.2
OG0001616	EWB00_009486	TREG1_111720.1
OG0001617	EWB00_009311.1, EWB00_009311.2	TREG1_71330.1
OG0001618	EWB00_006198.1, EWB00_006198.2	TREG1_58330.1
OG0001619	EWB00_008116.1, EWB00_008116.2	TREG1_72810.1
OG0001620	EWB00_001728	TREG1_55350.1, TREG1_55350.2
OG0001621	EWB00_010220	TREG1_14330.15, TREG1_14330.17, TREG1_14330.18, TREG1_14330.2, TREG1_14330.3, TREG1_14330.12, TREG1_14330.11, TREG1_14330.19, TREG1_14330.20, TREG1_14330.4, TREG1_14330.6, TREG1_14330.7, TREG1_14330.1, TREG1_14330.10, TREG1_14330.13, TREG1_14330.14, TREG1_14330.8, TREG1_14330.16, TREG1_14330.5, TREG1_14330.9
OG0001622	EWB00_004499.1, EWB00_004499.2	TREG1_118380.1, TREG1_114510.1, TREG1_114510.2
OG0001623	EWB00_008598.2, EWB00_008598.1, EWB00_008598.3	TREG1_8210.7, TREG1_8210.5, TREG1_8210.6, TREG1_8210.4, TREG1_8210.1, TREG1_8210.2, TREG1_8210.3
OG0001624	EWB00_001583.1, EWB00_001583.2, EWB00_001583.3	TREG1_57770.1, TREG1_57770.3, TREG1_57770.4, TREG1_57770.5, TREG1_57770.2
OG0001625	EWB00_003330	TREG1_139310.1, TREG1_139310.2, TREG1_144540.1, TREG1_144540.2
OG0001626	EWB00_003418.1, EWB00_003418.2	TREG1_51760.1
OG0001627	EWB00_006592.1, EWB00_006592.2, EWB00_006592.3	TREG1_105810.1, TREG1_105810.2, TREG1_105810.3, TREG1_105810.4
OG0001628	EWB00_003126.2, EWB00_003126.1, EWB00_003126.3, EWB00_003126.5, EWB00_003126.4, EWB00_003126.6	TREG1_27180.2, TREG1_27180.1, TREG1_27180.3
OG0001629	EWB00_004656.1, EWB00_004656.2, EWB00_004656.4, EWB00_004656.5, EWB00_004656.6, EWB00_004656.3	TREG1_10090.1, TREG1_10090.3, TREG1_10090.4, TREG1_10090.5, TREG1_10090.6, TREG1_10090.2
OG0001631	EWB00_001898.1, EWB00_001898.2	TREG1_125450.1, TREG1_125480.1
OG0001632	EWB00_005797	TREG1_91640.1
OG0001633	EWB00_004781.3, EWB00_004781.1, EWB00_004781.2	TREG1_134400.1, TREG1_134400.2, TREG1_134400.6, TREG1_134400.7, TREG1_134400.3, TREG1_134400.4, TREG1_134400.5
OG0001634	EWB00_007518	TREG1_125200.1
OG0001635	EWB00_006335	TREG1_3090.1
OG0001636	EWB00_001392.2, EWB00_001392.3, EWB00_001392.1, EWB00_001392.4	TREG1_107480.1, TREG1_107480.3, TREG1_107480.2
OG0001637	EWB00_003455.3, EWB00_003455.1, EWB00_003455.2	TREG1_78870.2, TREG1_78870.1, TREG1_78870.3, TREG1_78870.4
OG0001639	EWB00_002443, EWB00_002442	TREG1_17470.1
OG0001640	EWB00_002491.1, EWB00_002491.2	TREG1_24890.1, TREG1_24890.2
OG0001641	EWB00_001978.1, EWB00_001978.2	TREG1_119450.1, TREG1_119450.2, TREG1_119450.3
OG0001642	EWB00_009266	TREG1_61600.6, TREG1_61600.1, TREG1_61600.3, TREG1_61600.4, TREG1_61600.2, TREG1_61600.5
OG0001643	EWB00_003874	TREG1_87320.3, TREG1_87320.1, TREG1_87320.2
OG0001644	EWB00_008738.1, EWB00_008738.2, EWB00_008738.3, EWB00_008738.4, EWB00_008738.5, EWB00_008738.6, EWB00_008738.7	TREG1_67570.1, TREG1_67570.2, TREG1_67570.3, TREG1_67570.4, TREG1_67570.5
OG0001645	EWB00_005858	TREG1_132350.1
OG0001646	EWB00_007841.1, EWB00_007841.2	TREG1_74150.2, TREG1_74150.1, TREG1_74150.3, TREG1_74150.4
OG0001647	EWB00_008760.3, EWB00_008760.1, EWB00_008760.2	TREG1_40440.1, TREG1_40440.2
OG0001648	EWB00_007501	TREG1_97840.1
OG0001649	EWB00_003693, EWB00_005061	TREG1_27190.3, TREG1_27190.1, TREG1_27190.2
OG0001650	EWB00_001193	TREG1_101880.1, TREG1_101880.2, TREG1_101880.3
OG0001651	EWB00_004648	TREG1_210.1, TREG1_220.1
OG0001652	EWB00_007374.1, EWB00_007374.2	TREG1_103560.1, TREG1_103560.2, TREG1_103560.3, TREG1_103560.4
OG0001653	EWB00_004667.1, EWB00_004667.2	TREG1_9730.4, TREG1_9730.2, TREG1_9730.1, TREG1_9730.3
OG0001654	EWB00_003253	TREG1_126190.14, TREG1_126190.15, TREG1_126230.1
OG0001655	EWB00_006237.1, EWB00_006237.2, EWB00_006237.3, EWB00_006237.4	TREG1_91970.1
OG0001656	EWB00_000311	TREG1_121230.1
OG0001657	EWB00_002910	TREG1_44570.1, TREG1_44570.2, TREG1_44570.3
OG0001659	EWB00_008176.1, EWB00_008176.2, EWB00_008358.1, EWB00_008358.2, EWB00_008358.3, EWB00_009727.2, EWB00_009727.1	TREG1_40250.1, TREG1_40250.2
OG0001661	EWB00_007215	TREG1_64560.1
OG0001662	EWB00_006313	TREG1_3280.1, TREG1_3290.1
OG0001668	EWB00_000091.1, EWB00_000091.3, EWB00_000091.5, EWB00_000091.4, EWB00_000091.2, EWB00_000091.6, EWB00_000091.7	TREG1_48590.1, TREG1_48590.2, TREG1_48590.3
OG0001669	EWB00_011212.1, EWB00_011212.2	TREG1_54970.1
OG0001670	EWB00_004351.1, EWB00_004351.2, EWB00_004351.3, EWB00_004351.4	TREG1_51010.1
OG0001671	EWB00_005987.1, EWB00_005987.2	TREG1_49110.2, TREG1_49110.3, TREG1_49110.1
OG0001672	EWB00_007942.1, EWB00_007942.2	TREG1_46520.1, TREG1_46520.2, TREG1_46520.3, TREG1_46520.4, TREG1_46520.5
OG0001673	EWB00_011109.1, EWB00_011109.2	TREG1_85050.6, TREG1_85050.7, TREG1_85050.1, TREG1_85050.2, TREG1_85050.3, TREG1_85050.4, TREG1_85050.5
OG0001675	EWB00_009829.1, EWB00_009829.2, EWB00_009829.3, EWB00_009829.4	TREG1_82930.1
OG0001676	EWB00_005536.1, EWB00_005536.2	TREG1_6120.1
OG0001677	EWB00_009285	TREG1_125940.1
OG0001678	EWB00_005559.1, EWB00_005559.3, EWB00_005559.4, EWB00_005559.2	TREG1_78190.1, TREG1_78160.3, TREG1_78160.4, TREG1_78200.1, TREG1_78160.5
OG0001679	EWB00_010312.1, EWB00_010312.3, EWB00_010312.2, EWB00_010312.4	TREG1_16660.1
OG0001680	EWB00_003316.3, EWB00_003316.2, EWB00_003316.1	TREG1_48390.1
OG0001681	EWB00_001043	TREG1_22710.1
OG0001682	EWB00_000072.1, EWB00_000072.2	TREG1_19820.1, TREG1_19820.2, TREG1_19820.3
OG0001683	EWB00_000248	TREG1_139930.1, TREG1_35510.1
OG0001683	EWB00_000250, EWB00_000252, EWB00_000251	TREG1_35530.1
OG0001684	EWB00_009146	TREG1_46130.1, TREG1_46120.1, TREG1_144370.1, TREG1_33000.1
OG0001685	EWB00_006465, EWB00_010778	TREG1_19860.1
OG0001685	EWB00_002377	TREG1_19870.1, TREG1_19900.1
OG0001686	EWB00_001494.1, EWB00_001494.2, EWB00_001494.3	TREG1_110840.1, TREG1_110840.2, TREG1_110840.3
OG0001687	EWB00_007842.4, EWB00_007842.1, EWB00_007842.3, EWB00_007842.2	TREG1_74170.1
OG0001688	EWB00_005820.1, EWB00_005820.2	TREG1_24150.2, TREG1_24150.3, TREG1_24150.7, TREG1_24150.8, TREG1_24150.5, TREG1_24150.6, TREG1_24150.4, TREG1_24150.9, TREG1_24150.1
OG0001689	EWB00_003512	TREG1_28940.1
OG0001689	EWB00_003511	TREG1_28950.1
OG0001690	EWB00_001748.1, EWB00_001748.4, EWB00_001748.3, EWB00_001748.2	TREG1_53430.1
OG0001691	EWB00_003815	TREG1_28000.1, TREG1_28000.2, TREG1_28000.3, TREG1_28000.4
OG0001692	EWB00_010961	TREG1_106600.1
OG0001693	EWB00_008477	TREG1_118690.1, TREG1_118690.2, TREG1_118690.3
OG0001694	EWB00_003684.1, EWB00_003684.4, EWB00_003684.2, EWB00_003684.3, EWB00_003684.5, EWB00_003684.6, EWB00_003684.7	TREG1_118720.1, TREG1_118720.2, TREG1_118720.3
OG0001695	EWB00_008158	TREG1_58550.1, TREG1_58550.2
OG0001696	EWB00_006376.1, EWB00_006376.2	TREG1_42620.1
OG0001697	EWB00_003024.1, EWB00_003024.2, EWB00_003024.3	TREG1_136230.4, TREG1_136230.1, TREG1_136230.3, TREG1_136230.2, TREG1_136230.5
OG0001698	EWB00_007397	TREG1_98090.1
OG0001699	EWB00_006586	TREG1_85860.1, TREG1_85860.2
OG0001701	EWB00_007308.1, EWB00_007308.2	TREG1_110690.1
OG0001702	EWB00_008286.2, EWB00_008286.4, EWB00_008286.1, EWB00_008286.3	TREG1_31100.1
OG0001703	EWB00_006853.1, EWB00_006853.2	TREG1_52610.1
OG0001704	EWB00_004801	TREG1_24770.1
OG0001705	EWB00_001120, EWB00_001119	TREG1_58630.1, TREG1_58630.2, TREG1_58630.3, TREG1_58630.4, TREG1_58630.5
OG0001706	EWB00_011216.2, EWB00_011216.5, EWB00_011216.3, EWB00_011216.4, EWB00_011216.1, EWB00_011216.6	TREG1_41810.1
OG0001707	EWB00_000916.1, EWB00_000916.2	TREG1_88710.1, TREG1_88710.2, TREG1_88710.3
OG0001708	EWB00_009638.2, EWB00_009638.3, EWB00_009638.1, EWB00_009638.4, EWB00_009638.5, EWB00_009638.6	TREG1_131360.1, TREG1_131360.2, TREG1_131360.3, TREG1_131360.4
OG0001709	EWB00_006047	TREG1_46740.1
OG0001710	EWB00_011363.1, EWB00_011363.3, EWB00_011363.4, EWB00_011363.2	TREG1_122180.1
OG0001711	EWB00_005879.3, EWB00_005879.1, EWB00_005879.2	TREG1_130210.1, TREG1_130220.1
OG0001712	EWB00_004726	TREG1_40400.2, TREG1_40400.5, TREG1_40400.9, TREG1_40400.4, TREG1_40400.8, TREG1_40400.3, TREG1_40400.7, TREG1_40400.1, TREG1_40400.6
OG0001713	EWB00_005183.1, EWB00_005183.2, EWB00_005183.3, EWB00_005183.4	TREG1_80100.1
OG0001714	EWB00_005184	TREG1_80110.1, TREG1_80120.1, TREG1_80130.1, TREG1_80120.2
OG0001715	EWB00_007067.2, EWB00_007067.4, EWB00_007067.1, EWB00_007067.3	TREG1_9480.1, TREG1_60020.1, TREG1_59980.9, TREG1_59980.6, TREG1_59980.5, TREG1_59980.7, TREG1_59980.8
OG0001716	EWB00_009167.1, EWB00_009167.2	TREG1_96380.1, TREG1_96380.3, TREG1_96380.6, TREG1_96380.2, TREG1_96380.5, TREG1_96380.4
OG0001717	EWB00_003282.3, EWB00_003282.1, EWB00_003282.2	TREG1_50130.1, TREG1_50130.2
OG0001718	EWB00_002352.1, EWB00_002352.2	TREG1_21050.4, TREG1_21050.5, TREG1_21050.1, TREG1_21050.3, TREG1_21050.2
OG0001719	EWB00_009251	TREG1_39560.1, TREG1_39560.2
OG0001720	EWB00_008445.1, EWB00_008445.2	TREG1_13900.1, TREG1_13900.2, TREG1_13900.3, TREG1_13900.6, TREG1_13900.4, TREG1_13900.5
OG0001721	EWB00_005126.2, EWB00_005126.1, EWB00_005126.3, EWB00_005126.4	TREG1_76040.1
OG0001721	EWB00_005128.1, EWB00_005128.2	TREG1_76020.1
OG0001722	EWB00_009862.4, EWB00_009862.3, EWB00_009862.2, EWB00_009862.1	TREG1_30370.1
OG0001723	EWB00_005542	TREG1_8030.1
OG0001724	EWB00_009579.1, EWB00_009579.2, EWB00_009579.4, EWB00_009579.3	TREG1_104060.4, TREG1_104060.3, TREG1_104060.1, TREG1_104060.2
OG0001725	EWB00_006118.1, EWB00_006118.2	TREG1_95500.1
OG0001726	EWB00_004248	TREG1_43950.1
OG0001726	EWB00_010136, EWB00_010137	TREG1_111960.1
OG0001727	EWB00_001981.1, EWB00_001981.2, EWB00_001981.3, EWB00_001982	TREG1_119500.1, TREG1_119490.1
OG0001728	EWB00_005587	TREG1_82270.1, TREG1_82260.1
OG0001729	EWB00_004669	TREG1_9710.1
OG0001730	EWB00_005425	TREG1_19330.1, TREG1_19330.2, TREG1_19330.3, TREG1_19330.4, TREG1_19330.5, TREG1_19330.6, TREG1_19330.7
OG0001731	EWB00_010113.1, EWB00_010113.2, EWB00_010113.3	TREG1_45300.1
OG0001732	EWB00_010708	TREG1_68370.1
OG0001733	EWB00_006579.1, EWB00_006579.2	TREG1_84780.4, TREG1_84780.1, TREG1_84780.2, TREG1_84780.3
OG0001734	EWB00_000355.1, EWB00_000355.2	TREG1_122340.1, TREG1_122340.2
OG0001735	EWB00_008027	TREG1_3960.1, TREG1_38830.5, TREG1_38830.1, TREG1_38830.4, TREG1_38830.2, TREG1_38830.3, TREG1_3950.1
OG0001736	EWB00_000076	TREG1_19770.4, TREG1_19770.2, TREG1_19770.3, TREG1_19770.1
OG0001737	EWB00_008580	TREG1_128500.1
OG0001738	EWB00_004730	TREG1_40380.2, TREG1_40380.1, TREG1_40380.3
OG0001739	EWB00_004148	TREG1_33210.2, TREG1_33210.1
OG0001740	EWB00_000764	TREG1_77030.1, TREG1_77030.2, TREG1_77030.3
OG0001741	EWB00_000113.2, EWB00_000113.1	TREG1_4640.1, TREG1_4640.2
OG0001742	EWB00_009309	TREG1_71340.1
OG0001743	EWB00_005069.1, EWB00_005069.2	TREG1_123710.1
OG0001744	EWB00_008931.1, EWB00_008931.2, EWB00_008931.3, EWB00_008931.5, EWB00_008931.4	TREG1_90490.1, TREG1_90490.2
OG0001745	EWB00_001325	TREG1_45380.1, TREG1_45370.1, TREG1_45400.2, TREG1_45400.1
OG0001746	EWB00_008300	TREG1_29980.1, TREG1_29980.2, TREG1_30170.1, TREG1_30170.2, TREG1_30170.5, TREG1_30170.4, TREG1_30170.3, TREG1_117280.1, TREG1_117280.2, TREG1_117280.3, TREG1_117280.4, TREG1_117280.6, TREG1_117280.5
OG0001747	EWB00_010827	TREG1_18550.2, TREG1_18550.1, TREG1_18550.3
OG0001748	EWB00_009580	TREG1_78430.3, TREG1_78430.4, TREG1_78430.8, TREG1_78430.1, TREG1_78430.5, TREG1_78430.6, TREG1_78430.7, TREG1_78430.2, TREG1_78430.9
OG0001749	EWB00_008038.2, EWB00_008038.1, EWB00_008038.3	TREG1_38680.1
OG0001750	EWB00_004829.1, EWB00_004829.2, EWB00_004830	TREG1_5200.1, TREG1_5200.3, TREG1_5200.2
OG0001751	EWB00_005046.1, EWB00_005046.2	TREG1_38420.1
OG0001752	EWB00_009191.1, EWB00_009191.2	TREG1_3530.1
OG0001753	EWB00_004195	TREG1_26820.1
OG0001754	EWB00_003866	TREG1_80760.1, TREG1_80750.1
OG0001755	EWB00_009019.3, EWB00_009019.4, EWB00_009019.5, EWB00_009019.1, EWB00_009019.2	TREG1_3750.1, TREG1_3750.2, TREG1_3760.1, TREG1_3760.2
OG0001756	EWB00_005339.4, EWB00_005339.2, EWB00_005339.7, EWB00_005339.3, EWB00_005339.1, EWB00_005339.5, EWB00_005339.6	TREG1_67880.1, TREG1_67880.2, TREG1_67880.3, TREG1_67880.4
OG0001757	EWB00_008089.1, EWB00_008089.2	TREG1_68780.1
OG0001758	EWB00_008645.1, EWB00_008645.2	TREG1_116870.1
OG0001759	EWB00_006252	TREG1_94380.4, TREG1_94380.1, TREG1_94380.2, TREG1_94380.3, TREG1_93480.2, TREG1_93480.1, TREG1_93480.3
OG0001760	EWB00_009898, EWB00_005773	TREG1_91310.1
OG0001761	EWB00_011085, EWB00_008774.1, EWB00_008774.2	TREG1_110140.1
OG0001762	EWB00_006675.1, EWB00_006675.2	TREG1_134140.1, TREG1_134130.1
OG0001763	EWB00_007453.1, EWB00_007453.2	TREG1_49810.1, TREG1_49810.2
OG0001764	EWB00_003107	TREG1_30440.5, TREG1_30440.2, TREG1_30440.3, TREG1_30440.1, TREG1_30440.4, TREG1_30440.6
OG0001765	EWB00_006261	TREG1_93330.1, TREG1_93330.2, TREG1_93330.3
OG0001766	EWB00_003400	TREG1_52140.4, TREG1_52140.3, TREG1_52140.5, TREG1_52140.1, TREG1_52140.2
OG0001767	EWB00_009027	TREG1_3900.1
OG0001768	EWB00_011364.1, EWB00_011364.2, EWB00_011364.3	TREG1_122190.6, TREG1_122190.3, TREG1_122190.1, TREG1_122190.2, TREG1_122190.5, TREG1_122190.4
OG0001769	EWB00_007867	TREG1_12880.1
OG0001770	EWB00_008145.1, EWB00_008145.2	TREG1_54370.2, TREG1_54370.4, TREG1_54370.5, TREG1_54370.1, TREG1_54370.3, TREG1_54370.6
OG0001771	EWB00_010612	TREG1_70260.1
OG0001772	EWB00_001858	TREG1_125690.1
OG0001773	EWB00_008867	TREG1_89900.1, TREG1_89900.2
OG0001774	EWB00_008539	TREG1_6180.1, TREG1_6180.3, TREG1_6180.4, TREG1_6180.5, TREG1_6180.6, TREG1_6180.2
OG0001775	EWB00_005423	TREG1_129470.1, TREG1_19360.1
OG0001776	EWB00_001450	TREG1_136200.1, TREG1_136200.2, TREG1_136200.3, TREG1_136200.4, TREG1_136200.5, TREG1_136200.6, TREG1_136200.7, TREG1_136200.8, TREG1_136200.9
OG0001777	EWB00_006296.2, EWB00_006296.3, EWB00_006296.4, EWB00_006296.5, EWB00_010820.2, EWB00_006296.1, EWB00_010820.1	TREG1_18980.1, TREG1_18980.2
OG0001778	EWB00_001931.1, EWB00_001931.2, EWB00_001931.3	TREG1_125770.1, TREG1_125770.3, TREG1_125770.4, TREG1_125770.2, TREG1_125770.5
OG0001779	EWB00_007071.1, EWB00_007071.2	TREG1_59900.1, TREG1_59900.2
OG0001780	EWB00_003266	TREG1_48790.1, TREG1_48780.1
OG0001781	EWB00_005839.1, EWB00_005839.2	TREG1_135840.2, TREG1_135840.1, TREG1_135840.3, TREG1_135840.4
OG0001782	EWB00_009818.6, EWB00_009818.4, EWB00_009818.1, EWB00_009818.2, EWB00_009818.5, EWB00_009818.3	TREG1_89750.1, TREG1_89770.1
OG0001783	EWB00_002890	TREG1_50340.1, TREG1_50340.2
OG0001784	EWB00_002793.1, EWB00_002793.2, EWB00_002793.3, EWB00_002793.4, EWB00_002793.5, EWB00_002793.6	TREG1_55940.1
OG0001785	EWB00_007557	TREG1_60960.8, TREG1_60960.10, TREG1_60960.4, TREG1_60960.2, TREG1_60960.9, TREG1_60960.7, TREG1_60960.3, TREG1_60960.6, TREG1_60960.1, TREG1_60960.5
OG0001786	EWB00_010439	TREG1_85270.1
OG0001787	EWB00_007555	TREG1_60930.1
OG0001788	EWB00_002022.5, EWB00_002022.2, EWB00_002022.4, EWB00_002022.3, EWB00_002022.1	TREG1_100290.1
OG0001789	EWB00_008564.2, EWB00_008564.4, EWB00_008564.3, EWB00_008564.1, EWB00_008564.5	TREG1_21600.4, TREG1_21600.1, TREG1_21600.2, TREG1_21600.3, TREG1_21600.5, TREG1_21600.6, TREG1_21600.7, TREG1_21600.8
OG0001790	EWB00_003915.3, EWB00_003915.4, EWB00_003915.1, EWB00_003915.2, EWB00_003915.5	TREG1_54850.1
OG0001791	EWB00_004963.1, EWB00_004963.2, EWB00_004963.3	TREG1_128230.1, TREG1_128210.1, TREG1_128220.1
OG0001791	EWB00_007370	TREG1_128200.1, TREG1_103470.1, TREG1_103500.1
OG0001792	EWB00_001226.2, EWB00_001226.1, EWB00_001226.3	TREG1_104310.1
OG0001793	EWB00_011395.1, EWB00_011395.2	TREG1_124440.1, TREG1_124440.2
OG0001794	EWB00_006260.4, EWB00_006260.2, EWB00_006260.3, EWB00_006260.1, EWB00_006260.5	TREG1_93370.1
OG0001795	EWB00_004440, EWB00_005333	TREG1_65370.1, TREG1_65370.3
OG0001800	EWB00_000890.1, EWB00_000890.2	TREG1_74780.1
OG0001801	EWB00_009398	TREG1_17610.4, TREG1_17610.5, TREG1_17610.3, TREG1_17610.1, TREG1_17610.2, TREG1_17610.6, TREG1_17610.7
OG0001802	EWB00_004332.1, EWB00_004332.2	TREG1_56870.1
OG0001803	EWB00_002837.1, EWB00_002837.2, EWB00_002837.3, EWB00_002836	TREG1_45860.1, TREG1_45860.2, TREG1_45860.3, TREG1_45860.4
OG0001804	EWB00_002126	TREG1_51370.1, TREG1_51370.4, TREG1_51370.2, TREG1_51370.3, TREG1_51370.5
OG0001805	EWB00_000017.1, EWB00_000017.2, EWB00_000017.3	TREG1_34610.2, TREG1_34620.1, TREG1_34610.1, TREG1_34610.4, TREG1_34610.3
OG0001806	EWB00_006638	TREG1_135040.1, TREG1_135070.1
OG0001807	EWB00_004204	TREG1_17570.3, TREG1_17550.1, TREG1_17570.2, TREG1_17570.1, TREG1_17570.4, TREG1_17570.5
OG0001808	EWB00_000043, EWB00_001027	TREG1_16470.1
OG0001809	EWB00_002951.2, EWB00_002951.1, EWB00_002951.3	TREG1_53370.1
OG0001810	EWB00_002054.3, EWB00_002054.2, EWB00_002054.1	TREG1_132180.1
OG0001811	EWB00_010046.1, EWB00_010046.2	TREG1_93690.1
OG0001811	EWB00_003080.2, EWB00_003080.3, EWB00_003080.1, EWB00_003080.4, EWB00_003080.5	TREG1_11270.1
OG0001812	EWB00_001383.1, EWB00_001383.2	TREG1_107560.1
OG0001813	EWB00_008448, EWB00_008454	TREG1_27020.1
OG0001814	EWB00_007255.3, EWB00_007255.2, EWB00_007255.4, EWB00_007255.1	TREG1_99070.2, TREG1_99070.1, TREG1_99070.3
OG0001815	EWB00_006877	TREG1_67170.2, TREG1_67170.1, TREG1_67170.3
OG0001816	EWB00_008962	TREG1_67260.1, TREG1_67260.2, TREG1_67260.3, TREG1_67260.4, TREG1_67260.5
OG0001817	EWB00_006214.2, EWB00_006214.6, EWB00_006214.7, EWB00_006214.1, EWB00_006214.3, EWB00_006214.4, EWB00_006214.5	TREG1_41590.1, TREG1_140.1, TREG1_150.1, TREG1_139600.1, TREG1_140920.1, TREG1_140920.2, TREG1_140920.3, TREG1_41590.2, TREG1_41630.1, TREG1_41560.1
OG0001818	EWB00_007620.2, EWB00_007620.3, EWB00_007620.1	TREG1_65210.1, TREG1_65210.2
OG0001819	EWB00_010311.1, EWB00_010311.2	TREG1_16650.1, TREG1_16650.2, TREG1_16650.3, TREG1_16650.4, TREG1_16650.5
OG0001820	EWB00_011327.1, EWB00_011327.2	TREG1_83930.1, TREG1_83880.1
OG0001821	EWB00_008776.2, EWB00_008776.1	TREG1_109970.1
OG0001821	EWB00_003220.1, EWB00_003220.2, EWB00_003220.3	TREG1_77630.1
OG0001822	EWB00_000791	TREG1_132420.1, TREG1_132440.1
OG0001823	EWB00_006130	TREG1_23490.3, TREG1_23490.7, TREG1_23490.1, TREG1_23490.2, TREG1_23490.4, TREG1_23490.6, TREG1_23490.5
OG0001824	EWB00_002376	TREG1_141790.1, TREG1_19930.3, TREG1_19930.1, TREG1_19930.2, TREG1_141750.1, TREG1_19920.1, TREG1_19920.2, TREG1_19920.3, TREG1_137400.1
OG0001825	EWB00_005323.1, EWB00_005323.4, EWB00_005323.2, EWB00_005323.3	TREG1_64240.1
OG0001826	EWB00_006283	TREG1_4990.1, TREG1_4990.3, TREG1_4990.2
OG0001827	EWB00_004569	TREG1_108640.1, TREG1_108630.1
OG0001828	EWB00_010656	TREG1_63410.1
OG0001829	EWB00_003359	TREG1_37730.1
OG0001831	EWB00_008871	TREG1_90380.1
OG0001833	EWB00_006762	TREG1_113510.1
OG0001834	EWB00_011028	TREG1_98310.1, TREG1_98310.3, TREG1_98310.2, TREG1_98310.4
OG0001835	EWB00_007631	TREG1_17700.1, TREG1_17700.2
OG0001836	EWB00_007589.1, EWB00_007589.2, EWB00_007589.3	TREG1_19120.1
OG0001837	EWB00_008945.1, EWB00_008945.2	TREG1_113130.1, TREG1_113130.2, TREG1_113130.3, TREG1_113130.4, TREG1_113130.5, TREG1_113130.6
OG0001838	EWB00_005045.3, EWB00_005045.1, EWB00_005045.2, EWB00_005045.4, EWB00_005045.5	TREG1_59380.1, TREG1_59380.2
OG0001839	EWB00_005382.3, EWB00_005382.4, EWB00_005382.5, EWB00_005382.1, EWB00_005382.2	TREG1_67680.1
OG0001840	EWB00_003145.2, EWB00_003145.1, EWB00_003145.3, EWB00_003145.4	TREG1_45980.1, TREG1_45980.2, TREG1_45980.3, TREG1_45980.4
OG0001841	EWB00_003124, EWB00_009787	TREG1_26340.1
OG0001842	EWB00_000568.1, EWB00_000568.2, EWB00_000568.3	TREG1_131570.1, TREG1_131580.1
OG0001843	EWB00_004731.1, EWB00_004731.2	TREG1_40330.1
OG0001844	EWB00_006557	TREG1_11810.1, TREG1_11810.3, TREG1_11810.2, TREG1_11810.4
OG0001845	EWB00_001437	TREG1_135800.1, TREG1_135800.2
OG0001846	EWB00_005010.1, EWB00_005010.2	TREG1_33610.1
OG0001847	EWB00_009082	TREG1_64110.3, TREG1_64110.4, TREG1_64110.1, TREG1_64110.2
OG0001848	EWB00_006326	TREG1_18490.4, TREG1_18490.3, TREG1_18490.2, TREG1_18490.1
OG0001849	EWB00_009871.2, EWB00_009871.1, EWB00_009871.3, EWB00_009871.4	TREG1_85670.1
OG0001850	EWB00_004542	TREG1_107860.1
OG0001851	EWB00_010657.1, EWB00_010657.2	TREG1_63400.1
OG0001852	EWB00_009114	TREG1_46090.3, TREG1_46090.1, TREG1_46090.4, TREG1_46090.2
OG0001853	EWB00_001639.2, EWB00_001639.1, EWB00_001639.3, EWB00_001639.4, EWB00_001639.5, EWB00_001639.6	TREG1_4940.1
OG0001854	EWB00_003747	TREG1_136480.1, TREG1_136470.1
OG0001855	EWB00_001590.1, EWB00_001590.2, EWB00_001590.3	TREG1_103530.1, TREG1_103530.2
OG0001856	EWB00_007149.2, EWB00_007149.1	TREG1_98570.1
OG0001857	EWB00_011005.1, EWB00_011005.2	TREG1_104820.6, TREG1_104820.8, TREG1_104820.1, TREG1_104820.2, TREG1_104820.3, TREG1_104820.4, TREG1_104820.5, TREG1_104820.9, TREG1_104820.7
OG0001858	EWB00_008289.1, EWB00_008289.2	TREG1_31130.1
OG0001859	EWB00_008660	TREG1_6810.1
OG0001860	EWB00_010601, EWB00_000663.1, EWB00_000663.2	TREG1_34080.1
OG0001861	EWB00_001369.1, EWB00_001369.2	TREG1_103730.5, TREG1_103730.4, TREG1_103730.3, TREG1_103730.2, TREG1_103730.1
OG0001862	EWB00_004860	TREG1_18760.1, TREG1_18760.3, TREG1_18760.2
OG0001863	EWB00_009680	TREG1_47970.1
OG0001863	EWB00_000659	TREG1_34020.1, TREG1_34030.1, TREG1_34010.1, TREG1_34000.1
OG0001864	EWB00_001182.7, EWB00_001182.6, EWB00_001182.5, EWB00_001182.1, EWB00_001182.3, EWB00_001182.2, EWB00_001182.4	TREG1_100120.1
OG0001865	EWB00_007776.1, EWB00_007776.3, EWB00_007776.2	TREG1_25040.4, TREG1_25040.3, TREG1_25040.1, TREG1_25040.2
OG0001866	EWB00_001683.1, EWB00_001683.2, EWB00_001683.3	TREG1_127360.2, TREG1_127360.1, TREG1_127360.3
