Orthogroup	schistosoma_japonicum	schistosoma_margrebowiei
OG0000416	EWB00_007511.1, EWB00_007511.2, EWB00_007511.3	SMRG1_88550.1
OG0000417	EWB00_006824	SMRG1_52760.3, SMRG1_52760.1, SMRG1_52760.4, SMRG1_52760.2, SMRG1_52760.5
OG0000418	EWB00_008940.1, EWB00_008940.2, EWB00_008940.3	SMRG1_95640.2, SMRG1_95640.4, SMRG1_95640.1, SMRG1_95640.3
OG0000419	EWB00_010845	SMRG1_5820.1, SMRG1_5820.2, SMRG1_5820.3
OG0000420	EWB00_004042	SMRG1_46110.1
OG0000421	EWB00_005791.5, EWB00_005791.2, EWB00_005791.1, EWB00_005791.6, EWB00_005791.3, EWB00_005791.4, EWB00_005791.7	SMRG1_67860.1
OG0000422	EWB00_005355.3, EWB00_005355.4, EWB00_005355.6, EWB00_005355.1, EWB00_005355.7, EWB00_005355.2, EWB00_005355.5	SMRG1_50730.1, SMRG1_50730.3, SMRG1_50730.2
OG0000423	EWB00_004922, EWB00_003163, EWB00_003165, EWB00_003168, EWB00_003166	SMRG1_38020.1, SMRG1_38020.2
OG0000425	EWB00_007944.2, EWB00_007944.3, EWB00_007944.1	SMRG1_29550.1, SMRG1_29550.2, SMRG1_29550.3
OG0000426	EWB00_002147	SMRG1_54950.1, SMRG1_54960.1, SMRG1_54970.1
OG0000427	EWB00_010690.1, EWB00_010690.2	SMRG1_53810.4, SMRG1_53810.10, SMRG1_53810.2, SMRG1_53810.1, SMRG1_53810.3, SMRG1_53810.9, SMRG1_53810.8, SMRG1_53810.5, SMRG1_53810.6, SMRG1_53810.7
OG0000428	EWB00_003239.1, EWB00_003239.2	SMRG1_42410.11, SMRG1_42410.9, SMRG1_42410.8, SMRG1_42410.4, SMRG1_42410.7, SMRG1_42410.10, SMRG1_42410.6, SMRG1_42410.5, SMRG1_42410.1, SMRG1_42410.2, SMRG1_42410.3
OG0000429	EWB00_002245, EWB00_002244	SMRG1_94200.1, SMRG1_94200.2
OG0000429	EWB00_008214	SMRG1_45400.1
OG0000430	EWB00_003415	SMRG1_32390.10, SMRG1_32390.13, SMRG1_32390.9, SMRG1_32390.12, SMRG1_32390.1, SMRG1_32390.7, SMRG1_32390.8, SMRG1_32390.2, SMRG1_32390.3, SMRG1_32390.11, SMRG1_32390.4, SMRG1_32390.5, SMRG1_32390.6
OG0000431	EWB00_008732.1, EWB00_008732.2	SMRG1_49690.5, SMRG1_49690.1, SMRG1_49690.2, SMRG1_49690.4, SMRG1_49690.3
OG0000432	EWB00_004758	SMRG1_95320.4, SMRG1_95320.1, SMRG1_95320.11, SMRG1_95320.6, SMRG1_95320.8, SMRG1_95320.9, SMRG1_95320.10, SMRG1_95320.2, SMRG1_95320.3, SMRG1_95320.5, SMRG1_95320.7
OG0000433	EWB00_003929.2, EWB00_003929.1, EWB00_003929.3	SMRG1_40380.1
OG0000434	EWB00_005877	SMRG1_94820.2, SMRG1_94820.4, SMRG1_94820.3, SMRG1_94820.1
OG0000435	EWB00_009645, EWB00_004584, EWB00_003007, EWB00_009646, EWB00_009651, EWB00_010296	SMRG1_55200.7, SMRG1_55200.4, SMRG1_55200.6, SMRG1_55200.3, SMRG1_55200.5, SMRG1_55200.1, SMRG1_55200.2
OG0000436	EWB00_000282.1, EWB00_000282.2	SMRG1_25710.4, SMRG1_25710.2, SMRG1_25710.5, SMRG1_25710.1, SMRG1_25710.3
OG0000437	EWB00_007320.2, EWB00_007320.1, EWB00_007320.3	SMRG1_3020.1, SMRG1_3020.4, SMRG1_3020.5, SMRG1_3020.2, SMRG1_3020.3
OG0000438	EWB00_010404	SMRG1_64210.2, SMRG1_64210.3, SMRG1_64210.7, SMRG1_64210.6, SMRG1_64210.1, SMRG1_64210.5, SMRG1_64210.4
OG0000439	EWB00_007287.1, EWB00_007287.2	SMRG1_85280.6, SMRG1_85280.1, SMRG1_85280.4, SMRG1_85280.5, SMRG1_85280.2, SMRG1_85280.3
OG0000440	EWB00_011409	SMRG1_92170.1, SMRG1_92170.2, SMRG1_92170.3, SMRG1_92170.4, SMRG1_92150.1, SMRG1_92160.1, SMRG1_92140.1
OG0000441	EWB00_009358.1, EWB00_009358.2	SMRG1_13980.1
OG0000442	EWB00_004296.1, EWB00_004296.2, EWB00_004296.3	SMRG1_36310.1, SMRG1_36310.6, SMRG1_36310.5, SMRG1_36310.7, SMRG1_36310.2, SMRG1_36310.4, SMRG1_36310.3
OG0000443	EWB00_002041	SMRG1_5490.6, SMRG1_5490.2, SMRG1_5490.3, SMRG1_5490.1, SMRG1_5490.4, SMRG1_5490.5
OG0000444	EWB00_006083, EWB00_008676	SMRG1_72030.1
OG0000445	EWB00_010477.3, EWB00_010477.1, EWB00_010477.2	SMRG1_66190.1, SMRG1_66190.2, SMRG1_66190.4, SMRG1_66190.3, SMRG1_66190.5, SMRG1_66190.7, SMRG1_66190.6
OG0000446	EWB00_009918	SMRG1_8690.1, SMRG1_8830.1, SMRG1_8830.11, SMRG1_8830.2, SMRG1_8830.3, SMRG1_8830.10, SMRG1_8830.13, SMRG1_8830.12, SMRG1_8830.8, SMRG1_8830.9, SMRG1_8830.6, SMRG1_8830.7, SMRG1_8830.4, SMRG1_8830.5
OG0000447	EWB00_005165	SMRG1_57650.6, SMRG1_57650.5, SMRG1_57650.1, SMRG1_57650.4, SMRG1_57650.3, SMRG1_57650.2
OG0000448	EWB00_004614.4, EWB00_004614.6, EWB00_004614.8	SMRG1_31510.5, SMRG1_31510.6
OG0000449	EWB00_008853	SMRG1_58150.1, SMRG1_58150.6, SMRG1_58150.5, SMRG1_58150.2, SMRG1_58150.3, SMRG1_58150.4
OG0000450	EWB00_001128.4, EWB00_001128.3, EWB00_001128.1, EWB00_001128.2	SMRG1_24940.7, SMRG1_24940.1, SMRG1_24940.6, SMRG1_24940.9, SMRG1_24940.2, SMRG1_24940.3, SMRG1_24940.4, SMRG1_24940.5, SMRG1_24940.8
OG0000451	EWB00_005055	SMRG1_88780.1, SMRG1_88780.2, SMRG1_88780.4, SMRG1_88780.5, SMRG1_88780.6, SMRG1_88780.3, SMRG1_88780.7, SMRG1_88780.8
OG0000452	EWB00_006169	SMRG1_39480.9, SMRG1_39480.8, SMRG1_39480.3, SMRG1_39480.1, SMRG1_39480.4, SMRG1_39480.2, SMRG1_39480.7, SMRG1_39480.5, SMRG1_39480.6
OG0000453	EWB00_009174.3, EWB00_009174.1, EWB00_009174.2	SMRG1_62780.1, SMRG1_62780.2, SMRG1_62780.3
OG0000454	EWB00_009448.1, EWB00_009448.2, EWB00_009449	SMRG1_84580.1, SMRG1_84590.1
OG0000455	EWB00_007676.2, EWB00_007676.1, EWB00_007676.3	SMRG1_11960.1, SMRG1_11960.2, SMRG1_11960.6, SMRG1_11960.8, SMRG1_11960.5, SMRG1_11960.3, SMRG1_11960.4, SMRG1_11960.7, SMRG1_11960.9
OG0000456	EWB00_006086	SMRG1_72230.11, SMRG1_72230.7, SMRG1_72230.1, SMRG1_72230.3, SMRG1_72230.4, SMRG1_72230.2, SMRG1_72230.8, SMRG1_72230.10, SMRG1_72230.5, SMRG1_72230.6
OG0000457	EWB00_003299.1, EWB00_003299.2	SMRG1_28700.1, SMRG1_28700.2, SMRG1_28700.3, SMRG1_28700.4
OG0000458	EWB00_005936	SMRG1_34350.4, SMRG1_34350.3, SMRG1_34350.1, SMRG1_34350.6, SMRG1_34350.2, SMRG1_34350.5
OG0000459	EWB00_000897.5, EWB00_000897.1, EWB00_000897.2, EWB00_000897.3, EWB00_000897.4, EWB00_000897.6	SMRG1_9100.3, SMRG1_9100.7, SMRG1_9100.2, SMRG1_9100.8, SMRG1_9100.6, SMRG1_9100.10, SMRG1_9100.9, SMRG1_9100.1, SMRG1_9100.4, SMRG1_9100.5
OG0000460	EWB00_007690	SMRG1_12090.1, SMRG1_12120.1, SMRG1_12120.2
OG0000461	EWB00_011060.3, EWB00_011060.4, EWB00_011060.1, EWB00_011060.2	SMRG1_74650.3, SMRG1_74650.4, SMRG1_74650.7, SMRG1_74650.6, SMRG1_74650.2, SMRG1_74650.1, SMRG1_74650.5
OG0000462	EWB00_001020, EWB00_001022	SMRG1_58010.3, SMRG1_58010.4, SMRG1_58010.1, SMRG1_58010.2
OG0000462	EWB00_005102	SMRG1_93850.2, SMRG1_93850.4, SMRG1_93850.1, SMRG1_93850.3
OG0000463	EWB00_003535.1, EWB00_003535.2	SMRG1_52730.2, SMRG1_52730.3, SMRG1_52730.1, SMRG1_52730.4, SMRG1_52730.6, SMRG1_52730.5, SMRG1_52730.12, SMRG1_52730.10, SMRG1_52730.11, SMRG1_52730.9, SMRG1_52730.7, SMRG1_52730.8, SMRG1_52740.1, SMRG1_52740.2
OG0000464	EWB00_003710	SMRG1_13620.11, SMRG1_13620.7, SMRG1_13620.2, SMRG1_13620.4, SMRG1_13620.6, SMRG1_13620.1, SMRG1_13620.10, SMRG1_13620.12, SMRG1_13620.3, SMRG1_13620.5, SMRG1_13620.8, SMRG1_13620.9
OG0000465	EWB00_007185	SMRG1_76410.11, SMRG1_76410.12, SMRG1_76410.3, SMRG1_76410.6, SMRG1_76410.7, SMRG1_76410.8, SMRG1_76410.9, SMRG1_76410.13, SMRG1_76410.14, SMRG1_76410.4, SMRG1_76410.5, SMRG1_76410.1, SMRG1_76410.2, SMRG1_76410.10
OG0000466	EWB00_005412	SMRG1_53850.4, SMRG1_53850.1, SMRG1_53850.3, SMRG1_53850.2
OG0000467	EWB00_005609	SMRG1_37170.1, SMRG1_37170.2
OG0000468	EWB00_000960.2, EWB00_000960.1, EWB00_000960.3	SMRG1_72520.5, SMRG1_72520.4, SMRG1_72520.3, SMRG1_72520.1, SMRG1_72520.2
OG0000469	EWB00_009028	SMRG1_3890.1, SMRG1_3880.2, SMRG1_3880.1, SMRG1_3880.3
OG0000470	EWB00_005326	SMRG1_51930.3, SMRG1_51930.4, SMRG1_51930.2, SMRG1_51930.1
OG0000471	EWB00_004466	SMRG1_89530.1
OG0000472	EWB00_005614	SMRG1_37120.7, SMRG1_37120.9, SMRG1_37120.6, SMRG1_37120.8, SMRG1_37120.3, SMRG1_37120.2, SMRG1_37120.5, SMRG1_37120.1, SMRG1_37120.4
OG0000473	EWB00_006340	SMRG1_4790.1, SMRG1_4790.2, SMRG1_4790.3, SMRG1_4790.4, SMRG1_4790.5
OG0000474	EWB00_002484	SMRG1_20010.1
OG0000474	EWB00_003623.1, EWB00_003623.2	SMRG1_46200.1, SMRG1_46200.2, SMRG1_46220.1
OG0000475	EWB00_010428	SMRG1_64420.1, SMRG1_64420.2, SMRG1_64420.3
OG0000476	EWB00_003522	SMRG1_20350.1, SMRG1_20350.4, SMRG1_20350.3, SMRG1_20350.2
OG0000477	EWB00_004065, EWB00_004064	SMRG1_46090.1
OG0000478	EWB00_008984.1, EWB00_008984.2, EWB00_008984.3, EWB00_008984.4	SMRG1_6150.6, SMRG1_6150.3, SMRG1_6150.4, SMRG1_6150.5, SMRG1_6150.8, SMRG1_6150.2, SMRG1_6150.7, SMRG1_6150.1
OG0000479	EWB00_002579.3, EWB00_002579.1, EWB00_002579.2	SMRG1_31640.4, SMRG1_31640.1, SMRG1_31640.7, SMRG1_31640.2, SMRG1_31640.3, SMRG1_31640.5, SMRG1_31640.6
OG0000480	EWB00_008894.1, EWB00_008894.2	SMRG1_64710.1
OG0000481	EWB00_000921.1, EWB00_000921.2	SMRG1_65710.1
OG0000483	EWB00_003191	SMRG1_57740.1, SMRG1_57740.2, SMRG1_57740.3, SMRG1_57740.4
OG0000484	EWB00_003750, EWB00_003752	SMRG1_97650.1, SMRG1_97650.2, SMRG1_97650.3, SMRG1_97650.4, SMRG1_97650.5, SMRG1_97610.1, SMRG1_97610.2, SMRG1_97610.3, SMRG1_97610.4, SMRG1_97610.5
OG0000488	EWB00_003897, EWB00_003894	SMRG1_86800.1, SMRG1_86790.1, SMRG1_86790.2
OG0000489	EWB00_005166	SMRG1_57660.1, SMRG1_57660.2, SMRG1_57660.3, SMRG1_57660.5, SMRG1_57660.4
OG0000490	EWB00_009758	SMRG1_69720.1, SMRG1_69720.2, SMRG1_69720.3, SMRG1_69720.4, SMRG1_69730.1, SMRG1_69740.1, SMRG1_69720.5, SMRG1_69730.3, SMRG1_69730.2, SMRG1_69730.4
OG0000491	EWB00_005990.1, EWB00_005990.2	SMRG1_30310.1, SMRG1_30310.2, SMRG1_30310.3, SMRG1_30310.4
OG0000492	EWB00_009576.1, EWB00_009576.2	SMRG1_63100.1, SMRG1_63100.3, SMRG1_63100.4, SMRG1_63100.2
OG0000493	EWB00_006874	SMRG1_48120.1
OG0000493	EWB00_000632	SMRG1_29110.1, SMRG1_29110.2
OG0000495	EWB00_007321	SMRG1_3030.4, SMRG1_3030.1, SMRG1_3030.2, SMRG1_3030.3
OG0000496	EWB00_007698.3, EWB00_007698.4, EWB00_007698.2, EWB00_007698.1	SMRG1_37920.2, SMRG1_37920.4, SMRG1_37920.3, SMRG1_37920.1
OG0000497	EWB00_006312.1, EWB00_006312.2, EWB00_006312.3	SMRG1_5230.1, SMRG1_5240.1
OG0000498	EWB00_004227	SMRG1_25340.1
OG0000498	EWB00_007012	SMRG1_27320.1
OG0000499	EWB00_000965.1, EWB00_000965.3, EWB00_000965.2, EWB00_000965.4	SMRG1_72560.1
OG0000500	EWB00_000046	SMRG1_18650.1, SMRG1_18650.4, SMRG1_18650.7, SMRG1_18650.5, SMRG1_18650.2, SMRG1_18650.3, SMRG1_18650.6
OG0000501	EWB00_004102.7, EWB00_004102.5, EWB00_004102.4, EWB00_004102.6, EWB00_004102.1, EWB00_004102.2, EWB00_004102.3	SMRG1_25950.1, SMRG1_25950.3, SMRG1_25950.2, SMRG1_25950.4
OG0000502	EWB00_006854	SMRG1_35730.5, SMRG1_35730.1, SMRG1_35730.2, SMRG1_35730.4, SMRG1_35730.3
OG0000503	EWB00_009062.1, EWB00_009062.3, EWB00_009062.2, EWB00_009062.4	SMRG1_3670.1, SMRG1_3670.3, SMRG1_3670.2, SMRG1_3670.6, SMRG1_3670.4, SMRG1_3670.5
OG0000504	EWB00_009953.2, EWB00_009953.1	SMRG1_47580.3, SMRG1_47580.8, SMRG1_47580.1, SMRG1_47580.7, SMRG1_47580.2, SMRG1_47580.4, SMRG1_47580.5, SMRG1_47580.6
OG0000505	EWB00_004150.1, EWB00_004150.2	SMRG1_41370.1, SMRG1_41370.2
OG0000506	EWB00_005767, EWB00_005768, EWB00_005769	SMRG1_8970.1
OG0000507	EWB00_004627.1, EWB00_004627.2	SMRG1_31350.1
OG0000508	EWB00_002355.1, EWB00_002355.2	SMRG1_14640.4, SMRG1_14640.3, SMRG1_14640.1, SMRG1_14640.2
OG0000509	EWB00_007622.5, EWB00_007622.1, EWB00_007622.3, EWB00_007622.4, EWB00_007622.2	SMRG1_50180.1
OG0000509	EWB00_006782.1, EWB00_006782.2	SMRG1_51660.1, SMRG1_51660.3, SMRG1_51660.2
OG0000510	EWB00_001266.2, EWB00_001266.1, EWB00_001266.3	SMRG1_79280.3, SMRG1_79280.1, SMRG1_79280.2
OG0000510	EWB00_002661, EWB00_002662	SMRG1_79300.1, SMRG1_79300.2
OG0000511	EWB00_000649	SMRG1_73230.1, SMRG1_73220.1, SMRG1_73220.2, SMRG1_73200.1, SMRG1_73210.1
OG0000513	EWB00_005795	SMRG1_67820.1, SMRG1_67820.15, SMRG1_67820.3, SMRG1_67820.12, SMRG1_67820.5, SMRG1_67820.4, SMRG1_67820.13, SMRG1_67820.2, SMRG1_67820.14, SMRG1_67820.8, SMRG1_67820.11, SMRG1_67820.10, SMRG1_67820.7, SMRG1_67820.6, SMRG1_67820.9
OG0000514	EWB00_004043.2, EWB00_004043.1, EWB00_004043.3, EWB00_004043.4	SMRG1_46100.1
OG0000515	EWB00_004181.1, EWB00_004181.2	SMRG1_14260.1
OG0000516	EWB00_007127	SMRG1_63790.1, SMRG1_63790.2, SMRG1_63790.3
OG0000517	EWB00_001698.1, EWB00_001698.2, EWB00_001698.3	SMRG1_25980.3, SMRG1_25980.1, SMRG1_25980.2
OG0000521	EWB00_007360.3, EWB00_007360.1, EWB00_007360.2	SMRG1_71550.1
OG0000522	EWB00_005154.1, EWB00_005154.2	SMRG1_57510.1, SMRG1_22480.1, SMRG1_22340.1, SMRG1_22530.1, SMRG1_22360.1, SMRG1_57480.1, SMRG1_57500.1, SMRG1_57520.1
OG0000523	EWB00_002027	SMRG1_77550.1
OG0000524	EWB00_007681.1, EWB00_007681.2	SMRG1_12020.1, SMRG1_12020.2, SMRG1_12020.3
OG0000525	EWB00_005219	SMRG1_51230.2, SMRG1_51230.4, SMRG1_51230.1, SMRG1_51230.3, SMRG1_51230.5
OG0000526	EWB00_007651	SMRG1_18060.5, SMRG1_18060.2, SMRG1_18060.1, SMRG1_18060.3, SMRG1_18060.4
OG0000527	EWB00_001037.3, EWB00_001037.2, EWB00_001037.1	SMRG1_18520.1, SMRG1_18520.2
OG0000528	EWB00_007848.1, EWB00_007848.2	SMRG1_32190.2, SMRG1_32190.5, SMRG1_32190.1, SMRG1_32190.6, SMRG1_32190.3, SMRG1_32190.4
OG0000529	EWB00_004121.1, EWB00_004121.2	SMRG1_15180.1
OG0000530	EWB00_000579	SMRG1_94400.1
OG0000530	EWB00_009987, EWB00_009985.3, EWB00_009985.1, EWB00_009985.2	SMRG1_97110.1, SMRG1_97120.1
OG0000531	EWB00_004559.1, EWB00_004559.2, EWB00_004559.3	SMRG1_78270.2, SMRG1_78270.1, SMRG1_78270.3
OG0000532	EWB00_006344	SMRG1_4760.2, SMRG1_4760.3, SMRG1_4760.5, SMRG1_4760.1, SMRG1_4760.4
OG0000533	EWB00_008818.1, EWB00_008818.2, EWB00_008818.3	SMRG1_18710.1, SMRG1_18710.2, SMRG1_18710.3, SMRG1_18710.4
OG0000534	EWB00_009516, EWB00_003670.1, EWB00_003670.2	SMRG1_72340.2, SMRG1_72340.3, SMRG1_72340.1, SMRG1_72340.8, SMRG1_72340.4, SMRG1_72340.6, SMRG1_72340.5, SMRG1_72340.7, SMRG1_72340.9
OG0000535	EWB00_005272, EWB00_005271	SMRG1_59230.1, SMRG1_59260.1
OG0000536	EWB00_010396.1, EWB00_010396.2	SMRG1_66570.1
OG0000537	EWB00_005391	SMRG1_54030.1
OG0000538	EWB00_000099	SMRG1_86730.1, SMRG1_86740.1, SMRG1_70110.1, SMRG1_70100.1
OG0000539	EWB00_002550.1, EWB00_002550.2	SMRG1_47460.4, SMRG1_47460.1, SMRG1_47460.3, SMRG1_47460.2
OG0000540	EWB00_002037, EWB00_002039	SMRG1_5420.1
OG0000541	EWB00_003281	SMRG1_28930.3, SMRG1_28930.4, SMRG1_28930.8, SMRG1_28930.9, SMRG1_28930.2, SMRG1_28930.7, SMRG1_28930.1, SMRG1_28930.6, SMRG1_28930.5
OG0000542	EWB00_006936.2, EWB00_006936.4, EWB00_006936.1, EWB00_006936.3	SMRG1_88230.1
OG0000543	EWB00_002348, EWB00_002347	SMRG1_14570.1, SMRG1_14570.2
OG0000544	EWB00_010583	SMRG1_80270.1, SMRG1_80270.2
OG0000545	EWB00_004095.1, EWB00_004095.3, EWB00_004095.4, EWB00_004095.2	SMRG1_47180.1
OG0000545	EWB00_008683.2, EWB00_008683.3, EWB00_008683.4	SMRG1_70420.1, SMRG1_70420.2, SMRG1_70420.3, SMRG1_70420.5, SMRG1_70420.4
OG0000547	EWB00_009286	SMRG1_89720.3, SMRG1_89720.2, SMRG1_89720.4, SMRG1_89720.7, SMRG1_89720.10, SMRG1_89720.1, SMRG1_89720.11, SMRG1_89720.12, SMRG1_89720.5, SMRG1_89720.6, SMRG1_89720.9, SMRG1_89720.13, SMRG1_89720.8
OG0000548	EWB00_006045.1, EWB00_006045.2, EWB00_006045.3	SMRG1_29760.1, SMRG1_29760.3, SMRG1_29760.2, SMRG1_29760.4
OG0000549	EWB00_005545	SMRG1_10600.3, SMRG1_10600.4, SMRG1_10600.6, SMRG1_10600.5, SMRG1_10600.1, SMRG1_10600.2
OG0000550	EWB00_005481	SMRG1_16320.3, SMRG1_16320.2, SMRG1_16320.1, SMRG1_16330.1
OG0000551	EWB00_010470	SMRG1_66270.1
OG0000552	EWB00_006314.2, EWB00_006314.3, EWB00_006314.1	SMRG1_5260.2, SMRG1_5260.1
OG0000552	EWB00_000619.3	SMRG1_87250.3
OG0000552	EWB00_000619.1	SMRG1_87250.2
OG0000553	EWB00_000563	SMRG1_95900.1
OG0000554	EWB00_011076	SMRG1_10700.2, SMRG1_10700.1, SMRG1_10700.3, SMRG1_10700.4
OG0000555	EWB00_006082, EWB00_009497, EWB00_009582, EWB00_009583.1, EWB00_009583.2, EWB00_009583.3	SMRG1_43830.1, SMRG1_43830.2, SMRG1_43830.3
OG0000556	EWB00_008873.2, EWB00_008873.1, EWB00_008873.3	SMRG1_66460.3, SMRG1_66460.2, SMRG1_66460.1
OG0000557	EWB00_007706.1, EWB00_007706.2	SMRG1_37840.1, SMRG1_37840.4, SMRG1_37840.5, SMRG1_37840.3, SMRG1_37840.6, SMRG1_37840.2
OG0000558	EWB00_006560	SMRG1_17220.1
OG0000559	EWB00_006759.1, EWB00_006759.2	SMRG1_81510.1, SMRG1_81510.3, SMRG1_81510.7, SMRG1_81510.4, SMRG1_81510.8, SMRG1_81510.2, SMRG1_81510.5, SMRG1_81510.6
OG0000560	EWB00_006673	SMRG1_97560.10, SMRG1_97560.6, SMRG1_97560.2, SMRG1_97560.3, SMRG1_97560.4, SMRG1_97560.5, SMRG1_97560.7, SMRG1_97560.8, SMRG1_97560.9, SMRG1_97560.1, SMRG1_97560.11
OG0000561	EWB00_001438.2, EWB00_001438.1, EWB00_001438.4, EWB00_001438.5, EWB00_001438.3	SMRG1_96300.1
OG0000561	EWB00_001439.2, EWB00_001439.1, EWB00_001439.3, EWB00_001439.4	SMRG1_96310.1
OG0000562	EWB00_004493.2, EWB00_004493.1, EWB00_004493.4, EWB00_004493.3	SMRG1_85450.3, SMRG1_85450.1, SMRG1_85450.2
OG0000563	EWB00_010331.1, EWB00_010331.2	SMRG1_19460.1, SMRG1_19460.2, SMRG1_19460.3
OG0000564	EWB00_005735.1, EWB00_005735.2, EWB00_005735.3, EWB00_005735.4, EWB00_005735.5	SMRG1_42220.1, SMRG1_42220.2
OG0000565	EWB00_001645.3, EWB00_001645.1, EWB00_001645.2	SMRG1_3330.1, SMRG1_3330.2
OG0000566	EWB00_001505.1, EWB00_001505.4, EWB00_001505.2, EWB00_001505.3	SMRG1_82980.1, SMRG1_82980.4, SMRG1_82980.6, SMRG1_82980.7, SMRG1_82980.2, SMRG1_82980.3, SMRG1_82980.5
OG0000567	EWB00_010450.2	SMRG1_66360.2, SMRG1_66360.3, SMRG1_66360.5, SMRG1_66360.1, SMRG1_66360.4
OG0000568	EWB00_005140.1, EWB00_005140.2, EWB00_005140.3, EWB00_005140.4	SMRG1_57310.1
OG0000568	EWB00_009855.1, EWB00_009855.2	SMRG1_67620.1
OG0000569	EWB00_008513.2, EWB00_008513.4, EWB00_008513.1, EWB00_008513.3, EWB00_008513.5	SMRG1_9260.10, SMRG1_9260.1, SMRG1_9260.15, SMRG1_9260.6, SMRG1_9260.11, SMRG1_9260.13, SMRG1_9260.3, SMRG1_9260.4, SMRG1_9260.7, SMRG1_9260.8, SMRG1_9260.9, SMRG1_9260.12, SMRG1_9260.14, SMRG1_9260.2, SMRG1_9260.5
OG0000570	EWB00_010004	SMRG1_12540.1, SMRG1_12540.2
OG0000571	EWB00_003064.1, EWB00_003064.2	SMRG1_8550.5, SMRG1_8550.6, SMRG1_8550.1, SMRG1_8550.2, SMRG1_8550.3, SMRG1_8550.4
OG0000572	EWB00_000508	SMRG1_61480.1
OG0000574	EWB00_007575	SMRG1_2740.1
OG0000574	EWB00_007578	SMRG1_2790.1
OG0000575	EWB00_009684.3, EWB00_009684.4, EWB00_009684.2, EWB00_009684.5, EWB00_009684.6, EWB00_009684.7, EWB00_009684.1	SMRG1_95800.1, SMRG1_95800.2, SMRG1_95800.3
OG0000576	EWB00_004903	SMRG1_44420.1
OG0000577	EWB00_010674.1, EWB00_010674.2	SMRG1_53660.1, SMRG1_53660.4, SMRG1_53660.2, SMRG1_53660.3
OG0000579	EWB00_010560, EWB00_010557, EWB00_004099, EWB00_010135	SMRG1_76120.1, SMRG1_76150.1, SMRG1_76130.1, SMRG1_76140.1, SMRG1_76170.1
OG0000580	EWB00_003419	SMRG1_32420.1, SMRG1_32420.2, SMRG1_32420.3
OG0000581	EWB00_011088.3, EWB00_011088.2, EWB00_011088.1	SMRG1_59690.2, SMRG1_59690.1, SMRG1_59690.3, SMRG1_59690.4, SMRG1_59690.5, SMRG1_59700.1
OG0000582	EWB00_007044, EWB00_009714	SMRG1_83770.1
OG0000582	EWB00_007043	SMRG1_83800.1
OG0000582	EWB00_007042	SMRG1_83810.1
OG0000583	EWB00_011310.1, EWB00_011310.2	SMRG1_60090.6, SMRG1_60090.2, SMRG1_60090.1, SMRG1_60090.5, SMRG1_60090.3, SMRG1_60090.4
OG0000584	EWB00_003311	SMRG1_28570.1, SMRG1_28570.2
OG0000585	EWB00_010839, EWB00_010840	SMRG1_5660.1, SMRG1_5660.2
OG0000586	EWB00_007451.1, EWB00_007451.2	SMRG1_31140.5, SMRG1_31140.1, SMRG1_31140.2, SMRG1_31140.4, SMRG1_31140.3
OG0000587	EWB00_000903	SMRG1_65570.1
OG0000587	EWB00_005771	SMRG1_8980.1
OG0000588	EWB00_005759.1, EWB00_005759.2	SMRG1_21450.7, SMRG1_21450.3, SMRG1_21450.2, SMRG1_21450.4, SMRG1_21450.5, SMRG1_21450.1, SMRG1_21450.6
OG0000589	EWB00_000767.3, EWB00_000767.4, EWB00_000767.1, EWB00_000767.2	SMRG1_55430.4, SMRG1_55430.3, SMRG1_55430.5, SMRG1_55430.6, SMRG1_55430.1, SMRG1_55430.2
OG0000590	EWB00_007928	SMRG1_29300.1
OG0000590	EWB00_002833	SMRG1_40790.1
OG0000591	EWB00_001644.1, EWB00_001644.2	SMRG1_3340.9, SMRG1_3340.1, SMRG1_3340.5, SMRG1_3340.6, SMRG1_3340.7, SMRG1_3340.3, SMRG1_3340.8, SMRG1_3340.2, SMRG1_3340.4
OG0000592	EWB00_004130	SMRG1_30960.10, SMRG1_30960.8, SMRG1_30960.1, SMRG1_30960.4, SMRG1_30960.2, SMRG1_30960.3, SMRG1_30960.5, SMRG1_30960.6, SMRG1_30960.11, SMRG1_30960.7, SMRG1_30960.9
OG0000593	EWB00_009305, EWB00_010907	SMRG1_31840.1
OG0000594	EWB00_002991	SMRG1_50050.3, SMRG1_50050.4, SMRG1_50050.1, SMRG1_50050.2
OG0000595	EWB00_010775	SMRG1_48360.6, SMRG1_48360.7, SMRG1_48360.8, SMRG1_48360.1, SMRG1_48360.4, SMRG1_48360.5, SMRG1_48360.2, SMRG1_48360.3
OG0000598	EWB00_004687	SMRG1_12390.17, SMRG1_12390.1, SMRG1_12390.6, SMRG1_12390.4, SMRG1_12390.11, SMRG1_12390.13, SMRG1_12390.14, SMRG1_12390.16, SMRG1_12390.5, SMRG1_12390.7, SMRG1_12390.10, SMRG1_12390.12, SMRG1_12390.15, SMRG1_12390.9, SMRG1_12390.2, SMRG1_12390.3, SMRG1_12390.8
OG0000599	EWB00_005904.1, EWB00_005904.2	SMRG1_63230.2, SMRG1_63230.5, SMRG1_63230.4, SMRG1_63230.3, SMRG1_63230.1
OG0000600	EWB00_006231.1, EWB00_006231.2	SMRG1_68250.6, SMRG1_68250.1, SMRG1_68250.2, SMRG1_68250.3, SMRG1_68250.4, SMRG1_68250.5
