Orthogroup	schistosoma_japonicum	schistosoma_margrebowiei
OG0000014	EWB00_004400.3, EWB00_004400.1, EWB00_004400.2	SMRG1_38250.18, SMRG1_38250.3, SMRG1_38250.4, SMRG1_38250.1, SMRG1_38250.2, SMRG1_38250.12, SMRG1_38250.13, SMRG1_38250.15, SMRG1_38250.16, SMRG1_38250.10, SMRG1_38250.7, SMRG1_38250.9, SMRG1_38250.11, SMRG1_38250.14, SMRG1_38250.17, SMRG1_38250.5, SMRG1_38250.6, SMRG1_38250.8
OG0000015	EWB00_008878	SMRG1_66420.1
OG0000015	EWB00_008877	SMRG1_66430.1
OG0000015	EWB00_004378.1, EWB00_004378.2, EWB00_004378.3, EWB00_004378.4, EWB00_004378.5	SMRG1_38470.1
OG0000015	EWB00_004377.1, EWB00_004377.2	SMRG1_38480.1, SMRG1_38480.2, SMRG1_38480.3
OG0000015	EWB00_004374	SMRG1_38500.1
OG0000015	EWB00_009254, EWB00_009256.1, EWB00_009256.2	SMRG1_43920.2, SMRG1_43920.1
OG0000015	EWB00_006401.1, EWB00_006401.2	SMRG1_43100.1
OG0000015	EWB00_000463.1, EWB00_000463.2, EWB00_000463.3	SMRG1_9700.1, SMRG1_9780.1
OG0000018	EWB00_010090	SMRG1_78440.1, SMRG1_78450.2, SMRG1_22460.1, SMRG1_83740.11, SMRG1_22460.4, SMRG1_15410.7, SMRG1_15410.8, SMRG1_15410.9, SMRG1_12370.1, SMRG1_21180.1, SMRG1_21180.2, SMRG1_21180.3, SMRG1_78450.3, SMRG1_78450.5, SMRG1_78450.1, SMRG1_78450.4, SMRG1_70990.5, SMRG1_70990.7, SMRG1_70990.9, SMRG1_83740.15, SMRG1_83740.7, SMRG1_83740.1, SMRG1_83740.2, SMRG1_83740.5, SMRG1_83740.6, SMRG1_83740.13, SMRG1_83740.8, SMRG1_15410.5, SMRG1_15410.6, SMRG1_15410.1, SMRG1_15410.10, SMRG1_15410.2, SMRG1_15410.11, SMRG1_15410.3, SMRG1_15410.4, SMRG1_83740.10, SMRG1_83740.14, SMRG1_83740.3, SMRG1_83740.4, SMRG1_69180.2, SMRG1_22460.5, SMRG1_22460.2, SMRG1_22460.3, SMRG1_83740.9, SMRG1_83740.16, SMRG1_83740.12
OG0000019	EWB00_004344	SMRG1_36800.9, SMRG1_36800.7, SMRG1_36800.10, SMRG1_36800.12, SMRG1_36800.5, SMRG1_36800.1, SMRG1_36800.3, SMRG1_36800.4, SMRG1_36800.6, SMRG1_36800.8, SMRG1_36800.2
OG0000019	EWB00_004346	SMRG1_36800.13, SMRG1_36800.14
OG0000020	EWB00_000448	SMRG1_93430.1, SMRG1_93400.1, SMRG1_93400.2, SMRG1_93400.3, SMRG1_93500.1, SMRG1_93550.2, SMRG1_93550.3, SMRG1_93550.1
OG0000021	EWB00_010539	SMRG1_7940.1, SMRG1_7940.2
OG0000021	EWB00_002053.3, EWB00_002053.2, EWB00_002053.4, EWB00_002053.1	SMRG1_5610.1
OG0000021	EWB00_010822	SMRG1_5620.1
OG0000021	EWB00_002049	SMRG1_5580.1, SMRG1_5580.2
OG0000021	EWB00_002050.1, EWB00_002050.2	SMRG1_5590.2, SMRG1_5590.4, SMRG1_5590.1, SMRG1_5590.3
OG0000021	EWB00_002052, EWB00_002051.2, EWB00_002051.3, EWB00_002051.1	SMRG1_5600.1
OG0000021	EWB00_002048.1, EWB00_002048.2, EWB00_002048.3	SMRG1_5560.1, SMRG1_5560.2
OG0000022	EWB00_007015.2, EWB00_007015.1, EWB00_007015.3	SMRG1_27350.8, SMRG1_27350.7, SMRG1_27350.1, SMRG1_27350.9, SMRG1_27350.5, SMRG1_27350.2, SMRG1_27350.3, SMRG1_27350.4, SMRG1_27350.10, SMRG1_27350.6
OG0000023	EWB00_001990	SMRG1_41500.1
OG0000023	EWB00_008435	SMRG1_17810.1
OG0000024	EWB00_007079	SMRG1_23720.1
OG0000024	EWB00_009218.2, EWB00_009218.1, EWB00_009219	SMRG1_92680.1
OG0000024	EWB00_008906	SMRG1_64800.1
OG0000024	EWB00_001214	SMRG1_80820.5, SMRG1_80820.4, SMRG1_80820.1, SMRG1_80820.2, SMRG1_80820.3
OG0000024	EWB00_003471	SMRG1_80810.1, SMRG1_80810.2
OG0000026	EWB00_002251.1, EWB00_002251.2	SMRG1_80090.1, SMRG1_80090.2
OG0000026	EWB00_002721	SMRG1_72900.1
OG0000026	EWB00_002746	SMRG1_72830.1
OG0000027	EWB00_003944	SMRG1_40140.16, SMRG1_40140.7, SMRG1_40140.17, SMRG1_40140.8, SMRG1_40140.29, SMRG1_40140.26, SMRG1_40140.30, SMRG1_40140.11, SMRG1_40140.34, SMRG1_40140.19, SMRG1_40140.31, SMRG1_40140.9, SMRG1_40140.32, SMRG1_40140.27, SMRG1_40140.14, SMRG1_40140.15, SMRG1_40140.13, SMRG1_40140.35, SMRG1_40140.25, SMRG1_40140.12, SMRG1_40140.33, SMRG1_40140.10, SMRG1_40140.24, SMRG1_40140.2, SMRG1_40140.28, SMRG1_40140.6, SMRG1_40140.4, SMRG1_40140.5, SMRG1_40140.21, SMRG1_40140.18, SMRG1_40140.20, SMRG1_40140.3, SMRG1_40140.23, SMRG1_40140.22, SMRG1_40140.1
OG0000028	EWB00_008139.6, EWB00_008139.7, EWB00_008139.5, EWB00_008139.9, EWB00_008139.8, EWB00_008139.2, EWB00_008139.3, EWB00_008139.1, EWB00_008139.4	SMRG1_71220.2, SMRG1_71220.3, SMRG1_71220.4, SMRG1_71220.1, SMRG1_71220.5
OG0000029	EWB00_008857	SMRG1_58130.1
OG0000029	EWB00_007517	SMRG1_88400.1
OG0000029	EWB00_002502.1	SMRG1_19850.1
OG0000029	EWB00_002502.2	SMRG1_19850.1
OG0000029	EWB00_002502.4	SMRG1_19850.1
OG0000029	EWB00_004876	SMRG1_89280.1
OG0000029	EWB00_004878	SMRG1_89270.1
OG0000030	EWB00_003826	SMRG1_6460.1
OG0000031	EWB00_005698.6, EWB00_005698.5, EWB00_005698.4, EWB00_005698.1, EWB00_005698.2, EWB00_005698.3	SMRG1_20540.2, SMRG1_20540.10, SMRG1_20540.11, SMRG1_20540.12, SMRG1_20540.4, SMRG1_20540.6, SMRG1_20540.8, SMRG1_20540.9, SMRG1_20540.3, SMRG1_20540.14, SMRG1_20540.7, SMRG1_20540.1, SMRG1_20540.13, SMRG1_20540.5
OG0000032	EWB00_008462.2, EWB00_008462.1, EWB00_008462.3	SMRG1_9940.1
OG0000032	EWB00_008461	SMRG1_9960.1
OG0000032	EWB00_010258	SMRG1_57890.2
OG0000032	EWB00_009578	SMRG1_57890.1
OG0000032	EWB00_003338	SMRG1_9210.1, SMRG1_80140.1, SMRG1_9980.1, SMRG1_80130.1
OG0000033	EWB00_011057, EWB00_008866	SMRG1_34470.1, SMRG1_90410.1, SMRG1_36890.1, SMRG1_36480.1, SMRG1_52190.1, SMRG1_94930.1, SMRG1_9760.1, SMRG1_55780.1, SMRG1_16830.1, SMRG1_15870.1, SMRG1_27620.1, SMRG1_18170.1, SMRG1_34400.1, SMRG1_84130.1
OG0000034	EWB00_008584	SMRG1_92940.1
OG0000034	EWB00_008585	SMRG1_92920.1, SMRG1_92920.2, SMRG1_92910.1
OG0000034	EWB00_003199.1, EWB00_003199.2, EWB00_003199.3, EWB00_003199.4, EWB00_003199.5, EWB00_003199.6	SMRG1_57920.1, SMRG1_57930.1, SMRG1_57950.1, SMRG1_58000.1, SMRG1_57940.1, SMRG1_57960.1, SMRG1_57970.1
OG0000035	EWB00_002318	SMRG1_14450.1, SMRG1_14450.4, SMRG1_14450.6, SMRG1_14450.2, SMRG1_14450.3, SMRG1_14450.5
OG0000036	EWB00_004262	SMRG1_7990.1, SMRG1_53020.1, SMRG1_3370.1, SMRG1_15860.1, SMRG1_22870.1, SMRG1_22870.2, SMRG1_85620.1, SMRG1_49470.2, SMRG1_49020.1, SMRG1_49030.1, SMRG1_13610.1, SMRG1_93510.1, SMRG1_93510.2, SMRG1_33810.1, SMRG1_2120.1, SMRG1_2120.2, SMRG1_20420.1, SMRG1_79710.1
OG0000037	EWB00_006570.2, EWB00_006570.4, EWB00_006570.5, EWB00_006570.1, EWB00_006570.3	SMRG1_60880.1, SMRG1_60880.2, SMRG1_60880.3, SMRG1_61020.1, SMRG1_61020.2, SMRG1_61020.3, SMRG1_61020.4
OG0000037	EWB00_006569	SMRG1_60870.4, SMRG1_60870.2, SMRG1_60870.3, SMRG1_60870.1, SMRG1_60860.1, SMRG1_60860.2, SMRG1_60860.4, SMRG1_60860.3, SMRG1_60860.5, SMRG1_60860.6
OG0000040	EWB00_003538.2, EWB00_003538.1, EWB00_003538.3, EWB00_003538.4	SMRG1_52720.10, SMRG1_52720.6, SMRG1_52720.11, SMRG1_52720.9, SMRG1_52720.1, SMRG1_52720.12, SMRG1_52720.3, SMRG1_52720.4, SMRG1_52720.13, SMRG1_52720.2, SMRG1_52720.7, SMRG1_52720.14, SMRG1_52710.1, SMRG1_52720.5, SMRG1_52720.8
OG0000041	EWB00_010562, EWB00_005597, EWB00_003816	SMRG1_41350.1, SMRG1_49530.1
OG0000042	EWB00_009261.1, EWB00_009261.2	SMRG1_40000.1, SMRG1_40000.2
OG0000042	EWB00_009262	SMRG1_39990.2, SMRG1_39990.1, SMRG1_39990.3
OG0000042	EWB00_004609	SMRG1_39890.1, SMRG1_39890.2
OG0000042	EWB00_004610, EWB00_009263	SMRG1_39900.1, SMRG1_39910.1, SMRG1_39920.1, SMRG1_39940.1, SMRG1_39950.1, SMRG1_39960.1, SMRG1_39950.2, SMRG1_39950.3, SMRG1_39980.1
OG0000043	EWB00_003370, EWB00_010871	SMRG1_27860.12, SMRG1_27860.9, SMRG1_27860.8, SMRG1_27860.11, SMRG1_27860.15, SMRG1_27860.3, SMRG1_27860.14, SMRG1_27860.2, SMRG1_27860.16, SMRG1_27860.6, SMRG1_27860.10, SMRG1_27860.17, SMRG1_27860.4, SMRG1_27860.5, SMRG1_27860.7, SMRG1_27860.1, SMRG1_27860.13, SMRG1_27860.18
OG0000044	EWB00_011370.2, EWB00_011370.1, EWB00_011370.3	SMRG1_86830.1, SMRG1_86830.2, SMRG1_86830.3, SMRG1_86840.1, SMRG1_86840.4, SMRG1_86840.2, SMRG1_86840.3
OG0000044	EWB00_011369.1, EWB00_011369.2	SMRG1_86910.1, SMRG1_86950.1, SMRG1_86950.2, SMRG1_86970.2, SMRG1_86970.1, SMRG1_86980.1
OG0000045	EWB00_004967.2, EWB00_004967.1, EWB00_004969, EWB00_004967.3	SMRG1_10160.8, SMRG1_10160.3, SMRG1_10160.6, SMRG1_10160.1, SMRG1_10160.5, SMRG1_10160.7, SMRG1_10160.2, SMRG1_10160.4, SMRG1_93120.2, SMRG1_93120.3, SMRG1_93120.4, SMRG1_39630.14, SMRG1_39630.5, SMRG1_39630.8, SMRG1_39630.1, SMRG1_39630.10, SMRG1_39630.11, SMRG1_39630.2, SMRG1_39630.3, SMRG1_39630.4, SMRG1_39630.7, SMRG1_39630.9, SMRG1_39630.13, SMRG1_39630.12, SMRG1_39630.6, SMRG1_93120.1, SMRG1_36470.6, SMRG1_36470.5, SMRG1_36470.1, SMRG1_36470.2, SMRG1_36470.4, SMRG1_36470.3
OG0000046	EWB00_001944, EWB00_002829	SMRG1_46780.1, SMRG1_69180.3, SMRG1_69180.4, SMRG1_69180.5, SMRG1_69180.6, SMRG1_69180.1, SMRG1_69050.1, SMRG1_69050.2, SMRG1_9580.1, SMRG1_70990.6, SMRG1_70990.10, SMRG1_70990.12, SMRG1_70990.14, SMRG1_70990.13, SMRG1_70990.8, SMRG1_70990.11, SMRG1_70990.3, SMRG1_70990.4, SMRG1_70990.1, SMRG1_70990.2
