Orthogroup	fasciola_gigantica	schistosoma_japonicum
OG0000029	FGIG_04785	EWB00_002502.1, EWB00_002502.2, EWB00_002502.4
OG0000029	FGIG_11109	EWB00_004876, EWB00_004878
OG0000030	FGIG_03562	EWB00_003826
OG0000031	FGIG_00219, FGIG_09645	EWB00_005698.6, EWB00_005698.5, EWB00_005698.4, EWB00_005698.1, EWB00_005698.2, EWB00_005698.3
OG0000032	FGIG_12135	EWB00_003338
OG0000034	FGIG_11870, FGIG_10591, FGIG_05132	EWB00_008584, EWB00_008585, EWB00_003199.1, EWB00_003199.2, EWB00_003199.3, EWB00_003199.4, EWB00_003199.5, EWB00_003199.6
OG0000035	FGIG_03979, FGIG_03980	EWB00_002318
OG0000037	FGIG_03131, FGIG_03132	EWB00_006570.2, EWB00_006570.4, EWB00_006570.5, EWB00_006570.1, EWB00_006570.3, EWB00_006569
OG0000040	FGIG_07013	EWB00_003538.2, EWB00_003538.1, EWB00_003538.3, EWB00_003538.4
OG0000042	FGIG_05270	EWB00_009261.1, EWB00_009261.2, EWB00_009262, EWB00_004609, EWB00_004610, EWB00_009263
OG0000043	FGIG_08366	EWB00_003370, EWB00_010871
OG0000044	FGIG_02910, FGIG_04537, FGIG_03293	EWB00_011370.2, EWB00_011370.1, EWB00_011370.3, EWB00_011369.1, EWB00_011369.2
OG0000045	FGIG_12527	EWB00_004967.2, EWB00_004967.1, EWB00_004969, EWB00_004967.3
OG0000049	FGIG_07932, FGIG_00477	EWB00_001608.1, EWB00_001608.2
OG0000049	FGIG_06077	EWB00_008098
OG0000050	FGIG_02718, FGIG_02717, FGIG_07228	EWB00_005371.1, EWB00_005371.2
OG0000052	FGIG_00994	EWB00_003293
OG0000052	FGIG_02824	EWB00_007330
OG0000052	FGIG_00846	EWB00_005671
OG0000052	FGIG_04304, FGIG_04301, FGIG_07308, FGIG_07600	EWB00_003847
OG0000052	FGIG_04502, FGIG_12676	EWB00_009848
OG0000053	FGIG_08393, FGIG_12440	EWB00_005460.2, EWB00_005460.1
OG0000054	FGIG_06834, FGIG_00432, FGIG_05300	EWB00_005913.1, EWB00_005913.2, EWB00_002139, EWB00_009776, EWB00_001281, EWB00_011097, EWB00_011098, EWB00_005912.1, EWB00_005912.2, EWB00_001164, EWB00_000964, EWB00_002141, EWB00_001829, EWB00_001830, EWB00_010892, EWB00_003548
OG0000055	FGIG_03285, FGIG_05988	EWB00_010036, EWB00_008558, EWB00_010037.1, EWB00_010037.2
OG0000058	FGIG_11220	EWB00_001871
OG0000058	FGIG_06708	EWB00_003488.1, EWB00_003488.2
OG0000058	FGIG_00649	EWB00_003491
OG0000060	FGIG_07684	EWB00_010498.1, EWB00_010498.2
OG0000061	FGIG_09986	EWB00_010632.4, EWB00_010632.1, EWB00_010632.3, EWB00_010632.2
OG0000062	FGIG_00991	EWB00_008458
OG0000063	FGIG_03231	EWB00_006170
OG0000064	FGIG_12411, FGIG_06602	EWB00_004838.3, EWB00_004838.2, EWB00_004838.1
OG0000065	FGIG_09064, FGIG_08205, FGIG_12667, FGIG_08898, FGIG_01175, FGIG_10048, FGIG_08512, FGIG_02492, FGIG_07535, FGIG_12523	EWB00_000537, EWB00_001523, EWB00_000538.1, EWB00_000538.2, EWB00_000540, EWB00_000536, EWB00_011071, EWB00_009716.1, EWB00_009716.2
OG0000066	FGIG_00170	EWB00_005603.1, EWB00_005603.2, EWB00_005603.3
OG0000067	FGIG_02840, FGIG_02842	EWB00_009328.1, EWB00_009328.2, EWB00_009328.4, EWB00_009328.3
OG0000068	FGIG_12158	EWB00_006485.1, EWB00_006485.2, EWB00_006485.3
OG0000068	FGIG_12079	EWB00_000572
OG0000068	FGIG_07351	EWB00_004327
OG0000068	FGIG_05814	EWB00_000646.3, EWB00_000646.1, EWB00_000646.2
OG0000069	FGIG_12680, FGIG_06996	EWB00_002487
OG0000070	FGIG_00175, FGIG_00176, FGIG_00174	EWB00_001574.3, EWB00_001574.1, EWB00_001574.2
OG0000071	FGIG_07065, FGIG_07067	EWB00_001786
OG0000072	FGIG_06022, FGIG_09056	EWB00_001684
OG0000073	FGIG_05759	EWB00_000436.1, EWB00_000439, EWB00_000436.3, EWB00_000436.5, EWB00_000436.4, EWB00_000436.2, EWB00_000437
OG0000074	FGIG_06125	EWB00_007721.4, EWB00_007721.2, EWB00_007721.3, EWB00_007721.5, EWB00_007721.1
OG0000074	FGIG_03273	EWB00_007512.1
OG0000074	FGIG_07718	EWB00_004196.3, EWB00_004196.7, EWB00_004196.1, EWB00_004196.2, EWB00_004196.5, EWB00_004196.8, EWB00_004196.4, EWB00_004196.6
OG0000074	FGIG_01338	EWB00_008993
OG0000075	FGIG_05387	EWB00_001749
OG0000076	FGIG_04289, FGIG_04292, FGIG_04291, FGIG_04290	EWB00_000338, EWB00_000339
OG0000076	FGIG_08489, FGIG_08490, FGIG_08491	EWB00_009041
OG0000077	FGIG_09054	EWB00_004677
OG0000078	FGIG_04314	EWB00_006317.1, EWB00_006317.2, EWB00_006317.4, EWB00_006317.5, EWB00_006317.3
OG0000079	FGIG_07135, FGIG_07136	EWB00_002888.1, EWB00_002888.2, EWB00_002888.3
OG0000079	FGIG_05069, FGIG_05070	EWB00_006494.1, EWB00_006494.2
OG0000080	FGIG_03532	EWB00_004899.1, EWB00_004899.2
OG0000081	FGIG_05277, FGIG_11514	EWB00_001700, EWB00_006525, EWB00_001511, EWB00_009316, EWB00_007773
OG0000082	FGIG_06461	EWB00_009477
OG0000085	FGIG_06241	EWB00_004315.1, EWB00_004315.2, EWB00_004315.3, EWB00_004315.4, EWB00_004315.5
OG0000086	FGIG_09371	EWB00_004530
OG0000087	FGIG_03026	EWB00_010661
OG0000088	FGIG_14005, FGIG_05150	EWB00_007313, EWB00_008639.2, EWB00_008639.1, EWB00_008639.3
OG0000090	FGIG_01258	EWB00_005364
OG0000091	FGIG_02767, FGIG_02766, FGIG_02768	EWB00_010764.1, EWB00_010764.2
OG0000092	FGIG_06562	EWB00_007194.1, EWB00_007194.2
OG0000092	FGIG_11548	EWB00_010016.2, EWB00_010016.3, EWB00_010016.4, EWB00_010016.5, EWB00_010016.1
OG0000093	FGIG_04003	EWB00_003936
OG0000094	FGIG_00948	EWB00_009097.1, EWB00_009097.2
OG0000095	FGIG_01883	EWB00_011141.2, EWB00_011141.1, EWB00_011141.3
OG0000096	FGIG_03065	EWB00_006828.2, EWB00_006828.3, EWB00_006828.4, EWB00_006828.1, EWB00_006828.5
OG0000097	FGIG_06823	EWB00_007768
OG0000098	FGIG_08056	EWB00_011356
OG0000098	FGIG_08009	EWB00_009825, EWB00_009827.1, EWB00_009827.2
OG0000099	FGIG_01162	EWB00_006234.2, EWB00_006234.1, EWB00_006234.3
OG0000099	FGIG_12268, FGIG_12217, FGIG_10911	EWB00_002775.1, EWB00_002775.2, EWB00_002775.3
OG0000102	FGIG_11657	EWB00_010834.2, EWB00_010834.1
OG0000102	FGIG_04726, FGIG_06854	EWB00_010035.1, EWB00_010035.3, EWB00_010035.2
OG0000103	FGIG_06145, FGIG_13990	EWB00_009133.1, EWB00_009133.2, EWB00_009133.3
OG0000104	FGIG_08148	EWB00_008979.1, EWB00_008979.2
OG0000105	FGIG_00113, FGIG_06918	EWB00_002088, EWB00_004453
OG0000108	FGIG_10097, FGIG_10098, FGIG_03847	EWB00_010849.2, EWB00_010849.4, EWB00_010849.1, EWB00_010849.3, EWB00_010849.5
OG0000110	FGIG_03667	EWB00_006025, EWB00_006029
OG0000110	FGIG_10562	EWB00_006024
OG0000110	FGIG_06603	EWB00_006023
OG0000111	FGIG_04030	EWB00_007674.3, EWB00_007674.1, EWB00_007674.2, EWB00_007674.4
OG0000111	FGIG_03777	EWB00_003555.1, EWB00_003555.2
OG0000111	FGIG_04347	EWB00_007470.1, EWB00_007470.2, EWB00_007470.3
OG0000112	FGIG_09308, FGIG_06819	EWB00_002626.4, EWB00_002626.3, EWB00_002626.2, EWB00_002626.1
OG0000114	FGIG_00156	EWB00_000559.1, EWB00_000559.2
