Orthogroup	fasciola_gigantica	schistosoma_japonicum
OG0001355	FGIG_11782	EWB00_003862.3, EWB00_003862.1, EWB00_003862.2
OG0001356	FGIG_11865	EWB00_002725
OG0001357	FGIG_12082	EWB00_006165
OG0001358	FGIG_12429, FGIG_12515	EWB00_001067.1, EWB00_001067.2, EWB00_001067.4, EWB00_001067.3
OG0001361	FGIG_00002	EWB00_003304
OG0001362	FGIG_10224	EWB00_002884.1, EWB00_002884.2
OG0001363	FGIG_00681	EWB00_001426.2, EWB00_001426.1
OG0001364	FGIG_02461, FGIG_00701	EWB00_001353
OG0001365	FGIG_00793	EWB00_007381
OG0001366	FGIG_00825	EWB00_005408.1, EWB00_005408.2
OG0001367	FGIG_00899	EWB00_004799.3, EWB00_004799.1, EWB00_004799.2
OG0001368	FGIG_01072	EWB00_006451.3, EWB00_006451.4, EWB00_006451.1, EWB00_006451.2
OG0001369	FGIG_01293, FGIG_11775	EWB00_011378.1, EWB00_011378.2, EWB00_011378.3
OG0001370	FGIG_01407	EWB00_002230, EWB00_002234
OG0001371	FGIG_01436, FGIG_03554, FGIG_05993	EWB00_004314.2, EWB00_004314.4, EWB00_004314.5, EWB00_004314.3, EWB00_004314.1
OG0001372	FGIG_01881	EWB00_001272, EWB00_005599.1, EWB00_005599.4, EWB00_001273, EWB00_005599.3, EWB00_005599.2
OG0001373	FGIG_01981	EWB00_001922, EWB00_007903.2, EWB00_007903.1, EWB00_007903.3
OG0001374	FGIG_01999	EWB00_011328
OG0001375	FGIG_02028	EWB00_002001
OG0001376	FGIG_02276	EWB00_009961, EWB00_004930.1, EWB00_004930.2
OG0001377	FGIG_02347	EWB00_009170
OG0001378	FGIG_02822, FGIG_02481	EWB00_007333.5, EWB00_007333.3, EWB00_007333.4, EWB00_007333.1, EWB00_007333.2, EWB00_007333.6
OG0001379	FGIG_02623, FGIG_11407, FGIG_11408, FGIG_09106	EWB00_008653
OG0001380	FGIG_02638	EWB00_000503.1, EWB00_000503.2
OG0001381	FGIG_02642, FGIG_12629	EWB00_004538
OG0001382	FGIG_02925	EWB00_005035.1, EWB00_005035.2
OG0001383	FGIG_03190	EWB00_009013, EWB00_009014
OG0001384	FGIG_03272	EWB00_009445.3, EWB00_009445.4, EWB00_009445.2, EWB00_009445.1
OG0001385	FGIG_03311, FGIG_03310	EWB00_001547
OG0001386	FGIG_03534	EWB00_004901, EWB00_004900
OG0001387	FGIG_03668	EWB00_008055
OG0001388	FGIG_07823, FGIG_03697	EWB00_009408
OG0001389	FGIG_03992	EWB00_000171
OG0001390	FGIG_04023	EWB00_004599
OG0001391	FGIG_04025, FGIG_06537	EWB00_003387.2, EWB00_003387.3, EWB00_003387.1
OG0001392	FGIG_04113	EWB00_007691
OG0001393	FGIG_04241	EWB00_003130, EWB00_003131
OG0001394	FGIG_04248	EWB00_010972.1, EWB00_010972.2
OG0001395	FGIG_04272	EWB00_004458
OG0001395	FGIG_12176	EWB00_000296.4, EWB00_000296.1, EWB00_000296.2, EWB00_000296.3
OG0001396	FGIG_04364	EWB00_010769
OG0001397	FGIG_04602	EWB00_007740
OG0001398	FGIG_04627	EWB00_009382.5, EWB00_009382.2, EWB00_009382.3, EWB00_009382.4, EWB00_009382.1
OG0001399	FGIG_04632, FGIG_05593	EWB00_008572
OG0001400	FGIG_04740	EWB00_000847
OG0001401	FGIG_05531, FGIG_04791	EWB00_008415, EWB00_008414
OG0001402	FGIG_04917	EWB00_005115.1, EWB00_005115.2, EWB00_005115.3, EWB00_005115.6, EWB00_005115.4, EWB00_005115.5
OG0001403	FGIG_05254, FGIG_05255	EWB00_002225
OG0001404	FGIG_05319	EWB00_010350.1, EWB00_010350.2
OG0001405	FGIG_05965	EWB00_002914
OG0001406	FGIG_06203	EWB00_009121.2, EWB00_009121.3, EWB00_009121.4, EWB00_009121.5, EWB00_009121.1, EWB00_009121.7, EWB00_009121.6
OG0001407	FGIG_06208	EWB00_004503
OG0001408	FGIG_06264, FGIG_07363	EWB00_006991, EWB00_006989.1, EWB00_006989.2, EWB00_006989.3
OG0001409	FGIG_06287, FGIG_09995	EWB00_007601
OG0001410	FGIG_06538	EWB00_008363.1, EWB00_008363.2, EWB00_008362.3, EWB00_008362.1, EWB00_008362.2
OG0001411	FGIG_06544	EWB00_003306.1, EWB00_003306.2, EWB00_003306.3
OG0001412	FGIG_06774	EWB00_003296.1, EWB00_003296.2
OG0001413	FGIG_06924	EWB00_003030.1, EWB00_003030.2
OG0001414	FGIG_07348	EWB00_004848, EWB00_004849, EWB00_004847
OG0001415	FGIG_07500	EWB00_004624
OG0001416	FGIG_07696	EWB00_009367.2, EWB00_009367.1
OG0001417	FGIG_07741, FGIG_12559	EWB00_000686.1, EWB00_000686.2
OG0001418	FGIG_07825	EWB00_010214.2, EWB00_010214.1, EWB00_010214.3, EWB00_010214.4, EWB00_010214.5
OG0001420	FGIG_07881	EWB00_001481.1, EWB00_001481.2, EWB00_001481.3
OG0001421	FGIG_07907	EWB00_004354
OG0001422	FGIG_08355	EWB00_001374.1, EWB00_001374.2
OG0001423	FGIG_08436	EWB00_003255
OG0001424	FGIG_09248, FGIG_12263, FGIG_08684	EWB00_005772.2, EWB00_005772.5, EWB00_005772.1, EWB00_005772.6, EWB00_005772.3, EWB00_005772.4
OG0001425	FGIG_08864	EWB00_000266.1, EWB00_000266.2, EWB00_000266.3, EWB00_000266.4
OG0001426	FGIG_09477	EWB00_011239.2, EWB00_011239.1, EWB00_011239.3
OG0001427	FGIG_09959, FGIG_09960, FGIG_09551	EWB00_004103
OG0001428	FGIG_09685	EWB00_004240
OG0001429	FGIG_09736	EWB00_010670.1, EWB00_010670.2
OG0001430	FGIG_09780, FGIG_09781	EWB00_002214, EWB00_002215
OG0001431	FGIG_09903	EWB00_010501.6, EWB00_010501.4, EWB00_010501.5, EWB00_010501.1, EWB00_010501.3, EWB00_010501.2
OG0001432	FGIG_10624, FGIG_10046	EWB00_002429.1, EWB00_002429.2
OG0001433	FGIG_10236	EWB00_006443
OG0001434	FGIG_10315	EWB00_003352, EWB00_003353
OG0001435	FGIG_10602	EWB00_001419, EWB00_001418
OG0001436	FGIG_10675	EWB00_004555.1, EWB00_004555.2, EWB00_004555.3, EWB00_004555.4
OG0001437	FGIG_11037	EWB00_004750.1, EWB00_004750.2, EWB00_005353, EWB00_002165
OG0001438	FGIG_12188, FGIG_11078	EWB00_001046.1, EWB00_001046.3, EWB00_001046.2
OG0001439	FGIG_11413	EWB00_007162.1, EWB00_007162.2
OG0001440	FGIG_11566, FGIG_11647	EWB00_001292
OG0001441	FGIG_11575	EWB00_001887.1, EWB00_001887.2, EWB00_001887.3, EWB00_001887.4, EWB00_001887.5, EWB00_001891.4, EWB00_001891.6, EWB00_001891.2, EWB00_001891.3, EWB00_001891.5, EWB00_001891.1
OG0001442	FGIG_12309	EWB00_007731
OG0001443	FGIG_12392	EWB00_008501.2, EWB00_008501.1, EWB00_008501.4, EWB00_008501.3
OG0001454	FGIG_00100	EWB00_008794.3, EWB00_008794.1, EWB00_008794.2, EWB00_008794.4, EWB00_008794.5
OG0001455	FGIG_00375	EWB00_006672
OG0001456	FGIG_00389, FGIG_00388, FGIG_00391, FGIG_00390, FGIG_00394	EWB00_009329.2, EWB00_009329.4, EWB00_009329.1, EWB00_009329.3
OG0001457	FGIG_00527	EWB00_006287
OG0001458	FGIG_00598	EWB00_005995
OG0001459	FGIG_00625	EWB00_003190
OG0001460	FGIG_00746	EWB00_004279
OG0001461	FGIG_00812	EWB00_010024.2, EWB00_010024.3, EWB00_010024.1, EWB00_010024.4
OG0001462	FGIG_00838	EWB00_005942.4, EWB00_005942.7, EWB00_005942.3, EWB00_005942.6, EWB00_005942.8, EWB00_005942.9, EWB00_005942.10, EWB00_005942.2, EWB00_005942.1, EWB00_005942.5
OG0001463	FGIG_00845, FGIG_00847, FGIG_00842	EWB00_003859
OG0001464	FGIG_01002, FGIG_01001	EWB00_005411
OG0001465	FGIG_01084, FGIG_01085, FGIG_01083	EWB00_001179.1, EWB00_001179.2, EWB00_001179.3
OG0001466	FGIG_01468	EWB00_006339.1, EWB00_006339.2, EWB00_006339.3, EWB00_006339.4
OG0001467	FGIG_01527	EWB00_000404.4, EWB00_000404.1, EWB00_000404.2, EWB00_000404.3
OG0001468	FGIG_01678	EWB00_000106
OG0001469	FGIG_02035	EWB00_001504
OG0001470	FGIG_02478	EWB00_009880.1, EWB00_009880.2
OG0001471	FGIG_02485	EWB00_000232, EWB00_000231, EWB00_000235
OG0001472	FGIG_02729	EWB00_004700
OG0001473	FGIG_02731	EWB00_011064.1, EWB00_011064.3, EWB00_011064.2
OG0001474	FGIG_03047	EWB00_003899
OG0001475	FGIG_03100	EWB00_002159.1, EWB00_002159.2, EWB00_002159.3
OG0001476	FGIG_03317, FGIG_03318, FGIG_03319	EWB00_009089, EWB00_009090
OG0001477	FGIG_05669, FGIG_03473	EWB00_008376.5, EWB00_008376.1, EWB00_008376.3, EWB00_008376.2, EWB00_008376.4
OG0001478	FGIG_03510	EWB00_011273, EWB00_002424.2, EWB00_002424.1, EWB00_002424.3
OG0001479	FGIG_03824, FGIG_03823	EWB00_010375.1, EWB00_010375.2
OG0001480	FGIG_03902, FGIG_09394	EWB00_004676
OG0001481	FGIG_03954	EWB00_010804
OG0001482	FGIG_03987, FGIG_03989	EWB00_000369
OG0001483	FGIG_04016, FGIG_04017	EWB00_007364.1, EWB00_007364.2, EWB00_007364.3
OG0001484	FGIG_04029	EWB00_007567.2, EWB00_007567.1, EWB00_007567.3, EWB00_007567.4
OG0001485	FGIG_04100	EWB00_001745.1, EWB00_001745.2, EWB00_001745.3, EWB00_001745.4, EWB00_001745.5
OG0001486	FGIG_04199	EWB00_010654
OG0001487	FGIG_04338	EWB00_001107.1, EWB00_001107.2, EWB00_001107.3
OG0001488	FGIG_10101	EWB00_004266
OG0001488	FGIG_04424, FGIG_09377	EWB00_004796
OG0001489	FGIG_04514	EWB00_000255.1, EWB00_000255.2, EWB00_000255.3
OG0001490	FGIG_04737	EWB00_002584
OG0001491	FGIG_04881	EWB00_006325.1, EWB00_006325.2
OG0001492	FGIG_05028	EWB00_010698
OG0001493	FGIG_05082	EWB00_000174
OG0001494	FGIG_05163	EWB00_008039.1, EWB00_008039.2
OG0001495	FGIG_05214	EWB00_008592.1, EWB00_008592.2
OG0001496	FGIG_05312	EWB00_007183.1, EWB00_007183.2, EWB00_007183.3
OG0001497	FGIG_09297, FGIG_08521, FGIG_05321, FGIG_09298	EWB00_003402
OG0001498	FGIG_05326	EWB00_009904
OG0001499	FGIG_05475	EWB00_005585
OG0001500	FGIG_05484	EWB00_003991.3, EWB00_003991.1, EWB00_003991.2
OG0001501	FGIG_05719	EWB00_007411
OG0001502	FGIG_07935, FGIG_12383, FGIG_11916, FGIG_05911	EWB00_010230
OG0001503	FGIG_05914, FGIG_05913, FGIG_12549	EWB00_006507.1, EWB00_006507.2, EWB00_006507.3, EWB00_006507.4, EWB00_006507.5
OG0001504	FGIG_06003	EWB00_007101.2, EWB00_007101.3, EWB00_007101.6, EWB00_007101.7, EWB00_007101.4, EWB00_007101.5, EWB00_007101.1
OG0001505	FGIG_06009, FGIG_06008, FGIG_11726	EWB00_005893, EWB00_005891
OG0001506	FGIG_11884, FGIG_06191	EWB00_009392.1, EWB00_009392.2
OG0001507	FGIG_06422	EWB00_006823
OG0001508	FGIG_06515	EWB00_009523
OG0001509	FGIG_08725, FGIG_06689, FGIG_11470	EWB00_010948
OG0001510	FGIG_06710, FGIG_09309	EWB00_008757.1, EWB00_008757.3, EWB00_008757.4, EWB00_008757.2
OG0001511	FGIG_07488	EWB00_010906.1, EWB00_010906.2, EWB00_010906.3, EWB00_010906.4
OG0001512	FGIG_07543, FGIG_08646	EWB00_007373
OG0001513	FGIG_07584	EWB00_009356.1, EWB00_009356.2
OG0001514	FGIG_11472, FGIG_07598	EWB00_003846.1, EWB00_003846.2
OG0001515	FGIG_07783	EWB00_009461
OG0001516	FGIG_08344	EWB00_010316.1, EWB00_010316.2
OG0001516	FGIG_08392	EWB00_010314.3, EWB00_010314.4, EWB00_010314.2
OG0001516	FGIG_07947	EWB00_010314.1
OG0001517	FGIG_08150	EWB00_010873.3, EWB00_010873.1, EWB00_010873.2, EWB00_010873.4
OG0001518	FGIG_08552, FGIG_08418	EWB00_007187
OG0001519	FGIG_08498	EWB00_007156, EWB00_007158.1, EWB00_007158.2, EWB00_007158.3
OG0001520	FGIG_08941	EWB00_008664.1, EWB00_008664.4, EWB00_008664.2, EWB00_008664.3
OG0001521	FGIG_09187	EWB00_011168.1, EWB00_011168.2
OG0001522	FGIG_09207	EWB00_000808.4, EWB00_000808.3, EWB00_000808.1, EWB00_000808.2
OG0001523	FGIG_09296	EWB00_008071
OG0001524	FGIG_09430	EWB00_008943.2, EWB00_008943.1, EWB00_008943.4, EWB00_008943.3
OG0001525	FGIG_10654, FGIG_09632	EWB00_001725
OG0001527	FGIG_09634	EWB00_000712, EWB00_004948
OG0001528	FGIG_09818, FGIG_10180	EWB00_006389
OG0001529	FGIG_09837	EWB00_011254.1, EWB00_011254.2
OG0001530	FGIG_09879	EWB00_002535.1, EWB00_009946, EWB00_002535.2, EWB00_002535.3
OG0001531	FGIG_10103	EWB00_002439.3, EWB00_002439.2, EWB00_002439.4, EWB00_002439.1
OG0001532	FGIG_10146, FGIG_10147	EWB00_007573.1, EWB00_007573.2
OG0001533	FGIG_10179	EWB00_010521
OG0001534	FGIG_10287	EWB00_011036.1, EWB00_011036.2
OG0001535	FGIG_10930, FGIG_10298	EWB00_006942
OG0001536	FGIG_10698	EWB00_006442
OG0001537	FGIG_11105	EWB00_005648
OG0001538	FGIG_11361	EWB00_000322
OG0001539	FGIG_11593	EWB00_005624.2, EWB00_005624.1
OG0001540	FGIG_11704	EWB00_006207.1, EWB00_006207.2, EWB00_006207.3, EWB00_006207.4
OG0001541	FGIG_11817	EWB00_010178.1, EWB00_010178.2, EWB00_010179
OG0001542	FGIG_11924	EWB00_010723.1, EWB00_010723.2
OG0001543	FGIG_11936	EWB00_008401.3, EWB00_008401.4, EWB00_008401.1, EWB00_008401.2
OG0001544	FGIG_12130, FGIG_12131	EWB00_009740.1, EWB00_009740.2
OG0001554	FGIG_07971, FGIG_07969	EWB00_002893
OG0001555	FGIG_00531, FGIG_00530, FGIG_00127	EWB00_007184
OG0001556	FGIG_00492	EWB00_003408.4, EWB00_003408.1, EWB00_003408.3, EWB00_003408.2
OG0001557	FGIG_00563	EWB00_001587
OG0001558	FGIG_00593	EWB00_004824, EWB00_009609.2, EWB00_009609.1
OG0001560	FGIG_00841	EWB00_007132.1, EWB00_007132.2, EWB00_007132.3
OG0001561	FGIG_00934, FGIG_03387	EWB00_000179, EWB00_000181
OG0001562	FGIG_01022	EWB00_001403, EWB00_001401
OG0001563	FGIG_01149	EWB00_001576
OG0001564	FGIG_12337, FGIG_01165, FGIG_01166	EWB00_008720, EWB00_008721
OG0001565	FGIG_01252	EWB00_003657.1, EWB00_003657.3, EWB00_003657.4, EWB00_003657.2
OG0001566	FGIG_01332, FGIG_01331	EWB00_003963.2, EWB00_003963.1, EWB00_003963.3
OG0001567	FGIG_01351, FGIG_02042	EWB00_008254.1, EWB00_008254.2
OG0001568	FGIG_01381, FGIG_10926	EWB00_009895, EWB00_010378
OG0001569	FGIG_01430	EWB00_002399, EWB00_002400
OG0001570	FGIG_01497	EWB00_000946.4, EWB00_000946.1, EWB00_000946.3, EWB00_000946.2
OG0001571	FGIG_08212	EWB00_010226
OG0001571	FGIG_01541	EWB00_008986
OG0001572	FGIG_01643	EWB00_003961
OG0001573	FGIG_01771	EWB00_005049.1, EWB00_005049.2, EWB00_005049.3
OG0001574	FGIG_01776	EWB00_001475.1, EWB00_001475.2, EWB00_001475.3
OG0001575	FGIG_01819	EWB00_008443, EWB00_009866, EWB00_009867, EWB00_009869, EWB00_009868, EWB00_008442
OG0001576	FGIG_01874, FGIG_01873	EWB00_004468
OG0001577	FGIG_02105	EWB00_000631
OG0001578	FGIG_02177	EWB00_003565
OG0001579	FGIG_02212	EWB00_000084
OG0001580	FGIG_02237	EWB00_003247
OG0001581	FGIG_02435	EWB00_001247.1, EWB00_001247.2, EWB00_001247.6, EWB00_001247.4, EWB00_001247.3, EWB00_001247.5, EWB00_001247.7
OG0001582	FGIG_02459	EWB00_007839.2, EWB00_007839.3, EWB00_007839.4, EWB00_007839.5, EWB00_007839.6, EWB00_007839.7, EWB00_007839.8, EWB00_007839.10, EWB00_007839.11, EWB00_007839.12, EWB00_007839.13, EWB00_007839.14, EWB00_007839.9, EWB00_007839.1
OG0001583	FGIG_02462	EWB00_008305
OG0001584	FGIG_02509, FGIG_02508	EWB00_003372.1, EWB00_003372.2
OG0001585	FGIG_02700	EWB00_003931
OG0001586	FGIG_02757	EWB00_000604
OG0001587	FGIG_02789, FGIG_08846	EWB00_001056.2, EWB00_001056.4, EWB00_001056.1, EWB00_001056.3
OG0001588	FGIG_03013	EWB00_000393.4, EWB00_000393.3, EWB00_000393.2, EWB00_000393.1, EWB00_000393.5
OG0001589	FGIG_03031	EWB00_001764, EWB00_001763
OG0001590	FGIG_03074	EWB00_000529.1, EWB00_000529.2
OG0001591	FGIG_03110	EWB00_001817, EWB00_001818
OG0001592	FGIG_03254	EWB00_005480.1, EWB00_005480.2, EWB00_005480.3
OG0001593	FGIG_03389	EWB00_011133.1, EWB00_011133.2
OG0001594	FGIG_03404	EWB00_004309.1, EWB00_004309.2
OG0001595	FGIG_03681	EWB00_010479
OG0001596	FGIG_03686	EWB00_007492
OG0001597	FGIG_03710	EWB00_004539.1, EWB00_004539.2
OG0001598	FGIG_03711	EWB00_004044.2, EWB00_004044.3, EWB00_004044.4, EWB00_004044.6, EWB00_004044.5, EWB00_004044.1
OG0001599	FGIG_03826	EWB00_003665
OG0001600	FGIG_03860	EWB00_006003.1, EWB00_006003.2, EWB00_006003.3, EWB00_006003.5, EWB00_006003.4
OG0001601	FGIG_04047	EWB00_000474
OG0001602	FGIG_04252	EWB00_002672.1, EWB00_002672.2
OG0001604	FGIG_04790	EWB00_001111
OG0001605	FGIG_04843, FGIG_04842	EWB00_004822
OG0001606	FGIG_09218, FGIG_09219, FGIG_05027	EWB00_007547.1, EWB00_007547.2, EWB00_007547.3, EWB00_007547.4
OG0001607	FGIG_05053, FGIG_08672	EWB00_003884.1, EWB00_003884.3, EWB00_003884.2, EWB00_003884.4, EWB00_003884.5
OG0001608	FGIG_05065	EWB00_006512
OG0001609	FGIG_05088	EWB00_007367.7, EWB00_007367.5, EWB00_007367.2, EWB00_007367.3, EWB00_007367.4, EWB00_007367.1, EWB00_007367.6
OG0001610	FGIG_08349, FGIG_05093	EWB00_004368
OG0001611	FGIG_05457	EWB00_011295
OG0001612	FGIG_05464	EWB00_005638.1, EWB00_005638.2
OG0001613	FGIG_05500	EWB00_011053.1, EWB00_011053.2, EWB00_011053.3
OG0001614	FGIG_05538, FGIG_05540	EWB00_003941
OG0001615	FGIG_05541	EWB00_003940
OG0001616	FGIG_05680	EWB00_009486
OG0001617	FGIG_05780	EWB00_009311.1, EWB00_009311.2
OG0001618	FGIG_05781, FGIG_05782	EWB00_006198.1, EWB00_006198.2
OG0001619	FGIG_05824	EWB00_008116.1, EWB00_008116.2
OG0001620	FGIG_06091	EWB00_001728
OG0001621	FGIG_06135	EWB00_010220
OG0001622	FGIG_06211, FGIG_06210	EWB00_004499.1, EWB00_004499.2
OG0001623	FGIG_06565	EWB00_008598.2, EWB00_008598.1, EWB00_008598.3
OG0001624	FGIG_07374, FGIG_06649	EWB00_001583.1, EWB00_001583.2, EWB00_001583.3
OG0001625	FGIG_11741, FGIG_06687	EWB00_000388, EWB00_003330
OG0001626	FGIG_06845	EWB00_003418.1, EWB00_003418.2
OG0001627	FGIG_06856	EWB00_006592.1, EWB00_006592.2, EWB00_006592.3
OG0001628	FGIG_06970	EWB00_003126.2, EWB00_003126.1, EWB00_003126.3, EWB00_003126.5, EWB00_003126.4, EWB00_003126.6
OG0001629	FGIG_07009	EWB00_004656.1, EWB00_004656.2, EWB00_004656.4, EWB00_004656.5, EWB00_004656.6, EWB00_004656.3
OG0001631	FGIG_07316	EWB00_001898.1, EWB00_001898.2
OG0001632	FGIG_07391	EWB00_005797
OG0001633	FGIG_07448	EWB00_004781.3, EWB00_004781.1, EWB00_004781.2
OG0001634	FGIG_07519	EWB00_007518
OG0001635	FGIG_07538, FGIG_07539	EWB00_006335
OG0001636	FGIG_07566	EWB00_001392.2, EWB00_001392.3, EWB00_001392.1, EWB00_001392.4
OG0001637	FGIG_07660	EWB00_003455.3, EWB00_003455.1, EWB00_003455.2
OG0001639	FGIG_08142	EWB00_002443, EWB00_002442
OG0001640	FGIG_08389	EWB00_002491.1, EWB00_002491.2
OG0001641	FGIG_08605	EWB00_001978.1, EWB00_001978.2
OG0001643	FGIG_08854	EWB00_003874
OG0001644	FGIG_09142	EWB00_008738.1, EWB00_008738.2, EWB00_008738.3, EWB00_008738.4, EWB00_008738.5, EWB00_008738.6, EWB00_008738.7
OG0001645	FGIG_09151, FGIG_10352	EWB00_005858
OG0001646	FGIG_09195	EWB00_007841.1, EWB00_007841.2
OG0001647	FGIG_09206	EWB00_008760.3, EWB00_008760.1, EWB00_008760.2
OG0001648	FGIG_09300	EWB00_007501
OG0001649	FGIG_09378	EWB00_003693, EWB00_005061
OG0001650	FGIG_10424, FGIG_12069	EWB00_001193
OG0001651	FGIG_10542	EWB00_004648
OG0001652	FGIG_10655	EWB00_007374.1, EWB00_007374.2
OG0001653	FGIG_10856	EWB00_004667.1, EWB00_004667.2
OG0001654	FGIG_11347	EWB00_003253
OG0001655	FGIG_11826	EWB00_006237.1, EWB00_006237.2, EWB00_006237.3, EWB00_006237.4
OG0001656	FGIG_12138	EWB00_000311
OG0001657	FGIG_12273	EWB00_002910
OG0001668	FGIG_00343, FGIG_00341, FGIG_00342	EWB00_000091.1, EWB00_000091.3, EWB00_000091.5, EWB00_000091.4, EWB00_000091.2, EWB00_000091.6, EWB00_000091.7
OG0001669	FGIG_00345	EWB00_011212.1, EWB00_011212.2
OG0001670	FGIG_00362, FGIG_09303, FGIG_09302	EWB00_004351.1, EWB00_004351.2, EWB00_004351.3, EWB00_004351.4
OG0001671	FGIG_00386	EWB00_005987.1, EWB00_005987.2
OG0001672	FGIG_00594	EWB00_007942.1, EWB00_007942.2
OG0001673	FGIG_00782	EWB00_011109.1, EWB00_011109.2
OG0001675	FGIG_01158	EWB00_009829.1, EWB00_009829.2, EWB00_009829.3, EWB00_009829.4
OG0001676	FGIG_01424	EWB00_005536.1, EWB00_005536.2
OG0001677	FGIG_01587	EWB00_009285
OG0001678	FGIG_01613	EWB00_005559.1, EWB00_005559.3, EWB00_005559.4, EWB00_005559.2
OG0001679	FGIG_01636	EWB00_010312.1, EWB00_010312.3, EWB00_010312.2, EWB00_010312.4
OG0001680	FGIG_01674, FGIG_09657, FGIG_01673	EWB00_003316.3, EWB00_003316.2, EWB00_003316.1
OG0001681	FGIG_10397, FGIG_01757	EWB00_001043
OG0001682	FGIG_01772	EWB00_000072.1, EWB00_000072.2
OG0001683	FGIG_09870, FGIG_01860, FGIG_09138, FGIG_09869	EWB00_000248, EWB00_000250, EWB00_000252, EWB00_000251
OG0001684	FGIG_06953, FGIG_02137	EWB00_009146
OG0001685	FGIG_02286	EWB00_006465, EWB00_010778, EWB00_002377
OG0001686	FGIG_02332	EWB00_001494.1, EWB00_001494.2, EWB00_001494.3
OG0001687	FGIG_02344	EWB00_007842.4, EWB00_007842.1, EWB00_007842.3, EWB00_007842.2
OG0001688	FGIG_02355, FGIG_02354	EWB00_005820.1, EWB00_005820.2
OG0001689	FGIG_02361	EWB00_003512, EWB00_003511
OG0001690	FGIG_02412	EWB00_001748.1, EWB00_001748.4, EWB00_001748.3, EWB00_001748.2
OG0001691	FGIG_02430	EWB00_003815
OG0001692	FGIG_02603	EWB00_010961
OG0001693	FGIG_02612	EWB00_008477
OG0001694	FGIG_02613	EWB00_003684.1, EWB00_003684.4, EWB00_003684.2, EWB00_003684.3, EWB00_003684.5, EWB00_003684.6, EWB00_003684.7
OG0001695	FGIG_02650	EWB00_008158
OG0001696	FGIG_02668	EWB00_006376.1, EWB00_006376.2
OG0001697	FGIG_02799	EWB00_003024.1, EWB00_003024.2, EWB00_003024.3
OG0001698	FGIG_02827	EWB00_007397
OG0001699	FGIG_08442, FGIG_12071, FGIG_02860	EWB00_006586
OG0001700	FGIG_02948	EWB00_002364.1, EWB00_002364.2
OG0001701	FGIG_02954	EWB00_007308.1, EWB00_007308.2
OG0001702	FGIG_03036	EWB00_008286.2, EWB00_008286.4, EWB00_008286.1, EWB00_008286.3
OG0001703	FGIG_03206	EWB00_006853.1, EWB00_006853.2
OG0001704	FGIG_03262	EWB00_004801
OG0001705	FGIG_03312	EWB00_001120, EWB00_001119
OG0001706	FGIG_03334	EWB00_011216.2, EWB00_011216.5, EWB00_011216.3, EWB00_011216.4, EWB00_011216.1, EWB00_011216.6
OG0001707	FGIG_03346, FGIG_11546	EWB00_000916.1, EWB00_000916.2
OG0001708	FGIG_07923, FGIG_03395	EWB00_009638.2, EWB00_009638.3, EWB00_009638.1, EWB00_009638.4, EWB00_009638.5, EWB00_009638.6
OG0001709	FGIG_03643	EWB00_006047
OG0001710	FGIG_03672	EWB00_011363.1, EWB00_011363.3, EWB00_011363.4, EWB00_011363.2
OG0001711	FGIG_03723, FGIG_09584, FGIG_05732, FGIG_12458	EWB00_005879.3, EWB00_005879.1, EWB00_005879.2
OG0001712	FGIG_04007	EWB00_004726
OG0001713	FGIG_04033	EWB00_005183.1, EWB00_005183.2, EWB00_005183.3, EWB00_005183.4
OG0001714	FGIG_04034	EWB00_005184
OG0001715	FGIG_04340	EWB00_007067.2, EWB00_007067.4, EWB00_007067.1, EWB00_007067.3
OG0001716	FGIG_04933, FGIG_04367	EWB00_009167.1, EWB00_009167.2
OG0001717	FGIG_04529	EWB00_003282.3, EWB00_003282.1, EWB00_003282.2
OG0001718	FGIG_04552	EWB00_002352.1, EWB00_002352.2
OG0001719	FGIG_04710, FGIG_04709	EWB00_009251
OG0001720	FGIG_04866, FGIG_06080	EWB00_008445.1, EWB00_008445.2
OG0001721	FGIG_04876	EWB00_005126.2, EWB00_005126.1, EWB00_005126.3, EWB00_005126.4, EWB00_005128.1, EWB00_005128.2
OG0001722	FGIG_04965, FGIG_10318	EWB00_009862.4, EWB00_009862.3, EWB00_009862.2, EWB00_009862.1
OG0001723	FGIG_05019	EWB00_005542
OG0001724	FGIG_05138, FGIG_11352	EWB00_009579.1, EWB00_009579.2, EWB00_009579.4, EWB00_009579.3
OG0001725	FGIG_05235	EWB00_006118.1, EWB00_006118.2
OG0001726	FGIG_08225, FGIG_11396	EWB00_004248
OG0001726	FGIG_05249	EWB00_010136, EWB00_010137
OG0001727	FGIG_05253	EWB00_001981.1, EWB00_001981.2, EWB00_001981.3, EWB00_001982
OG0001728	FGIG_05390	EWB00_005587
OG0001729	FGIG_05422	EWB00_004669
OG0001730	FGIG_05448	EWB00_005425
OG0001731	FGIG_05472	EWB00_010113.1, EWB00_010113.2, EWB00_010113.3
OG0001732	FGIG_05692	EWB00_010708
OG0001733	FGIG_05918	EWB00_006579.1, EWB00_006579.2
OG0001734	FGIG_05951, FGIG_07347	EWB00_000355.1, EWB00_000355.2
OG0001735	FGIG_06068	EWB00_008027
OG0001736	FGIG_06248, FGIG_09628	EWB00_000076
OG0001737	FGIG_06314	EWB00_008580
OG0001738	FGIG_06451, FGIG_06452	EWB00_004730
OG0001739	FGIG_06589	EWB00_004148
OG0001740	FGIG_06601	EWB00_000764
