Orthogroup	schistosoma_japonicum	s.mekongi
OG0000044	EWB00_011369.1, EWB00_011369.2	KAK4468904.1
OG0000045	EWB00_004967.2, EWB00_004967.1, EWB00_004969, EWB00_004967.3	KAK4468037.1, KAK4470284.1
OG0000049	EWB00_001608.1, EWB00_001608.2	KAK4470136.1, KAK4470137.1
OG0000049	EWB00_008098	KAK4470598.1
OG0000050	EWB00_005371.1, EWB00_005371.2	KAK4469367.1
OG0000052	EWB00_003293	KAK4472821.1
OG0000052	EWB00_007330	KAK4474336.1
OG0000052	EWB00_005671	KAK4474374.1
OG0000052	EWB00_003847	KAK4474946.1
OG0000052	EWB00_009848	KAK4471620.1
OG0000053	EWB00_005460.2, EWB00_005460.1	KAK4475177.1, KAK4475178.1
OG0000054	EWB00_001816, EWB00_010264, EWB00_001115, EWB00_004986, EWB00_002744, EWB00_009767	KAK4471025.1, KAK4468371.1, KAK4474289.1
OG0000054	EWB00_010117	KAK4472186.1
OG0000054	EWB00_001281, EWB00_011097, EWB00_011098, EWB00_005912.1, EWB00_005912.2, EWB00_001164, EWB00_000964, EWB00_002141, EWB00_001829, EWB00_001830, EWB00_010892	KAK4472139.1
OG0000054	EWB00_003548	KAK4469996.1
OG0000055	EWB00_010036, EWB00_008558, EWB00_010037.1, EWB00_010037.2	KAK4471575.1, KAK4471564.1
OG0000056	EWB00_000126.1, EWB00_000387.1, EWB00_000387.3, EWB00_005273, EWB00_008590, EWB00_010372, EWB00_008825, EWB00_006591, EWB00_008824	KAK4474308.1, KAK4467267.1, KAK4467234.1, KAK4467282.1, KAK4474237.1, KAK4468958.1, KAK4468998.1, KAK4474253.1, KAK4474239.1, KAK4472214.1, KAK4470010.1, KAK4468978.1, KAK4471056.1
OG0000057	EWB00_008005	KAK4468384.1, KAK4470043.1
OG0000058	EWB00_001871	KAK4468525.1
OG0000058	EWB00_003488.1, EWB00_003488.2	KAK4470069.1
OG0000058	EWB00_003491	KAK4470074.1, KAK4470072.1
OG0000060	EWB00_010498.1, EWB00_010498.2	KAK4471247.1
OG0000061	EWB00_010632.4, EWB00_010632.1, EWB00_010632.3, EWB00_010632.2	KAK4469486.1
OG0000062	EWB00_008458	KAK4475970.1
OG0000063	EWB00_006170	KAK4473734.1
OG0000064	EWB00_004838.3, EWB00_004838.2, EWB00_004838.1	KAK4475705.1
OG0000065	EWB00_000537	KAK4473358.1
OG0000065	EWB00_001523	KAK4473352.1
OG0000065	EWB00_000538.1, EWB00_000538.2, EWB00_000540, EWB00_000536, EWB00_011071, EWB00_009716.1, EWB00_009716.2	KAK4473355.1, KAK4473357.1
