Orthogroup	schistosoma_japonicum	s.mekongi
OG0001379	EWB00_008653	KAK4470300.1
OG0001380	EWB00_000503.1, EWB00_000503.2	KAK4472050.1
OG0001381	EWB00_004538	KAK4470574.1
OG0001382	EWB00_005035.1, EWB00_005035.2	KAK4472961.1
OG0001383	EWB00_009013, EWB00_009014	KAK4467561.1, KAK4467562.1, KAK4475694.1
OG0001384	EWB00_009445.3, EWB00_009445.4, EWB00_009445.2, EWB00_009445.1	KAK4467390.1
OG0001385	EWB00_001547	KAK4473334.1
OG0001387	EWB00_008055	KAK4468825.1
OG0001388	EWB00_009408	KAK4474533.1
OG0001389	EWB00_000171	KAK4469569.1
OG0001390	EWB00_004599	KAK4473695.1, KAK4467327.1
OG0001391	EWB00_003387.2, EWB00_003387.3, EWB00_003387.1	KAK4474184.1
OG0001392	EWB00_007691	KAK4467529.1, KAK4467530.1, KAK4474649.1
OG0001393	EWB00_003130	KAK4474810.1
OG0001394	EWB00_010972.1, EWB00_010972.2	KAK4470691.1
OG0001395	EWB00_004458	KAK4468666.1
OG0001395	EWB00_000296.4, EWB00_000296.1, EWB00_000296.2, EWB00_000296.3	KAK4473275.1
OG0001397	EWB00_007740	KAK4471735.1
OG0001398	EWB00_009382.5, EWB00_009382.2, EWB00_009382.3, EWB00_009382.4, EWB00_009382.1	KAK4474558.1
OG0001399	EWB00_008572	KAK4468491.1
OG0001400	EWB00_000847	KAK4468320.1
OG0001401	EWB00_008415, EWB00_008414	KAK4469444.1
OG0001402	EWB00_005115.1, EWB00_005115.2, EWB00_005115.3, EWB00_005115.6, EWB00_005115.4, EWB00_005115.5	KAK4472860.1
OG0001403	EWB00_002225	KAK4469835.1
OG0001404	EWB00_010350.1, EWB00_010350.2	KAK4475068.1
OG0001405	EWB00_002914	KAK4472330.1
OG0001406	EWB00_009121.2, EWB00_009121.3, EWB00_009121.4, EWB00_009121.5, EWB00_009121.1, EWB00_009121.7, EWB00_009121.6	KAK4472773.1
OG0001407	EWB00_004502, EWB00_004503	KAK4467966.1
OG0001408	EWB00_006991	KAK4473060.1
OG0001409	EWB00_007601	KAK4469219.1, KAK4469220.1
OG0001410	EWB00_008363.1, EWB00_008363.2	KAK4474146.1
OG0001410	EWB00_008362.3, EWB00_008362.1, EWB00_008362.2	KAK4474145.1
OG0001411	EWB00_003306.1, EWB00_003306.2, EWB00_003306.3	KAK4472836.1
OG0001412	EWB00_003296.1, EWB00_003296.2	KAK4472825.1, KAK4472824.1
OG0001413	EWB00_003030.1, EWB00_003030.2	KAK4467707.1
OG0001414	EWB00_004848, EWB00_004849, EWB00_004847	KAK4475715.1
OG0001415	EWB00_004624	KAK4472656.1
OG0001416	EWB00_009367.2, EWB00_009367.1	KAK4474571.1
OG0001417	EWB00_000686.1, EWB00_000686.2	KAK4474476.1
OG0001418	EWB00_010214.2, EWB00_010214.1, EWB00_010214.3, EWB00_010214.4, EWB00_010214.5	KAK4475658.1
OG0001420	EWB00_001481.1, EWB00_001481.2, EWB00_001481.3	KAK4468277.1
OG0001421	EWB00_004354	KAK4473975.1
OG0001422	EWB00_001374.1, EWB00_001374.2	KAK4470355.1
OG0001423	EWB00_003255	KAK4474401.1
OG0001424	EWB00_005772.2, EWB00_005772.5, EWB00_005772.1, EWB00_005772.6, EWB00_005772.3, EWB00_005772.4	KAK4475978.1
OG0001425	EWB00_000266.1, EWB00_000266.2, EWB00_000266.3, EWB00_000266.4	KAK4473253.1
OG0001426	EWB00_011239.2, EWB00_011239.1, EWB00_011239.3	KAK4476100.1
OG0001427	EWB00_004103	KAK4472853.1
OG0001428	EWB00_004240	KAK4475537.1
OG0001429	EWB00_010670.1, EWB00_010670.2	KAK4469523.1
OG0001430	EWB00_002214	KAK4469826.1
OG0001430	EWB00_002215	KAK4469827.1
OG0001431	EWB00_010501.6, EWB00_010501.4, EWB00_010501.5, EWB00_010501.1, EWB00_010501.3, EWB00_010501.2	KAK4471244.1
OG0001432	EWB00_002429.1, EWB00_002429.2	KAK4475480.1
OG0001433	EWB00_006443	KAK4475337.1
OG0001434	EWB00_003352, EWB00_003353	KAK4467660.1
OG0001435	EWB00_001419, EWB00_001418	KAK4470399.1
OG0001436	EWB00_004555.1, EWB00_004555.2, EWB00_004555.3, EWB00_004555.4	KAK4470775.1
OG0001437	EWB00_004750.1, EWB00_004750.2	KAK4469296.1
OG0001437	EWB00_005353	KAK4469385.1
OG0001438	EWB00_001046.1, EWB00_001046.3, EWB00_001046.2	KAK4475129.1
OG0001439	EWB00_007162.1, EWB00_007162.2	KAK4470521.1
OG0001440	EWB00_001292	KAK4473854.1
OG0001441	EWB00_001887.1	KAK4468533.1
OG0001441	EWB00_001887.2	KAK4468533.1
OG0001441	EWB00_001887.3	KAK4468533.1
OG0001441	EWB00_001887.4	KAK4468533.1
OG0001441	EWB00_001891.4, EWB00_001891.6, EWB00_001891.2, EWB00_001891.3, EWB00_001891.5, EWB00_001891.1	KAK4468536.1
OG0001442	EWB00_007731	KAK4471727.1
OG0001443	EWB00_008501.2, EWB00_008501.1, EWB00_008501.4, EWB00_008501.3	KAK4475081.1
OG0001444	EWB00_004974.1, EWB00_004974.3, EWB00_004974.2, EWB00_004974.4	KAK4470278.1
OG0001445	EWB00_003448.1, EWB00_003448.2	KAK4470607.1
OG0001446	EWB00_010796	KAK4467413.1, KAK4467414.1
OG0001447	EWB00_010576.1, EWB00_010576.2	KAK4467426.1
OG0001447	EWB00_010579	KAK4467428.1, KAK4467427.1
OG0001448	EWB00_010570	KAK4470982.1
OG0001448	EWB00_010574.1, EWB00_010574.2	KAK4470984.1
OG0001448	EWB00_010573.1, EWB00_010573.2	KAK4470983.1
OG0001449	EWB00_002956	KAK4472371.1, KAK4472370.1
OG0001450	EWB00_000063.4, EWB00_000063.6, EWB00_000063.1, EWB00_000063.2, EWB00_000063.3, EWB00_000063.5	KAK4474892.1
OG0001454	EWB00_008794.3, EWB00_008794.1, EWB00_008794.2, EWB00_008794.4, EWB00_008794.5	KAK4468255.1
OG0001455	EWB00_006672	KAK4467822.1
OG0001456	EWB00_009329.2, EWB00_009329.4, EWB00_009329.1, EWB00_009329.3	KAK4471732.1
OG0001457	EWB00_006287	KAK4475852.1
OG0001458	EWB00_005995	KAK4472480.1
OG0001459	EWB00_003190	KAK4471159.1
OG0001460	EWB00_004279	KAK4474046.1
OG0001461	EWB00_010024.2, EWB00_010024.3, EWB00_010024.1, EWB00_010024.4	KAK4472865.1
OG0001462	EWB00_005942.4, EWB00_005942.7, EWB00_005942.3, EWB00_005942.6, EWB00_005942.8, EWB00_005942.9, EWB00_005942.10, EWB00_005942.2, EWB00_005942.1, EWB00_005942.5	KAK4467568.1
OG0001463	EWB00_003859	KAK4472017.1
OG0001464	EWB00_005411	KAK4469332.1
OG0001465	EWB00_001179.1, EWB00_001179.2, EWB00_001179.3	KAK4470015.1, KAK4470333.1
OG0001466	EWB00_006339.1, EWB00_006339.2, EWB00_006339.3, EWB00_006339.4	KAK4475780.1, KAK4475777.1, KAK4467227.1
OG0001467	EWB00_000404.4, EWB00_000404.1, EWB00_000404.2, EWB00_000404.3	KAK4471670.1
OG0001468	EWB00_000106	KAK4475755.1
OG0001469	EWB00_001504	KAK4468293.1
OG0001470	EWB00_009880.1, EWB00_009880.2	KAK4471118.1
OG0001471	EWB00_000232	KAK4471762.1
OG0001471	EWB00_000231, EWB00_000235	KAK4471761.1
OG0001472	EWB00_004700	KAK4471954.1
OG0001473	EWB00_011064.1, EWB00_011064.3, EWB00_011064.2	KAK4470641.1
OG0001474	EWB00_003899	KAK4473644.1
OG0001475	EWB00_002159.1, EWB00_002159.2, EWB00_002159.3	KAK4469874.1
OG0001476	EWB00_009089, EWB00_009090	KAK4476002.1
OG0001477	EWB00_008376.5, EWB00_008376.1, EWB00_008376.3, EWB00_008376.2, EWB00_008376.4	KAK4469033.1
OG0001478	EWB00_011273, EWB00_002424.2, EWB00_002424.1, EWB00_002424.3	KAK4475476.1
OG0001479	EWB00_010375.1, EWB00_010375.2	KAK4476159.1
OG0001480	EWB00_004676	KAK4475942.1
OG0001481	EWB00_010804	KAK4469635.1, KAK4469636.1
OG0001482	EWB00_000369	KAK4468865.1
OG0001483	EWB00_007364.1, EWB00_007364.2, EWB00_007364.3	KAK4470165.1
OG0001484	EWB00_007567.2, EWB00_007567.1, EWB00_007567.3, EWB00_007567.4	KAK4473387.1
OG0001485	EWB00_001745.1, EWB00_001745.2, EWB00_001745.3, EWB00_001745.4, EWB00_001745.5	KAK4472286.1
OG0001486	EWB00_010654	KAK4469506.1
OG0001487	EWB00_001107.1, EWB00_001107.2, EWB00_001107.3	KAK4473164.1
OG0001488	EWB00_004266	KAK4474060.1
OG0001488	EWB00_004796	KAK4467784.1
OG0001489	EWB00_000255.1, EWB00_000255.2, EWB00_000255.3	KAK4473243.1
OG0001490	EWB00_002584	KAK4472636.1
OG0001491	EWB00_006325.1, EWB00_006325.2	KAK4467448.1, KAK4475818.1
OG0001492	EWB00_010698	KAK4469550.1
OG0001493	EWB00_000174	KAK4469536.1
OG0001494	EWB00_008039.1, EWB00_008039.2	KAK4472983.1
OG0001495	EWB00_008592.1, EWB00_008592.2	KAK4475962.1
OG0001496	EWB00_007183.1, EWB00_007183.2, EWB00_007183.3	KAK4470511.1
OG0001497	EWB00_003402	KAK4474198.1
OG0001498	EWB00_009904	KAK4473400.1
OG0001499	EWB00_005585	KAK4471805.1
OG0001500	EWB00_003991.3, EWB00_003991.1, EWB00_003991.2	KAK4471363.1
OG0001501	EWB00_007411	KAK4467925.1
OG0001502	EWB00_010230	KAK4475834.1
OG0001503	EWB00_006507.1, EWB00_006507.2, EWB00_006507.3, EWB00_006507.4, EWB00_006507.5	KAK4469162.1
OG0001504	EWB00_007101.2, EWB00_007101.3, EWB00_007101.6, EWB00_007101.7, EWB00_007101.4, EWB00_007101.5, EWB00_007101.1	KAK4471426.1
OG0001505	EWB00_005893, EWB00_005891	KAK4467674.1
OG0001506	EWB00_009392.1, EWB00_009392.2	KAK4474547.1
OG0001507	EWB00_006823	KAK4469704.1
OG0001508	EWB00_009523	KAK4473780.1
OG0001509	EWB00_010948	KAK4470670.1
OG0001510	EWB00_008757.1, EWB00_008757.3, EWB00_008757.4, EWB00_008757.2	KAK4473423.1
OG0001511	EWB00_010906.1, EWB00_010906.2, EWB00_010906.3, EWB00_010906.4	KAK4472609.1
OG0001512	EWB00_007373	KAK4470155.1, KAK4470156.1
OG0001513	EWB00_009356.1, EWB00_009356.2	KAK4474579.1
OG0001514	EWB00_003846.1, EWB00_003846.2	KAK4474937.1
OG0001515	EWB00_009461	KAK4476213.1
OG0001516	EWB00_010314.3, EWB00_010314.4, EWB00_010314.2	KAK4475046.1
OG0001517	EWB00_010873.3, EWB00_010873.1, EWB00_010873.2, EWB00_010873.4	KAK4473097.1
OG0001518	EWB00_007187	KAK4470507.1
OG0001519	EWB00_007156, EWB00_007158.1, EWB00_007158.2, EWB00_007158.3	KAK4470526.1
OG0001520	EWB00_008664.1, EWB00_008664.4, EWB00_008664.2, EWB00_008664.3	KAK4475990.1
OG0001521	EWB00_011168.1, EWB00_011168.2	KAK4469850.1
OG0001522	EWB00_000808.4, EWB00_000808.3, EWB00_000808.1, EWB00_000808.2	KAK4474373.1
OG0001523	EWB00_008071	KAK4469319.1
OG0001524	EWB00_008943.2, EWB00_008943.1, EWB00_008943.4, EWB00_008943.3	KAK4468358.1, KAK4468304.1
OG0001525	EWB00_001725	KAK4472296.1
OG0001527	EWB00_000712, EWB00_004948	KAK4468587.1
OG0001528	EWB00_006389	KAK4473520.1
OG0001529	EWB00_011254.1, EWB00_011254.2	KAK4472072.1
OG0001530	EWB00_002535.1, EWB00_009946, EWB00_002535.2, EWB00_002535.3	KAK4469900.1
OG0001531	EWB00_002439.3, EWB00_002439.2, EWB00_002439.4	KAK4474840.1
OG0001531	EWB00_002439.1	KAK4474842.1
OG0001532	EWB00_007573.1, EWB00_007573.2	KAK4475577.1
OG0001533	EWB00_010521	KAK4472100.1
OG0001534	EWB00_011036.1, EWB00_011036.2	KAK4470485.1
OG0001535	EWB00_006942	KAK4468789.1
OG0001536	EWB00_006442	KAK4475341.1
OG0001537	EWB00_005648	KAK4474598.1
OG0001538	EWB00_000322	KAK4468775.1
OG0001539	EWB00_005624.2, EWB00_005624.1	KAK4474777.1
OG0001540	EWB00_006207.1, EWB00_006207.2, EWB00_006207.3, EWB00_006207.4	KAK4473765.1
OG0001541	EWB00_010178.1, EWB00_010178.2, EWB00_010179	KAK4468168.1
OG0001542	EWB00_010723.1, EWB00_010723.2	KAK4469573.1
OG0001543	EWB00_008401.3, EWB00_008401.4, EWB00_008401.1, EWB00_008401.2	KAK4468017.1
OG0001544	EWB00_009740.1, EWB00_009740.2	KAK4474656.1
OG0001545	EWB00_002078.1, EWB00_002078.2	KAK4469077.1
OG0001546	EWB00_004303	KAK4474025.1
OG0001547	EWB00_004888.1, EWB00_004888.2, EWB00_004888.3	KAK4472298.1
OG0001548	EWB00_005068.3, EWB00_005068.1, EWB00_005068.2	KAK4468448.1
OG0001549	EWB00_004742.3, EWB00_004742.1, EWB00_004742.2	KAK4473526.1
OG0001554	EWB00_002893	KAK4472720.1
OG0001555	EWB00_007184	KAK4470510.1
OG0001556	EWB00_003408.4, EWB00_003408.1, EWB00_003408.3, EWB00_003408.2	KAK4474204.1
OG0001557	EWB00_001587	KAK4472960.1
OG0001558	EWB00_004824, EWB00_009609.2, EWB00_009609.1	KAK4467369.1
OG0001559	EWB00_003678	KAK4469452.1, KAK4469450.1, KAK4469451.1
OG0001560	EWB00_007132.1, EWB00_007132.2, EWB00_007132.3	KAK4471393.1
OG0001561	EWB00_000179	KAK4469503.1
OG0001561	EWB00_000181	KAK4469493.1
OG0001562	EWB00_001403	KAK4470382.1, KAK4470383.1
OG0001562	EWB00_001401	KAK4470380.1
OG0001563	EWB00_001576	KAK4472898.1
OG0001564	EWB00_008721	KAK4468971.1
OG0001565	EWB00_003657.1, EWB00_003657.3, EWB00_003657.4, EWB00_003657.2	KAK4471199.1
OG0001566	EWB00_003963.2, EWB00_003963.1, EWB00_003963.3	KAK4471382.1
OG0001567	EWB00_008254.1, EWB00_008254.2	KAK4470759.1
OG0001568	EWB00_009895, EWB00_010378	KAK4467482.1
OG0001569	EWB00_002399, EWB00_002400	KAK4475458.1
OG0001570	EWB00_000946.4, EWB00_000946.1, EWB00_000946.3, EWB00_000946.2	KAK4470472.1
OG0001571	EWB00_010226	KAK4475792.1
OG0001571	EWB00_008986	KAK4475974.1
OG0001572	EWB00_003961	KAK4471383.1
OG0001573	EWB00_005049.1, EWB00_005049.2, EWB00_005049.3	KAK4472974.1
OG0001574	EWB00_001475.1, EWB00_001475.2, EWB00_001475.3	KAK4474125.1
OG0001575	EWB00_008443	KAK4474487.1
OG0001575	EWB00_009866, EWB00_009867, EWB00_009869, EWB00_009868	KAK4467524.1
OG0001576	EWB00_004468	KAK4468675.1
OG0001577	EWB00_000631	KAK4472784.1
OG0001578	EWB00_003565	KAK4469733.1
OG0001579	EWB00_000084	KAK4474867.1
OG0001580	EWB00_003247	KAK4473439.1
OG0001581	EWB00_001247.1, EWB00_001247.2, EWB00_001247.6, EWB00_001247.4, EWB00_001247.3, EWB00_001247.5, EWB00_001247.7	KAK4470867.1
OG0001582	EWB00_007839.2, EWB00_007839.3, EWB00_007839.4, EWB00_007839.5, EWB00_007839.6, EWB00_007839.7, EWB00_007839.8, EWB00_007839.10, EWB00_007839.11, EWB00_007839.12, EWB00_007839.13, EWB00_007839.14, EWB00_007839.9, EWB00_007839.1	KAK4469986.1
OG0001583	EWB00_008305	KAK4467501.1
OG0001584	EWB00_003372.1, EWB00_003372.2	KAK4474170.1
OG0001585	EWB00_003931	KAK4473664.1
OG0001586	EWB00_000604	KAK4474962.1
OG0001587	EWB00_001056.2, EWB00_001056.4, EWB00_001056.1, EWB00_001056.3	KAK4475140.1
OG0001588	EWB00_000393.4, EWB00_000393.3, EWB00_000393.2, EWB00_000393.1, EWB00_000393.5	KAK4471682.1
OG0001589	EWB00_001764, EWB00_001763	KAK4472272.1
OG0001590	EWB00_000529.1, EWB00_000529.2	KAK4470391.1
OG0001591	EWB00_001817, EWB00_001818	KAK4467880.1
OG0001592	EWB00_005480.1, EWB00_005480.2, EWB00_005480.3	KAK4475159.1
OG0001593	EWB00_011133.1, EWB00_011133.2	KAK4471969.1
OG0001594	EWB00_004309.1, EWB00_004309.2	KAK4474020.1
OG0001595	EWB00_010479	KAK4471263.1
OG0001596	EWB00_007492	KAK4471007.1, KAK4471006.1
OG0001597	EWB00_004539.1, EWB00_004539.2	KAK4470575.1
OG0001598	EWB00_004044.2, EWB00_004044.3, EWB00_004044.4, EWB00_004044.6, EWB00_004044.5, EWB00_004044.1	KAK4469123.1
OG0001599	EWB00_003665	KAK4470370.1
OG0001600	EWB00_006003.1, EWB00_006003.2, EWB00_006003.3, EWB00_006003.5, EWB00_006003.4	KAK4472472.1
OG0001601	EWB00_000474	KAK4471351.1
OG0001602	EWB00_002672.1, EWB00_002672.2	KAK4474735.1
OG0001604	EWB00_001111	KAK4473169.1
OG0001606	EWB00_007547.1, EWB00_007547.2, EWB00_007547.3, EWB00_007547.4	KAK4473367.1
OG0001607	EWB00_003884.1, EWB00_003884.3, EWB00_003884.2, EWB00_003884.4, EWB00_003884.5	KAK4470705.1
OG0001608	EWB00_006512	KAK4469157.1
OG0001610	EWB00_004368	KAK4473963.1
OG0001611	EWB00_011295	KAK4471878.1
OG0001612	EWB00_005638.1, EWB00_005638.2	KAK4474674.1
OG0001613	EWB00_011053.1, EWB00_011053.2, EWB00_011053.3	KAK4470649.1
OG0001614	EWB00_003941	KAK4473674.1
OG0001615	EWB00_003940	KAK4473673.1
OG0001616	EWB00_009486	KAK4476267.1
OG0001617	EWB00_009311.1, EWB00_009311.2	KAK4469909.1
OG0001619	EWB00_008116.1, EWB00_008116.2	KAK4469895.1
OG0001620	EWB00_001728	KAK4472293.1
OG0001621	EWB00_010220	KAK4475743.1
OG0001622	EWB00_004499.1, EWB00_004499.2	KAK4468112.1
OG0001623	EWB00_008598.2, EWB00_008598.1, EWB00_008598.3	KAK4475954.1
OG0001624	EWB00_001583.1, EWB00_001583.2, EWB00_001583.3	KAK4472927.1
OG0001625	EWB00_000388	KAK4471689.1
OG0001625	EWB00_003330	KAK4471690.1
OG0001626	EWB00_003418.1, EWB00_003418.2	KAK4472240.1
OG0001627	EWB00_006592.1, EWB00_006592.2, EWB00_006592.3	KAK4470285.1
OG0001628	EWB00_003126.2, EWB00_003126.1, EWB00_003126.3, EWB00_003126.5, EWB00_003126.4, EWB00_003126.6	KAK4474805.1
OG0001629	EWB00_004656.1, EWB00_004656.2, EWB00_004656.4, EWB00_004656.5, EWB00_004656.6, EWB00_004656.3	KAK4475152.1
OG0001631	EWB00_001898.1, EWB00_001898.2	KAK4468541.1
OG0001632	EWB00_005797	KAK4471598.1
OG0001633	EWB00_004781.3, EWB00_004781.1, EWB00_004781.2	KAK4467624.1
OG0001634	EWB00_007518	KAK4468718.1
OG0001635	EWB00_006335	KAK4475804.1, KAK4475805.1
OG0001636	EWB00_001392.2, EWB00_001392.3, EWB00_001392.1, EWB00_001392.4	KAK4470372.1
OG0001637	EWB00_003455.3, EWB00_003455.1, EWB00_003455.2	KAK4471172.1
OG0001639	EWB00_002443	KAK4474837.1
OG0001639	EWB00_002442	KAK4474838.1
OG0001640	EWB00_002491.1, EWB00_002491.2	KAK4474986.1
OG0001641	EWB00_001978.1, EWB00_001978.2	KAK4468595.1
OG0001642	EWB00_009266	KAK4469018.1
OG0001643	EWB00_003874	KAK4472002.1
OG0001644	EWB00_008738.1, EWB00_008738.2, EWB00_008738.3, EWB00_008738.4, EWB00_008738.5, EWB00_008738.6, EWB00_008738.7	KAK4469279.1
OG0001645	EWB00_005858	KAK4467665.1
OG0001646	EWB00_007841.1, EWB00_007841.2	KAK4469988.1
OG0001647	EWB00_008760.3, EWB00_008760.1, EWB00_008760.2	KAK4473419.1
OG0001648	EWB00_007501	KAK4471000.1
OG0001649	EWB00_003693, EWB00_005061	KAK4474518.1
OG0001650	EWB00_001193	KAK4470319.1
OG0001651	EWB00_004648	KAK4475239.1
OG0001652	EWB00_007374.1, EWB00_007374.2	KAK4470154.1
OG0001653	EWB00_004667.1, EWB00_004667.2	KAK4475931.1
OG0001654	EWB00_003253	KAK4468635.1
OG0001655	EWB00_006237.1, EWB00_006237.2, EWB00_006237.3, EWB00_006237.4	KAK4471560.1
OG0001656	EWB00_000311	KAK4468765.1
OG0001657	EWB00_002910	KAK4472325.1
OG0001659	EWB00_008176.1, EWB00_008176.2, EWB00_008358.1, EWB00_008358.2, EWB00_008358.3, EWB00_009727.2, EWB00_009727.1	KAK4467371.1, KAK4467374.1, KAK4474153.1
OG0001662	EWB00_006313	KAK4475831.1
OG0001668	EWB00_000091.1, EWB00_000091.3, EWB00_000091.5, EWB00_000091.4, EWB00_000091.2, EWB00_000091.6, EWB00_000091.7	KAK4472995.1
OG0001669	EWB00_011212.1, EWB00_011212.2	KAK4472585.1
OG0001670	EWB00_004351.1, EWB00_004351.2, EWB00_004351.3, EWB00_004351.4	KAK4473978.1
OG0001671	EWB00_005987.1, EWB00_005987.2	KAK4472488.1
OG0001672	EWB00_007942.1, EWB00_007942.2	KAK4472742.1
OG0001673	EWB00_011109.1, EWB00_011109.2	KAK4471952.1
OG0001675	EWB00_009829.1, EWB00_009829.2, EWB00_009829.3, EWB00_009829.4	KAK4471637.1
OG0001676	EWB00_005536.1, EWB00_005536.2	KAK4474386.1
OG0001677	EWB00_009285	KAK4468654.1
OG0001678	EWB00_005559.1, EWB00_005559.3, EWB00_005559.4, EWB00_005559.2	KAK4471141.1
OG0001679	EWB00_010312.1, EWB00_010312.3, EWB00_010312.2, EWB00_010312.4	KAK4475050.1, KAK4475048.1
OG0001680	EWB00_003316.3, EWB00_003316.2, EWB00_003316.1	KAK4472908.1
OG0001681	EWB00_001043	KAK4475126.1
OG0001682	EWB00_000072.1, EWB00_000072.2	KAK4474882.1
OG0001683	EWB00_000248, EWB00_000250, EWB00_000252, EWB00_000251	KAK4473241.1
OG0001684	EWB00_009146	KAK4472759.1
OG0001685	EWB00_006465, EWB00_010778	KAK4474323.1
OG0001685	EWB00_002377	KAK4475314.1
OG0001686	EWB00_001494.1, EWB00_001494.2, EWB00_001494.3	KAK4468284.1
OG0001687	EWB00_007842.4, EWB00_007842.1, EWB00_007842.3, EWB00_007842.2	KAK4469989.1
OG0001688	EWB00_005820.1, EWB00_005820.2	KAK4475439.1
OG0001689	EWB00_003512	KAK4475407.1
OG0001689	EWB00_003511	KAK4475411.1
OG0001690	EWB00_001748.1, EWB00_001748.4, EWB00_001748.3, EWB00_001748.2	KAK4472283.1
OG0001691	EWB00_003815	KAK4474679.1
OG0001692	EWB00_010961	KAK4470682.1
OG0001693	EWB00_008477	KAK4468270.1
OG0001694	EWB00_003684.1, EWB00_003684.4, EWB00_003684.2, EWB00_003684.3, EWB00_003684.5, EWB00_003684.6, EWB00_003684.7	KAK4468266.1
OG0001695	EWB00_008158	KAK4472607.1
OG0001696	EWB00_006376.1, EWB00_006376.2	KAK4473531.1
OG0001697	EWB00_003024.1, EWB00_003024.2, EWB00_003024.3	KAK4467703.1
OG0001698	EWB00_007397	KAK4470822.1
OG0001699	EWB00_006586	KAK4471814.1
OG0001700	EWB00_002364.1, EWB00_002364.2	KAK4475303.1
OG0001701	EWB00_007308.1, EWB00_007308.2	KAK4467316.1
OG0001702	EWB00_008286.2, EWB00_008286.4, EWB00_008286.1, EWB00_008286.3	KAK4474190.1
OG0001703	EWB00_006853.1, EWB00_006853.2	KAK4474095.1
OG0001704	EWB00_004801	KAK4475225.1
OG0001705	EWB00_001120	KAK4473177.1
OG0001705	EWB00_001119	KAK4472217.1
OG0001706	EWB00_011216.2, EWB00_011216.5, EWB00_011216.3, EWB00_011216.4, EWB00_011216.1, EWB00_011216.6	KAK4472590.1
OG0001707	EWB00_000916.1, EWB00_000916.2	KAK4471214.1
OG0001708	EWB00_009638.2, EWB00_009638.3, EWB00_009638.1, EWB00_009638.4, EWB00_009638.5, EWB00_009638.6	KAK4467777.1
OG0001709	EWB00_006047	KAK4472429.1
OG0001710	EWB00_011363.1, EWB00_011363.3, EWB00_011363.4, EWB00_011363.2	KAK4468896.1
OG0001711	EWB00_005879.3, EWB00_005879.1, EWB00_005879.2	KAK4467741.1
OG0001712	EWB00_004726	KAK4473397.1
OG0001713	EWB00_005183.1, EWB00_005183.2, EWB00_005183.3, EWB00_005183.4	KAK4471106.1
OG0001714	EWB00_005184	KAK4471104.1
OG0001715	EWB00_007067.1, EWB00_007067.3	KAK4473301.1
OG0001716	EWB00_009167.1, EWB00_009167.2	KAK4470062.1
OG0001717	EWB00_003282.3, EWB00_003282.1, EWB00_003282.2	KAK4472811.1
OG0001718	EWB00_002352.1, EWB00_002352.2	KAK4475292.1
OG0001719	EWB00_009251	KAK4473579.1
OG0001720	EWB00_008445.1, EWB00_008445.2	KAK4474489.1
OG0001721	EWB00_005126.2, EWB00_005126.1, EWB00_005126.3, EWB00_005126.4	KAK4469753.1
OG0001721	EWB00_005128.1, EWB00_005128.2	KAK4469756.1
OG0001722	EWB00_009862.4, EWB00_009862.3, EWB00_009862.2, EWB00_009862.1	KAK4474408.1
OG0001723	EWB00_005542	KAK4474388.1
OG0001724	EWB00_009579.1, EWB00_009579.2, EWB00_009579.4, EWB00_009579.3	KAK4470267.1
OG0001725	EWB00_006118.1, EWB00_006118.2	KAK4470124.1
OG0001726	EWB00_004248	KAK4474075.1
OG0001726	EWB00_010136, EWB00_010137	KAK4468354.1
OG0001727	EWB00_001981.1, EWB00_001981.2, EWB00_001981.3, EWB00_001982	KAK4468593.1
OG0001728	EWB00_005587	KAK4471793.1
OG0001729	EWB00_004669	KAK4475934.1
OG0001730	EWB00_005425	KAK4475220.1
OG0001731	EWB00_010113.1, EWB00_010113.2, EWB00_010113.3	KAK4472709.1
OG0001732	EWB00_010708	KAK4469561.1
OG0001733	EWB00_006579.1, EWB00_006579.2	KAK4471822.1
OG0001734	EWB00_000355.1, EWB00_000355.2	KAK4468884.1
OG0001735	EWB00_008027	KAK4472994.1
OG0001736	EWB00_000076	KAK4474877.1
OG0001737	EWB00_008580	KAK4468482.1
OG0001738	EWB00_004730	KAK4473402.1
OG0001739	EWB00_004148	KAK4473001.1, KAK4473011.1
OG0001740	EWB00_000764	KAK4469854.1
OG0001741	EWB00_000113.2	KAK4475742.1
OG0001741	EWB00_000113.1	KAK4467456.1
OG0001742	EWB00_009309	KAK4469913.1
OG0001743	EWB00_005069.1, EWB00_005069.2	KAK4468437.1
OG0001744	EWB00_008931.1, EWB00_008931.2, EWB00_008931.3, EWB00_008931.5, EWB00_008931.4	KAK4471501.1
OG0001745	EWB00_001325	KAK4472806.1
OG0001746	EWB00_008300	KAK4468263.1
OG0001747	EWB00_010827	KAK4475909.1
OG0001748	EWB00_009580	KAK4472108.1
OG0001749	EWB00_008038.2, EWB00_008038.1, EWB00_008038.3	KAK4472984.1
OG0001750	EWB00_004829.1, EWB00_004829.2, EWB00_004830	KAK4475699.1
OG0001751	EWB00_005046.1, EWB00_005046.2	KAK4472971.1
OG0001752	EWB00_009191.1, EWB00_009191.2	KAK4476299.1
OG0001753	EWB00_004195	KAK4474597.1
OG0001754	EWB00_003866	KAK4472010.1
OG0001755	EWB00_009019.3, EWB00_009019.4, EWB00_009019.5, EWB00_009019.1, EWB00_009019.2	KAK4475689.1
OG0001756	EWB00_005339.4, EWB00_005339.2, EWB00_005339.7, EWB00_005339.3, EWB00_005339.1, EWB00_005339.5, EWB00_005339.6	KAK4469397.1
