Orthogroup	schistosoma_japonicum	schistosoma_turkestanicum
OG0000020	EWB00_004966, EWB00_000449, EWB00_001690, EWB00_000357, EWB00_000358, EWB00_000380, EWB00_000381, EWB00_000448	STRK1_89440.1, STRK1_110730.1, STRK1_89420.1, STRK1_89430.1, STRK1_89430.2, STRK1_53450.1, STRK1_95860.1, STRK1_95860.2, STRK1_53460.1, STRK1_53460.2, STRK1_101150.1, STRK1_101150.2, STRK1_101150.3, STRK1_89410.1, STRK1_89590.1, STRK1_89400.1, STRK1_82850.1, STRK1_95870.1, STRK1_82890.1, STRK1_105740.1, STRK1_62050.1, STRK1_62050.2, STRK1_82970.1, STRK1_82860.1, STRK1_82860.2, STRK1_83010.1, STRK1_83030.1, STRK1_103050.1, STRK1_82880.1, STRK1_82870.1, STRK1_82870.2, STRK1_83050.1, STRK1_83050.2, STRK1_82940.1, STRK1_82960.1, STRK1_82960.2, STRK1_82930.1, STRK1_83060.1, STRK1_82990.1, STRK1_96010.1, STRK1_82910.1, STRK1_83000.1, STRK1_99060.1, STRK1_99060.2, STRK1_83040.1, STRK1_82980.1, STRK1_82980.2, STRK1_106490.1, STRK1_95440.1, STRK1_95440.2
OG0000021	EWB00_010539	STRK1_12640.1
OG0000021	EWB00_002053.3, EWB00_002053.2, EWB00_002053.4, EWB00_002053.1	STRK1_3460.1
OG0000021	EWB00_010822	STRK1_3470.1
OG0000021	EWB00_002049	STRK1_3440.1
OG0000021	EWB00_002052, EWB00_002051.2, EWB00_002051.3, EWB00_002051.1	STRK1_3450.1
OG0000021	EWB00_002048.1, EWB00_002048.2, EWB00_002048.3	STRK1_3430.1
OG0000022	EWB00_007015.2, EWB00_007015.1, EWB00_007015.3	STRK1_25560.1, STRK1_25560.2
OG0000023	EWB00_008435	STRK1_18830.1, STRK1_109670.1, STRK1_66810.1, STRK1_10470.1, STRK1_78320.1, STRK1_103420.1, STRK1_110510.1, STRK1_76590.1, STRK1_94860.1, STRK1_59810.1, STRK1_90750.1, STRK1_21690.1
OG0000024	EWB00_007079	STRK1_22140.1
