Orthogroup	schistosoma_japonicum	schistosoma_turkestanicum
OG0000626	EWB00_000746, EWB00_000745	STRK1_48800.1
OG0000627	EWB00_000167, EWB00_002190	STRK1_5540.1, STRK1_5540.2, STRK1_5540.3
OG0000628	EWB00_011095.1, EWB00_011095.2	STRK1_60390.1, STRK1_60390.2
OG0000629	EWB00_009522, EWB00_006221	STRK1_28610.1
OG0000630	EWB00_005268.2, EWB00_005268.1, EWB00_005268.3, EWB00_005268.4, EWB00_005268.5	STRK1_57470.1
OG0000631	EWB00_008869.1, EWB00_008869.2	STRK1_58990.1
OG0000631	EWB00_011103, EWB00_011102	STRK1_60430.1
OG0000632	EWB00_002685	STRK1_11850.1
OG0000633	EWB00_010638	STRK1_46900.1
OG0000636	EWB00_000571.1, EWB00_000571.2	STRK1_90940.1
OG0000637	EWB00_007605.1, EWB00_007605.2	STRK1_49610.1, STRK1_49610.2
OG0000638	EWB00_008903, EWB00_008904	STRK1_58720.1
OG0000639	EWB00_001158	STRK1_65490.1
OG0000640	EWB00_004497	STRK1_81880.1
OG0000641	EWB00_005331, EWB00_011086.3, EWB00_010148, EWB00_011086.1, EWB00_011086.2, EWB00_011086.4	STRK1_5970.1
OG0000643	EWB00_003546.3, EWB00_003546.1, EWB00_003546.2	STRK1_46480.1, STRK1_46480.3, STRK1_46480.4, STRK1_46480.7, STRK1_46480.2, STRK1_46480.5, STRK1_46480.6
OG0000643	EWB00_003547.2, EWB00_003547.3, EWB00_003547.1	STRK1_46470.1, STRK1_46470.2
OG0000645	EWB00_009473.1, EWB00_009473.2	STRK1_9750.1
OG0000646	EWB00_003065.2, EWB00_003065.3, EWB00_003065.1	STRK1_12060.1
OG0000647	EWB00_000545.3, EWB00_000545.6, EWB00_000545.1, EWB00_000545.2, EWB00_000545.5, EWB00_000545.4	STRK1_61240.1
OG0000648	EWB00_004964	STRK1_89640.1, STRK1_108500.1, STRK1_110830.1
OG0000649	EWB00_006577	STRK1_57820.1, STRK1_97850.1, STRK1_57810.1
OG0000650	EWB00_004553.2, EWB00_004553.1	STRK1_74790.1, STRK1_74800.1
OG0000651	EWB00_008758	STRK1_41900.1, STRK1_41880.1
OG0000652	EWB00_003930.1, EWB00_003930.2, EWB00_003930.3	STRK1_35180.1
OG0000653	EWB00_007802	STRK1_38880.1, STRK1_38890.1, STRK1_38890.2
OG0000654	EWB00_005929.2, EWB00_005929.3, EWB00_005929.1, EWB00_005929.5, EWB00_005929.4	STRK1_27750.2, STRK1_27750.4, STRK1_27750.3, STRK1_27750.1
OG0000655	EWB00_000149	STRK1_79640.1
OG0000656	EWB00_010547.1, EWB00_010547.2, EWB00_010547.3	STRK1_72250.1
OG0000657	EWB00_001860.1, EWB00_001860.2	STRK1_86300.1
OG0000659	EWB00_009331	STRK1_41670.1
OG0000663	EWB00_003146	STRK1_32940.1
OG0000664	EWB00_004155	STRK1_13220.3, STRK1_13220.1, STRK1_13220.2
OG0000665	EWB00_006628.2, EWB00_006628.3, EWB00_006628.1	STRK1_71810.1
OG0000666	EWB00_001159.3, EWB00_001159.1, EWB00_001159.2, EWB00_001159.4	STRK1_65480.1, STRK1_65480.2
OG0000667	EWB00_008456.2, EWB00_008456.1	STRK1_5720.10, STRK1_5720.11, STRK1_5720.8, STRK1_5720.7, STRK1_5720.6, STRK1_5720.1, STRK1_5720.4, STRK1_5720.5, STRK1_5720.2, STRK1_5720.3, STRK1_5720.9
OG0000668	EWB00_010649	STRK1_46820.1
OG0000669	EWB00_006275	STRK1_101300.1, STRK1_65750.1, STRK1_65750.2
OG0000670	EWB00_001008.8, EWB00_001008.5, EWB00_001008.1, EWB00_001008.2, EWB00_001008.4, EWB00_001008.6, EWB00_001008.7, EWB00_001008.3	STRK1_42860.2, STRK1_42860.1
OG0000671	EWB00_011016	STRK1_71160.1
OG0000672	EWB00_008803	STRK1_41990.3, STRK1_41990.1, STRK1_41990.2
OG0000673	EWB00_003113.3, EWB00_003113.1, EWB00_003113.2	STRK1_14940.1
OG0000674	EWB00_007398	STRK1_72430.1
OG0000675	EWB00_002750	STRK1_69980.1
OG0000676	EWB00_000145.1, EWB00_000145.2	STRK1_79710.1
OG0000677	EWB00_006281	STRK1_6960.1, STRK1_6960.2
OG0000678	EWB00_003399	STRK1_35440.1
OG0000679	EWB00_002723	STRK1_69990.1, STRK1_69990.2, STRK1_69990.3, STRK1_69990.6, STRK1_69990.7, STRK1_69990.4, STRK1_69990.5
OG0000680	EWB00_007650.3, EWB00_007650.1, EWB00_007650.2	STRK1_14240.1
OG0000681	EWB00_008171	STRK1_35810.1, STRK1_35820.1
OG0000682	EWB00_006378.1, EWB00_006378.2	STRK1_40930.1
OG0000683	EWB00_002223.1, EWB00_002223.3, EWB00_002223.2	STRK1_97380.1
OG0000684	EWB00_009748, EWB00_004484.1, EWB00_004484.2, EWB00_004484.3, EWB00_004484.4, EWB00_004484.5, EWB00_004484.6, EWB00_004484.7, EWB00_004484.8	STRK1_81790.1
OG0000685	EWB00_001176.4, EWB00_001176.3, EWB00_001176.1, EWB00_001176.2	STRK1_72060.1
OG0000686	EWB00_007957.1, EWB00_007957.2, EWB00_007957.3	STRK1_58120.1
OG0000687	EWB00_005020.3, EWB00_005020.1, EWB00_005020.2	STRK1_25970.1
OG0000688	EWB00_010232.1, EWB00_010232.3, EWB00_010232.2	STRK1_111400.1, STRK1_80900.1, STRK1_80900.3, STRK1_80900.2
OG0000689	EWB00_007577.1, EWB00_007577.2	STRK1_17190.1, STRK1_17190.2
OG0000690	EWB00_007561.1, EWB00_007561.2	STRK1_107560.1, STRK1_21480.1
OG0000692	EWB00_000073.1, EWB00_000073.5, EWB00_000073.6, EWB00_000073.7, EWB00_000073.9, EWB00_000073.4, EWB00_000073.3, EWB00_000073.8, EWB00_000073.2	STRK1_14080.3, STRK1_14080.5, STRK1_14080.1, STRK1_14080.2, STRK1_14080.4, STRK1_14080.6
OG0000695	EWB00_006635	STRK1_92340.1
OG0000695	EWB00_004741.1, EWB00_004741.2	STRK1_43260.1, STRK1_104100.1
OG0000696	EWB00_006308.1, EWB00_006308.2, EWB00_006308.3, EWB00_006308.4	STRK1_15230.4, STRK1_15230.2, STRK1_15230.1, STRK1_15230.3, STRK1_15230.5
OG0000697	EWB00_003926	STRK1_35220.1, STRK1_100100.1, STRK1_101490.1
OG0000698	EWB00_006456	STRK1_4330.1, STRK1_4330.2
OG0000699	EWB00_002135.2, EWB00_002135.1, EWB00_002135.3	STRK1_34270.1, STRK1_34260.1
OG0000699	EWB00_000170	STRK1_43850.1
OG0000700	EWB00_002860	STRK1_24520.1
OG0000700	EWB00_002862	STRK1_24510.1, STRK1_24500.1
OG0000701	EWB00_011329.2, EWB00_011329.1, EWB00_011329.4, EWB00_011329.3	STRK1_60100.1, STRK1_60100.2
OG0000702	EWB00_008044.2, EWB00_008044.1, EWB00_008044.3	STRK1_102260.1, STRK1_106980.1, STRK1_83560.1
OG0000703	EWB00_010218	STRK1_108920.1, STRK1_101270.1, STRK1_91410.1
OG0000704	EWB00_010719.1, EWB00_010719.3, EWB00_010719.2, EWB00_010719.4, EWB00_010719.6, EWB00_010719.5	STRK1_51000.1, STRK1_51000.2
OG0000705	EWB00_008978	STRK1_3680.1, STRK1_3680.2, STRK1_3680.3
OG0000706	EWB00_001799.2, EWB00_001799.1, EWB00_001799.3	STRK1_40610.1
OG0000706	EWB00_006800.1, EWB00_006800.3, EWB00_006800.2	STRK1_46730.1, STRK1_46730.2
OG0000707	EWB00_003028.1, EWB00_003028.4, EWB00_003028.3, EWB00_003028.2	STRK1_90300.1
OG0000708	EWB00_001278	STRK1_27880.1, STRK1_27880.2, STRK1_27880.3
OG0000709	EWB00_009252.1, EWB00_009252.3, EWB00_009252.2	STRK1_40300.3, STRK1_40300.1, STRK1_40300.2
OG0000710	EWB00_008709.4, EWB00_008709.5, EWB00_008709.2, EWB00_008709.1, EWB00_008709.3	STRK1_12920.1
OG0000711	EWB00_008229.1, EWB00_008229.2	STRK1_73610.1
OG0000712	EWB00_010618	STRK1_47060.1
OG0000713	EWB00_007358	STRK1_106160.1, STRK1_106160.4, STRK1_106160.5, STRK1_106160.3, STRK1_106160.2
OG0000714	EWB00_004030.2, EWB00_004030.1, EWB00_004030.3	STRK1_44320.1
OG0000715	EWB00_001149.4, EWB00_001149.1, EWB00_001149.2, EWB00_001149.3	STRK1_25380.1
OG0000716	EWB00_008444	STRK1_10990.1
OG0000717	EWB00_011258.1, EWB00_011258.2	STRK1_57330.1
OG0000718	EWB00_008239.3, EWB00_008239.1, EWB00_008239.2	STRK1_74460.1
OG0000719	EWB00_002222	STRK1_110850.1, STRK1_54590.1, STRK1_95370.1, STRK1_95380.1
OG0000720	EWB00_003891	STRK1_70930.4, STRK1_70930.1, STRK1_70930.3, STRK1_70930.2
OG0000721	EWB00_003628.1, EWB00_003628.2	STRK1_43410.1
OG0000722	EWB00_006294	STRK1_15320.1
OG0000723	EWB00_011015.2, EWB00_011015.3, EWB00_011015.5, EWB00_011015.1, EWB00_011015.4, EWB00_011015.6	STRK1_71170.1
OG0000724	EWB00_008763	STRK1_41800.1
OG0000725	EWB00_009002.1, EWB00_009002.2	STRK1_103760.1, STRK1_70860.1
OG0000726	EWB00_006031.2, EWB00_006031.1, EWB00_006031.3	STRK1_30170.1
OG0000726	EWB00_006030	STRK1_30160.1
OG0000727	EWB00_009537.1, EWB00_009537.2	STRK1_28700.1, STRK1_47990.1
OG0000728	EWB00_010704	STRK1_50850.1
OG0000729	EWB00_003072	STRK1_12130.1
OG0000730	EWB00_007961.2, EWB00_007961.1, EWB00_007961.3	STRK1_58150.1, STRK1_58150.2, STRK1_58150.3, STRK1_58150.4
OG0000731	EWB00_010974.1, EWB00_010974.2	STRK1_22860.1, STRK1_73080.1
OG0000733	EWB00_007581.1, EWB00_007581.2	STRK1_17230.1
OG0000736	EWB00_007389	STRK1_72540.3, STRK1_72540.2, STRK1_72540.1
OG0000737	EWB00_000803.1, EWB00_000803.2	STRK1_9250.1
OG0000738	EWB00_001605	STRK1_67660.1
OG0000739	EWB00_005150.4, EWB00_005150.1, EWB00_005150.2, EWB00_005150.3	STRK1_53030.1, STRK1_105530.1, STRK1_106440.1
OG0000740	EWB00_010848	STRK1_12560.1
OG0000741	EWB00_007304.1, EWB00_007304.2	STRK1_81500.1
OG0000743	EWB00_005764.1, EWB00_005764.2	STRK1_21110.1
OG0000744	EWB00_000869.3, EWB00_000869.2, EWB00_000869.1	STRK1_16570.1
OG0000745	EWB00_003153	STRK1_32980.1, STRK1_32980.2
OG0000746	EWB00_011315.7, EWB00_011315.8, EWB00_011315.4, EWB00_011315.6, EWB00_011315.9, EWB00_011315.1, EWB00_011315.2, EWB00_011315.3	STRK1_59980.1
OG0000747	EWB00_006392.3, EWB00_006392.2, EWB00_006392.1	STRK1_102920.1
OG0000748	EWB00_003887.1, EWB00_003887.3, EWB00_003887.4, EWB00_003887.5, EWB00_003887.6, EWB00_003887.2	STRK1_68020.1, STRK1_68030.1
OG0000749	EWB00_009166	STRK1_68230.1
OG0000750	EWB00_011039	STRK1_75670.1
OG0000751	EWB00_006311	STRK1_15190.1, STRK1_15200.1
OG0000751	EWB00_004239	STRK1_17510.1, STRK1_17530.1
OG0000752	EWB00_007429.1, EWB00_007429.2	STRK1_93720.1
OG0000752	EWB00_007419	STRK1_93670.1
OG0000753	EWB00_007023.1, EWB00_007023.2	STRK1_80660.1
OG0000754	EWB00_004424.1, EWB00_004424.2, EWB00_004424.3, EWB00_004424.5, EWB00_004424.4	STRK1_48550.1, STRK1_48550.2
OG0000755	EWB00_010556	STRK1_72320.1, STRK1_72320.2
OG0000756	EWB00_006212.1, EWB00_006212.2, EWB00_006212.3	STRK1_37120.1
OG0000757	EWB00_010635	STRK1_46930.1
OG0000759	EWB00_010667	STRK1_47330.1, STRK1_47330.2, STRK1_47330.3
OG0000760	EWB00_001260	STRK1_76420.1, STRK1_76420.2
OG0000761	EWB00_006472.3, EWB00_006472.1, EWB00_006472.2, EWB00_006472.4	STRK1_51620.1
OG0000762	EWB00_004406.1, EWB00_004406.2	STRK1_79480.1, STRK1_79480.2
OG0000762	EWB00_007520.1, EWB00_007520.2, EWB00_007520.3	STRK1_85020.1
OG0000763	EWB00_010343.3, EWB00_010343.1, EWB00_010343.2	STRK1_17860.1, STRK1_17860.2, STRK1_17870.1
OG0000764	EWB00_003057	STRK1_11990.2, STRK1_11990.1, STRK1_11990.3
OG0000765	EWB00_010665.1, EWB00_010665.3, EWB00_010665.2	STRK1_47300.1, STRK1_47300.2
OG0000765	EWB00_010666	STRK1_47310.1
OG0000766	EWB00_007134, EWB00_007139.1, EWB00_007139.2	STRK1_64360.1
OG0000767	EWB00_010512.1, EWB00_010512.2	STRK1_62430.1, STRK1_97630.1
OG0000768	EWB00_003947.5, EWB00_003947.2, EWB00_003947.4, EWB00_003947.6, EWB00_003947.3, EWB00_003947.1, EWB00_003947.7	STRK1_38340.1
OG0000769	EWB00_004642	STRK1_19790.1, STRK1_110020.2, STRK1_54250.2, STRK1_110020.1, STRK1_54250.6, STRK1_54250.1, STRK1_54250.7, STRK1_54250.5, STRK1_54250.4, STRK1_54250.3
OG0000770	EWB00_000605.3, EWB00_000605.1, EWB00_000605.2	STRK1_4150.1
OG0000771	EWB00_010596.1, EWB00_010596.2	STRK1_76540.1, STRK1_76550.1, STRK1_76530.1, STRK1_76510.1
OG0000772	EWB00_007638	STRK1_91480.1, STRK1_91460.1, STRK1_91490.1, STRK1_103820.1, STRK1_96580.1
OG0000773	EWB00_000303.1, EWB00_000303.2	STRK1_22450.1, STRK1_22450.3, STRK1_22450.4, STRK1_22450.2
OG0000774	EWB00_008560.1, EWB00_008560.2	STRK1_45160.1, STRK1_45160.3, STRK1_45160.2, STRK1_45160.4
OG0000775	EWB00_006506	STRK1_51890.1, STRK1_51890.2
OG0000776	EWB00_003632.1, EWB00_003632.2, EWB00_003632.3	STRK1_43430.1
OG0000776	EWB00_005129.1, EWB00_005129.2, EWB00_005129.3, EWB00_005129.4, EWB00_005131	STRK1_53190.1
OG0000777	EWB00_006815, EWB00_006816	STRK1_46620.1
OG0000778	EWB00_007548.1, EWB00_007548.2, EWB00_007549	STRK1_105300.1, STRK1_102510.1
OG0000779	EWB00_009077	STRK1_16550.1
OG0000780	EWB00_002317	STRK1_4770.1
OG0000781	EWB00_009388	STRK1_10550.1
OG0000781	EWB00_003590	STRK1_80860.1
OG0000782	EWB00_010893	STRK1_32050.1, STRK1_32050.2
OG0000783	EWB00_008411.1, EWB00_008411.4, EWB00_008411.2, EWB00_008411.3	STRK1_97490.2, STRK1_97490.1, STRK1_100560.1, STRK1_97610.1
OG0000784	EWB00_002586.1, EWB00_002586.2	STRK1_32120.1
OG0000785	EWB00_011250, EWB00_011248	STRK1_57390.1
OG0000786	EWB00_007803.1, EWB00_007803.2	STRK1_38870.1
OG0000787	EWB00_002246, EWB00_005725, EWB00_002247.1, EWB00_002247.2, EWB00_002247.3	STRK1_93530.1
OG0000787	EWB00_003865	STRK1_57600.1
OG0000789	EWB00_000269	STRK1_22630.1, STRK1_22630.2
OG0000790	EWB00_006178.2, EWB00_006178.1, EWB00_006178.3	STRK1_37750.1
OG0000791	EWB00_006403	STRK1_41080.1, STRK1_41080.2
OG0000792	EWB00_006328.2, EWB00_006328.1, EWB00_006328.4, EWB00_006328.3	STRK1_3290.1, STRK1_3290.2
OG0000793	EWB00_003428.1, EWB00_003428.2, EWB00_003428.3	STRK1_37070.2, STRK1_37070.1, STRK1_37070.3
OG0000794	EWB00_000465	STRK1_95980.1, STRK1_20360.1, STRK1_20360.2
OG0000795	EWB00_005844	STRK1_93200.3, STRK1_93200.1, STRK1_93200.2
OG0000796	EWB00_010273	STRK1_39650.1, STRK1_3040.1, STRK1_3050.1
OG0000796	EWB00_010274	STRK1_3020.1
OG0000797	EWB00_010326.1, EWB00_010326.2	STRK1_100960.1, STRK1_18180.1
OG0000798	EWB00_010249.3, EWB00_010249.2, EWB00_010249.1	STRK1_760.3, STRK1_760.7, STRK1_760.4, STRK1_760.8, STRK1_760.5, STRK1_760.9, STRK1_760.10, STRK1_760.6, STRK1_760.2, STRK1_760.1
OG0000799	EWB00_009828	STRK1_64610.1, STRK1_64610.3, STRK1_64610.2
OG0000800	EWB00_009622.1, EWB00_009622.2	STRK1_9410.1
OG0000801	EWB00_004124.2, EWB00_004124.1, EWB00_004124.3	STRK1_2940.3, STRK1_2940.4, STRK1_2940.1, STRK1_2940.2
OG0000802	EWB00_004540.1, EWB00_004540.3, EWB00_004540.4, EWB00_004540.2, EWB00_004540.5, EWB00_004540.6	STRK1_71570.1, STRK1_71570.2
OG0000802	EWB00_010034.3, EWB00_010034.1, EWB00_010034.2	STRK1_56240.1
OG0000803	EWB00_008177	STRK1_104730.1, STRK1_106760.1
OG0000804	EWB00_007663.1, EWB00_007663.2	STRK1_39420.1
OG0000805	EWB00_004312	STRK1_31190.1
OG0000806	EWB00_003447.1, EWB00_003447.2, EWB00_003447.3	STRK1_72740.1
OG0000807	EWB00_009187.1, EWB00_009187.2, EWB00_009187.3, EWB00_009187.4, EWB00_009187.5, EWB00_009187.6, EWB00_009187.7	STRK1_9170.1, STRK1_9170.2, STRK1_9170.3
OG0000808	EWB00_005876	STRK1_91870.1
OG0000808	EWB00_005875.2	STRK1_91880.1
OG0000809	EWB00_000329.1, EWB00_000329.2	STRK1_85160.1
OG0000810	EWB00_004213.1, EWB00_004213.3, EWB00_004213.2	STRK1_104610.1, STRK1_104610.3, STRK1_104610.2
OG0000811	EWB00_011073	STRK1_10330.1
OG0000812	EWB00_008335.1, EWB00_008335.2	STRK1_7770.1, STRK1_7770.2, STRK1_7770.3
OG0000813	EWB00_005286	STRK1_83220.1, STRK1_83220.2
OG0000814	EWB00_009225.1, EWB00_009225.2	STRK1_103430.1, STRK1_63960.2, STRK1_63960.1, STRK1_63960.3
OG0000815	EWB00_003863.1, EWB00_003863.2	STRK1_104180.1, STRK1_57590.1, STRK1_99890.1
OG0000816	EWB00_009447, EWB00_008278	STRK1_81000.1
OG0000817	EWB00_004470	STRK1_98380.1, STRK1_54860.1
OG0000818	EWB00_009403.1, EWB00_009403.2, EWB00_009403.3	STRK1_10780.1, STRK1_10780.2, STRK1_10780.4, STRK1_10780.5, STRK1_10780.6, STRK1_10780.8, STRK1_10780.3, STRK1_10780.7
OG0000819	EWB00_010495.1, EWB00_010495.2, EWB00_010495.3	STRK1_62630.1
OG0000820	EWB00_004486	STRK1_81800.1, STRK1_81800.2
OG0000820	EWB00_003355.1, EWB00_003355.2, EWB00_003355.3	STRK1_23730.1
OG0000821	EWB00_008746.2, EWB00_008746.1, EWB00_008746.3	STRK1_50080.1
OG0000822	EWB00_008230	STRK1_73600.1, STRK1_73600.4, STRK1_73600.3, STRK1_73600.2
OG0000823	EWB00_005403.1, EWB00_005403.2	STRK1_47700.1
OG0000824	EWB00_007317.1, EWB00_007317.2, EWB00_007317.4, EWB00_007317.3	STRK1_17020.4, STRK1_17020.3, STRK1_17020.1, STRK1_17020.2
OG0000825	EWB00_002017, EWB00_002019	STRK1_74020.1, STRK1_74030.1
OG0000826	EWB00_002201.1, EWB00_002201.2	STRK1_54850.1, STRK1_54850.2, STRK1_109910.1, STRK1_109920.1
OG0000827	EWB00_010545	STRK1_72230.1
OG0000827	EWB00_004515, EWB00_004516	STRK1_72220.1
OG0000828	EWB00_000819	STRK1_88370.1, STRK1_88390.1, STRK1_88380.1, STRK1_88400.1, STRK1_88420.1
OG0000829	EWB00_005456.1, EWB00_005456.2, EWB00_005456.3, EWB00_005456.4	STRK1_2380.12, STRK1_2380.7, STRK1_2380.1, STRK1_2380.10, STRK1_2380.11, STRK1_2380.2, STRK1_2380.3, STRK1_2380.8, STRK1_2380.9, STRK1_2380.4, STRK1_2380.5, STRK1_2380.6
OG0000830	EWB00_004754.3, EWB00_004754.1, EWB00_004754.4, EWB00_004754.2	STRK1_50330.1, STRK1_50330.2
OG0000831	EWB00_002810.1, EWB00_002810.2	STRK1_37510.1
OG0000832	EWB00_011283.3, EWB00_011283.2, EWB00_011283.4, EWB00_011283.1	STRK1_61620.1
OG0000833	EWB00_002934.2, EWB00_002934.1, EWB00_002934.3	STRK1_34520.1, STRK1_108200.1, STRK1_108830.1, STRK1_34530.1
OG0000834	EWB00_008087	STRK1_50450.1
OG0000835	EWB00_003152	STRK1_32970.1
OG0000836	EWB00_001297.1, EWB00_001297.2	STRK1_33660.1
OG0000837	EWB00_003416, EWB00_003417.1, EWB00_003417.2	STRK1_31460.1
OG0000838	EWB00_006200.2, EWB00_006200.1, EWB00_006200.3, EWB00_006201	STRK1_41360.1
OG0000839	EWB00_005620.1, EWB00_005620.2	STRK1_28880.1
OG0000840	EWB00_007917	STRK1_68290.1, STRK1_68290.4, STRK1_68290.5, STRK1_68290.2, STRK1_68290.3, STRK1_68290.6
OG0000841	EWB00_002518	STRK1_18580.1
OG0000842	EWB00_009854.2, EWB00_009854.4, EWB00_009854.1, EWB00_009854.3	STRK1_64860.1, STRK1_64860.2
OG0000843	EWB00_001496.1, EWB00_001496.2	STRK1_80160.1
OG0000844	EWB00_006284.1, EWB00_006284.2	STRK1_15410.1
OG0000845	EWB00_001912.1, EWB00_001912.2	STRK1_86760.1, STRK1_86780.2, STRK1_86780.3
OG0000846	EWB00_007643	STRK1_14300.1
OG0000847	EWB00_007998.1, EWB00_007998.2	STRK1_630.1
OG0000848	EWB00_008166.1, EWB00_008166.2	STRK1_35750.1
OG0000849	EWB00_006196.1, EWB00_006196.2, EWB00_006196.3	STRK1_41300.1
OG0000850	EWB00_002852.3, EWB00_002852.2, EWB00_002852.1	STRK1_25410.1
OG0000851	EWB00_000328.1, EWB00_000328.2, EWB00_000328.3	STRK1_85150.1
OG0000852	EWB00_005534.1, EWB00_005534.2	STRK1_10150.1, STRK1_10150.2
OG0000853	EWB00_007019.2, EWB00_007019.1, EWB00_007019.3	STRK1_80620.1
OG0000854	EWB00_001300	STRK1_33650.1, STRK1_33650.3, STRK1_33650.2
OG0000855	EWB00_002162.3, EWB00_002162.1, EWB00_002162.2	STRK1_48230.1
OG0000856	EWB00_007570	STRK1_17120.1
OG0000857	EWB00_004833	STRK1_16050.3, STRK1_16050.1, STRK1_16050.2
OG0000858	EWB00_000114	STRK1_15710.1
OG0000859	EWB00_007615.2, EWB00_007615.1	STRK1_49670.1
OG0000860	EWB00_006576	STRK1_57860.1
OG0000860	EWB00_007725.1, EWB00_007725.2, EWB00_007725.3	STRK1_59520.1, STRK1_59520.2, STRK1_59520.3, STRK1_59520.4
OG0000861	EWB00_008437.3, EWB00_008437.4, EWB00_008437.5, EWB00_008437.1, EWB00_008437.2, EWB00_008437.6	STRK1_10970.1
OG0000862	EWB00_006009.2, EWB00_006009.4, EWB00_006009.1, EWB00_006009.3	STRK1_30020.1, STRK1_30020.2
OG0000863	EWB00_007798	STRK1_7140.1, STRK1_7140.2, STRK1_7140.3
OG0000864	EWB00_003909.1, EWB00_003909.2, EWB00_003909.3, EWB00_003909.4	STRK1_103370.1
OG0000865	EWB00_002940	STRK1_34470.3, STRK1_34470.2, STRK1_34470.1
OG0000866	EWB00_010228.1, EWB00_010228.2	STRK1_140.1, STRK1_150.1
OG0000867	EWB00_008671	STRK1_7010.1, STRK1_7010.2, STRK1_7010.3
OG0000868	EWB00_007500, EWB00_007483, EWB00_010377	STRK1_76500.1, STRK1_96400.1, STRK1_95670.1, STRK1_95850.1, STRK1_95840.1, STRK1_105940.1, STRK1_77900.3, STRK1_77900.1, STRK1_77900.2, STRK1_77920.1, STRK1_77910.1
OG0000869	EWB00_004947.5, EWB00_004947.7, EWB00_004947.1, EWB00_004947.3, EWB00_004947.4, EWB00_004947.6, EWB00_004947.2	STRK1_85730.1
OG0000870	EWB00_005673, EWB00_005672	STRK1_450.1, STRK1_450.2
OG0000871	EWB00_003295.3, EWB00_003295.2, EWB00_003295.1	STRK1_27310.1
OG0000872	EWB00_009021	STRK1_16180.1
OG0000873	EWB00_005288.2, EWB00_005288.1, EWB00_005288.3	STRK1_83310.1
OG0000874	EWB00_006372.1, EWB00_006372.2, EWB00_006372.3	STRK1_95650.1, STRK1_40860.1
OG0000875	EWB00_007733.1, EWB00_007733.2, EWB00_007733.3	STRK1_59640.1, STRK1_59640.2, STRK1_59640.3, STRK1_59640.4
OG0000876	EWB00_007060	STRK1_22320.1
OG0000877	EWB00_007792.1, EWB00_007792.2, EWB00_007792.3, EWB00_007792.4	STRK1_7070.1, STRK1_7070.2, STRK1_7070.3, STRK1_7070.4, STRK1_7070.5
OG0000878	EWB00_005455	STRK1_2390.1, STRK1_2390.2
OG0000879	EWB00_005194, EWB00_005192	STRK1_55510.1, STRK1_55490.1, STRK1_55490.2, STRK1_55490.3, STRK1_55490.4, STRK1_55500.1
OG0000880	EWB00_002259	STRK1_76970.1, STRK1_76970.2
OG0000881	EWB00_000111	STRK1_15690.1
OG0000881	EWB00_003254	STRK1_88240.1
OG0000882	EWB00_002390	STRK1_20400.1, STRK1_20410.1
OG0000882	EWB00_003934	STRK1_38440.1
OG0000883	EWB00_003933	STRK1_38430.1
OG0000884	EWB00_006173.1, EWB00_006173.2, EWB00_006173.3	STRK1_109770.1, STRK1_37800.1
OG0000885	EWB00_005106, EWB00_011234, EWB00_008306, EWB00_005490	STRK1_91430.1, STRK1_91440.1
OG0000886	EWB00_007925.3, EWB00_007925.4, EWB00_007925.5, EWB00_007925.6, EWB00_007925.1, EWB00_007925.2	STRK1_68450.1
OG0000887	EWB00_010345.3, EWB00_010345.1, EWB00_010345.2	STRK1_17830.1, STRK1_17840.1
OG0000888	EWB00_001255	STRK1_76360.1
OG0000888	EWB00_001258, EWB00_001257	STRK1_76370.1, STRK1_76380.1
OG0000889	EWB00_003369	STRK1_23850.1
OG0000890	EWB00_007984.1, EWB00_007984.2, EWB00_007984.3	STRK1_39050.1
OG0000891	EWB00_001282.1, EWB00_001282.2, EWB00_001282.4, EWB00_001282.3	STRK1_33790.1, STRK1_33790.2, STRK1_33790.5, STRK1_33790.3, STRK1_33790.4
OG0000892	EWB00_003556	STRK1_46410.1
OG0000894	EWB00_000728	STRK1_98410.1, STRK1_84590.1
OG0000895	EWB00_004915	STRK1_72490.1, STRK1_39900.1, STRK1_108570.1
OG0000896	EWB00_006414, EWB00_006410, EWB00_006413	STRK1_19450.1, STRK1_19460.1
OG0000897	EWB00_000466.1, EWB00_000466.2	STRK1_95970.1, STRK1_9480.1, STRK1_100290.1, STRK1_9480.2
OG0000898	EWB00_002760.1, EWB00_002760.2	STRK1_104150.1, STRK1_69880.1
OG0000899	EWB00_009349.1, EWB00_009349.2, EWB00_009349.3	STRK1_5240.1
OG0000900	EWB00_000867.4, EWB00_000867.1, EWB00_000867.2, EWB00_000867.3	STRK1_68280.3, STRK1_68280.1, STRK1_68280.2
OG0000902	EWB00_002217	STRK1_54690.1, STRK1_54690.2
OG0000903	EWB00_006459.1, EWB00_006459.4, EWB00_006459.3, EWB00_006459.2	STRK1_4350.1, STRK1_4350.2
OG0000904	EWB00_008265.1, EWB00_008265.3, EWB00_008265.2	STRK1_6830.1
OG0000905	EWB00_002656	STRK1_77620.1
OG0000906	EWB00_010433	STRK1_107510.1, STRK1_63610.1, STRK1_32560.1
OG0000907	EWB00_007247.3, EWB00_007247.1, EWB00_007247.2, EWB00_007247.4	STRK1_73730.1
OG0000908	EWB00_005038.1, EWB00_005038.2	STRK1_26120.1
OG0000908	EWB00_005040.1, EWB00_005039, EWB00_005040.2, EWB00_005040.3	STRK1_26130.2, STRK1_26130.3, STRK1_26130.5, STRK1_26130.1, STRK1_26140.1, STRK1_26130.4
OG0000908	EWB00_005037	STRK1_26110.1
