Orthogroup	schistosoma_haematobium	schistosoma_margrebowiei
OG0000002	SHAE2_77780.2, SHAE2_77780.3, SHAE2_77780.1, SHAE2_56500.1, SHAE2_11440.1, SHAE2_11440.2, SHAE2_11440.3, SHAE2_64990.3, SHAE2_64990.2, SHAE2_64990.4, SHAE2_64990.6, SHAE2_64990.7, SHAE2_64990.8, SHAE2_64980.1, SHAE2_64990.1, SHAE2_64990.10, SHAE2_64990.5, SHAE2_64990.9, SHAE2_62130.1, SHAE2_62130.2, SHAE2_77790.1	SMRG1_32870.1, SMRG1_91560.1, SMRG1_91560.2, SMRG1_91560.3, SMRG1_91560.4, SMRG1_91560.5, SMRG1_91560.6, SMRG1_91560.7, SMRG1_91570.1, SMRG1_34740.1, SMRG1_34740.10, SMRG1_34740.12, SMRG1_34740.13, SMRG1_34740.2, SMRG1_34740.3, SMRG1_34740.4, SMRG1_34740.5, SMRG1_34740.6, SMRG1_34740.7, SMRG1_34740.8, SMRG1_34740.9, SMRG1_34750.1, SMRG1_72800.1, SMRG1_72800.2, SMRG1_72800.3, SMRG1_72800.4, SMRG1_72800.5, SMRG1_72800.6, SMRG1_89490.1, SMRG1_89490.2
OG0000003	SHAE2_20960.1, SHAE2_24270.4, SHAE2_24270.6, SHAE2_64480.1, SHAE2_64480.2, SHAE2_64480.4, SHAE2_64480.7, SHAE2_64480.6, SHAE2_24270.1, SHAE2_24270.8, SHAE2_24270.9, SHAE2_24270.10, SHAE2_24270.2, SHAE2_64480.3, SHAE2_70960.1, SHAE2_70960.2, SHAE2_70960.3, SHAE2_70960.4, SHAE2_64480.5, SHAE2_91290.2, SHAE2_91290.4, SHAE2_91290.3, SHAE2_24270.7, SHAE2_91290.1, SHAE2_93960.1, SHAE2_93960.3, SHAE2_93960.6, SHAE2_93960.4, SHAE2_93960.2, SHAE2_93960.5	SMRG1_97880.2, SMRG1_97880.3, SMRG1_97880.7, SMRG1_97880.8, SMRG1_97880.9, SMRG1_97880.13, SMRG1_97880.6, SMRG1_97880.11, SMRG1_97880.4, SMRG1_97880.10, SMRG1_97880.12, SMRG1_97880.5, SMRG1_97880.1
OG0000003	SHAE2_43020.12, SHAE2_43020.14, SHAE2_43020.15, SHAE2_43020.16, SHAE2_43020.18, SHAE2_43020.11, SHAE2_43020.9, SHAE2_43020.13, SHAE2_43020.17	SMRG1_26290.1, SMRG1_26290.2
OG0000003	SHAE2_85630.2	SMRG1_82840.1, SMRG1_82840.2, SMRG1_81490.5, SMRG1_81490.6, SMRG1_81490.1, SMRG1_82840.5, SMRG1_81490.4, SMRG1_81490.2, SMRG1_64980.1, SMRG1_64980.3, SMRG1_81490.3, SMRG1_81490.7, SMRG1_64130.1, SMRG1_82840.3, SMRG1_82840.4, SMRG1_37000.1, SMRG1_64980.2, SMRG1_34870.1
OG0000003	SHAE2_82280.2, SHAE2_82280.1, SHAE2_82280.3	SMRG1_78350.10, SMRG1_78350.11, SMRG1_78350.13, SMRG1_78350.15, SMRG1_78350.7, SMRG1_78350.8, SMRG1_78350.9, SMRG1_78350.12, SMRG1_78350.1, SMRG1_78350.2, SMRG1_78350.3, SMRG1_78350.5, SMRG1_78350.14, SMRG1_78350.4, SMRG1_78350.6
OG0000004	SHAE2_43050.1, SHAE2_54530.1	SMRG1_64480.1
OG0000004	SHAE2_24480.1	SMRG1_21460.1
OG0000004	SHAE2_50920.1	SMRG1_71400.1
OG0000004	SHAE2_20290.1	SMRG1_82070.1
OG0000004	SHAE2_47490.1	SMRG1_60720.1
OG0000004	SHAE2_96260.1, SHAE2_96260.2	SMRG1_52400.1
OG0000005	SHAE2_10930.1, SHAE2_91860.1, SHAE2_62940.1, SHAE2_64600.1	SMRG1_22610.1, SMRG1_61910.1, SMRG1_16540.1, SMRG1_16520.1
OG0000005	SHAE2_55620.1	SMRG1_43520.1, SMRG1_32650.1, SMRG1_72200.1
OG0000005	SHAE2_24880.1, SHAE2_48280.1, SHAE2_24890.1, SHAE2_17810.1, SHAE2_98820.1	SMRG1_97660.1, SMRG1_8560.1
OG0000005	SHAE2_67630.1	SMRG1_95200.1, SMRG1_54410.1
OG0000005	SHAE2_16280.1, SHAE2_57870.1, SHAE2_91870.1, SHAE2_24130.1, SHAE2_25130.1, SHAE2_25130.2, SHAE2_12820.1, SHAE2_12830.1, SHAE2_89030.1, SHAE2_23190.1, SHAE2_29330.1, SHAE2_71560.1, SHAE2_3410.1	SMRG1_88960.1
OG0000006	SHAE2_55900.1	SMRG1_81460.1, SMRG1_76890.1, SMRG1_33990.1
OG0000006	SHAE2_7560.1, SHAE2_83290.1, SHAE2_71160.1, SHAE2_25890.1, SHAE2_85780.1	SMRG1_14940.1, SMRG1_64070.1
OG0000006	SHAE2_64040.1, SHAE2_64040.2, SHAE2_25840.1	SMRG1_96150.1
OG0000006	SHAE2_63560.1, SHAE2_50040.1	SMRG1_26330.1
OG0000006	SHAE2_38110.1, SHAE2_38100.1, SHAE2_38070.1, SHAE2_38060.1, SHAE2_38080.1, SHAE2_38090.1, SHAE2_80060.1, SHAE2_80070.1, SHAE2_81620.1, SHAE2_81620.2, SHAE2_81620.3, SHAE2_81620.4	SMRG1_2410.1, SMRG1_2410.2, SMRG1_18260.1, SMRG1_2810.1, SMRG1_8270.1, SMRG1_41290.1
OG0000008	SHAE2_83090.1	SMRG1_81250.1, SMRG1_56250.1, SMRG1_90080.1, SMRG1_61850.1, SMRG1_20660.1, SMRG1_64600.1
OG0000008	SHAE2_76110.1, SHAE2_34250.1, SHAE2_71990.1, SHAE2_99780.1, SHAE2_99780.2, SHAE2_18360.1, SHAE2_51810.1, SHAE2_14800.1, SHAE2_14800.2, SHAE2_67600.1, SHAE2_89880.1, SHAE2_16190.1, SHAE2_39280.1, SHAE2_49860.1	SMRG1_21640.1
OG0000009	SHAE2_31360.1, SHAE2_41140.1, SHAE2_74440.1	SMRG1_37020.1
OG0000009	SHAE2_79100.1	SMRG1_93380.1
OG0000010	SHAE2_30810.1	SMRG1_86940.1
OG0000010	SHAE2_29320.1, SHAE2_69040.1	SMRG1_43170.1
OG0000010	SHAE2_77650.1	SMRG1_77630.1
OG0000010	SHAE2_15450.1	SMRG1_86660.1
OG0000012	SHAE2_43510.23, SHAE2_43510.22, SHAE2_43510.11, SHAE2_43510.9, SHAE2_43510.17, SHAE2_43510.18, SHAE2_43510.12, SHAE2_43510.14, SHAE2_43510.16, SHAE2_43510.5, SHAE2_43510.13, SHAE2_43510.15, SHAE2_43510.19, SHAE2_43510.4, SHAE2_43510.6, SHAE2_43510.20, SHAE2_43510.1, SHAE2_43510.21, SHAE2_43510.7, SHAE2_43510.2, SHAE2_43510.3, SHAE2_43510.10, SHAE2_43510.8	SMRG1_40800.37, SMRG1_40800.39, SMRG1_40800.28, SMRG1_40800.35, SMRG1_40800.14, SMRG1_40800.18, SMRG1_40800.12, SMRG1_40800.38, SMRG1_40800.27, SMRG1_40800.36, SMRG1_40800.1, SMRG1_40800.30, SMRG1_40800.19, SMRG1_40800.20, SMRG1_40800.57, SMRG1_40800.58, SMRG1_40800.47, SMRG1_40800.23, SMRG1_40800.17, SMRG1_40800.29, SMRG1_40800.50, SMRG1_40800.42, SMRG1_40800.43, SMRG1_40800.53, SMRG1_40800.8, SMRG1_40800.10, SMRG1_40800.16, SMRG1_40800.7, SMRG1_40800.40, SMRG1_40800.15, SMRG1_40800.48, SMRG1_40800.51, SMRG1_40800.31, SMRG1_40800.26, SMRG1_40800.6, SMRG1_40800.49, SMRG1_40800.52, SMRG1_40800.21, SMRG1_40800.34, SMRG1_40800.25, SMRG1_40800.54, SMRG1_40800.41, SMRG1_40800.33, SMRG1_40800.45, SMRG1_40800.46, SMRG1_40800.55, SMRG1_40800.56, SMRG1_40800.5, SMRG1_40800.44, SMRG1_40800.32, SMRG1_40800.24, SMRG1_40800.11, SMRG1_40800.13, SMRG1_40800.2, SMRG1_40800.22, SMRG1_40800.3, SMRG1_40800.4
OG0000014	SHAE2_41120.4, SHAE2_41120.8, SHAE2_41120.9, SHAE2_41120.7, SHAE2_41120.25, SHAE2_41120.34, SHAE2_41120.19, SHAE2_41120.17, SHAE2_41120.12, SHAE2_41120.13, SHAE2_41120.30, SHAE2_41120.22, SHAE2_41120.32, SHAE2_41120.20, SHAE2_41120.29, SHAE2_41120.1, SHAE2_41120.11, SHAE2_41120.33, SHAE2_41120.35, SHAE2_41120.36, SHAE2_41120.5, SHAE2_41120.10, SHAE2_41120.18, SHAE2_41120.27, SHAE2_41120.26	SMRG1_38250.3, SMRG1_38250.4, SMRG1_38250.1, SMRG1_38250.2, SMRG1_38250.12, SMRG1_38250.13, SMRG1_38250.15, SMRG1_38250.16
OG0000014	SHAE2_41120.15	SMRG1_38250.10, SMRG1_38250.7, SMRG1_38250.9, SMRG1_38250.11, SMRG1_38250.14, SMRG1_38250.17
OG0000015	SHAE2_41150.1	SMRG1_38270.1
OG0000015	SHAE2_70060.1	SMRG1_66420.1
OG0000015	SHAE2_70070.1	SMRG1_66430.1
OG0000015	SHAE2_41370.1	SMRG1_38470.1
OG0000015	SHAE2_41380.1	SMRG1_38480.1
OG0000015	SHAE2_41400.2	SMRG1_38500.1
OG0000015	SHAE2_46430.1	SMRG1_43860.1
OG0000015	SHAE2_46480.1	SMRG1_43920.2, SMRG1_43920.1
OG0000015	SHAE2_45590.1	SMRG1_43060.2, SMRG1_43060.3
OG0000015	SHAE2_45600.1	SMRG1_43070.1
OG0000015	SHAE2_45610.1	SMRG1_43080.1
OG0000015	SHAE2_45640.1	SMRG1_43100.1
OG0000015	SHAE2_11980.1	SMRG1_9700.1, SMRG1_9780.1
OG0000016	SHAE2_91170.1, SHAE2_22460.1	SMRG1_830.1, SMRG1_81950.1, SMRG1_81990.1, SMRG1_12790.1
OG0000016	SHAE2_93630.1, SHAE2_38480.1, SHAE2_65970.1, SHAE2_82640.1, SHAE2_17260.1	SMRG1_1310.1, SMRG1_1310.2, SMRG1_1310.3, SMRG1_22130.1, SMRG1_22130.2, SMRG1_22140.1, SMRG1_41700.1, SMRG1_72570.1
OG0000018	SHAE2_33300.1, SHAE2_23610.1, SHAE2_38960.1, SHAE2_20330.3	SMRG1_78440.1, SMRG1_78450.2, SMRG1_22460.1, SMRG1_83740.11, SMRG1_22460.4, SMRG1_15410.7, SMRG1_15410.8, SMRG1_15410.9, SMRG1_12370.1, SMRG1_21180.1, SMRG1_21180.2, SMRG1_21180.3, SMRG1_78450.3, SMRG1_78450.5, SMRG1_78450.1, SMRG1_78450.4, SMRG1_70990.5, SMRG1_70990.7, SMRG1_70990.9, SMRG1_83740.15, SMRG1_83740.7, SMRG1_83740.1, SMRG1_83740.2, SMRG1_83740.5, SMRG1_83740.6, SMRG1_83740.13, SMRG1_83740.8, SMRG1_15410.5, SMRG1_15410.6, SMRG1_15410.1, SMRG1_15410.10, SMRG1_15410.2, SMRG1_15410.11, SMRG1_15410.3, SMRG1_15410.4, SMRG1_83740.10, SMRG1_83740.14, SMRG1_83740.3, SMRG1_83740.4, SMRG1_69180.2, SMRG1_22460.5, SMRG1_22460.2, SMRG1_22460.3, SMRG1_83740.9, SMRG1_83740.16, SMRG1_83740.12
OG0000019	SHAE2_39640.5, SHAE2_39640.2, SHAE2_39640.4, SHAE2_39640.6, SHAE2_39640.8, SHAE2_39640.7	SMRG1_36800.7, SMRG1_36800.10, SMRG1_36800.12
OG0000019	SHAE2_39640.12	SMRG1_36800.5, SMRG1_36800.1, SMRG1_36800.3, SMRG1_36800.4, SMRG1_36800.6, SMRG1_36800.8, SMRG1_36800.2
OG0000019	SHAE2_39640.14, SHAE2_39640.17, SHAE2_39640.22, SHAE2_39640.20, SHAE2_39640.21, SHAE2_39640.16, SHAE2_39640.18, SHAE2_39640.13, SHAE2_39640.15, SHAE2_39640.19	SMRG1_36800.13, SMRG1_36800.14
OG0000020	SHAE2_97880.1, SHAE2_97890.1	SMRG1_93590.1, SMRG1_93590.2
OG0000020	SHAE2_97900.1	SMRG1_93360.1, SMRG1_93570.1, SMRG1_93600.1, SMRG1_93600.2, SMRG1_93310.1, SMRG1_93420.3, SMRG1_93420.1, SMRG1_93420.2, SMRG1_93520.2, SMRG1_93520.1, SMRG1_93540.1, SMRG1_93520.4, SMRG1_93520.3, SMRG1_93520.6, SMRG1_93520.5, SMRG1_93320.1, SMRG1_93440.1
OG0000020	SHAE2_97600.1	SMRG1_93450.1, SMRG1_93450.2, SMRG1_93450.3, SMRG1_93260.1, SMRG1_93260.2
OG0000021	SHAE2_10160.1	SMRG1_7940.1, SMRG1_7940.2
OG0000021	SHAE2_6350.1	SMRG1_5610.1
OG0000021	SHAE2_6310.2, SHAE2_6310.1	SMRG1_5580.1, SMRG1_5580.2
OG0000021	SHAE2_6320.1	SMRG1_5590.1, SMRG1_5590.3
OG0000021	SHAE2_6330.1, SHAE2_6330.2	SMRG1_5600.1
OG0000021	SHAE2_6290.2, SHAE2_6290.1, SHAE2_6290.4, SHAE2_6290.3, SHAE2_6290.5	SMRG1_5560.1, SMRG1_5560.2
OG0000022	SHAE2_29490.12, SHAE2_29490.13, SHAE2_29490.19, SHAE2_29490.20, SHAE2_29490.22, SHAE2_29490.2, SHAE2_29490.23, SHAE2_29490.24, SHAE2_29490.11, SHAE2_29490.16, SHAE2_29490.15, SHAE2_29490.14, SHAE2_29490.1, SHAE2_29490.3, SHAE2_29490.4, SHAE2_29490.5, SHAE2_29490.10, SHAE2_29490.17, SHAE2_29490.21, SHAE2_29490.8, SHAE2_29490.9, SHAE2_29490.6, SHAE2_29490.7, SHAE2_29490.18, SHAE2_29490.27, SHAE2_29490.26, SHAE2_29490.25, SHAE2_29490.28, SHAE2_29490.29	SMRG1_27350.8, SMRG1_27350.7, SMRG1_27350.1, SMRG1_27350.9, SMRG1_27350.5, SMRG1_27350.2, SMRG1_27350.3, SMRG1_27350.4, SMRG1_27350.10, SMRG1_27350.6
OG0000023	SHAE2_26100.1	SMRG1_2960.1
OG0000024	SHAE2_26160.1	SMRG1_23720.1
OG0000024	SHAE2_96950.1	SMRG1_92680.1
OG0000024	SHAE2_68430.1, SHAE2_68430.2, SHAE2_68430.3, SHAE2_68430.4, SHAE2_68430.5, SHAE2_68430.6	SMRG1_64800.1
OG0000024	SHAE2_84940.1, SHAE2_84940.2	SMRG1_80820.5, SMRG1_80820.4, SMRG1_80820.1, SMRG1_80820.2, SMRG1_80820.3
OG0000026	SHAE2_84100.3, SHAE2_84100.1, SHAE2_84100.4, SHAE2_84100.2	SMRG1_80090.1, SMRG1_80090.2
OG0000026	SHAE2_76570.1, SHAE2_76570.2, SHAE2_76570.3	SMRG1_72900.1
OG0000026	SHAE2_76510.1, SHAE2_76510.2	SMRG1_72830.1
OG0000027	SHAE2_42940.1	SMRG1_40140.7, SMRG1_40140.17, SMRG1_40140.8
OG0000028	SHAE2_74920.6, SHAE2_74920.7, SHAE2_74920.1, SHAE2_74920.9, SHAE2_74920.3, SHAE2_74920.11, SHAE2_74920.4, SHAE2_74920.5, SHAE2_74920.2, SHAE2_74920.8, SHAE2_74920.10, SHAE2_74920.12, SHAE2_74920.13	SMRG1_71220.2, SMRG1_71220.3, SMRG1_71220.4, SMRG1_71220.1, SMRG1_71220.5
OG0000029	SHAE2_61420.1	SMRG1_58130.1
OG0000029	SHAE2_92590.1	SMRG1_88400.1
OG0000029	SHAE2_22850.1	SMRG1_19850.1
OG0000029	SHAE2_22850.3	SMRG1_19850.1
OG0000029	SHAE2_93560.1	SMRG1_89280.1
OG0000029	SHAE2_93550.1	SMRG1_89270.1
OG0000030	SHAE2_7260.1	SMRG1_6460.1
OG0000031	SHAE2_21970.1	SMRG1_20540.2, SMRG1_20540.10, SMRG1_20540.11, SMRG1_20540.12, SMRG1_20540.4, SMRG1_20540.6, SMRG1_20540.8, SMRG1_20540.9, SMRG1_20540.3, SMRG1_20540.14, SMRG1_20540.7, SMRG1_20540.1, SMRG1_20540.13, SMRG1_20540.5
OG0000032	SHAE2_12170.2	SMRG1_9940.1
OG0000032	SHAE2_12170.3	SMRG1_9950.1, SMRG1_9950.2
OG0000032	SHAE2_61170.2, SHAE2_61170.3	SMRG1_57890.2
OG0000032	SHAE2_61170.1	SMRG1_57890.1
OG0000032	SHAE2_61170.4	SMRG1_57890.1
OG0000032	SHAE2_84140.1	SMRG1_80130.1
OG0000033	SHAE2_93320.1, SHAE2_42570.1, SHAE2_18350.1	SMRG1_34470.1, SMRG1_90410.1, SMRG1_36890.1, SMRG1_36480.1, SMRG1_52190.1, SMRG1_94930.1, SMRG1_9760.1, SMRG1_55780.1, SMRG1_16830.1, SMRG1_15870.1, SMRG1_27620.1, SMRG1_18170.1, SMRG1_34400.1, SMRG1_84130.1
OG0000034	SHAE2_97190.1	SMRG1_92940.1
OG0000034	SHAE2_97180.1	SMRG1_92920.1, SMRG1_92920.2
OG0000034	SHAE2_97170.1	SMRG1_92910.1
OG0000034	SHAE2_57280.1, SHAE2_61250.1	SMRG1_57920.1
OG0000034	SHAE2_61170.5, SHAE2_61170.6, SHAE2_61260.1	SMRG1_57950.1
OG0000034	SHAE2_61300.2, SHAE2_61300.1	SMRG1_58000.1
OG0000034	SHAE2_61160.1, SHAE2_61270.1	SMRG1_57940.1, SMRG1_57960.1
