Orthogroup	schistosoma_haematobium	schistosoma_margrebowiei
OG0000557	SHAE2_40680.10, SHAE2_40680.8, SHAE2_40680.9, SHAE2_40680.6, SHAE2_40680.1, SHAE2_40680.2, SHAE2_40680.4, SHAE2_40680.5, SHAE2_40680.3, SHAE2_40680.7	SMRG1_37840.1, SMRG1_37840.4, SMRG1_37840.5, SMRG1_37840.3, SMRG1_37840.6, SMRG1_37840.2
OG0000558	SHAE2_19970.4, SHAE2_19970.1, SHAE2_19970.3, SHAE2_19970.5, SHAE2_19970.2, SHAE2_19970.6, SHAE2_19970.7, SHAE2_19970.8	SMRG1_17220.1
OG0000559	SHAE2_85190.1, SHAE2_85190.2, SHAE2_85190.3, SHAE2_85190.4	SMRG1_81510.1, SMRG1_81510.3, SMRG1_81510.7, SMRG1_81510.4, SMRG1_81510.8, SMRG1_81510.2, SMRG1_81510.5, SMRG1_81510.6
OG0000560	SHAE2_102210.1, SHAE2_102210.3, SHAE2_102210.2, SHAE2_102210.4	SMRG1_97560.10, SMRG1_97560.6, SMRG1_97560.2, SMRG1_97560.3, SMRG1_97560.4, SMRG1_97560.5, SMRG1_97560.7, SMRG1_97560.8, SMRG1_97560.9, SMRG1_97560.1, SMRG1_97560.11
OG0000561	SHAE2_100430.1	SMRG1_96300.1
OG0000561	SHAE2_100440.1	SMRG1_96310.1
OG0000562	SHAE2_89950.1	SMRG1_85450.3, SMRG1_85450.1, SMRG1_85450.2
OG0000563	SHAE2_23270.1, SHAE2_23270.7, SHAE2_23270.2, SHAE2_23270.3, SHAE2_23270.4, SHAE2_23270.5, SHAE2_23270.6	SMRG1_19460.1, SMRG1_19460.2, SMRG1_19460.3
OG0000564	SHAE2_44830.5, SHAE2_44830.1, SHAE2_44830.2, SHAE2_44830.3, SHAE2_44830.4	SMRG1_42220.1, SMRG1_42220.2
OG0000567	SHAE2_70010.11, SHAE2_70010.6	SMRG1_66360.4
OG0000568	SHAE2_60300.1	SMRG1_57310.1
OG0000568	SHAE2_71330.1	SMRG1_67620.1
OG0000568	SHAE2_37730.1	SMRG1_35030.1
OG0000569	SHAE2_11430.9, SHAE2_11430.1, SHAE2_11430.5, SHAE2_11430.7, SHAE2_11430.2, SHAE2_11430.4, SHAE2_11430.6, SHAE2_11430.8	SMRG1_9260.10, SMRG1_9260.1, SMRG1_9260.15, SMRG1_9260.6, SMRG1_9260.11, SMRG1_9260.13, SMRG1_9260.3, SMRG1_9260.4, SMRG1_9260.7, SMRG1_9260.8, SMRG1_9260.9, SMRG1_9260.12, SMRG1_9260.14, SMRG1_9260.2, SMRG1_9260.5
OG0000570	SHAE2_14780.10, SHAE2_14780.7, SHAE2_14780.5, SHAE2_14780.8, SHAE2_14780.3, SHAE2_14780.4, SHAE2_14780.9, SHAE2_14780.11, SHAE2_14780.2, SHAE2_14780.12, SHAE2_14780.1, SHAE2_14780.6, SHAE2_14780.17, SHAE2_14780.16, SHAE2_14780.18, SHAE2_14780.13, SHAE2_14780.15, SHAE2_14780.14	SMRG1_12540.1, SMRG1_12540.2
OG0000571	SHAE2_10760.1	SMRG1_8550.5, SMRG1_8550.6, SMRG1_8550.1, SMRG1_8550.2, SMRG1_8550.3, SMRG1_8550.4
OG0000572	SHAE2_63320.1, SHAE2_63320.9, SHAE2_63320.8, SHAE2_63320.2, SHAE2_63320.4, SHAE2_63320.6, SHAE2_63320.11, SHAE2_63320.10, SHAE2_63320.7, SHAE2_63320.3, SHAE2_63320.5, SHAE2_63320.13, SHAE2_63320.14, SHAE2_63320.12	SMRG1_61480.1
OG0000574	SHAE2_3420.1, SHAE2_3420.4, SHAE2_3420.5, SHAE2_3420.2, SHAE2_3420.3, SHAE2_3420.8, SHAE2_3420.6, SHAE2_3420.7, SHAE2_3420.9, SHAE2_3420.10	SMRG1_2740.1
OG0000574	SHAE2_3440.1, SHAE2_3440.2	SMRG1_2790.1
OG0000575	SHAE2_99880.4, SHAE2_99880.12, SHAE2_99880.3, SHAE2_99880.7, SHAE2_99880.5, SHAE2_99880.8, SHAE2_99880.10, SHAE2_99880.9, SHAE2_99880.1, SHAE2_99880.2, SHAE2_99880.11, SHAE2_99880.6	SMRG1_95800.1, SMRG1_95800.2, SMRG1_95800.3
OG0000576	SHAE2_46950.1	SMRG1_44420.1
OG0000577	SHAE2_56320.7, SHAE2_56320.1, SHAE2_56320.3, SHAE2_56320.4, SHAE2_56320.5, SHAE2_56320.2, SHAE2_56320.6	SMRG1_53660.1, SMRG1_53660.4, SMRG1_53660.2, SMRG1_53660.3
OG0000579	SHAE2_80000.1	SMRG1_76120.1
OG0000579	SHAE2_80040.1	SMRG1_76150.1
OG0000579	SHAE2_80010.1, SHAE2_80020.1	SMRG1_76130.1, SMRG1_76140.1
OG0000579	SHAE2_80090.1	SMRG1_76170.1
OG0000580	SHAE2_42150.2, SHAE2_42150.1, SHAE2_42150.3	SMRG1_39280.4, SMRG1_39280.5, SMRG1_39280.3, SMRG1_39280.1, SMRG1_39280.2
OG0000580	SHAE2_34660.1, SHAE2_34660.2	SMRG1_32420.1, SMRG1_32420.2, SMRG1_32420.3
OG0000581	SHAE2_65170.1, SHAE2_65170.2	SMRG1_59690.2, SMRG1_59690.1, SMRG1_59690.3, SMRG1_59690.4, SMRG1_59690.5, SMRG1_59700.1
OG0000582	SHAE2_87460.1	SMRG1_83770.1
OG0000582	SHAE2_87470.1	SMRG1_83800.1
OG0000582	SHAE2_87480.1	SMRG1_83810.1
OG0000583	SHAE2_64760.6, SHAE2_64760.3, SHAE2_64760.1, SHAE2_64760.4, SHAE2_64760.5, SHAE2_64760.2	SMRG1_60090.6, SMRG1_60090.2, SMRG1_60090.1, SMRG1_60090.5, SMRG1_60090.3, SMRG1_60090.4
OG0000584	SHAE2_30740.4, SHAE2_30740.6, SHAE2_30740.15, SHAE2_30740.13, SHAE2_30740.14, SHAE2_30740.16, SHAE2_30740.18, SHAE2_30740.17, SHAE2_30740.11, SHAE2_30740.5, SHAE2_30740.10, SHAE2_30740.12, SHAE2_30740.3, SHAE2_30740.7, SHAE2_30740.1, SHAE2_30740.9, SHAE2_30740.2, SHAE2_30740.8	SMRG1_28570.1, SMRG1_28570.2
OG0000585	SHAE2_6400.1, SHAE2_6400.6, SHAE2_6400.7, SHAE2_6400.8, SHAE2_6400.9, SHAE2_6400.2, SHAE2_6400.3, SHAE2_6400.4, SHAE2_6400.5	SMRG1_5660.1, SMRG1_5660.2
OG0000586	SHAE2_33340.5, SHAE2_33340.7, SHAE2_33340.9, SHAE2_33340.10, SHAE2_33340.1, SHAE2_33340.8, SHAE2_33340.3, SHAE2_33340.4, SHAE2_33340.2, SHAE2_33340.6	SMRG1_31140.5, SMRG1_31140.1, SMRG1_31140.2, SMRG1_31140.4, SMRG1_31140.3
OG0000587	SHAE2_69230.1	SMRG1_65570.1
OG0000587	SHAE2_11250.1	SMRG1_8980.1
OG0000588	SHAE2_24650.6, SHAE2_24650.4, SHAE2_24650.5	SMRG1_21450.7, SMRG1_21450.3, SMRG1_21450.2, SMRG1_21450.4, SMRG1_21450.5, SMRG1_21450.1, SMRG1_21450.6
OG0000589	SHAE2_58100.1	SMRG1_55430.1
OG0000590	SHAE2_31460.1	SMRG1_29300.1
OG0000590	SHAE2_43500.1	SMRG1_40790.1
OG0000591	SHAE2_3980.1, SHAE2_3980.3, SHAE2_3980.8, SHAE2_3980.9, SHAE2_3980.2, SHAE2_3980.4, SHAE2_3980.5, SHAE2_3980.7, SHAE2_3980.6	SMRG1_3340.9, SMRG1_3340.1, SMRG1_3340.5, SMRG1_3340.6, SMRG1_3340.7, SMRG1_3340.3, SMRG1_3340.8, SMRG1_3340.2, SMRG1_3340.4
OG0000592	SHAE2_33170.9, SHAE2_33170.4, SHAE2_33170.1, SHAE2_33170.2, SHAE2_33170.3, SHAE2_33170.6, SHAE2_33170.7, SHAE2_33170.5, SHAE2_33170.8	SMRG1_30960.10, SMRG1_30960.8, SMRG1_30960.1, SMRG1_30960.4, SMRG1_30960.2, SMRG1_30960.3, SMRG1_30960.5, SMRG1_30960.6, SMRG1_30960.11, SMRG1_30960.7, SMRG1_30960.9
OG0000593	SHAE2_34060.3, SHAE2_34060.2, SHAE2_34060.14, SHAE2_34060.15, SHAE2_34060.1, SHAE2_34060.12, SHAE2_34060.10, SHAE2_34060.4, SHAE2_34060.5, SHAE2_34060.13, SHAE2_34060.11, SHAE2_34060.6, SHAE2_34060.8, SHAE2_34060.16, SHAE2_34060.17, SHAE2_34060.7, SHAE2_34060.9, SHAE2_34060.20, SHAE2_34060.18, SHAE2_34060.19	SMRG1_31840.1
OG0000594	SHAE2_52570.7, SHAE2_52570.9, SHAE2_52570.5, SHAE2_52570.1, SHAE2_52570.10, SHAE2_52570.2, SHAE2_52570.3, SHAE2_52570.4, SHAE2_52570.8, SHAE2_52570.6, SHAE2_52570.12, SHAE2_52570.11	SMRG1_50050.3, SMRG1_50050.4, SMRG1_50050.1, SMRG1_50050.2
OG0000595	SHAE2_50990.3, SHAE2_50990.5, SHAE2_50990.6, SHAE2_50990.7, SHAE2_50990.2, SHAE2_50990.1, SHAE2_50990.4	SMRG1_48360.6, SMRG1_48360.7, SMRG1_48360.8, SMRG1_48360.1, SMRG1_48360.4, SMRG1_48360.5, SMRG1_48360.2, SMRG1_48360.3
OG0000597	SHAE2_61340.1	SMRG1_58040.1
OG0000597	SHAE2_61140.1	SMRG1_57820.1, SMRG1_57830.1, SMRG1_57830.2
OG0000599	SHAE2_66800.2, SHAE2_66800.1, SHAE2_66800.3, SHAE2_66800.4, SHAE2_66800.8, SHAE2_66800.5, SHAE2_66800.7, SHAE2_66800.6	SMRG1_63230.2, SMRG1_63230.5, SMRG1_63230.4, SMRG1_63230.3, SMRG1_63230.1
OG0000600	SHAE2_71980.10, SHAE2_71980.4, SHAE2_71980.5, SHAE2_71980.6, SHAE2_71980.7, SHAE2_71980.3, SHAE2_71980.8, SHAE2_71980.9, SHAE2_71980.1, SHAE2_71980.2	SMRG1_68250.6, SMRG1_68250.1, SMRG1_68250.2, SMRG1_68250.3, SMRG1_68250.4, SMRG1_68250.5
OG0000601	SHAE2_100350.1	SMRG1_96210.1
OG0000601	SHAE2_43860.1	SMRG1_41170.1
OG0000602	SHAE2_17130.1	SMRG1_14600.1, SMRG1_14600.2, SMRG1_14600.3, SMRG1_14600.4, SMRG1_14600.5, SMRG1_14600.6, SMRG1_14600.7, SMRG1_14600.8
OG0000603	SHAE2_53680.8, SHAE2_53680.5, SHAE2_53680.6, SHAE2_53680.7, SHAE2_53680.3, SHAE2_53680.1, SHAE2_53680.2, SHAE2_53680.4	SMRG1_51060.3, SMRG1_51060.1, SMRG1_51060.2
OG0000604	SHAE2_42330.1, SHAE2_42330.2	SMRG1_39460.1, SMRG1_39460.2, SMRG1_39460.4, SMRG1_39460.5, SMRG1_39460.9, SMRG1_39460.3, SMRG1_39460.6, SMRG1_39460.7, SMRG1_39460.8
OG0000605	SHAE2_29810.1	SMRG1_27680.1
OG0000605	SHAE2_29760.1, SHAE2_29760.2, SHAE2_29760.3	SMRG1_27640.1
OG0000607	SHAE2_33420.1, SHAE2_33420.5, SHAE2_33420.3, SHAE2_33420.6, SHAE2_33420.2, SHAE2_33420.4, SHAE2_33420.8, SHAE2_33420.7	SMRG1_31190.7, SMRG1_31190.6, SMRG1_31190.2, SMRG1_31190.4, SMRG1_31190.9, SMRG1_31190.3, SMRG1_31190.1, SMRG1_31190.8, SMRG1_31190.10, SMRG1_31190.12, SMRG1_31190.11, SMRG1_31190.5
OG0000608	SHAE2_54080.3, SHAE2_54080.4, SHAE2_54080.5, SHAE2_54080.6, SHAE2_54080.1, SHAE2_54080.2	SMRG1_51440.3, SMRG1_51440.5, SMRG1_51440.1, SMRG1_51440.2, SMRG1_51440.4
OG0000609	SHAE2_29680.1, SHAE2_29680.4, SHAE2_29680.6, SHAE2_29680.7, SHAE2_29680.5, SHAE2_29680.2, SHAE2_29680.3, SHAE2_29680.8	SMRG1_27530.1, SMRG1_27530.2
OG0000610	SHAE2_30510.3	SMRG1_28340.3, SMRG1_28340.2
OG0000610	SHAE2_24960.1	SMRG1_22730.1
OG0000611	SHAE2_46030.1	SMRG1_43460.1
OG0000611	SHAE2_46070.1, SHAE2_46050.1	SMRG1_43490.1
OG0000611	SHAE2_46040.1, SHAE2_46060.1	SMRG1_43470.1, SMRG1_43480.1
OG0000612	SHAE2_10720.5, SHAE2_10720.3, SHAE2_10720.4, SHAE2_10720.1, SHAE2_10720.2	SMRG1_8510.1, SMRG1_8510.2
OG0000613	SHAE2_40000.1, SHAE2_40000.2, SHAE2_40000.3	SMRG1_37200.1, SMRG1_37200.2, SMRG1_37200.4, SMRG1_37200.3
OG0000614	SHAE2_47130.1	SMRG1_44530.1
OG0000615	SHAE2_14990.4, SHAE2_14990.2, SHAE2_14990.1, SHAE2_14990.3	SMRG1_12700.1, SMRG1_12700.2, SMRG1_12700.3, SMRG1_12700.4, SMRG1_12700.5, SMRG1_12700.6, SMRG1_12700.7
OG0000616	SHAE2_64140.2, SHAE2_64140.1, SHAE2_64140.3, SHAE2_64140.4	SMRG1_60640.1
OG0000617	SHAE2_86170.1	SMRG1_82560.1, SMRG1_82560.2
OG0000618	SHAE2_39350.1	SMRG1_36540.8, SMRG1_36540.5, SMRG1_36540.4, SMRG1_36540.6, SMRG1_36540.3, SMRG1_36540.7, SMRG1_36540.1, SMRG1_36540.2
OG0000620	SHAE2_17340.1	SMRG1_14780.1
OG0000620	SHAE2_49400.1	SMRG1_46050.1, SMRG1_46050.3, SMRG1_46050.2, SMRG1_46050.4
OG0000621	SHAE2_32320.1, SHAE2_32320.3	SMRG1_30120.4, SMRG1_30120.7, SMRG1_30120.5, SMRG1_30120.1
OG0000622	SHAE2_77860.1	SMRG1_74030.1
OG0000623	SHAE2_14770.5, SHAE2_14770.1, SHAE2_14770.3, SHAE2_14770.6, SHAE2_14770.2, SHAE2_14770.4	SMRG1_12530.1, SMRG1_12530.2
OG0000624	SHAE2_31250.7, SHAE2_31250.1, SHAE2_31250.2, SHAE2_31250.3, SHAE2_31250.4, SHAE2_31250.5, SHAE2_31250.6, SHAE2_31250.8	SMRG1_29090.1, SMRG1_29090.2, SMRG1_29090.3, SMRG1_29090.4, SMRG1_29090.5
OG0000625	SHAE2_40390.1, SHAE2_40390.2, SHAE2_40390.3, SHAE2_40390.8, SHAE2_40390.10, SHAE2_40390.11, SHAE2_40390.4, SHAE2_40390.5, SHAE2_40390.6, SHAE2_40390.7, SHAE2_40390.9	SMRG1_37550.1, SMRG1_37550.2
OG0000626	SHAE2_57930.2, SHAE2_57930.4	SMRG1_55250.7, SMRG1_55250.3, SMRG1_55250.5, SMRG1_55250.6, SMRG1_55250.4, SMRG1_55250.1
OG0000626	SHAE2_57930.3, SHAE2_57930.5, SHAE2_57930.1, SHAE2_57930.6	SMRG1_55250.2
OG0000627	SHAE2_13710.6	SMRG1_11390.1
OG0000628	SHAE2_65260.1, SHAE2_65260.2	SMRG1_59600.1, SMRG1_59600.5, SMRG1_59600.2, SMRG1_59600.7, SMRG1_59600.6, SMRG1_59600.3, SMRG1_59600.4
OG0000629	SHAE2_41780.1	SMRG1_38870.3, SMRG1_38870.4, SMRG1_38880.1
OG0000630	SHAE2_62790.1	SMRG1_59280.1
OG0000631	SHAE2_70150.1	SMRG1_66500.1, SMRG1_66500.2
OG0000631	SHAE2_65300.3, SHAE2_65290.1, SHAE2_65300.1, SHAE2_65300.2, SHAE2_65300.4	SMRG1_59570.1
OG0000632	SHAE2_15130.6, SHAE2_15130.5, SHAE2_15130.1, SHAE2_15130.8, SHAE2_15130.2, SHAE2_15130.10, SHAE2_15130.11, SHAE2_15130.12, SHAE2_15130.3, SHAE2_15130.7, SHAE2_15130.9, SHAE2_15130.4	SMRG1_12850.2, SMRG1_12850.1, SMRG1_12850.3, SMRG1_12850.5, SMRG1_12850.4, SMRG1_12850.7, SMRG1_12850.6
OG0000633	SHAE2_55800.6, SHAE2_55800.3, SHAE2_55800.4, SHAE2_55800.5, SHAE2_55800.1, SHAE2_55800.2, SHAE2_55800.7, SHAE2_55800.8	SMRG1_53120.1, SMRG1_53120.2, SMRG1_53120.3, SMRG1_53120.4, SMRG1_53120.5, SMRG1_53120.6
OG0000636	SHAE2_100110.1	SMRG1_95960.5, SMRG1_95960.3, SMRG1_95960.4, SMRG1_95960.8, SMRG1_95960.7, SMRG1_95960.6, SMRG1_95960.1, SMRG1_95960.2
OG0000637	SHAE2_52830.3, SHAE2_52830.9, SHAE2_52830.5, SHAE2_52830.2, SHAE2_52830.11, SHAE2_52830.6, SHAE2_52830.13, SHAE2_52830.16, SHAE2_52830.1, SHAE2_52830.7, SHAE2_52830.10, SHAE2_52830.14, SHAE2_52830.4, SHAE2_52830.12, SHAE2_52830.8, SHAE2_52830.15, SHAE2_52830.17	SMRG1_50310.3, SMRG1_50310.1, SMRG1_50310.2, SMRG1_50310.4
OG0000638	SHAE2_68340.7, SHAE2_68340.6, SHAE2_68340.1, SHAE2_68340.5, SHAE2_68340.4, SHAE2_68340.2, SHAE2_68340.3	SMRG1_64770.1, SMRG1_64770.2
OG0000639	SHAE2_65930.1	SMRG1_62400.5, SMRG1_62400.1, SMRG1_62400.4, SMRG1_62400.2
OG0000640	SHAE2_90000.1, SHAE2_89970.1, SHAE2_89980.1	SMRG1_82000.2, SMRG1_82000.1, SMRG1_82000.3
OG0000641	SHAE2_7200.1	SMRG1_6420.1
OG0000641	SHAE2_5070.1	SMRG1_4340.1
OG0000642	SHAE2_66000.2	SMRG1_62460.2
OG0000642	SHAE2_66000.1, SHAE2_66000.3, SHAE2_66000.4	SMRG1_62460.1
OG0000643	SHAE2_55330.1	SMRG1_52630.1
OG0000643	SHAE2_55320.1, SHAE2_55320.2, SHAE2_55320.3	SMRG1_52620.1
OG0000644	SHAE2_101080.1, SHAE2_101080.4, SHAE2_101080.3, SHAE2_101080.2	SMRG1_96890.3, SMRG1_96890.4, SMRG1_96890.1, SMRG1_96890.2
OG0000645	SHAE2_12240.1, SHAE2_12240.2, SHAE2_12240.3, SHAE2_12230.1	SMRG1_10030.1
OG0000646	SHAE2_10750.1	SMRG1_8540.1
OG0000647	SHAE2_66200.1	SMRG1_62660.4, SMRG1_62660.6, SMRG1_62660.1, SMRG1_62660.2, SMRG1_62660.3, SMRG1_62660.5, SMRG1_62660.7
OG0000648	SHAE2_97430.1, SHAE2_97410.1	SMRG1_93230.1, SMRG1_93220.1
OG0000649	SHAE2_63880.1, SHAE2_63880.2, SHAE2_63880.3	SMRG1_60960.1, SMRG1_60960.2, SMRG1_60960.3, SMRG1_60960.4, SMRG1_60960.5, SMRG1_60960.6
OG0000650	SHAE2_82120.1	SMRG1_78190.2, SMRG1_78190.1, SMRG1_78190.3, SMRG1_78190.4
OG0000651	SHAE2_44650.6, SHAE2_44650.3, SHAE2_44650.4, SHAE2_44650.1, SHAE2_44650.2, SHAE2_44650.5	SMRG1_42020.4, SMRG1_42020.1, SMRG1_42020.2, SMRG1_42020.3
OG0000652	SHAE2_43110.3, SHAE2_43110.4, SHAE2_43110.8, SHAE2_43110.5, SHAE2_43110.6, SHAE2_43110.1, SHAE2_43110.9	SMRG1_40320.1
OG0000653	SHAE2_43670.1, SHAE2_43670.2, SHAE2_43670.3, SHAE2_43680.1, SHAE2_43680.2	SMRG1_40980.1, SMRG1_40970.1, SMRG1_40970.2, SMRG1_40980.2
OG0000654	SHAE2_62100.1	SMRG1_58600.2, SMRG1_58600.1, SMRG1_58600.3
OG0000655	SHAE2_86110.1, SHAE2_86110.2, SHAE2_86110.3, SHAE2_86110.4, SHAE2_86110.6, SHAE2_86110.7, SHAE2_86110.5, SHAE2_86110.8	SMRG1_82520.1, SMRG1_82520.2, SMRG1_82520.3, SMRG1_82520.4, SMRG1_82520.5
OG0000656	SHAE2_79910.3, SHAE2_79910.5, SHAE2_79910.7, SHAE2_79910.9, SHAE2_79910.2, SHAE2_79910.8, SHAE2_79910.4, SHAE2_79910.1, SHAE2_79910.6	SMRG1_76030.1
OG0000657	SHAE2_95630.3, SHAE2_95630.4, SHAE2_95630.1, SHAE2_95630.2, SHAE2_95630.6, SHAE2_95630.7, SHAE2_95630.5	SMRG1_91350.1, SMRG1_91350.2, SMRG1_91350.3, SMRG1_91350.4, SMRG1_91350.5, SMRG1_91350.6
OG0000658	SHAE2_98490.1, SHAE2_15610.1	SMRG1_55100.1
OG0000659	SHAE2_44630.4	SMRG1_42000.6
OG0000659	SHAE2_44630.5, SHAE2_44630.7, SHAE2_44630.2, SHAE2_44630.8, SHAE2_44630.1, SHAE2_44630.3, SHAE2_44630.6	SMRG1_42000.5, SMRG1_42000.1, SMRG1_42000.2, SMRG1_42000.3, SMRG1_42000.4, SMRG1_42000.7
OG0000662	SHAE2_55530.7, SHAE2_55530.1, SHAE2_55530.3, SHAE2_55530.2, SHAE2_55530.4, SHAE2_55530.5, SHAE2_55530.6	SMRG1_52850.1
OG0000663	SHAE2_41020.4, SHAE2_41020.2, SHAE2_41020.1, SHAE2_41020.3, SHAE2_41020.7, SHAE2_41020.8, SHAE2_41020.6, SHAE2_41020.5	SMRG1_38150.2, SMRG1_38150.1, SMRG1_38150.3
OG0000664	SHAE2_14180.5, SHAE2_14180.6, SHAE2_14180.7, SHAE2_14180.3, SHAE2_14180.4, SHAE2_14180.1, SHAE2_14180.2	SMRG1_11930.1, SMRG1_11930.2
OG0000665	SHAE2_77460.4, SHAE2_77460.1, SHAE2_77460.3, SHAE2_77460.2	SMRG1_73660.1, SMRG1_73660.2
OG0000666	SHAE2_65920.2	SMRG1_62390.1, SMRG1_62390.2, SMRG1_62390.3
OG0000666	SHAE2_65920.3, SHAE2_65920.4	SMRG1_62390.4
OG0000667	SHAE2_6720.1	SMRG1_5930.6, SMRG1_5930.8
OG0000668	SHAE2_55720.1, SHAE2_55720.5, SHAE2_55720.2, SHAE2_55720.6, SHAE2_55720.7, SHAE2_55720.4, SHAE2_55720.3	SMRG1_53030.2, SMRG1_53030.5, SMRG1_53030.1, SMRG1_53030.3, SMRG1_53030.4
OG0000669	SHAE2_72600.4, SHAE2_72600.9, SHAE2_72600.1, SHAE2_72600.2, SHAE2_72600.3, SHAE2_72600.5, SHAE2_72600.6, SHAE2_72600.7, SHAE2_72600.10, SHAE2_72600.8	SMRG1_69860.1, SMRG1_69860.2, SMRG1_69860.3, SMRG1_69860.4, SMRG1_69860.5
OG0000671	SHAE2_81090.4, SHAE2_81090.3, SHAE2_81090.1, SHAE2_81090.2, SHAE2_81090.5	SMRG1_77210.3, SMRG1_77210.1, SMRG1_77210.2
OG0000672	SHAE2_47050.2, SHAE2_47050.3, SHAE2_47050.4, SHAE2_47050.5, SHAE2_47050.1	SMRG1_44450.1
OG0000673	SHAE2_18160.1	SMRG1_15670.1, SMRG1_15670.2, SMRG1_15670.3, SMRG1_15670.4
OG0000674	SHAE2_82650.3, SHAE2_82650.6, SHAE2_82650.1, SHAE2_82650.2, SHAE2_82650.4, SHAE2_82650.5, SHAE2_82650.7	SMRG1_78710.1, SMRG1_78710.2, SMRG1_78710.3
OG0000675	SHAE2_76490.1	SMRG1_72810.1, SMRG1_72810.4
OG0000676	SHAE2_86060.1	SMRG1_82470.1, SMRG1_82470.2, SMRG1_82470.3, SMRG1_82470.4, SMRG1_82470.5, SMRG1_82470.6, SMRG1_82470.7, SMRG1_82470.8, SMRG1_82470.9
OG0000677	SHAE2_5740.1	SMRG1_5010.1, SMRG1_5010.8, SMRG1_5010.11, SMRG1_5010.9, SMRG1_5010.16, SMRG1_5010.17, SMRG1_5010.14, SMRG1_5010.15, SMRG1_5010.4, SMRG1_5010.13, SMRG1_5010.6, SMRG1_5010.5, SMRG1_5010.12, SMRG1_5010.10, SMRG1_5010.7, SMRG1_5010.3, SMRG1_5010.2
OG0000678	SHAE2_37280.1, SHAE2_37280.7, SHAE2_37280.5, SHAE2_37280.3, SHAE2_37280.4, SHAE2_37280.8	SMRG1_34530.3
OG0000679	SHAE2_76550.4, SHAE2_76550.5, SHAE2_76550.8, SHAE2_76550.1, SHAE2_76550.3, SHAE2_76550.6, SHAE2_76550.2, SHAE2_76550.7	SMRG1_72880.1
OG0000680	SHAE2_19060.1, SHAE2_19060.2, SHAE2_19060.3, SHAE2_19060.4, SHAE2_19060.5, SHAE2_19060.6	SMRG1_18070.3, SMRG1_18070.1, SMRG1_18070.4, SMRG1_18070.5, SMRG1_18070.2
OG0000681	SHAE2_37660.4, SHAE2_37660.1, SHAE2_37660.5, SHAE2_37660.2, SHAE2_37660.3	SMRG1_34960.5, SMRG1_34960.8, SMRG1_34960.9, SMRG1_34960.1, SMRG1_34960.4, SMRG1_34960.2, SMRG1_34960.3, SMRG1_34960.6, SMRG1_34960.7
OG0000682	SHAE2_45830.1, SHAE2_45830.4, SHAE2_45830.2, SHAE2_45830.3	SMRG1_43300.1, SMRG1_43300.2
OG0000683	SHAE2_58300.1, SHAE2_58300.2, SHAE2_58300.4, SHAE2_58300.5, SHAE2_58300.3	SMRG1_55630.1, SMRG1_55630.2
OG0000683	SHAE2_71530.2, SHAE2_71530.1	SMRG1_67830.1, SMRG1_67830.2
OG0000684	SHAE2_89870.1	SMRG1_85390.1, SMRG1_85390.2, SMRG1_85390.3
OG0000685	SHAE2_79720.1, SHAE2_79720.2	SMRG1_75830.4, SMRG1_75830.3, SMRG1_75830.5, SMRG1_75830.7, SMRG1_75830.10, SMRG1_75830.6, SMRG1_75830.9, SMRG1_75830.1, SMRG1_75830.2, SMRG1_75830.8
OG0000686	SHAE2_64060.1, SHAE2_64060.3, SHAE2_64060.4, SHAE2_64060.5, SHAE2_64060.6	SMRG1_60750.1, SMRG1_60750.2
OG0000687	SHAE2_29090.1	SMRG1_26980.3, SMRG1_26980.7, SMRG1_26980.6, SMRG1_26980.10, SMRG1_26980.8, SMRG1_26980.9, SMRG1_26980.4, SMRG1_26980.5, SMRG1_26980.2, SMRG1_26980.1
OG0000688	SHAE2_910.3, SHAE2_910.6	SMRG1_1230.10, SMRG1_1230.11, SMRG1_1230.7, SMRG1_1230.8, SMRG1_1230.9
OG0000688	SHAE2_910.1, SHAE2_910.2, SHAE2_910.4, SHAE2_910.5, SHAE2_910.8, SHAE2_910.7	SMRG1_1230.1, SMRG1_1230.2, SMRG1_1230.3, SMRG1_1230.4, SMRG1_1230.5, SMRG1_1230.6
OG0000689	SHAE2_3430.5, SHAE2_3430.6, SHAE2_3430.7, SHAE2_3430.4, SHAE2_3430.1, SHAE2_3430.2, SHAE2_3430.3	SMRG1_2780.1
OG0000690	SHAE2_25000.3, SHAE2_25000.1, SHAE2_25000.2, SHAE2_25000.4, SHAE2_25000.5	SMRG1_22770.1
OG0000691	SHAE2_86430.1, SHAE2_78850.1, SHAE2_43640.1, SHAE2_22270.2, SHAE2_22270.1, SHAE2_37520.2, SHAE2_37520.1	SMRG1_22420.1, SMRG1_50400.1, SMRG1_22420.2, SMRG1_50400.2
OG0000692	SHAE2_19230.3, SHAE2_19230.1, SHAE2_19230.2	SMRG1_17910.1, SMRG1_17910.2
OG0000695	SHAE2_101610.1	SMRG1_97420.1
OG0000695	SHAE2_48520.1, SHAE2_48520.2, SHAE2_48520.3, SHAE2_48520.4	SMRG1_45860.1, SMRG1_45860.2, SMRG1_45860.3, SMRG1_45860.4, SMRG1_45860.5
OG0000696	SHAE2_5960.1	SMRG1_5190.1
OG0000697	SHAE2_43170.5, SHAE2_43170.6, SHAE2_43170.10, SHAE2_43170.11, SHAE2_43170.12, SHAE2_43170.13, SHAE2_43170.3, SHAE2_43170.4, SHAE2_43170.7, SHAE2_43170.9, SHAE2_43170.14, SHAE2_43170.2, SHAE2_43170.8, SHAE2_43170.1	SMRG1_40400.1
