Orthogroup	fasciola_hepatica	schistosoma_guineensis
OG0000420	FhHiC23_g3059.t1, FhHiC23_g3060.t2	SGUI1_45640.3, SGUI1_45640.5, SGUI1_45640.6, SGUI1_45640.9, SGUI1_45640.1, SGUI1_45640.8, SGUI1_45640.2, SGUI1_45640.4, SGUI1_45640.10, SGUI1_45640.7
OG0000421	FhHiC23_g6991.t1, FhHiC23_g6991.t2	SGUI1_67680.1
OG0000422	FhHiC23_g1572.t1, FhHiC23_g1572.t2	SGUI1_50010.13, SGUI1_50160.1, SGUI1_50010.8
OG0000425	FhHiC23_g5889.t1, FhHiC23_g5889.t2	SGUI1_29240.1, SGUI1_29240.2
OG0000426	FhHiC23_g1873.t4, FhHiC23_g1873.t3, FhHiC23_g1873.t2, FhHiC23_g1873.t1	SGUI1_54640.1, SGUI1_54650.1, SGUI1_54660.1, SGUI1_54630.1
OG0000427	FhHiC23_g2187.t1	SGUI1_53380.5, SGUI1_53380.1, SGUI1_53380.2, SGUI1_53380.3, SGUI1_53380.4, SGUI1_53390.2, SGUI1_53390.1
OG0000428	FhHiC23_g14650.t1, FhHiC23_g14650.t2, FhHiC23_g1389.t1	SGUI1_42120.6, SGUI1_42120.7, SGUI1_42120.4, SGUI1_42120.5, SGUI1_42120.8, SGUI1_42120.3, SGUI1_42120.1, SGUI1_42120.2
OG0000429	FhHiC23_g9889.t1	SGUI1_93270.1
OG0000429	FhHiC23_g14324.t2, FhHiC23_g14324.t1	SGUI1_45100.1
OG0000430	FhHiC23_g2888.t1, FhHiC23_g2884.t1	SGUI1_32100.9, SGUI1_32100.8, SGUI1_32100.3, SGUI1_32100.5, SGUI1_32100.6, SGUI1_32100.1, SGUI1_32100.4, SGUI1_32100.2, SGUI1_32100.7
OG0000431	FhHiC23_g700.t1, FhHiC23_g700.t2, FhHiC23_g700.t3	SGUI1_49060.3, SGUI1_49060.5, SGUI1_49060.1, SGUI1_49060.2, SGUI1_49060.4
OG0000432	FhHiC23_g9661.t2, FhHiC23_g9661.t1	SGUI1_94350.1
OG0000434	FhHiC23_g12437.t1, FhHiC23_g9208.t1	SGUI1_93870.1
OG0000435	FhHiC23_g1907.t1	SGUI1_54900.1
OG0000436	FhHiC23_g9591.t1, FhHiC23_g9591.t2	SGUI1_25340.5, SGUI1_25340.1, SGUI1_25340.3, SGUI1_25340.2, SGUI1_25340.4
OG0000437	FhHiC23_g11757.t1	SGUI1_3110.1, SGUI1_3110.2
OG0000438	FhHiC23_g7751.t1, FhHiC23_g7751.t2	SGUI1_64000.1
OG0000439	FhHiC23_g3593.t1, FhHiC23_g3593.t2	SGUI1_84880.4, SGUI1_84880.7, SGUI1_84880.8, SGUI1_84880.3, SGUI1_84880.1, SGUI1_84880.6, SGUI1_84880.2, SGUI1_84880.5
OG0000440	FhHiC23_g16588.t1	SGUI1_91380.1, SGUI1_91380.2, SGUI1_91370.1, SGUI1_91360.1
OG0000441	FhHiC23_g12334.t1, FhHiC23_g12334.t2, FhHiC23_g12334.t3, FhHiC23_g3407.t1	SGUI1_8450.1
OG0000441	FhHiC23_g12169.t1, FhHiC23_g12169.t2, FhHiC23_g12169.t4	SGUI1_14200.2, SGUI1_14200.1, SGUI1_14200.3
OG0000442	FhHiC23_g5482.t2, FhHiC23_g5482.t1	SGUI1_36130.1
OG0000443	FhHiC23_g13427.t1, FhHiC23_g13427.t2	SGUI1_5390.5, SGUI1_5390.1, SGUI1_5390.2, SGUI1_5390.4, SGUI1_5390.3
OG0000444	FhHiC23_g831.t1	SGUI1_71520.1
OG0000445	FhHiC23_g7076.t1	SGUI1_66020.1
OG0000446	FhHiC23_g955.t1, FhHiC23_g960.t3	SGUI1_8350.1, SGUI1_8390.1
OG0000447	FhHiC23_g3050.t1, FhHiC23_g3050.t2	SGUI1_57360.1
OG0000448	FhHiC23_g5761.t1, FhHiC23_g5761.t4, FhHiC23_g5761.t5, FhHiC23_g5761.t2, FhHiC23_g5761.t3	SGUI1_31220.4, SGUI1_31220.1, SGUI1_31220.2, SGUI1_31220.3
OG0000449	FhHiC23_g7226.t3, FhHiC23_g7226.t2, FhHiC23_g7226.t1, FhHiC23_g7226.t4	SGUI1_58000.3, SGUI1_58000.4, SGUI1_58000.1, SGUI1_58000.5, SGUI1_58000.7, SGUI1_58000.6, SGUI1_58000.2, SGUI1_58000.8
OG0000450	FhHiC23_g10194.t1, FhHiC23_g10165.t1, FhHiC23_g10165.t2	SGUI1_24520.1, SGUI1_24520.6, SGUI1_24520.5, SGUI1_24520.2, SGUI1_24520.3, SGUI1_24520.4
OG0000451	FhHiC23_g16604.t1	SGUI1_88120.1
OG0000452	FhHiC23_g5472.t1	SGUI1_39360.1
OG0000453	FhHiC23_g7003.t1	SGUI1_62630.8, SGUI1_62630.6, SGUI1_62630.2, SGUI1_62630.3, SGUI1_62630.4, SGUI1_62630.1, SGUI1_62630.5, SGUI1_62630.7
OG0000454	FhHiC23_g2306.t1	SGUI1_70660.1
OG0000454	FhHiC23_g2824.t1	SGUI1_84380.1, SGUI1_84390.1, SGUI1_72310.1
OG0000455	FhHiC23_g12095.t1	SGUI1_11520.2, SGUI1_11520.1, SGUI1_11520.4, SGUI1_11520.3
OG0000456	FhHiC23_g2604.t1, FhHiC23_g2604.t2, FhHiC23_g2604.t4, FhHiC23_g2604.t3	SGUI1_71320.6, SGUI1_71320.2, SGUI1_71320.1, SGUI1_71320.5, SGUI1_71320.3, SGUI1_71320.4
OG0000457	FhHiC23_g5250.t4, FhHiC23_g5250.t2, FhHiC23_g5250.t3	SGUI1_28290.4, SGUI1_28290.2, SGUI1_28290.3, SGUI1_28290.5, SGUI1_28290.9, SGUI1_28290.6, SGUI1_28290.1, SGUI1_28290.7, SGUI1_28290.8
OG0000458	FhHiC23_g6446.t1, FhHiC23_g6446.t2	SGUI1_34120.12, SGUI1_34120.10, SGUI1_34120.5, SGUI1_34120.6, SGUI1_34120.4, SGUI1_34120.1, SGUI1_34120.13, SGUI1_34120.8, SGUI1_34120.9, SGUI1_34120.2, SGUI1_34120.3, SGUI1_34120.11, SGUI1_34120.7
OG0000459	FhHiC23_g13471.t1	SGUI1_8770.1
OG0000460	FhHiC23_g2919.t1, FhHiC23_g2922.t1	SGUI1_11660.1
OG0000461	FhHiC23_g2553.t2, FhHiC23_g2553.t1, FhHiC23_g2553.t3	SGUI1_74340.2, SGUI1_74340.1, SGUI1_74340.3
OG0000464	FhHiC23_g12146.t1, FhHiC23_g12146.t2	SGUI1_13630.1
OG0000465	FhHiC23_g593.t1, FhHiC23_g593.t2	SGUI1_76280.1
OG0000466	FhHiC23_g1818.t1, FhHiC23_g1818.t2	SGUI1_53440.1
OG0000467	FhHiC23_g14179.t1, FhHiC23_g14181.t1	SGUI1_36920.8, SGUI1_36920.9, SGUI1_36920.7, SGUI1_36920.2, SGUI1_36920.6, SGUI1_36920.1, SGUI1_36920.10, SGUI1_36920.4, SGUI1_36920.3, SGUI1_36920.5
OG0000468	FhHiC23_g2533.t1, FhHiC23_g2533.t2, FhHiC23_g2533.t3	SGUI1_71050.7, SGUI1_71050.4, SGUI1_71050.3, SGUI1_71050.5, SGUI1_71050.2, SGUI1_71050.1, SGUI1_71050.6
OG0000470	FhHiC23_g1052.t1	SGUI1_51460.1
OG0000471	FhHiC23_g4332.t1	SGUI1_88870.1
OG0000472	FhHiC23_g14787.t2, FhHiC23_g14787.t1, FhHiC23_g14786.t1	SGUI1_36870.1, SGUI1_36870.7, SGUI1_36870.6, SGUI1_36870.3, SGUI1_36870.5, SGUI1_36870.8, SGUI1_36870.4, SGUI1_36870.2, SGUI1_36870.10, SGUI1_36870.11, SGUI1_36870.9
OG0000473	FhHiC23_g12963.t1	SGUI1_4730.3, SGUI1_4730.1, SGUI1_4730.5, SGUI1_4730.8, SGUI1_4730.9, SGUI1_4730.2, SGUI1_4730.7, SGUI1_4730.6, SGUI1_4730.4
OG0000474	FhHiC23_g15488.t1	SGUI1_20130.1
OG0000474	FhHiC23_g2166.t1, FhHiC23_g2166.t2	SGUI1_45720.1
OG0000475	FhHiC23_g8551.t1, FhHiC23_g8553.t1	SGUI1_64270.5, SGUI1_64270.6, SGUI1_64270.8, SGUI1_64270.1, SGUI1_64270.2, SGUI1_64270.4, SGUI1_64270.7, SGUI1_64270.3
OG0000476	FhHiC23_g15639.t1	SGUI1_19300.1
OG0000477	FhHiC23_g203.t1	SGUI1_45620.1
OG0000478	FhHiC23_g11150.t1	SGUI1_6100.1
OG0000479	FhHiC23_g5073.t1	SGUI1_31370.1
OG0000480	FhHiC23_g7266.t1	SGUI1_64560.1
OG0000481	FhHiC23_g7614.t2, FhHiC23_g7614.t1	SGUI1_65530.1, SGUI1_65530.5, SGUI1_65530.2, SGUI1_65530.3, SGUI1_65530.4
OG0000482	FhHiC23_g13756.t1	SGUI1_9140.1
OG0000483	FhHiC23_g8435.t1	SGUI1_130.1, SGUI1_130.2, SGUI1_130.3, SGUI1_57600.1
OG0000484	FhHiC23_g9219.t1	SGUI1_96640.1, SGUI1_96630.1
OG0000485	FhHiC23_g11693.t1, FhHiC23_g11697.t1, FhHiC23_g11697.t2, FhHiC23_g11697.t3	SGUI1_12820.1, SGUI1_12820.2, SGUI1_12820.3
OG0000490	FhHiC23_g7771.t1, FhHiC23_g7771.t2	SGUI1_68590.1, SGUI1_68600.1
OG0000491	FhHiC23_g5580.t1	SGUI1_30010.4, SGUI1_30010.5, SGUI1_30010.1, SGUI1_30010.2, SGUI1_30010.3, SGUI1_30010.6
OG0000492	FhHiC23_g7373.t1	SGUI1_62940.1
OG0000493	FhHiC23_g184.t2, FhHiC23_g184.t1	SGUI1_47430.1, SGUI1_47430.2
OG0000493	FhHiC23_g4635.t1	SGUI1_28700.1, SGUI1_28700.2, SGUI1_28700.3, SGUI1_28690.1
OG0000494	FhHiC23_g10863.t1	SGUI1_36470.1, SGUI1_92880.1
OG0000495	FhHiC23_g11080.t1, FhHiC23_g11082.t1	SGUI1_3120.1, SGUI1_3120.2
OG0000496	FhHiC23_g5347.t1	SGUI1_37710.1
OG0000497	FhHiC23_g13076.t1, FhHiC23_g13075.t1	SGUI1_5520.2, SGUI1_5530.1, SGUI1_5520.1, SGUI1_5530.2, SGUI1_5520.3
OG0000498	FhHiC23_g10257.t2, FhHiC23_g10257.t1	SGUI1_24920.1
OG0000498	FhHiC23_g6627.t1, FhHiC23_g6629.t1	SGUI1_26930.1
OG0000499	FhHiC23_g1519.t1	SGUI1_70970.2, SGUI1_70970.1, SGUI1_70970.15, SGUI1_70970.8, SGUI1_70970.16, SGUI1_70970.12, SGUI1_70970.9, SGUI1_70970.11, SGUI1_70970.13, SGUI1_70970.10, SGUI1_70970.14, SGUI1_70970.5, SGUI1_70970.6, SGUI1_70970.3, SGUI1_70970.4, SGUI1_70970.7
OG0000500	FhHiC23_g14973.t1	SGUI1_18780.2, SGUI1_18780.6, SGUI1_18780.1, SGUI1_18780.5, SGUI1_18780.4, SGUI1_18780.3
OG0000501	FhHiC23_g9614.t1, FhHiC23_g9614.t2, FhHiC23_g9615.t1, FhHiC23_g9615.t2	SGUI1_25610.1, SGUI1_25610.3, SGUI1_25610.2
OG0000502	FhHiC23_g4748.t1	SGUI1_35470.4, SGUI1_35470.3, SGUI1_35470.1, SGUI1_35470.7, SGUI1_35470.2, SGUI1_35470.6, SGUI1_35470.5
OG0000503	FhHiC23_g12875.t3, FhHiC23_g12875.t1, FhHiC23_g12875.t2	SGUI1_3810.1
OG0000504	FhHiC23_g626.t1	SGUI1_46850.3, SGUI1_46850.5, SGUI1_46850.4, SGUI1_46850.1, SGUI1_46850.2
OG0000505	FhHiC23_g5731.t1, FhHiC23_g5731.t2	SGUI1_41120.1, SGUI1_41120.8, SGUI1_41120.9, SGUI1_41120.2, SGUI1_41120.10, SGUI1_41120.11, SGUI1_41120.3, SGUI1_41120.4, SGUI1_41120.5, SGUI1_41120.6, SGUI1_41120.7
OG0000506	FhHiC23_g13425.t1	SGUI1_8630.2, SGUI1_8630.1, SGUI1_8630.13, SGUI1_8630.10, SGUI1_8630.12, SGUI1_8630.4, SGUI1_8630.5, SGUI1_8630.6, SGUI1_8630.7, SGUI1_8630.8, SGUI1_8630.9, SGUI1_8630.11, SGUI1_8630.3
OG0000507	FhHiC23_g5629.t1, FhHiC23_g5629.t2	SGUI1_31080.1
OG0000508	FhHiC23_g15064.t1, FhHiC23_g15064.t2, FhHiC23_g15064.t3	SGUI1_14860.2, SGUI1_14860.3, SGUI1_14860.4, SGUI1_14860.1
OG0000509	FhHiC23_g22.t1, FhHiC23_g19.t1	SGUI1_49530.1, SGUI1_51120.1
OG0000512	FhHiC23_g1881.t1	SGUI1_51700.8, SGUI1_51700.9, SGUI1_51700.2, SGUI1_51700.7, SGUI1_51700.10, SGUI1_51700.6, SGUI1_51700.1, SGUI1_51700.4, SGUI1_51700.3, SGUI1_51700.5
OG0000513	FhHiC23_g7045.t1, FhHiC23_g7045.t2, FhHiC23_g7045.t3	SGUI1_67640.1
OG0000514	FhHiC23_g3289.t1, FhHiC23_g3290.t1	SGUI1_45630.2, SGUI1_45630.5, SGUI1_45630.3, SGUI1_45630.1, SGUI1_45630.4, SGUI1_45630.7, SGUI1_45630.6
OG0000515	FhHiC23_g11798.t1, FhHiC23_g11798.t2	SGUI1_14460.1, SGUI1_14460.4, SGUI1_14460.6, SGUI1_14460.2, SGUI1_14460.3, SGUI1_14460.5
OG0000516	FhHiC23_g7104.t1	SGUI1_63610.2, SGUI1_63610.4, SGUI1_63610.5, SGUI1_63610.7, SGUI1_63610.9, SGUI1_63610.10, SGUI1_63610.8, SGUI1_63610.3, SGUI1_63610.6, SGUI1_63610.1
OG0000517	FhHiC23_g9480.t1	SGUI1_25650.1
OG0000521	FhHiC23_g2979.t3, FhHiC23_g2979.t1, FhHiC23_g2979.t2, FhHiC23_g2979.t4	SGUI1_71990.8, SGUI1_71990.3, SGUI1_71990.7, SGUI1_71990.4, SGUI1_71990.6, SGUI1_71990.2, SGUI1_71990.1, SGUI1_71990.5
OG0000522	FhHiC23_g2242.t1, FhHiC23_g2242.t2	SGUI1_57210.1, SGUI1_57230.1, SGUI1_57460.1, SGUI1_95930.1, SGUI1_95910.1
OG0000523	FhHiC23_g674.t1	SGUI1_77450.4, SGUI1_77450.1, SGUI1_77450.2, SGUI1_77450.3, SGUI1_77450.5, SGUI1_77450.7, SGUI1_77450.6
OG0000524	FhHiC23_g8004.t1	SGUI1_11580.1, SGUI1_11580.2, SGUI1_11580.3, SGUI1_11580.4
OG0000525	FhHiC23_g6591.t2, FhHiC23_g2202.t1, FhHiC23_g2202.t2, FhHiC23_g2202.t3	SGUI1_50690.9, SGUI1_50690.1, SGUI1_50690.6, SGUI1_50690.3, SGUI1_50690.2, SGUI1_50690.7, SGUI1_50690.8, SGUI1_50690.11, SGUI1_50690.10, SGUI1_50690.4, SGUI1_50690.5
OG0000526	FhHiC23_g15281.t1, FhHiC23_g15281.t2	SGUI1_16520.1, SGUI1_16520.2
OG0000527	FhHiC23_g15342.t1	SGUI1_18690.1
OG0000528	FhHiC23_g5951.t2, FhHiC23_g5951.t1	SGUI1_31930.1, SGUI1_31930.2, SGUI1_31930.3, SGUI1_31930.4
OG0000529	FhHiC23_g15029.t1, FhHiC23_g15029.t2	SGUI1_15360.1
OG0000529	FhHiC23_g9585.t3, FhHiC23_g9585.t2	SGUI1_25220.1
OG0000530	FhHiC23_g9868.t2, FhHiC23_g9868.t1	SGUI1_96160.1, SGUI1_96180.1
OG0000531	FhHiC23_g3283.t1, FhHiC23_g3283.t2, FhHiC23_g3283.t3	SGUI1_78190.1
OG0000532	FhHiC23_g13021.t1	SGUI1_4720.3, SGUI1_4720.5, SGUI1_4720.4, SGUI1_4720.2, SGUI1_4720.1, SGUI1_4720.6
OG0000533	FhHiC23_g15454.t1	SGUI1_18830.1
OG0000534	FhHiC23_g189.t1, FhHiC23_g189.t2	SGUI1_71240.1, SGUI1_71240.2, SGUI1_71240.3, SGUI1_71240.4, SGUI1_71240.5
OG0000535	FhHiC23_g7928.t1	SGUI1_59100.1, SGUI1_59150.1
OG0000536	FhHiC23_g7971.t1	SGUI1_66400.7, SGUI1_66400.2, SGUI1_66400.8, SGUI1_66400.3, SGUI1_66400.1, SGUI1_66400.4, SGUI1_66400.6, SGUI1_66400.5
OG0000537	FhHiC23_g1733.t1, FhHiC23_g1733.t2	SGUI1_53630.1
OG0000539	FhHiC23_g2184.t1, FhHiC23_g2184.t2, FhHiC23_g2184.t3, FhHiC23_g2184.t4	SGUI1_46700.1, SGUI1_46700.4, SGUI1_46700.3, SGUI1_46700.6, SGUI1_46700.2, SGUI1_46700.5
OG0000540	FhHiC23_g12881.t1, FhHiC23_g12883.t1, FhHiC23_g12883.t2	SGUI1_5370.1, SGUI1_5370.2, SGUI1_5350.1
OG0000541	FhHiC23_g5888.t1, FhHiC23_g5887.t1	SGUI1_28500.6, SGUI1_28500.4, SGUI1_28500.2, SGUI1_28500.1, SGUI1_28500.3, SGUI1_28500.5
OG0000542	FhHiC23_g16015.t1	SGUI1_87580.3, SGUI1_87580.5, SGUI1_87580.1, SGUI1_87580.2, SGUI1_87580.4, SGUI1_87580.6
OG0000543	FhHiC23_g15476.t1, FhHiC23_g15476.t2, FhHiC23_g15476.t3	SGUI1_14790.1, SGUI1_14790.7, SGUI1_14790.8, SGUI1_14790.9, SGUI1_14790.6, SGUI1_14790.2, SGUI1_14790.3, SGUI1_14790.4, SGUI1_14790.5
OG0000544	FhHiC23_g615.t1	SGUI1_80310.1, SGUI1_80310.8, SGUI1_80310.4, SGUI1_80310.9, SGUI1_80310.12, SGUI1_80310.10, SGUI1_80310.11, SGUI1_80310.2, SGUI1_80310.3, SGUI1_80310.5, SGUI1_80310.6, SGUI1_80310.7
OG0000545	FhHiC23_g1987.t1	SGUI1_46500.1
OG0000545	FhHiC23_g2490.t1	SGUI1_70090.4, SGUI1_70090.1, SGUI1_70090.2, SGUI1_70090.6, SGUI1_70090.5, SGUI1_70090.3
OG0000546	FhHiC23_g6229.t1	SGUI1_29320.3, SGUI1_29320.4, SGUI1_29320.2, SGUI1_29320.1
OG0000547	FhHiC23_g8659.t1	SGUI1_89060.3, SGUI1_89060.1, SGUI1_89060.2, SGUI1_89060.4, SGUI1_89060.5
OG0000548	FhHiC23_g5750.t1	SGUI1_29420.1
OG0000549	FhHiC23_g10861.t1	SGUI1_10140.1, SGUI1_10140.2
OG0000550	FhHiC23_g10667.t1, FhHiC23_g10667.t2, FhHiC23_g10667.t3, FhHiC23_g10666.t2, FhHiC23_g10666.t1	SGUI1_18330.1, SGUI1_18340.1, SGUI1_18320.1
OG0000551	FhHiC23_g4746.t1	SGUI1_48750.1, SGUI1_66100.1
OG0000551	FhHiC23_g6247.t1	SGUI1_39110.1
OG0000552	FhHiC23_g13077.t1	SGUI1_5150.2, SGUI1_5150.1
OG0000552	FhHiC23_g15968.t1	SGUI1_86630.1
OG0000553	FhHiC23_g9188.t1, FhHiC23_g9187.t1, FhHiC23_g9187.t2	SGUI1_94940.3, SGUI1_94940.1, SGUI1_94940.2, SGUI1_94940.4
OG0000554	FhHiC23_g11173.t3, FhHiC23_g11173.t2, FhHiC23_g11173.t1, FhHiC23_g11173.t4	SGUI1_10240.1, SGUI1_10240.2
OG0000555	FhHiC23_g14400.t1, FhHiC23_g14297.t1, FhHiC23_g14301.t1	SGUI1_43560.1
OG0000556	FhHiC23_g7433.t1	SGUI1_66270.1
OG0000557	FhHiC23_g5443.t1, FhHiC23_g5443.t2	SGUI1_37630.1
OG0000558	FhHiC23_g34.t1, FhHiC23_g11572.t1, FhHiC23_g11572.t2	SGUI1_17410.1
OG0000559	FhHiC23_g3882.t1, FhHiC23_g3882.t2	SGUI1_82370.1, SGUI1_82370.2, SGUI1_82370.4, SGUI1_82370.5, SGUI1_82370.3
OG0000560	FhHiC23_g9914.t1, FhHiC23_g9914.t2	SGUI1_96600.1, SGUI1_96590.1, SGUI1_96590.3, SGUI1_96590.2, SGUI1_96590.4
OG0000561	FhHiC23_g9491.t1, FhHiC23_g9493.t1	SGUI1_95320.3, SGUI1_95320.4, SGUI1_95320.2, SGUI1_95320.1
OG0000561	FhHiC23_g9496.t1	SGUI1_95340.1, SGUI1_95340.2, SGUI1_95340.3
OG0000562	FhHiC23_g3482.t1, FhHiC23_g3480.t1	SGUI1_85070.1, SGUI1_85070.2
OG0000563	FhHiC23_g15092.t1, FhHiC23_g15092.t2	SGUI1_20710.3, SGUI1_20710.4, SGUI1_20710.2, SGUI1_20710.1, SGUI1_20710.6, SGUI1_20710.7, SGUI1_20710.5
OG0000564	FhHiC23_g13924.t3, FhHiC23_g13924.t1, FhHiC23_g13924.t2	SGUI1_41980.1
OG0000565	FhHiC23_g4590.t1, FhHiC23_g13120.t2, FhHiC23_g13120.t1	SGUI1_3450.1, SGUI1_3450.2, SGUI1_3450.3
OG0000566	FhHiC23_g14210.t1	SGUI1_82760.1, SGUI1_82760.5, SGUI1_82760.6, SGUI1_82760.2, SGUI1_82760.3, SGUI1_82760.4
OG0000567	FhHiC23_g7239.t1, FhHiC23_g7239.t2	SGUI1_66190.1
OG0000568	FhHiC23_g2146.t1	SGUI1_57030.1
OG0000568	FhHiC23_g7464.t1	SGUI1_67450.1
OG0000569	FhHiC23_g11336.t1	SGUI1_8870.1
OG0000570	FhHiC23_g10698.t1	SGUI1_12100.1
OG0000571	FhHiC23_g13016.t1, FhHiC23_g13014.t1, FhHiC23_g13014.t3, FhHiC23_g13014.t2, FhHiC23_g13014.t4, FhHiC23_g13014.t5, FhHiC23_g13014.t6	SGUI1_8230.1
OG0000572	FhHiC23_g8353.t1	SGUI1_59750.2, SGUI1_59750.7, SGUI1_59750.4, SGUI1_59750.3, SGUI1_59750.1, SGUI1_59750.5, SGUI1_59750.6, SGUI1_59750.8
OG0000574	FhHiC23_g13265.t1	SGUI1_2840.1, SGUI1_2880.1
OG0000575	FhHiC23_g9972.t1, FhHiC23_g9991.t1	SGUI1_94820.1
OG0000576	FhHiC23_g14192.t1	SGUI1_44120.1
OG0000577	FhHiC23_g13859.t1	SGUI1_53220.3, SGUI1_53220.6, SGUI1_53220.4, SGUI1_53220.5, SGUI1_53220.7, SGUI1_53220.1, SGUI1_53220.2
OG0000580	FhHiC23_g4921.t1	SGUI1_39050.1, SGUI1_39050.2
OG0000580	FhHiC23_g4922.t1	SGUI1_32130.2, SGUI1_32130.1
OG0000581	FhHiC23_g8545.t1	SGUI1_61490.4, SGUI1_61490.1, SGUI1_61490.2, SGUI1_61490.3, SGUI1_61490.5
OG0000582	FhHiC23_g3901.t1, FhHiC23_g3903.t1, FhHiC23_g3900.t1, FhHiC23_g3904.t1	SGUI1_83560.1
OG0000582	FhHiC23_g3905.t1	SGUI1_83570.1
OG0000583	FhHiC23_g7586.t3, FhHiC23_g7586.t1, FhHiC23_g7586.t2	SGUI1_61100.1
OG0000584	FhHiC23_g5666.t3, FhHiC23_g5666.t2, FhHiC23_g5666.t1	SGUI1_28160.1
OG0000585	FhHiC23_g13316.t1	SGUI1_5600.4, SGUI1_5600.1, SGUI1_5600.5, SGUI1_5600.2, SGUI1_5600.3, SGUI1_5600.6
OG0000586	FhHiC23_g4980.t1	SGUI1_30850.1
OG0000587	FhHiC23_g5106.t1, FhHiC23_g13589.t1, FhHiC23_g13591.t1	SGUI1_8650.1
OG0000588	FhHiC23_g15346.t2, FhHiC23_g15346.t1, FhHiC23_g15346.t3, FhHiC23_g15346.t4	SGUI1_22180.1
OG0000589	FhHiC23_g2104.t2, FhHiC23_g2104.t1	SGUI1_55120.1, SGUI1_55120.2, SGUI1_55120.3
OG0000590	FhHiC23_g5079.t1	SGUI1_28900.1
OG0000590	FhHiC23_g5739.t2, FhHiC23_g5739.t1	SGUI1_40530.1
OG0000591	FhHiC23_g13121.t1	SGUI1_3460.1
OG0000592	FhHiC23_g5513.t1	SGUI1_30690.5, SGUI1_30690.9, SGUI1_30690.8, SGUI1_30690.10, SGUI1_30690.1, SGUI1_30690.2, SGUI1_30690.3, SGUI1_30690.4, SGUI1_30690.6, SGUI1_30690.7
OG0000593	FhHiC23_g5182.t1	SGUI1_31580.7, SGUI1_31580.2, SGUI1_31580.3, SGUI1_31580.5, SGUI1_31580.1, SGUI1_31580.4, SGUI1_31580.6
OG0000594	FhHiC23_g1591.t1, FhHiC23_g1591.t3, FhHiC23_g1591.t2, FhHiC23_g1591.t4	SGUI1_49390.1
OG0000595	FhHiC23_g224.t1	SGUI1_47700.2, SGUI1_47700.1, SGUI1_47700.3, SGUI1_47700.6, SGUI1_47700.4, SGUI1_47700.5
OG0000598	FhHiC23_g11743.t1, FhHiC23_g11743.t2	SGUI1_11950.1, SGUI1_11950.8, SGUI1_11950.3, SGUI1_11950.2, SGUI1_11950.4, SGUI1_11950.5, SGUI1_11950.6, SGUI1_11950.7, SGUI1_11950.9
OG0000599	FhHiC23_g7869.t1	SGUI1_63080.1, SGUI1_63070.1
OG0000600	FhHiC23_g7556.t1	SGUI1_68040.1, SGUI1_68060.4, SGUI1_68060.1, SGUI1_68060.2, SGUI1_68060.5, SGUI1_68060.3
OG0000601	FhHiC23_g9433.t1	SGUI1_95230.1, SGUI1_95240.1
OG0000601	FhHiC23_g14068.t1, FhHiC23_g14068.t2, FhHiC23_g14068.t3	SGUI1_40930.1
OG0000602	FhHiC23_g15024.t2, FhHiC23_g15024.t1, FhHiC23_g15024.t3	SGUI1_14820.1
OG0000603	FhHiC23_g913.t1, FhHiC23_g913.t2	SGUI1_50550.1, SGUI1_50550.2, SGUI1_50550.3
OG0000604	FhHiC23_g5462.t1, FhHiC23_g5463.t1	SGUI1_39340.1
OG0000605	FhHiC23_g3533.t1, FhHiC23_g10728.t1, FhHiC23_g10300.t1	SGUI1_27270.1, SGUI1_27230.1
OG0000607	FhHiC23_g5378.t1	SGUI1_30920.1
OG0000608	FhHiC23_g1620.t1, FhHiC23_g1623.t1, FhHiC23_g1623.t2	SGUI1_50910.4, SGUI1_50910.5, SGUI1_50910.6, SGUI1_50910.1, SGUI1_50910.3, SGUI1_50910.2
OG0000609	FhHiC23_g10063.t1	SGUI1_27150.2, SGUI1_27150.1, SGUI1_27150.5, SGUI1_27150.3, SGUI1_27150.4
OG0000610	FhHiC23_g10007.t1	SGUI1_22380.1, SGUI1_22380.2
OG0000611	FhHiC23_g4956.t2, FhHiC23_g4956.t3, FhHiC23_g4956.t1, FhHiC23_g5583.t1	SGUI1_43180.1, SGUI1_43200.1, SGUI1_43190.1
OG0000612	FhHiC23_g12349.t1	SGUI1_8200.1, SGUI1_8200.3, SGUI1_8200.2, SGUI1_8200.4
OG0000613	FhHiC23_g811.t1	SGUI1_36960.2, SGUI1_36960.1, SGUI1_36960.3, SGUI1_36960.4
OG0000614	FhHiC23_g14643.t1, FhHiC23_g10225.t2, FhHiC23_g10225.t1, FhHiC23_g10224.t1, FhHiC23_g10224.t2	SGUI1_44300.1
OG0000615	FhHiC23_g12177.t1	SGUI1_12300.4, SGUI1_12300.2, SGUI1_12300.1, SGUI1_12300.3
OG0000616	FhHiC23_g7400.t2, FhHiC23_g7400.t1, FhHiC23_g7400.t4, FhHiC23_g7400.t3	SGUI1_60570.1, SGUI1_60570.3, SGUI1_60570.6, SGUI1_60570.2, SGUI1_60570.4, SGUI1_60570.5
OG0000617	FhHiC23_g4243.t1	SGUI1_81490.7, SGUI1_81490.4, SGUI1_81490.5, SGUI1_81490.1, SGUI1_81490.2, SGUI1_81490.6, SGUI1_81490.3
