Orthogroup	fasciola_hepatica	schistosoma_guineensis
OG0000034	FhHiC23_g13064.t1, FhHiC23_g13749.t1, FhHiC23_g13749.t2, FhHiC23_g13749.t3, FhHiC23_g13670.t1	SGUI1_92140.1, SGUI1_92140.2, SGUI1_92140.3, SGUI1_92130.1, SGUI1_92130.2, SGUI1_92120.1, SGUI1_57710.1, SGUI1_57800.1, SGUI1_57860.1, SGUI1_57690.1, SGUI1_57700.1, SGUI1_57810.1, SGUI1_57820.1
OG0000035	FhHiC23_g11487.t2, FhHiC23_g11487.t4, FhHiC23_g11487.t1, FhHiC23_g11487.t3	SGUI1_14660.4, SGUI1_14660.2, SGUI1_14660.21, SGUI1_14660.22, SGUI1_14660.8, SGUI1_14660.10, SGUI1_14660.17, SGUI1_14660.20, SGUI1_14660.9, SGUI1_14660.24, SGUI1_14660.23, SGUI1_14660.5, SGUI1_14660.18, SGUI1_14660.3, SGUI1_14660.16, SGUI1_14660.1, SGUI1_14660.11, SGUI1_14660.7, SGUI1_14660.14, SGUI1_14660.6, SGUI1_14660.12, SGUI1_14660.15, SGUI1_14660.13, SGUI1_14660.19
OG0000036	FhHiC23_g12971.t1, FhHiC23_g9258.t1	SGUI1_23160.1, SGUI1_57530.1, SGUI1_26740.1, SGUI1_12600.1, SGUI1_2640.1, SGUI1_2640.2, SGUI1_2640.3, SGUI1_96790.1, SGUI1_84610.1, SGUI1_62270.1, SGUI1_68580.1, SGUI1_68950.1, SGUI1_64010.1, SGUI1_76950.1, SGUI1_81020.1
OG0000037	FhHiC23_g6871.t1	SGUI1_60200.1, SGUI1_60350.1, SGUI1_60350.2, SGUI1_60350.3, SGUI1_60370.1, SGUI1_60380.1
OG0000040	FhHiC23_g2039.t1	SGUI1_52270.1, SGUI1_52260.1
OG0000042	FhHiC23_g15459.t1	SGUI1_39810.1, SGUI1_39790.1, SGUI1_69850.1, SGUI1_39800.1, SGUI1_69840.1
OG0000043	FhHiC23_g4609.t1, FhHiC23_g4609.t2	SGUI1_27450.3, SGUI1_27450.11, SGUI1_27450.14, SGUI1_27450.17, SGUI1_27450.18, SGUI1_27450.4, SGUI1_27450.7, SGUI1_27450.12, SGUI1_27450.15, SGUI1_27450.16, SGUI1_27450.8, SGUI1_27450.10, SGUI1_27450.13, SGUI1_27450.2, SGUI1_27450.6, SGUI1_27450.1, SGUI1_27450.5, SGUI1_27450.9
OG0000044	FhHiC23_g1755.t1	SGUI1_86170.1, SGUI1_86170.2, SGUI1_86180.1, SGUI1_86180.2, SGUI1_86220.3, SGUI1_86220.1, SGUI1_86220.2, SGUI1_86240.1, SGUI1_86250.1, SGUI1_86250.4, SGUI1_86250.2, SGUI1_86250.3
OG0000045	FhHiC23_g13571.t1, FhHiC23_g8559.t1, FhHiC23_g8559.t2	SGUI1_9760.1, SGUI1_88200.2, SGUI1_88200.1, SGUI1_3820.1
OG0000046	FhHiC23_g2169.t1, FhHiC23_g3705.t1	SGUI1_16750.1, SGUI1_35060.1, SGUI1_12610.1, SGUI1_74010.1, SGUI1_73550.1, SGUI1_27900.1, SGUI1_73550.2, SGUI1_12580.1, SGUI1_7850.1, SGUI1_43590.1
OG0000049	FhHiC23_g1642.t1, FhHiC23_g1642.t2	SGUI1_70210.1, SGUI1_70170.7, SGUI1_70170.10, SGUI1_70170.11, SGUI1_70170.12, SGUI1_70170.13, SGUI1_70170.8, SGUI1_70170.9, SGUI1_70170.15, SGUI1_70170.16, SGUI1_70170.14
OG0000049	FhHiC23_g2467.t1, FhHiC23_g2467.t2	SGUI1_73830.2, SGUI1_73830.4, SGUI1_73830.3, SGUI1_73830.1
OG0000050	FhHiC23_g957.t1, FhHiC23_g956.t1, FhHiC23_g960.t1, FhHiC23_g960.t2	SGUI1_53850.3, SGUI1_53850.9, SGUI1_53850.10, SGUI1_53850.4, SGUI1_53850.5, SGUI1_53850.2, SGUI1_53850.1, SGUI1_53850.8, SGUI1_53850.6, SGUI1_53850.7, SGUI1_53910.1
OG0000052	FhHiC23_g6159.t2, FhHiC23_g6159.t1	SGUI1_28340.1
OG0000052	FhHiC23_g12020.t1, FhHiC23_g12020.t3	SGUI1_3230.1
OG0000052	FhHiC23_g13824.t1	SGUI1_1680.3, SGUI1_1680.2, SGUI1_1680.1
OG0000052	FhHiC23_g7219.t2, FhHiC23_g7219.t3, FhHiC23_g7219.t1	SGUI1_67400.1
OG0000053	FhHiC23_g15140.t1, FhHiC23_g15140.t2	SGUI1_18130.1, SGUI1_18130.10, SGUI1_18130.11, SGUI1_18130.16, SGUI1_18130.3, SGUI1_18130.9, SGUI1_18130.13, SGUI1_18130.17, SGUI1_18130.7, SGUI1_18130.18, SGUI1_18130.19, SGUI1_18130.12, SGUI1_18130.2, SGUI1_18130.4, SGUI1_18130.6, SGUI1_18130.8, SGUI1_18130.14, SGUI1_18130.15, SGUI1_18130.5
OG0000055	FhHiC23_g8484.t1, FhHiC23_g8345.t1, FhHiC23_g8344.t1	SGUI1_69140.1, SGUI1_69130.1
OG0000056	FhHiC23_g10819.t1	SGUI1_25970.1, SGUI1_44100.1
OG0000057	FhHiC23_g14898.t1, FhHiC23_g11194.t1, FhHiC23_g5892.t1	SGUI1_77540.1
