Orthogroup	fasciola_hepatica	schistosoma_mansoni
OG0000937	FhHiC23_g3159.t1	Smp_213320.3, Smp_213320.1, Smp_213320.2
OG0000938	FhHiC23_g6779.t1, FhHiC23_g6778.t1	Smp_194650.1
OG0000939	FhHiC23_g16569.t1, FhHiC23_g16569.t2, FhHiC23_g16569.t3	Smp_170910.2, Smp_170910.1
OG0000940	FhHiC23_g12811.t1	Smp_347430.1
OG0000941	FhHiC23_g6008.t1	Smp_034000.1
OG0000942	FhHiC23_g4439.t1, FhHiC23_g11939.t2, FhHiC23_g11939.t1	Smp_151280.1
OG0000943	FhHiC23_g5257.t1	Smp_141040.1
OG0000944	FhHiC23_g222.t1, FhHiC23_g223.t1, FhHiC23_g12677.t1, FhHiC23_g8396.t1	Smp_246850.1, Smp_246840.1
OG0000945	FhHiC23_g11090.t1	Smp_155450.1
OG0000946	FhHiC23_g13160.t1	Smp_128680.1
OG0000947	FhHiC23_g6472.t1	Smp_054820.1
OG0000948	FhHiC23_g3632.t1	Smp_267060.1
OG0000949	FhHiC23_g11661.t1, FhHiC23_g11663.t1, FhHiC23_g11664.t1	Smp_038960.1, Smp_038950.1
OG0000950	FhHiC23_g737.t1, FhHiC23_g737.t2	Smp_082850.1
OG0000951	FhHiC23_g9154.t1	Smp_010290.1
OG0000952	FhHiC23_g4678.t1	Smp_034700.1
OG0000953	FhHiC23_g8364.t1	Smp_105860.1
OG0000955	FhHiC23_g11409.t1	Smp_065770.2, Smp_065770.1, Smp_065770.3
OG0000958	FhHiC23_g15702.t1	Smp_058240.1, Smp_058240.2
OG0000959	FhHiC23_g2492.t1	Smp_316700.1
OG0000960	FhHiC23_g2806.t1	Smp_309140.1, Smp_327340.1, Smp_349040.1, Smp_319240.1, Smp_199340.1, Smp_328940.1
OG0000961	FhHiC23_g4805.t1	Smp_054730.1
OG0000962	FhHiC23_g2574.t1	Smp_024580.1
OG0000963	FhHiC23_g13194.t1	Smp_153150.1
OG0000964	FhHiC23_g14820.t2, FhHiC23_g14820.t3, FhHiC23_g14820.t1	Smp_168270.1
OG0000965	FhHiC23_g7683.t1	Smp_246430.3, Smp_246430.1, Smp_246430.2
OG0000966	FhHiC23_g5905.t1	Smp_019100.1
OG0000966	FhHiC23_g520.t1	Smp_065180.1
OG0000967	FhHiC23_g6329.t1, FhHiC23_g6329.t2	Smp_028170.1
OG0000968	FhHiC23_g13188.t1	Smp_332870.1
OG0000969	FhHiC23_g1464.t1	Smp_342190.1
OG0000969	FhHiC23_g4027.t1, FhHiC23_g4027.t2	Smp_334470.1
OG0000970	FhHiC23_g2215.t1	Smp_242690.1
OG0000971	FhHiC23_g11579.t1	Smp_142890.1
OG0000972	FhHiC23_g10701.t1, FhHiC23_g10701.t2	Smp_058730.1
OG0000973	FhHiC23_g10383.t1	Smp_167830.1
OG0000974	FhHiC23_g1435.t1	Smp_142420.1
OG0000975	FhHiC23_g13353.t1, FhHiC23_g13353.t2	Smp_141860.1
OG0000976	FhHiC23_g12582.t1, FhHiC23_g12582.t3	Smp_165260.1
OG0000977	FhHiC23_g11079.t1	Smp_131950.1
OG0000978	FhHiC23_g15261.t1, FhHiC23_g15261.t2	Smp_077070.1
OG0000979	FhHiC23_g2647.t1	Smp_127050.1
OG0000980	FhHiC23_g1379.t1	Smp_045430.1, Smp_045430.2
OG0000981	FhHiC23_g5114.t1	Smp_049510.1
OG0000982	FhHiC23_g8063.t1, FhHiC23_g8063.t3, FhHiC23_g8063.t2	Smp_309360.1
OG0000983	FhHiC23_g14957.t1	Smp_306200.1
OG0000984	FhHiC23_g5012.t1, FhHiC23_g5012.t2	Smp_139520.1
OG0000985	FhHiC23_g11530.t1	Smp_038930.1
OG0000986	FhHiC23_g2637.t4, FhHiC23_g2637.t1, FhHiC23_g2637.t2, FhHiC23_g2637.t3	Smp_315730.1, Smp_315730.2
OG0000987	FhHiC23_g3839.t2, FhHiC23_g3839.t1	Smp_160090.1
OG0000988	FhHiC23_g345.t2, FhHiC23_g345.t1, FhHiC23_g344.t1, FhHiC23_g344.t2	Smp_210930.1, Smp_210920.1
OG0000989	FhHiC23_g741.t1	Smp_063830.1
OG0000990	FhHiC23_g13484.t1	Smp_134360.1
OG0000991	FhHiC23_g7930.t1, FhHiC23_g7930.t2, FhHiC23_g7930.t4, FhHiC23_g7930.t3, FhHiC23_g7930.t5	Smp_333500.1, Smp_333500.2
OG0000992	FhHiC23_g13877.t1, FhHiC23_g13879.t1, FhHiC23_g13877.t2	Smp_212390.1
OG0000993	FhHiC23_g2786.t1	Smp_144930.1
OG0000994	FhHiC23_g5011.t1, FhHiC23_g5011.t2	Smp_172400.1
OG0000995	FhHiC23_g3242.t1	Smp_150980.1
OG0000996	FhHiC23_g7052.t1, FhHiC23_g7052.t2	Smp_040800.1
OG0000997	FhHiC23_g16655.t1	Smp_087440.1
OG0000998	FhHiC23_g433.t1, FhHiC23_g433.t2	Smp_178850.1
OG0000999	FhHiC23_g6595.t1	Smp_154640.1
OG0001000	FhHiC23_g10629.t1, FhHiC23_g10629.t2	Smp_142170.1
OG0001009	FhHiC23_g15862.t1	Smp_078230.1
OG0001010	FhHiC23_g7211.t1	Smp_162100.1
OG0001011	FhHiC23_g4725.t1	Smp_147960.1
OG0001012	FhHiC23_g12412.t1	Smp_174380.1
OG0001013	FhHiC23_g11782.t1	Smp_076560.1, Smp_076560.2
OG0001014	FhHiC23_g12609.t1, FhHiC23_g12609.t2, FhHiC23_g12609.t3	Smp_245360.1
OG0001015	FhHiC23_g14738.t1, FhHiC23_g14738.t2	Smp_332540.1
OG0001016	FhHiC23_g4790.t1	Smp_159050.1
OG0001017	FhHiC23_g15044.t1	Smp_241460.1
OG0001018	FhHiC23_g5842.t2, FhHiC23_g5842.t1, FhHiC23_g5841.t1	Smp_140790.1
OG0001019	FhHiC23_g14549.t1	Smp_194370.1, Smp_194370.2
OG0001020	FhHiC23_g12011.t1	Smp_103090.1
OG0001021	FhHiC23_g5322.t2, FhHiC23_g5322.t3, FhHiC23_g5322.t4, FhHiC23_g5322.t1	Smp_140940.1
OG0001022	FhHiC23_g14964.t1, FhHiC23_g14964.t2	Smp_163750.1
OG0001023	FhHiC23_g6790.t1	Smp_127480.1
OG0001024	FhHiC23_g2930.t1	Smp_343730.1
OG0001025	FhHiC23_g4334.t1, FhHiC23_g4334.t2	Smp_138900.1
OG0001026	FhHiC23_g2021.t1	Smp_046870.1
OG0001027	FhHiC23_g13410.t2, FhHiC23_g13410.t1	Smp_015850.1
OG0001028	FhHiC23_g1259.t1	Smp_037640.1, Smp_037640.2
OG0001029	FhHiC23_g3446.t1, FhHiC23_g1127.t1	Smp_346650.1
OG0001030	FhHiC23_g6107.t1, FhHiC23_g6107.t2	Smp_020300.1
OG0001031	FhHiC23_g1039.t1	Smp_309970.1
OG0001032	FhHiC23_g7054.t1	Smp_040770.1
OG0001033	FhHiC23_g2445.t2, FhHiC23_g2445.t1	Smp_156000.1
OG0001034	FhHiC23_g2105.t1	Smp_128520.1, Smp_128530.1
OG0001035	FhHiC23_g268.t1, FhHiC23_g269.t1, FhHiC23_g262.t1, FhHiC23_g262.t2, FhHiC23_g259.t1, FhHiC23_g260.t1, FhHiC23_g264.t1, FhHiC23_g265.t1, FhHiC23_g1943.t1	Smp_311670.1, Smp_311660.1, Smp_337730.1
OG0001036	FhHiC23_g11613.t1	Smp_167810.1
OG0001037	FhHiC23_g15057.t1, FhHiC23_g15057.t3, FhHiC23_g15202.t1, FhHiC23_g15202.t2	Smp_163780.1
OG0001038	FhHiC23_g13415.t2, FhHiC23_g13415.t1, FhHiC23_g13415.t3	Smp_064590.1
OG0001039	FhHiC23_g9256.t1	Smp_076960.1
OG0001040	FhHiC23_g4241.t1, FhHiC23_g4241.t2	Smp_242860.1, Smp_242860.2
OG0001041	FhHiC23_g9008.t1, FhHiC23_g9008.t2, FhHiC23_g9008.t3	Smp_057320.1
OG0001042	FhHiC23_g13435.t1, FhHiC23_g13436.t1	Smp_340300.1, Smp_340300.2
OG0001043	FhHiC23_g993.t1	Smp_341110.1
OG0001044	FhHiC23_g7412.t1	Smp_312230.1
OG0001045	FhHiC23_g8415.t1	Smp_333610.1
OG0001046	FhHiC23_g81.t1	Smp_009540.1
OG0001047	FhHiC23_g9855.t1, FhHiC23_g9855.t2	Smp_212300.1, Smp_212300.2
OG0001048	FhHiC23_g282.t1, FhHiC23_g282.t2	Smp_343740.1
OG0001049	FhHiC23_g1405.t4, FhHiC23_g1405.t1, FhHiC23_g1405.t2, FhHiC23_g1405.t3	Smp_194570.1
OG0001050	FhHiC23_g6799.t1	Smp_336680.1
OG0001051	FhHiC23_g16833.t1	Smp_158190.1
OG0001052	FhHiC23_g798.t1	Smp_121600.3, Smp_121600.2, Smp_121600.1
OG0001053	FhHiC23_g8610.t1	Smp_150210.1
OG0001054	FhHiC23_g12139.t1	Smp_147520.1
OG0001055	FhHiC23_g6311.t1	Smp_165040.1
OG0001056	FhHiC23_g8018.t1, FhHiC23_g8018.t2	Smp_345120.1
OG0001057	FhHiC23_g16676.t1, FhHiC23_g16676.t2	Smp_344960.1
OG0001058	FhHiC23_g7616.t1	Smp_337785.1, Smp_337780.1
OG0001059	FhHiC23_g15619.t1, FhHiC23_g15619.t2	Smp_121640.1
OG0001060	FhHiC23_g8550.t3, FhHiC23_g8550.t2, FhHiC23_g8550.t1	Smp_087620.1
OG0001061	FhHiC23_g10637.t1	Smp_343890.1, Smp_178760.1, Smp_242450.1
OG0001068	FhHiC23_g1453.t1	Smp_058980.1
OG0001070	FhHiC23_g10636.t1, FhHiC23_g7712.t1	Smp_013060.1
OG0001070	FhHiC23_g2817.t2, FhHiC23_g2817.t1	Smp_212740.1
OG0001071	FhHiC23_g8249.t1, FhHiC23_g8249.t2	Smp_134910.1
OG0001072	FhHiC23_g14078.t1	Smp_121940.1
OG0001073	FhHiC23_g15794.t1	Smp_176580.1
OG0001074	FhHiC23_g9712.t1	Smp_175860.1
OG0001075	FhHiC23_g7537.t1	Smp_246600.1, Smp_246600.2
OG0001076	FhHiC23_g231.t3, FhHiC23_g231.t1, FhHiC23_g231.t2	Smp_095910.1
OG0001077	FhHiC23_g2069.t1	Smp_129670.1, Smp_129670.2
OG0001078	FhHiC23_g7897.t2, FhHiC23_g7897.t1	Smp_336670.1
OG0001079	FhHiC23_g1658.t1	Smp_043070.1, Smp_043070.2, Smp_145460.1
OG0001080	FhHiC23_g1174.t1	Smp_009030.1
OG0001081	FhHiC23_g5306.t1	Smp_172370.1, Smp_092020.1, Smp_092020.3, Smp_092020.2
OG0001082	FhHiC23_g2343.t1	Smp_171200.1
OG0001083	FhHiC23_g9161.t1, FhHiC23_g9161.t2	Smp_057530.1
OG0001084	FhHiC23_g15642.t1	Smp_051210.1
OG0001085	FhHiC23_g9501.t1	Smp_005880.1
OG0001086	FhHiC23_g3370.t1	Smp_344990.1
OG0001087	FhHiC23_g1403.t2, FhHiC23_g1403.t1, FhHiC23_g1404.t1	Smp_063640.1
OG0001087	FhHiC23_g6106.t1	Smp_010230.1
OG0001088	FhHiC23_g10196.t1, FhHiC23_g10197.t1	Smp_129590.1, Smp_129590.2, Smp_158540.1
OG0001089	FhHiC23_g7786.t1	Smp_023550.1
OG0001090	FhHiC23_g9487.t1	Smp_031690.1, Smp_031690.2
OG0001091	FhHiC23_g1119.t1	Smp_161170.1
OG0001092	FhHiC23_g2498.t1, FhHiC23_g2498.t2	Smp_334020.1
OG0001093	FhHiC23_g4232.t1	Smp_056810.1
OG0001094	FhHiC23_g14498.t1, FhHiC23_g14498.t2	Smp_337200.1
OG0001095	FhHiC23_g2076.t1	Smp_127180.1
OG0001096	FhHiC23_g11191.t1	Smp_163180.1
OG0001097	FhHiC23_g8335.t1, FhHiC23_g8335.t2, FhHiC23_g15754.t1	Smp_000790.1, Smp_000790.2
OG0001098	FhHiC23_g5515.t2, FhHiC23_g5515.t1	Smp_006760.1
OG0001099	FhHiC23_g4375.t1, FhHiC23_g4375.t2, FhHiC23_g4375.t3	Smp_164100.1
OG0001099	FhHiC23_g4376.t2, FhHiC23_g4376.t1	Smp_077720.1, Smp_077720.2
OG0001100	FhHiC23_g8517.t1, FhHiC23_g8517.t2	Smp_309590.1, Smp_309590.2
OG0001101	FhHiC23_g1166.t1	Smp_122730.1, Smp_327640.1, Smp_327420.1
OG0001102	FhHiC23_g8118.t1, FhHiC23_g8119.t1	Smp_106130.1
OG0001103	FhHiC23_g9426.t1	Smp_057360.1
OG0001104	FhHiC23_g7807.t1	Smp_186670.1
OG0001105	FhHiC23_g5722.t1	Smp_140580.1
OG0001106	FhHiC23_g8470.t1, FhHiC23_g8469.t1	Smp_309660.1, Smp_309670.1
OG0001107	FhHiC23_g2353.t1	Smp_154320.1
OG0001108	FhHiC23_g5315.t1, FhHiC23_g5315.t2	Smp_141140.1
OG0001109	FhHiC23_g5353.t1	Smp_052790.1
OG0001110	FhHiC23_g12675.t1, FhHiC23_g12675.t3, FhHiC23_g12675.t2	Smp_241500.1
OG0001111	FhHiC23_g704.t1, FhHiC23_g704.t2	Smp_157360.1
OG0001112	FhHiC23_g9029.t1, FhHiC23_g9029.t2	Smp_005720.1, Smp_300990.1, Smp_332980.1
OG0001113	FhHiC23_g13268.t1, FhHiC23_g13268.t2	Smp_019840.1, Smp_019840.2
OG0001114	FhHiC23_g12455.t1, FhHiC23_g12454.t1	Smp_044550.2, Smp_044550.1
OG0001115	FhHiC23_g9413.t1	Smp_344540.1, Smp_344540.2
OG0001116	FhHiC23_g3848.t1, FhHiC23_g3848.t2	Smp_347070.1
OG0001117	FhHiC23_g15056.t1	Smp_135170.1
OG0001118	FhHiC23_g858.t1	Smp_148820.1, Smp_312580.1, Smp_332640.1
OG0001119	FhHiC23_g7613.t1	Smp_333660.1
OG0001120	FhHiC23_g6514.t1, FhHiC23_g6513.t1	Smp_161730.1
OG0001121	FhHiC23_g1269.t1	Smp_210250.1, Smp_210250.2
OG0001122	FhHiC23_g1505.t1	Smp_050470.1
OG0001123	FhHiC23_g16262.t1	Smp_064280.1
OG0001124	FhHiC23_g4816.t1, FhHiC23_g4816.t2	Smp_060570.1
OG0001125	FhHiC23_g15067.t1, FhHiC23_g15283.t1	Smp_306580.1, Smp_335110.1
OG0001126	FhHiC23_g15149.t1	Smp_068300.1
OG0001127	FhHiC23_g5403.t3	Smp_344130.1
OG0001129	FhHiC23_g5851.t1, FhHiC23_g5851.t2	Smp_212840.1, Smp_212850.1
OG0001130	FhHiC23_g11767.t1	Smp_340290.1
OG0001131	FhHiC23_g1578.t1, FhHiC23_g904.t1	Smp_313110.1, Smp_313100.1
OG0001132	FhHiC23_g4204.t1	Smp_045590.1
OG0001133	FhHiC23_g12862.t1, FhHiC23_g12866.t1	Smp_054470.1
OG0001134	FhHiC23_g7886.t2, FhHiC23_g7886.t1	Smp_123450.1
OG0001135	FhHiC23_g5147.t1, FhHiC23_g5147.t3, FhHiC23_g5147.t2, FhHiC23_g13641.t1	Smp_176420.1
OG0001136	FhHiC23_g9049.t1, FhHiC23_g9049.t3, FhHiC23_g9049.t2, FhHiC23_g9048.t1	Smp_245010.1
OG0001137	FhHiC23_g1813.t1, FhHiC23_g4293.t1	Smp_103570.1
OG0001138	FhHiC23_g15520.t1, FhHiC23_g15520.t2	Smp_061210.1
OG0001139	FhHiC23_g5718.t1	Smp_180740.1
OG0001140	FhHiC23_g241.t1, FhHiC23_g241.t2	Smp_159340.1
OG0001141	FhHiC23_g1076.t1, FhHiC23_g1076.t2, FhHiC23_g1075.t1	Smp_090080.1
OG0001142	FhHiC23_g11870.t1	Smp_323580.1
OG0001143	FhHiC23_g7415.t1	Smp_168340.1
OG0001144	FhHiC23_g5155.t1	Smp_132660.1
OG0001145	FhHiC23_g7658.t3	Smp_062240.1, Smp_123600.1
OG0001146	FhHiC23_g13278.t1	Smp_322350.1, Smp_322350.2
OG0001147	FhHiC23_g12808.t1	Smp_019760.1
OG0001148	FhHiC23_g381.t1	Smp_086460.1
OG0001149	FhHiC23_g1224.t1, FhHiC23_g1224.t2	Smp_041770.1
OG0001150	FhHiC23_g1835.t2, FhHiC23_g1835.t1	Smp_045400.1
OG0001151	FhHiC23_g16662.t1, FhHiC23_g16661.t1	Smp_169870.1
OG0001152	FhHiC23_g10976.t1	Smp_135910.1
OG0001153	FhHiC23_g6756.t1	Smp_000990.1
OG0001155	FhHiC23_g990.t1	Smp_071880.1
OG0001156	FhHiC23_g13609.t1	Smp_348790.1, Smp_348790.2, Smp_019690.1, Smp_019690.2
OG0001157	FhHiC23_g7566.t1, FhHiC23_g7566.t2	Smp_010140.1
OG0001158	FhHiC23_g13969.t1, FhHiC23_g13969.t2, FhHiC23_g13969.t3	Smp_144080.1
OG0001159	FhHiC23_g15933.t1	Smp_077560.1
OG0001160	FhHiC23_g15448.t1	Smp_131460.1
OG0001161	FhHiC23_g8332.t1, FhHiC23_g8332.t2	Smp_123670.1, Smp_123670.2
OG0001162	FhHiC23_g14256.t1	Smp_180160.1
OG0001163	FhHiC23_g2468.t1, FhHiC23_g2468.t2	Smp_062530.1
OG0001164	FhHiC23_g3712.t1	Smp_341090.2, Smp_341090.1
OG0001165	FhHiC23_g7780.t1, FhHiC23_g7779.t1	Smp_161580.1
OG0001166	FhHiC23_g10639.t2, FhHiC23_g10639.t1	Smp_178740.1
OG0001167	FhHiC23_g8877.t2, FhHiC23_g8877.t1	Smp_180150.1
OG0001168	FhHiC23_g10761.t1	Smp_136040.1
OG0001169	FhHiC23_g1122.t1	Smp_129650.1
OG0001170	FhHiC23_g11438.t1, FhHiC23_g11438.t2	Smp_244570.1
OG0001171	FhHiC23_g15069.t1, FhHiC23_g15069.t2	Smp_024370.1
OG0001172	FhHiC23_g4510.t1, FhHiC23_g4510.t2	Smp_137890.2, Smp_137890.3, Smp_137890.1
OG0001173	FhHiC23_g12817.t1, FhHiC23_g12817.t2	Smp_145810.1
OG0001174	FhHiC23_g12471.t1, FhHiC23_g12471.t2	Smp_189960.1, Smp_189960.2
OG0001175	FhHiC23_g2041.t2, FhHiC23_g2041.t1	Smp_045480.1
OG0001176	FhHiC23_g2663.t2, FhHiC23_g2663.t1, FhHiC23_g2663.t3	Smp_027550.1, Smp_027550.2
OG0001177	FhHiC23_g9740.t1	Smp_341700.1
OG0001178	FhHiC23_g13729.t1	Smp_304060.1, Smp_125940.1
OG0001179	FhHiC23_g9508.t1, FhHiC23_g9508.t2	Smp_127680.1, Smp_127680.2
OG0001180	FhHiC23_g13376.t1	Smp_311140.1, Smp_180190.1
OG0001181	FhHiC23_g7599.t1	Smp_347830.1
OG0001182	FhHiC23_g13909.t1	Smp_019340.1
OG0001183	FhHiC23_g10990.t1	Smp_164410.1
OG0001184	FhHiC23_g12651.t1	Smp_171710.1
OG0001185	FhHiC23_g13085.t1, FhHiC23_g13087.t2, FhHiC23_g13087.t1, FhHiC23_g4259.t1, FhHiC23_g4260.t1	Smp_173900.1
OG0001186	FhHiC23_g13509.t1, FhHiC23_g13509.t2	Smp_134250.1, Smp_134250.2
OG0001187	FhHiC23_g368.t1, FhHiC23_g5631.t1, FhHiC23_g5631.t2	Smp_246500.1
OG0001188	FhHiC23_g13489.t2, FhHiC23_g13489.t1, FhHiC23_g13489.t3	Smp_121140.1
OG0001189	FhHiC23_g10719.t1	Smp_132170.1
OG0001190	FhHiC23_g6596.t1	Smp_132640.1
OG0001191	FhHiC23_g10688.t1	Smp_037190.1
OG0001192	FhHiC23_g14600.t1	Smp_040570.1, Smp_320200.1
OG0001193	FhHiC23_g3600.t1, FhHiC23_g3599.t1	Smp_058130.1
OG0001194	FhHiC23_g13585.t1, FhHiC23_g13585.t3, FhHiC23_g13585.t2	Smp_242400.1
OG0001197	FhHiC23_g15701.t1	Smp_316630.1
OG0001202	FhHiC23_g11630.t1, FhHiC23_g11630.t2	Smp_058450.1
OG0001203	FhHiC23_g12753.t1	Smp_175900.1
OG0001203	FhHiC23_g4036.t1	Smp_314630.1
OG0001204	FhHiC23_g7557.t1, FhHiC23_g7557.t2	Smp_030110.1
OG0001205	FhHiC23_g5338.t1	Smp_010250.1
OG0001207	FhHiC23_g15577.t1, FhHiC23_g15577.t2	Smp_045790.1
OG0001208	FhHiC23_g14632.t2, FhHiC23_g14632.t1	Smp_142620.1
OG0001209	FhHiC23_g976.t1	Smp_301160.1
OG0001210	FhHiC23_g10098.t1	Smp_180400.1
OG0001211	FhHiC23_g10685.t1	Smp_244210.1
OG0001211	FhHiC23_g10684.t1	Smp_244200.1
OG0001212	FhHiC23_g6150.t1	Smp_068990.1
OG0001213	FhHiC23_g11965.t1	Smp_139930.1
OG0001214	FhHiC23_g6213.t1, FhHiC23_g6213.t2	Smp_035150.1
OG0001215	FhHiC23_g8433.t1	Smp_243670.1
OG0001216	FhHiC23_g10346.t1	Smp_333210.1, Smp_333210.2
OG0001217	FhHiC23_g435.t1	Smp_052280.1
OG0001218	FhHiC23_g11418.t1	Smp_157670.1, Smp_157670.2, Smp_157670.3
OG0001219	FhHiC23_g12821.t1, FhHiC23_g12821.t2	Smp_152370.1
OG0001220	FhHiC23_g10412.t1	Smp_041630.1
OG0001221	FhHiC23_g7442.t1	Smp_181460.1
OG0001222	FhHiC23_g16560.t1	Smp_300380.1, Smp_300390.1, Smp_300380.2, Smp_300390.2
OG0001223	FhHiC23_g4936.t1, FhHiC23_g4935.t1, FhHiC23_g4935.t2	Smp_152830.1, Smp_152830.2, Smp_152830.3
OG0001224	FhHiC23_g4210.t1	Smp_094630.1
OG0001225	FhHiC23_g7081.t1	Smp_138200.1
OG0001226	FhHiC23_g206.t1	Smp_131630.1
OG0001227	FhHiC23_g7001.t1	Smp_145990.1
OG0001228	FhHiC23_g14129.t1, FhHiC23_g14102.t1, FhHiC23_g14100.t1, FhHiC23_g14134.t1, FhHiC23_g14108.t1, FhHiC23_g14109.t1, FhHiC23_g14115.t1, FhHiC23_g14126.t1, FhHiC23_g14131.t1, FhHiC23_g14123.t1, FhHiC23_g14127.t1, FhHiC23_g14132.t1, FhHiC23_g4499.t1, FhHiC23_g14125.t1, FhHiC23_g4498.t1, FhHiC23_g14122.t1, FhHiC23_g14124.t1, FhHiC23_g14118.t1, FhHiC23_g14130.t1	Smp_075800.1
OG0001229	FhHiC23_g5603.t1, FhHiC23_g5603.t2	Smp_071470.1
OG0001230	FhHiC23_g15009.t1	Smp_198530.1
OG0001231	FhHiC23_g5551.t1, FhHiC23_g5551.t2	Smp_048430.1
OG0001232	FhHiC23_g4104.t1	Smp_068000.1, Smp_315750.1, Smp_315750.2, Smp_315750.3
OG0001233	FhHiC23_g13620.t1, FhHiC23_g13619.t1, FhHiC23_g13620.t2	Smp_340710.1
OG0001234	FhHiC23_g14590.t1	Smp_165190.1
OG0001235	FhHiC23_g6098.t1, FhHiC23_g6102.t1, FhHiC23_g6102.t2	Smp_133210.1, Smp_020340.1
OG0001236	FhHiC23_g7637.t2, FhHiC23_g7637.t1	Smp_150220.1, Smp_150220.2
OG0001237	FhHiC23_g10491.t1	Smp_096790.1, Smp_323640.1
OG0001238	FhHiC23_g3520.t1	Smp_156880.1
OG0001239	FhHiC23_g11410.t1, FhHiC23_g11410.t2	Smp_341050.1
OG0001240	FhHiC23_g178.t1, FhHiC23_g178.t2	Smp_146310.1
OG0001241	FhHiC23_g8237.t1	Smp_194710.1
OG0001241	FhHiC23_g3364.t1	Smp_069240.1
OG0001242	FhHiC23_g2164.t1, FhHiC23_g415.t1, FhHiC23_g11.t1, FhHiC23_g417.t1, FhHiC23_g416.t1	Smp_095360.1
OG0001243	FhHiC23_g12197.t1, FhHiC23_g12197.t2, FhHiC23_g12197.t3	Smp_344620.1
OG0001244	FhHiC23_g4409.t1, FhHiC23_g8199.t1	Smp_154250.1
OG0001245	FhHiC23_g11312.t1, FhHiC23_g11312.t4, FhHiC23_g11312.t3, FhHiC23_g11312.t2	Smp_305870.1
OG0001246	FhHiC23_g6259.t1, FhHiC23_g6258.t1	Smp_093950.1
OG0001247	FhHiC23_g5459.t1	Smp_041100.1
OG0001248	FhHiC23_g13056.t1, FhHiC23_g13057.t1	Smp_335650.1, Smp_067520.2, Smp_067520.1
OG0001249	FhHiC23_g5900.t1	Smp_342710.1
OG0001250	FhHiC23_g11255.t1	Smp_142970.1, Smp_142980.1
OG0001251	FhHiC23_g378.t1, FhHiC23_g378.t2, FhHiC23_g378.t3	Smp_247620.1
OG0001252	FhHiC23_g1624.t1, FhHiC23_g1624.t2	Smp_045260.1
OG0001253	FhHiC23_g850.t1, FhHiC23_g850.t2	Smp_140770.1
OG0001254	FhHiC23_g5448.t2, FhHiC23_g5448.t1, FhHiC23_g5448.t3, FhHiC23_g5448.t4	Smp_301570.1, Smp_197230.1
OG0001256	FhHiC23_g3312.t1	Smp_161250.1
OG0001257	FhHiC23_g9477.t1	Smp_321890.1
OG0001258	FhHiC23_g774.t1	Smp_096760.1
OG0001259	FhHiC23_g7609.t2, FhHiC23_g4602.t3, FhHiC23_g4602.t1, FhHiC23_g4602.t2, FhHiC23_g7609.t1, FhHiC23_g4602.t4	Smp_080620.1
OG0001260	FhHiC23_g12509.t1, FhHiC23_g12509.t2, FhHiC23_g12508.t2, FhHiC23_g12508.t1	Smp_021590.1
OG0001261	FhHiC23_g14561.t1	Smp_078710.1
OG0001262	FhHiC23_g4162.t1	Smp_085540.2, Smp_085540.1
OG0001263	FhHiC23_g16663.t1	Smp_169890.1, Smp_169880.1
OG0001264	FhHiC23_g1581.t1	Smp_146410.1
OG0001265	FhHiC23_g7618.t1	Smp_132300.1
OG0001266	FhHiC23_g3157.t1	Smp_346940.1
OG0001267	FhHiC23_g1977.t1	Smp_012340.1
OG0001268	FhHiC23_g13820.t1, FhHiC23_g13821.t1	Smp_121190.1
OG0001269	FhHiC23_g10365.t1, FhHiC23_g10365.t2	Smp_016200.1
OG0001270	FhHiC23_g4396.t1	Smp_345920.1
OG0001271	FhHiC23_g7132.t1	Smp_342930.1
OG0001272	FhHiC23_g543.t1	Smp_089100.1
OG0001273	FhHiC23_g2791.t3, FhHiC23_g2793.t3, FhHiC23_g2793.t1, FhHiC23_g2793.t2, FhHiC23_g2791.t1, FhHiC23_g2791.t2, FhHiC23_g2792.t1	Smp_127010.3, Smp_127010.1
OG0001274	FhHiC23_g8222.t1	Smp_346490.1
OG0001275	FhHiC23_g1198.t1	Smp_147630.1
OG0001276	FhHiC23_g6762.t1	Smp_144390.1
OG0001277	FhHiC23_g10833.t1	Smp_332880.1
OG0001278	FhHiC23_g4402.t2, FhHiC23_g4402.t1	Smp_141970.1
OG0001279	FhHiC23_g4944.t1	Smp_213170.1
OG0001280	FhHiC23_g2210.t1, FhHiC23_g2210.t2	Smp_154930.1
OG0001288	FhHiC23_g9111.t1, FhHiC23_g9111.t2	Smp_140100.1
OG0001289	FhHiC23_g6217.t1, FhHiC23_g6217.t2	Smp_140840.1
OG0001290	FhHiC23_g13023.t1	Smp_120360.1
OG0001291	FhHiC23_g11644.t1	Smp_209040.1
OG0001292	FhHiC23_g11967.t1, FhHiC23_g11968.t1	Smp_346070.1
OG0001293	FhHiC23_g1441.t1, FhHiC23_g1443.t1	Smp_037540.1
OG0001294	FhHiC23_g5778.t1, FhHiC23_g5778.t2	Smp_140490.1
OG0001295	FhHiC23_g5328.t1, FhHiC23_g6076.t2, FhHiC23_g5329.t1, FhHiC23_g6076.t3, FhHiC23_g6076.t1	Smp_125810.1
OG0001296	FhHiC23_g11126.t1	Smp_330650.1
OG0001297	FhHiC23_g12110.t1	Smp_163290.1, Smp_163290.2
OG0001298	FhHiC23_g5902.t1	Smp_000040.1
OG0001299	FhHiC23_g4934.t1	Smp_210470.1
