Orthogroup	fasciola_hepatica	schistosoma_mansoni
OG0000070	FhHiC23_g14582.t3, FhHiC23_g14582.t2, FhHiC23_g14582.t4, FhHiC23_g14582.t1	Smp_315710.1
OG0000071	FhHiC23_g6283.t1, FhHiC23_g6282.t1, FhHiC23_g6282.t2	Smp_033600.1
OG0000072	FhHiC23_g15889.t2, FhHiC23_g15889.t3, FhHiC23_g15889.t1	Smp_343430.1
OG0000073	FhHiC23_g2446.t4, FhHiC23_g2446.t2, FhHiC23_g2446.t3, FhHiC23_g2446.t1, FhHiC23_g2446.t5	Smp_336700.1, Smp_336700.2, Smp_336700.3, Smp_336700.4, Smp_328600.4, Smp_328600.3, Smp_328600.2, Smp_328600.1
OG0000074	FhHiC23_g13499.t1	Smp_152330.1
OG0000074	FhHiC23_g4352.t2, FhHiC23_g4352.t1	Smp_164380.1
OG0000074	FhHiC23_g10998.t1	Smp_307260.1
OG0000074	FhHiC23_g16397.t1	Smp_085690.1
OG0000075	FhHiC23_g5300.t1, FhHiC23_g5300.t2	Smp_246680.1
OG0000076	FhHiC23_g8656.t1, FhHiC23_g8656.t2	Smp_141980.1, Smp_141980.2, Smp_141980.3
OG0000076	FhHiC23_g13008.t1, FhHiC23_g13008.t2	Smp_134140.2, Smp_134140.1
OG0000077	FhHiC23_g13340.t1	Smp_244680.1, Smp_244680.2
OG0000078	FhHiC23_g13137.t1	Smp_092530.1
OG0000079	FhHiC23_g5009.t2, FhHiC23_g5009.t1	Smp_129050.1
OG0000079	FhHiC23_g2347.t2, FhHiC23_g2347.t1, FhHiC23_g2347.t3	Smp_044920.1, Smp_044920.2, Smp_044920.4, Smp_044920.3
OG0000080	FhHiC23_g14390.t1	Smp_165200.3, Smp_165200.1, Smp_165200.2
OG0000081	FhHiC23_g1604.t1, FhHiC23_g8541.t1, FhHiC23_g2294.t1	Smp_015160.1, Smp_192230.1, Smp_175880.1, Smp_150000.1, Smp_165450.1, Smp_192010.1, Smp_072670.1, Smp_122190.1
OG0000082	FhHiC23_g13569.t1, FhHiC23_g13569.t2	Smp_132900.1
OG0000085	FhHiC23_g14230.t1, FhHiC23_g14230.t2, FhHiC23_g14231.t1	Smp_127430.1
OG0000086	FhHiC23_g1071.t1	Smp_149300.1
OG0000087	FhHiC23_g1744.t1, FhHiC23_g1744.t2	Smp_245790.1
OG0000088	FhHiC23_g5522.t1	Smp_028690.1, Smp_028690.2, Smp_131890.1
OG0000090	FhHiC23_g954.t1, FhHiC23_g954.t2	Smp_310930.1
OG0000091	FhHiC23_g1072.t1, FhHiC23_g1072.t3, FhHiC23_g1072.t4, FhHiC23_g1072.t5, FhHiC23_g1072.t2	Smp_146060.1
OG0000092	FhHiC23_g12946.t1, FhHiC23_g12946.t2	Smp_180470.1, Smp_180470.2
OG0000092	FhHiC23_g12156.t1, FhHiC23_g12156.t3, FhHiC23_g12156.t2	Smp_064870.1
OG0000093	FhHiC23_g5402.t1, FhHiC23_g5404.t1	Smp_049550.1
OG0000093	FhHiC23_g6196.t1, FhHiC23_g5957.t1	Smp_303420.1, Smp_303390.1, Smp_302170.1, Smp_302180.1, Smp_303400.1, Smp_303410.1, Smp_303550.1, Smp_320760.1
OG0000094	FhHiC23_g11975.t1, FhHiC23_g11975.t2	Smp_128570.1
OG0000095	FhHiC23_g7183.t1	Smp_162630.1
OG0000096	FhHiC23_g5432.t1, FhHiC23_g5432.t2	Smp_005190.2, Smp_005190.1, Smp_005190.3
OG0000097	FhHiC23_g11521.t1	Smp_168050.1
OG0000098	FhHiC23_g4954.t1, FhHiC23_g4955.t1	Smp_072330.1
OG0000098	FhHiC23_g4952.t1, FhHiC23_g8191.t1, FhHiC23_g8190.t1	Smp_340630.1, Smp_340630.2
OG0000099	FhHiC23_g7671.t2, FhHiC23_g7671.t1, FhHiC23_g7671.t3	Smp_000100.1
OG0000099	FhHiC23_g1666.t1, FhHiC23_g1666.t2, FhHiC23_g1666.t3, FhHiC23_g1666.t4	Smp_317420.1
OG0000102	FhHiC23_g13582.t1	Smp_036590.1
OG0000102	FhHiC23_g7758.t1	Smp_138050.1
OG0000103	FhHiC23_g2725.t1	Smp_067000.1
OG0000104	FhHiC23_g12208.t1	Smp_006250.1
OG0000105	FhHiC23_g13058.t1	Smp_019790.1
OG0000107	FhHiC23_g2176.t1	Smp_089430.1
OG0000108	FhHiC23_g10941.t2, FhHiC23_g10941.t1	Smp_093930.1
OG0000110	FhHiC23_g5186.t1, FhHiC23_g5186.t2	Smp_333980.1, Smp_055260.1
OG0000110	FhHiC23_g5563.t1	Smp_129920.1
OG0000110	FhHiC23_g5184.t1, FhHiC23_g5184.t2, FhHiC23_g5184.t3	Smp_129900.1
OG0000111	FhHiC23_g4957.t1	Smp_072140.1
OG0000111	FhHiC23_g5520.t1	Smp_104110.1
OG0000112	FhHiC23_g3619.t1, FhHiC23_g3619.t2	Smp_156910.3, Smp_156910.4, Smp_156910.1, Smp_156910.5, Smp_156910.6, Smp_156910.2
OG0000114	FhHiC23_g9186.t1	Smp_144700.1
OG0000115	FhHiC23_g5095.t1	Smp_094320.1
OG0000116	FhHiC23_g484.t4, FhHiC23_g484.t1, FhHiC23_g484.t3, FhHiC23_g484.t2	Smp_013840.1, Smp_013840.2
OG0000117	FhHiC23_g5310.t1	Smp_014170.1
OG0000118	FhHiC23_g5237.t1	Smp_319790.1, Smp_148080.1, Smp_344080.1, Smp_344070.1, Smp_319780.1, Smp_319770.1, Smp_319770.2
OG0000119	FhHiC23_g10335.t1	Smp_347870.1, Smp_247020.1
OG0000120	FhHiC23_g5279.t1	Smp_167850.1
OG0000122	FhHiC23_g1533.t1	Smp_344340.1
OG0000123	FhHiC23_g3411.t3, FhHiC23_g3411.t2, FhHiC23_g3411.t4, FhHiC23_g3411.t1	Smp_165350.3, Smp_165350.1, Smp_165350.2, Smp_165350.5, Smp_165350.4
OG0000125	FhHiC23_g12828.t1, FhHiC23_g12828.t2, FhHiC23_g12828.t3	Smp_097830.2, Smp_097830.1, Smp_097830.3
OG0000126	FhHiC23_g11731.t2, FhHiC23_g11731.t3, FhHiC23_g11731.t1	Smp_008620.1
OG0000127	FhHiC23_g12206.t1, FhHiC23_g12204.t1	Smp_316780.1, Smp_308060.3, Smp_308060.1, Smp_184350.2, Smp_184350.1, Smp_317400.1, Smp_349030.1, Smp_319340.2, Smp_319340.1, Smp_319340.3, Smp_243170.1, Smp_184350.3
OG0000128	FhHiC23_g14316.t1	Smp_332660.1
OG0000129	FhHiC23_g5688.t1, FhHiC23_g5688.t2	Smp_140420.1
OG0000130	FhHiC23_g3563.t2, FhHiC23_g3563.t4, FhHiC23_g3563.t1, FhHiC23_g3563.t3	Smp_060420.1, Smp_060420.2
OG0000131	FhHiC23_g14945.t1, FhHiC23_g14945.t2, FhHiC23_g14944.t1, FhHiC23_g14213.t1, FhHiC23_g14216.t1, FhHiC23_g14216.t2, FhHiC23_g14222.t1, FhHiC23_g14214.t1, FhHiC23_g14214.t2, FhHiC23_g14215.t1, FhHiC23_g14223.t1, FhHiC23_g14948.t1	Smp_322720.1, Smp_342380.1, Smp_155520.1, Smp_155520.2, Smp_336270.1
OG0000132	FhHiC23_g6424.t2, FhHiC23_g6424.t1, FhHiC23_g6424.t3	Smp_028030.1
OG0000133	FhHiC23_g6624.t1, FhHiC23_g5039.t1, FhHiC23_g2075.t1	Smp_072980.1
OG0000134	FhHiC23_g15419.t1, FhHiC23_g15419.t2	Smp_032480.1
OG0000135	FhHiC23_g11606.t1, FhHiC23_g11606.t2, FhHiC23_g11606.t3	Smp_046060.1, Smp_046060.2
OG0000136	FhHiC23_g11494.t1, FhHiC23_g11493.t3, FhHiC23_g11493.t1, FhHiC23_g11493.t2	Smp_174310.1
OG0000138	FhHiC23_g16219.t1	Smp_158600.1
OG0000138	FhHiC23_g14050.t1	Smp_335620.1
OG0000139	FhHiC23_g12767.t1	Smp_031040.1
OG0000140	FhHiC23_g217.t1, FhHiC23_g217.t2	Smp_059210.1, Smp_059210.2
