Orthogroup	fasciola_gigantica	schistosoma_mansoni
OG0001218	FGIG_01297	Smp_157670.1, Smp_157670.2, Smp_157670.3
OG0001219	FGIG_01301	Smp_152370.1
OG0001220	FGIG_01568	Smp_041630.1
OG0001221	FGIG_01627	Smp_181460.1
OG0001222	FGIG_01806	Smp_300380.1, Smp_300390.1, Smp_300380.2, Smp_300390.2
OG0001223	FGIG_12507, FGIG_01808	Smp_152830.1, Smp_152830.2, Smp_152830.3
OG0001224	FGIG_11675, FGIG_01980, FGIG_11674	Smp_094630.1
OG0001225	FGIG_11699, FGIG_02205	Smp_138200.1
OG0001226	FGIG_02402, FGIG_02403	Smp_131630.1
OG0001227	FGIG_02427, FGIG_10207	Smp_145990.1
OG0001228	FGIG_04742, FGIG_05551, FGIG_02693, FGIG_12115, FGIG_02692	Smp_075800.1
OG0001229	FGIG_02875	Smp_071470.1
OG0001230	FGIG_02882	Smp_198530.1
OG0001231	FGIG_02962	Smp_048430.1
OG0001232	FGIG_03290, FGIG_10388	Smp_068000.1, Smp_315750.1, Smp_315750.2, Smp_315750.3
OG0001233	FGIG_03583	Smp_340710.1
OG0001234	FGIG_03890	Smp_165190.1
OG0001235	FGIG_05015, FGIG_04167	Smp_133210.1, Smp_020340.1
OG0001236	FGIG_04255, FGIG_04254	Smp_150220.1, Smp_150220.2
OG0001237	FGIG_04341	Smp_096790.1, Smp_323640.1
OG0001238	FGIG_04821, FGIG_10088	Smp_156880.1
OG0001239	FGIG_04854	Smp_341050.1
OG0001240	FGIG_05002	Smp_146310.1
OG0001241	FGIG_05887	Smp_194710.1
OG0001241	FGIG_05099	Smp_069240.1
OG0001242	FGIG_05100, FGIG_11527, FGIG_06927, FGIG_10131, FGIG_10130	Smp_095360.1
OG0001243	FGIG_08567, FGIG_05341	Smp_344620.1
OG0001244	FGIG_05347	Smp_154250.1
OG0001245	FGIG_05932	Smp_305870.1
OG0001246	FGIG_06383	Smp_093950.1
OG0001247	FGIG_06416	Smp_041100.1
OG0001248	FGIG_06917	Smp_335650.1, Smp_067520.2, Smp_067520.1
OG0001249	FGIG_06968	Smp_342710.1
OG0001250	FGIG_06989	Smp_142970.1, Smp_142980.1
OG0001251	FGIG_07285	Smp_247620.1
OG0001252	FGIG_07384	Smp_045260.1
OG0001253	FGIG_07753, FGIG_07752	Smp_140770.1
OG0001254	FGIG_12494, FGIG_07899, FGIG_07901	Smp_301570.1, Smp_197230.1
OG0001255	FGIG_07955	Smp_133170.1
OG0001256	FGIG_10216, FGIG_08072, FGIG_08073	Smp_161250.1
OG0001257	FGIG_10494, FGIG_08198	Smp_321890.1
OG0001258	FGIG_08259	Smp_096760.1
OG0001259	FGIG_08281	Smp_080620.1
OG0001260	FGIG_08501, FGIG_08502	Smp_021590.1
OG0001261	FGIG_08782	Smp_078710.1
OG0001262	FGIG_08945	Smp_085540.2, Smp_085540.1
OG0001263	FGIG_09513	Smp_169890.1, Smp_169880.1
OG0001264	FGIG_09786	Smp_146410.1
OG0001265	FGIG_09796	Smp_132300.1
OG0001266	FGIG_09988	Smp_346940.1
OG0001267	FGIG_10603	Smp_012340.1
OG0001268	FGIG_11001, FGIG_10608	Smp_121190.1
OG0001269	FGIG_10908	Smp_016200.1
OG0001270	FGIG_10957	Smp_345920.1
OG0001271	FGIG_11008, FGIG_12544	Smp_342930.1
OG0001272	FGIG_11520, FGIG_12609, FGIG_11091	Smp_089100.1
OG0001273	FGIG_11191	Smp_127010.3, Smp_127010.1
OG0001274	FGIG_11229, FGIG_11228	Smp_346490.1
OG0001275	FGIG_11389, FGIG_11949	Smp_147630.1
OG0001276	FGIG_11574	Smp_144390.1
OG0001277	FGIG_11601, FGIG_12005	Smp_332880.1
OG0001278	FGIG_11618	Smp_141970.1
OG0001279	FGIG_12224, FGIG_12521	Smp_213170.1
OG0001288	FGIG_00192	Smp_140100.1
OG0001289	FGIG_00210	Smp_140840.1
OG0001290	FGIG_07230, FGIG_00515	Smp_120360.1
OG0001291	FGIG_00674	Smp_209040.1
OG0001292	FGIG_00943	Smp_346070.1
OG0001293	FGIG_01034, FGIG_10755	Smp_037540.1
OG0001294	FGIG_01093	Smp_140490.1
OG0001295	FGIG_01383	Smp_125810.1
OG0001296	FGIG_01523	Smp_330650.1
OG0001297	FGIG_01649	Smp_163290.1, Smp_163290.2
OG0001298	FGIG_10329, FGIG_01668	Smp_000040.1
OG0001299	FGIG_01809	Smp_210470.1
OG0001300	FGIG_01863, FGIG_01865, FGIG_01864	Smp_245090.1
OG0001301	FGIG_02298	Smp_241750.1
OG0001302	FGIG_02339, FGIG_12266	Smp_153170.1
OG0001303	FGIG_02649	Smp_125800.1
OG0001304	FGIG_02940	Smp_087930.1
OG0001305	FGIG_03115	Smp_021550.1
OG0001306	FGIG_03213, FGIG_11624	Smp_075060.1, Smp_075060.2, Smp_162660.1
OG0001307	FGIG_12121	Smp_152710.1
OG0001307	FGIG_08402, FGIG_03373	Smp_314320.1
OG0001308	FGIG_03675	Smp_144820.1
OG0001309	FGIG_03882	Smp_126850.1
OG0001310	FGIG_03923, FGIG_03919, FGIG_03920, FGIG_03921, FGIG_03922	Smp_163500.1
OG0001311	FGIG_04205	Smp_079860.1
OG0001312	FGIG_04608	Smp_094360.1
OG0001313	FGIG_04711, FGIG_10967, FGIG_04712	Smp_344870.1
OG0001314	FGIG_04857	Smp_179720.1
OG0001315	FGIG_04966	Smp_201760.1, Smp_073070.1
OG0001316	FGIG_05223, FGIG_05224	Smp_210120.1
OG0001317	FGIG_05230, FGIG_05743	Smp_045920.1, Smp_045920.2
OG0001318	FGIG_05261	Smp_130680.1
OG0001319	FGIG_05871	Smp_344060.1
OG0001320	FGIG_06118	Smp_052350.1
OG0001321	FGIG_06378, FGIG_10936, FGIG_10722	Smp_345440.1
OG0001322	FGIG_06556	Smp_128130.1
OG0001323	FGIG_06678	Smp_130790.2, Smp_130790.1, Smp_130790.3
OG0001324	FGIG_06702	Smp_341920.1
OG0001325	FGIG_06784	Smp_198330.1
OG0001326	FGIG_07026, FGIG_12565	Smp_123340.1
OG0001327	FGIG_07236	Smp_046430.1
OG0001328	FGIG_12496, FGIG_07303, FGIG_07304	Smp_007710.1
OG0001330	FGIG_07580	Smp_012570.1
OG0001331	FGIG_07615	Smp_143480.1
OG0001332	FGIG_07793	Smp_004310.1
OG0001332	FGIG_08065	Smp_062890.2, Smp_062890.1
OG0001333	FGIG_08087	Smp_333640.1
OG0001334	FGIG_08335	Smp_133820.1
OG0001335	FGIG_08507	Smp_012740.1
OG0001336	FGIG_08559	Smp_159330.1, Smp_310230.1
OG0001337	FGIG_08711	Smp_341950.1
OG0001338	FGIG_08777	Smp_144490.1
OG0001339	FGIG_09242	Smp_155370.1
OG0001340	FGIG_09253	Smp_116360.1, Smp_210650.1
OG0001341	FGIG_09384	Smp_070190.1
OG0001342	FGIG_12225, FGIG_09592, FGIG_09591	Smp_245860.1
OG0001343	FGIG_09648	Smp_062900.1, Smp_062900.3
OG0001344	FGIG_10334, FGIG_09779	Smp_207030.1
OG0001345	FGIG_09899, FGIG_10090	Smp_040190.1
OG0001346	FGIG_10884, FGIG_10886, FGIG_09989, FGIG_10885	Smp_345885.1, Smp_345880.1
OG0001347	FGIG_10057, FGIG_12464	Smp_301170.2, Smp_301170.1
OG0001348	FGIG_10100	Smp_019380.1
OG0001349	FGIG_11879, FGIG_10164	Smp_244400.1, Smp_244400.2
OG0001350	FGIG_10314	Smp_246620.1
OG0001351	FGIG_10576	Smp_342560.1
OG0001352	FGIG_10691	Smp_089650.2, Smp_089650.1
OG0001353	FGIG_10836, FGIG_11746	Smp_246550.1
OG0001354	FGIG_11409	Smp_018950.1
OG0001355	FGIG_11782	Smp_307950.1
OG0001356	FGIG_11865	Smp_089220.1
OG0001357	FGIG_12082	Smp_090980.1
OG0001358	FGIG_12429, FGIG_12515	Smp_169970.1
OG0001361	FGIG_00002	Smp_035030.1
OG0001362	FGIG_10224	Smp_012900.1
OG0001363	FGIG_00681	Smp_144860.1
OG0001364	FGIG_02461, FGIG_00701	Smp_210130.1
OG0001365	FGIG_00793	Smp_042020.1
OG0001366	FGIG_00825	Smp_311200.1, Smp_311200.2
OG0001367	FGIG_00899	Smp_125280.1
OG0001368	FGIG_01072	Smp_130480.1
OG0001369	FGIG_01293, FGIG_11775	Smp_050890.1
OG0001370	FGIG_01407	Smp_204740.1
OG0001371	FGIG_01436, FGIG_03554, FGIG_05993	Smp_127440.1
OG0001372	FGIG_01881	Smp_144520.1
OG0001373	FGIG_01981	Smp_328230.1
OG0001374	FGIG_01999	Smp_132260.1
OG0001375	FGIG_02028	Smp_155840.1
OG0001376	FGIG_02276	Smp_089400.1
OG0001377	FGIG_02347	Smp_129500.1
OG0001378	FGIG_02822, FGIG_02481	Smp_028440.1
OG0001379	FGIG_02623, FGIG_11407, FGIG_11408, FGIG_09106	Smp_169430.1
OG0001380	FGIG_02638	Smp_083480.1, Smp_083480.2
OG0001381	FGIG_02642, FGIG_12629	Smp_050830.1, Smp_050830.2
OG0001382	FGIG_02925	Smp_346350.1
OG0001383	FGIG_03190	Smp_139060.1
OG0001384	FGIG_03272	Smp_247890.1
OG0001385	FGIG_03311, FGIG_03310	Smp_244700.2, Smp_244700.5, Smp_244700.1, Smp_244700.3, Smp_244700.4
OG0001386	FGIG_03534	Smp_345600.1
OG0001387	FGIG_03668	Smp_123165.1
OG0001388	FGIG_07823, FGIG_03697	Smp_147390.1
OG0001389	FGIG_03992	Smp_245480.1
OG0001390	FGIG_04023	Smp_147890.1, Smp_147890.2
OG0001391	FGIG_04025, FGIG_06537	Smp_180810.1
OG0001392	FGIG_04113	Smp_025550.1, Smp_025550.3, Smp_025550.2
OG0001393	FGIG_04241	Smp_142700.1, Smp_037960.1
OG0001394	FGIG_04248	Smp_345220.1, Smp_350000.1
OG0001395	FGIG_04272	Smp_087940.1
OG0001395	FGIG_12176	Smp_073790.1
OG0001396	FGIG_04364	Smp_335960.1, Smp_146010.1
OG0001397	FGIG_04602	Smp_070710.1
OG0001398	FGIG_04627	Smp_155400.1
OG0001399	FGIG_04632, FGIG_05593	Smp_046780.1, Smp_009310.1
OG0001400	FGIG_04740	Smp_128070.1
OG0001401	FGIG_05531, FGIG_04791	Smp_245710.1
OG0001402	FGIG_04917	Smp_079400.1
OG0001403	FGIG_05254, FGIG_05255	Smp_137660.1
OG0001404	FGIG_05319	Smp_333330.1
OG0001405	FGIG_05965	Smp_066820.1
OG0001406	FGIG_06203	Smp_019900.1
OG0001408	FGIG_06264, FGIG_07363	Smp_152290.2, Smp_152290.1, Smp_152280.1
OG0001409	FGIG_06287, FGIG_09995	Smp_315850.1
OG0001410	FGIG_06538	Smp_319370.1, Smp_032230.1
OG0001411	FGIG_06544	Smp_141150.1
OG0001412	FGIG_06774	Smp_246000.1
OG0001413	FGIG_06924	Smp_152940.1, Smp_152940.2
OG0001414	FGIG_07348	Smp_347700.2, Smp_347700.1
OG0001415	FGIG_07500	Smp_073290.1
OG0001416	FGIG_07696	Smp_136580.1
OG0001417	FGIG_07741, FGIG_12559	Smp_157770.1
OG0001418	FGIG_07825	Smp_171720.1, Smp_171720.2
OG0001420	FGIG_07881	Smp_082560.1
OG0001421	FGIG_07907	Smp_319130.1
OG0001422	FGIG_08355	Smp_042670.1
OG0001423	FGIG_08436	Smp_343580.1
OG0001424	FGIG_09248, FGIG_12263, FGIG_08684	Smp_347330.1
OG0001425	FGIG_08864	Smp_003250.2, Smp_003250.1
OG0001426	FGIG_09477	Smp_006190.1
OG0001427	FGIG_09959, FGIG_09960, FGIG_09551	Smp_337460.1
OG0001428	FGIG_09685	Smp_304030.1, Smp_304040.1
OG0001429	FGIG_09736	Smp_181120.1
OG0001430	FGIG_09780, FGIG_09781	Smp_121580.1
OG0001431	FGIG_09903	Smp_123490.1
OG0001432	FGIG_10624, FGIG_10046	Smp_166080.1
OG0001433	FGIG_10236	Smp_051230.1, Smp_051230.2
OG0001434	FGIG_10315	Smp_166680.1
OG0001435	FGIG_10602	Smp_062420.1
OG0001436	FGIG_10675	Smp_042300.1
OG0001437	FGIG_11037	Smp_129700.1, Smp_328430.1
OG0001438	FGIG_12188, FGIG_11078	Smp_088250.1
OG0001439	FGIG_11413	Smp_053550.1, Smp_053550.2
OG0001440	FGIG_11566, FGIG_11647	Smp_301990.1, Smp_301990.2
OG0001441	FGIG_11575	Smp_025010.1
OG0001442	FGIG_12309	Smp_333550.1
OG0001443	FGIG_12392	Smp_076150.1
OG0001453	FGIG_00007	Smp_245870.1
OG0001454	FGIG_00100	Smp_058140.2, Smp_058140.1, Smp_058140.3
OG0001455	FGIG_00375	Smp_097560.1
OG0001456	FGIG_00389, FGIG_00388, FGIG_00391, FGIG_00390, FGIG_00394	Smp_342870.1
OG0001457	FGIG_00527	Smp_166580.1
OG0001458	FGIG_00598	Smp_081200.1
OG0001459	FGIG_00625	Smp_327210.1, Smp_313440.1, Smp_327200.1, Smp_317020.1
OG0001460	FGIG_00746	Smp_132700.2, Smp_132700.1
OG0001461	FGIG_00812	Smp_035390.1
OG0001462	FGIG_00838	Smp_345300.1
OG0001463	FGIG_00845, FGIG_00847, FGIG_00842	Smp_345620.1
OG0001464	FGIG_01002, FGIG_01001	Smp_212080.1
OG0001465	FGIG_01084, FGIG_01085, FGIG_01083	Smp_145420.1
OG0001466	FGIG_01468	Smp_022110.1
OG0001467	FGIG_01527	Smp_326160.1, Smp_167880.2, Smp_167880.1
OG0001468	FGIG_01678	Smp_241470.1
OG0001469	FGIG_02035	Smp_150560.1
OG0001470	FGIG_02478	Smp_132550.1
OG0001471	FGIG_02485	Smp_029070.1
OG0001472	FGIG_02729	Smp_144370.1
OG0001473	FGIG_02731	Smp_008830.1
OG0001474	FGIG_03047	Smp_247270.1
OG0001475	FGIG_03100	Smp_311650.1
OG0001476	FGIG_03317, FGIG_03318, FGIG_03319	Smp_174230.1
OG0001477	FGIG_05669, FGIG_03473	Smp_105200.1
OG0001478	FGIG_03510	Smp_345630.1, Smp_345630.2
OG0001479	FGIG_03824, FGIG_03823	Smp_305050.1, Smp_305060.1
OG0001480	FGIG_03902, FGIG_09394	Smp_172810.1
OG0001481	FGIG_03954	Smp_310510.1, Smp_310510.2, Smp_310520.1
OG0001482	FGIG_03987, FGIG_03989	Smp_164010.1
OG0001483	FGIG_04016, FGIG_04017	Smp_341560.1
OG0001484	FGIG_04029	Smp_099160.1
OG0001485	FGIG_04100	Smp_172420.1
OG0001486	FGIG_04199	Smp_148460.1
OG0001487	FGIG_04338	Smp_129550.1, Smp_129580.1
OG0001488	FGIG_10101	Smp_132750.1
OG0001488	FGIG_04424, FGIG_09377	Smp_005790.1
OG0001489	FGIG_04514	Smp_003340.1
OG0001490	FGIG_04737	Smp_246460.1
OG0001491	FGIG_04881	Smp_320940.3, Smp_320940.1, Smp_320940.2, Smp_158740.1
OG0001492	FGIG_05028	Smp_161220.1
OG0001493	FGIG_05082	Smp_210300.1
OG0001494	FGIG_05163	Smp_181040.1
OG0001495	FGIG_05214	Smp_019680.1
OG0001496	FGIG_05312	Smp_334250.1
OG0001497	FGIG_09297, FGIG_08521, FGIG_05321, FGIG_09298	Smp_098760.1
OG0001498	FGIG_05326	Smp_320530.1
OG0001499	FGIG_05475	Smp_199800.1
OG0001500	FGIG_05484	Smp_138330.1
OG0001501	FGIG_05719	Smp_130260.1
OG0001502	FGIG_07935, FGIG_12383, FGIG_11916, FGIG_05911	Smp_244820.1, Smp_244820.2
OG0001503	FGIG_05914, FGIG_05913, FGIG_12549	Smp_154880.1
OG0001504	FGIG_06003	Smp_092810.1
OG0001505	FGIG_06009, FGIG_06008, FGIG_11726	Smp_127770.1
OG0001506	FGIG_11884, FGIG_06191	Smp_132090.1
OG0001507	FGIG_06422	Smp_130020.1
OG0001508	FGIG_06515	Smp_054800.1
OG0001509	FGIG_08725, FGIG_06689, FGIG_11470	Smp_153930.1, Smp_247860.1
OG0001510	FGIG_09309	Smp_065580.1
OG0001511	FGIG_07488	Smp_006590.1
OG0001512	FGIG_07543, FGIG_08646	Smp_092320.1
OG0001513	FGIG_07584	Smp_241410.1
OG0001514	FGIG_11472, FGIG_07598	Smp_340970.1
OG0001515	FGIG_07783	Smp_347370.1, Smp_021370.1
OG0001516	FGIG_08344	Smp_244160.1
OG0001516	FGIG_08392	Smp_143780.1
OG0001517	FGIG_08150	Smp_097790.1, Smp_097790.2
OG0001518	FGIG_08552, FGIG_08418	Smp_153870.1, Smp_153870.2
OG0001519	FGIG_08498	Smp_150850.1
OG0001520	FGIG_08941	Smp_012030.1
OG0001521	FGIG_09187	Smp_245950.1
OG0001522	FGIG_09207	Smp_345770.1
OG0001523	FGIG_09296	Smp_171270.1
OG0001524	FGIG_09430	Smp_247650.1
OG0001525	FGIG_10654, FGIG_09632	Smp_136160.1
OG0001526	FGIG_09633	Smp_344110.1
OG0001527	FGIG_09634	Smp_156160.1
OG0001528	FGIG_09818, FGIG_10180	Smp_152060.1
OG0001529	FGIG_09837	Smp_104520.1
OG0001530	FGIG_09879	Smp_133590.1, Smp_133590.2, Smp_133590.3
OG0001531	FGIG_10103	Smp_323830.2, Smp_323830.1
OG0001532	FGIG_10146, FGIG_10147	Smp_164820.1, Smp_322070.1
OG0001533	FGIG_10179	Smp_047720.1
OG0001534	FGIG_10287	Smp_156630.1
OG0001535	FGIG_10930, FGIG_10298	Smp_123320.1
OG0001536	FGIG_10698	Smp_149530.1
OG0001537	FGIG_11105	Smp_133900.1, Smp_133890.1
OG0001538	FGIG_11361	Smp_078240.1
OG0001539	FGIG_11593	Smp_156990.1
OG0001540	FGIG_11704	Smp_088460.1
OG0001541	FGIG_11817	Smp_039160.1
OG0001542	FGIG_11924	Smp_179010.1
OG0001543	FGIG_11936	Smp_321255.1
OG0001544	FGIG_12130, FGIG_12131	Smp_135990.1
OG0001554	FGIG_07971, FGIG_07969	Smp_129020.1
OG0001555	FGIG_00531, FGIG_00530, FGIG_00127	Smp_138810.1, Smp_153890.1
OG0001556	FGIG_00492	Smp_140440.1
OG0001557	FGIG_00563	Smp_161380.1
OG0001558	FGIG_00593	Smp_053900.1
OG0001560	FGIG_00841	Smp_013080.1
OG0001561	FGIG_00934, FGIG_03387	Smp_310170.1
OG0001562	FGIG_01022	Smp_342970.1
OG0001563	FGIG_01149	Smp_005390.1
OG0001564	FGIG_12337, FGIG_01165, FGIG_01166	Smp_310760.1, Smp_310750.1
OG0001565	FGIG_01252	Smp_026930.1
OG0001566	FGIG_01332, FGIG_01331	Smp_210660.1
OG0001567	FGIG_01351, FGIG_02042	Smp_169670.1
OG0001568	FGIG_01381, FGIG_10926	Smp_090140.1
OG0001569	FGIG_01430	Smp_136510.1, Smp_136510.2
OG0001570	FGIG_01497	Smp_312440.1, Smp_312460.1
OG0001571	FGIG_08212	Smp_015630.1
OG0001571	FGIG_01541	Smp_096480.1
OG0001572	FGIG_01643	Smp_127490.1
OG0001573	FGIG_01771	Smp_333140.1
OG0001574	FGIG_01776	Smp_005160.1, Smp_005160.2
OG0001575	FGIG_01819	Smp_158310.1, Smp_158310.3, Smp_158310.2
OG0001576	FGIG_01874, FGIG_01873	Smp_138880.1
OG0001577	FGIG_02105	Smp_133120.1
OG0001578	FGIG_02177	Smp_246050.4, Smp_246050.2, Smp_246050.5, Smp_246050.1, Smp_246050.3
OG0001579	FGIG_02212	Smp_267110.1
OG0001580	FGIG_02237	Smp_166370.1
OG0001581	FGIG_02435	Smp_151490.1, Smp_151490.2
OG0001582	FGIG_02459	Smp_021920.1
OG0001583	FGIG_02462	Smp_170570.1
OG0001584	FGIG_02509, FGIG_02508	Smp_139470.1
OG0001585	FGIG_02700	Smp_049580.1
OG0001586	FGIG_02757	Smp_015390.1
OG0001587	FGIG_02789, FGIG_08846	Smp_161080.1, Smp_161080.2
OG0001588	FGIG_03013	Smp_085080.1
OG0001589	FGIG_03031	Smp_150420.1
OG0001590	FGIG_03074	Smp_142210.1
OG0001591	FGIG_03110	Smp_332360.1
OG0001592	FGIG_03254	Smp_210520.1, Smp_210520.2
OG0001593	FGIG_03389	Smp_162600.1
OG0001594	FGIG_03404	Smp_127600.1
OG0001595	FGIG_03681	Smp_300810.1
OG0001596	FGIG_03686	Smp_038080.1
OG0001597	FGIG_03710	Smp_027430.1
OG0001598	FGIG_03711	Smp_001410.1
OG0001599	FGIG_03826	Smp_087010.1
OG0001600	FGIG_03860	Smp_093220.1
OG0001601	FGIG_04047	Smp_246360.1
OG0001602	FGIG_04252	Smp_153640.1
OG0001603	FGIG_04384	Smp_048830.1
OG0001604	FGIG_04790	Smp_332680.1
OG0001605	FGIG_04843, FGIG_04842	Smp_241450.1
OG0001606	FGIG_09218, FGIG_09219, FGIG_05027	Smp_241980.1
OG0001607	FGIG_05053, FGIG_08672	Smp_150680.1
OG0001608	FGIG_05065	Smp_082670.1
OG0001609	FGIG_05088	Smp_213490.1
OG0001610	FGIG_07389	Smp_342160.1
OG0001610	FGIG_08349, FGIG_05093	Smp_008260.1
OG0001611	FGIG_05457	Smp_137950.1, Smp_137950.2
OG0001612	FGIG_05464	Smp_021540.1
OG0001613	FGIG_05500	Smp_008710.1
OG0001614	FGIG_05538, FGIG_05540	Smp_148650.1
OG0001615	FGIG_05541	Smp_049500.1
OG0001616	FGIG_05680	Smp_212900.1
OG0001617	FGIG_05780	Smp_047540.2, Smp_047540.1
OG0001618	FGIG_05781, FGIG_05782	Smp_170350.1
OG0001619	FGIG_05824	Smp_147560.1
OG0001620	FGIG_06091	Smp_136180.1
OG0001621	FGIG_06135	Smp_015690.1
OG0001622	FGIG_06211, FGIG_06210	Smp_143970.1
OG0001623	FGIG_06565	Smp_127280.1
OG0001624	FGIG_07374, FGIG_06649	Smp_161370.1
OG0001625	FGIG_11741, FGIG_06687	Smp_308490.1, Smp_308480.1, Smp_308480.2, Smp_308470.1, Smp_308470.2
OG0001626	FGIG_06845	Smp_033710.1
OG0001627	FGIG_06856	Smp_149950.1
OG0001628	FGIG_06970	Smp_038030.1
OG0001629	FGIG_07009	Smp_188430.1
OG0001631	FGIG_07316	Smp_024900.1
OG0001632	FGIG_07391	Smp_122370.1
OG0001633	FGIG_07448	Smp_210370.1
OG0001634	FGIG_07519	Smp_172220.1
OG0001635	FGIG_07538, FGIG_07539	Smp_138610.1
OG0001636	FGIG_07566	Smp_145180.1
OG0001637	FGIG_07660	Smp_105680.1
OG0001638	FGIG_07831	Smp_096210.1
OG0001639	FGIG_08142	Smp_323820.1, Smp_323800.1, Smp_060210.1, Smp_060220.1
OG0001640	FGIG_08389	Smp_155030.1
OG0001641	FGIG_08605	Smp_087520.2, Smp_087520.1
OG0001643	FGIG_08854	Smp_121800.1, Smp_121800.2
OG0001644	FGIG_09142	Smp_157320.1
OG0001645	FGIG_09151, FGIG_10352	Smp_196880.1, Smp_196880.2
OG0001646	FGIG_09195	Smp_096520.1
OG0001647	FGIG_09206	Smp_157540.1
OG0001648	FGIG_09300	Smp_150300.2, Smp_150300.1, Smp_150300.3
OG0001649	FGIG_09378	Smp_163310.1
OG0001650	FGIG_10424, FGIG_12069	Smp_104870.1
OG0001651	FGIG_10542	Smp_343560.1
OG0001652	FGIG_10655	Smp_103530.1
OG0001653	FGIG_10856	Smp_170060.1
OG0001654	FGIG_11347	Smp_036720.1, Smp_141940.1
OG0001655	FGIG_11826	Smp_167630.1, Smp_167630.2
OG0001656	FGIG_12138	Smp_158140.1
OG0001657	FGIG_12273	Smp_093540.1
OG0001668	FGIG_00343, FGIG_00341, FGIG_00342	Smp_035260.1
OG0001669	FGIG_00345	Smp_034090.1
OG0001670	FGIG_00362, FGIG_09303, FGIG_09302	Smp_045200.1
OG0001671	FGIG_00386	Smp_165980.1
OG0001672	FGIG_00594	Smp_085150.1
OG0001673	FGIG_00782	Smp_007550.1
OG0001675	FGIG_01158	Smp_030330.1
OG0001676	FGIG_01424	Smp_103100.1
OG0001677	FGIG_01587	Smp_169930.2, Smp_169930.1
OG0001678	FGIG_01613	Smp_210200.1
OG0001679	FGIG_01636	Smp_143760.1
OG0001680	FGIG_01674, FGIG_09657, FGIG_01673	Smp_035190.1
OG0001681	FGIG_10397, FGIG_01757	Smp_170170.1
OG0001682	FGIG_01772	Smp_347960.1
OG0001683	FGIG_09870, FGIG_01860, FGIG_09138, FGIG_09869	Smp_337440.1
OG0001684	FGIG_06953, FGIG_02137	Smp_346160.1, Smp_328240.1
OG0001685	FGIG_02286	Smp_244390.1, Smp_135250.1
OG0001686	FGIG_02332	Smp_173240.1
OG0001687	FGIG_02344	Smp_311790.1, Smp_311780.1
OG0001688	FGIG_02355, FGIG_02354	Smp_026540.1
OG0001689	FGIG_02361	Smp_345190.1, Smp_131580.1
OG0001690	FGIG_02412	Smp_246690.1
OG0001691	FGIG_02430	Smp_157100.1
OG0001692	FGIG_02603	Smp_126460.1
OG0001693	FGIG_02612	Smp_153300.1
OG0001694	FGIG_02613	Smp_153350.1
OG0001695	FGIG_02650	Smp_006630.1
OG0001696	FGIG_02668	Smp_149640.1
OG0001697	FGIG_02799	Smp_057430.1
OG0001698	FGIG_02827	Smp_041750.1
OG0001699	FGIG_08442, FGIG_12071, FGIG_02860	Smp_346310.1
OG0001700	FGIG_02948	Smp_306140.3, Smp_306140.1, Smp_306140.2
OG0001701	FGIG_02954	Smp_013210.1, Smp_129310.1
OG0001702	FGIG_03036	Smp_131800.1
OG0001703	FGIG_03206	Smp_027970.1
OG0001704	FGIG_03262	Smp_135280.1
OG0001705	FGIG_03312	Smp_124340.1
OG0001706	FGIG_03334	Smp_140590.1
OG0001707	FGIG_03346, FGIG_11546	Smp_309430.1
OG0001708	FGIG_07923, FGIG_03395	Smp_332300.1
OG0001709	FGIG_03643	Smp_101820.1
OG0001710	FGIG_03672	Smp_336280.1
OG0001711	FGIG_03723, FGIG_09584, FGIG_05732, FGIG_12458	Smp_127810.2, Smp_127810.1
OG0001712	FGIG_04007	Smp_181160.1
OG0001713	FGIG_04033	Smp_098920.1
OG0001714	FGIG_04034	Smp_316660.1, Smp_316660.2
OG0001715	FGIG_04340	Smp_130980.1
OG0001716	FGIG_04933, FGIG_04367	Smp_142090.1
OG0001717	FGIG_04529	Smp_020370.1
OG0001718	FGIG_04552	Smp_350020.1, Smp_341720.1
OG0001719	FGIG_04710, FGIG_04709	Smp_125050.1
OG0001720	FGIG_04866, FGIG_06080	Smp_066760.1
OG0001721	FGIG_04876	Smp_032800.1, Smp_032820.1
OG0001722	FGIG_04965, FGIG_10318	Smp_143070.1, Smp_143070.2
OG0001723	FGIG_05019	Smp_165470.1
OG0001724	FGIG_05138, FGIG_11352	Smp_334100.1
OG0001725	FGIG_05235	Smp_026030.1
OG0001726	FGIG_08225, FGIG_11396	Smp_097490.1
OG0001726	FGIG_05249	Smp_212780.1
OG0001727	FGIG_05253	Smp_315490.1, Smp_315480.1
OG0001728	FGIG_05390	Smp_313810.1, Smp_341280.1
OG0001729	FGIG_05422	Smp_244630.2, Smp_244630.1
OG0001730	FGIG_05448	Smp_333240.1
OG0001731	FGIG_05472	Smp_012720.1
OG0001732	FGIG_05692	Smp_310620.1
OG0001733	FGIG_05918	Smp_150470.1
OG0001734	FGIG_05951, FGIG_07347	Smp_164130.1
OG0001735	FGIG_06068	Smp_176010.1
OG0001736	FGIG_06248, FGIG_09628	Smp_267140.2, Smp_267140.1
OG0001737	FGIG_06314	Smp_009400.1
OG0001738	FGIG_06451, FGIG_06452	Smp_159160.1
OG0001739	FGIG_06589	Smp_072370.1
OG0001740	FGIG_06601	Smp_140760.1
OG0001741	FGIG_06645	Smp_348840.1, Smp_348840.2, Smp_007630.1, Smp_007630.2
OG0001742	FGIG_06724	Smp_211100.1
OG0001743	FGIG_06750	Smp_156750.1
