Orthogroup	fasciola_gigantica	schistosoma_mansoni
OG0000112	FGIG_09308, FGIG_06819	Smp_156910.3, Smp_156910.4, Smp_156910.1, Smp_156910.5, Smp_156910.6, Smp_156910.2
OG0000114	FGIG_00156	Smp_144700.1
OG0000115	FGIG_02859	Smp_094320.1
OG0000116	FGIG_03832, FGIG_01693	Smp_013840.1, Smp_013840.2
OG0000117	FGIG_02197	Smp_014170.1
OG0000118	FGIG_02831	Smp_319790.1, Smp_148080.1, Smp_344080.1, Smp_344070.1, Smp_319780.1, Smp_319770.1, Smp_319770.2
OG0000119	FGIG_05939	Smp_347870.1, Smp_247020.1
OG0000120	FGIG_06695	Smp_167850.1
OG0000122	FGIG_06459, FGIG_06458	Smp_344340.1
OG0000123	FGIG_06911	Smp_165350.3, Smp_165350.1, Smp_165350.2, Smp_165350.5, Smp_165350.4
OG0000125	FGIG_12140, FGIG_05136	Smp_097830.2, Smp_097830.1, Smp_097830.3
OG0000126	FGIG_02836, FGIG_00047	Smp_008620.1
OG0000127	FGIG_10651, FGIG_01876	Smp_316780.1, Smp_308060.3, Smp_308060.1, Smp_184350.2, Smp_184350.1, Smp_317400.1, Smp_349030.1, Smp_319340.2, Smp_319340.1, Smp_319340.3, Smp_243170.1, Smp_184350.3
OG0000128	FGIG_02928	Smp_332660.1
OG0000129	FGIG_01051	Smp_140420.1
OG0000130	FGIG_06548, FGIG_01370	Smp_060420.1, Smp_060420.2
OG0000131	FGIG_05376, FGIG_05377, FGIG_11768, FGIG_10846, FGIG_05375, FGIG_01592	Smp_322720.1, Smp_342380.1, Smp_155520.1, Smp_155520.2, Smp_336270.1
OG0000132	FGIG_04447, FGIG_04446	Smp_028030.1
OG0000133	FGIG_10537	Smp_072980.1
OG0000134	FGIG_03080	Smp_032480.1
OG0000135	FGIG_08997	Smp_046060.1, Smp_046060.2
OG0000136	FGIG_11134, FGIG_12681, FGIG_11135	Smp_174310.1
OG0000138	FGIG_10020	Smp_158600.1
OG0000138	FGIG_00536, FGIG_00535	Smp_335620.1
OG0000139	FGIG_04756	Smp_031040.1
OG0000140	FGIG_05800	Smp_059210.1, Smp_059210.2
OG0000142	FGIG_10169, FGIG_10053, FGIG_07976, FGIG_08669, FGIG_07581, FGIG_01698, FGIG_06045	Smp_139680.1, Smp_120070.1, Smp_203950.1, Smp_309700.1, Smp_306970.1, Smp_032370.1, Smp_306960.1
OG0000143	FGIG_03125	Smp_202190.1, Smp_301550.1, Smp_326730.1
OG0000144	FGIG_04482	Smp_034190.1
OG0000144	FGIG_02516	Smp_097660.1
OG0000144	FGIG_08902, FGIG_02070	Smp_166400.1
OG0000145	FGIG_06896	Smp_110280.1, Smp_110280.2
OG0000146	FGIG_01364	Smp_016630.1
OG0000146	FGIG_07112	Smp_246100.1
OG0000146	FGIG_08174	Smp_020080.1
OG0000146	FGIG_12116	Smp_016250.1
OG0000147	FGIG_03610	Smp_019170.1
OG0000148	FGIG_05123, FGIG_04713	Smp_346640.1
