Orthogroup	fasciola_gigantica	schistosoma_turkestanicum
OG0000094	FGIG_00948	STRK1_12440.10, STRK1_12440.8, STRK1_12440.9, STRK1_12440.1, STRK1_12440.2, STRK1_12440.3, STRK1_12440.7, STRK1_12440.6, STRK1_12440.4, STRK1_12440.5
OG0000095	FGIG_01883	STRK1_60680.1
OG0000096	FGIG_03065	STRK1_36430.3, STRK1_36430.1, STRK1_36430.2
OG0000097	FGIG_06823	STRK1_15600.5, STRK1_15600.1, STRK1_15600.2, STRK1_15600.4, STRK1_15600.3
OG0000098	FGIG_08009	STRK1_64600.1, STRK1_64590.1
OG0000099	FGIG_01162	STRK1_66160.1, STRK1_66130.1, STRK1_104580.1, STRK1_66160.2
OG0000099	FGIG_12268, FGIG_12217, FGIG_10911	STRK1_69780.1, STRK1_69670.1, STRK1_69680.1
OG0000102	FGIG_11657	STRK1_3550.1, STRK1_3550.2
OG0000102	FGIG_04726, FGIG_06854	STRK1_56260.1
OG0000103	FGIG_06145, FGIG_13990	STRK1_75520.1, STRK1_75520.2
OG0000104	FGIG_08148	STRK1_3670.1, STRK1_3670.2
OG0000105	FGIG_00113, FGIG_06918	STRK1_13170.1
OG0000107	FGIG_03366, FGIG_08506, FGIG_12152	STRK1_49750.1
OG0000108	FGIG_10097, FGIG_10098, FGIG_03847	STRK1_12570.1, STRK1_12570.2
OG0000110	FGIG_03667	STRK1_30120.1, STRK1_30150.1
OG0000110	FGIG_10562	STRK1_30110.1
OG0000110	FGIG_06603	STRK1_30100.1, STRK1_30100.2
OG0000111	FGIG_03777	STRK1_46420.1
OG0000112	FGIG_09308, FGIG_06819	STRK1_94100.3, STRK1_94100.4, STRK1_94100.2, STRK1_94100.1
OG0000114	FGIG_00156	STRK1_91030.1, STRK1_91030.2
OG0000115	FGIG_02859	STRK1_28410.1
OG0000116	FGIG_03832, FGIG_01693	STRK1_49070.1, STRK1_49070.5, STRK1_49070.4, STRK1_49070.6, STRK1_49070.3, STRK1_49070.2
OG0000117	FGIG_02197	STRK1_30040.1
