Orthogroup	fasciola_gigantica	schistosoma_turkestanicum
OG0001735	FGIG_06068	STRK1_26430.1
OG0001736	FGIG_06248, FGIG_09628	STRK1_14100.1
OG0001737	FGIG_06314	STRK1_98320.1, STRK1_89130.1, STRK1_102570.1, STRK1_89140.1
OG0001738	FGIG_06451, FGIG_06452	STRK1_39740.1
OG0001739	FGIG_06589	STRK1_39280.1
OG0001740	FGIG_06601	STRK1_48640.1
OG0001741	FGIG_06645	STRK1_15700.3, STRK1_15700.1, STRK1_15700.5, STRK1_15700.6, STRK1_15700.4, STRK1_15700.2
OG0001742	FGIG_06724	STRK1_47970.1
OG0001743	FGIG_06750	STRK1_85850.1
OG0001744	FGIG_06776	STRK1_66340.1
OG0001745	FGIG_10942, FGIG_06817	STRK1_97790.1, STRK1_27430.1, STRK1_27430.2
OG0001746	FGIG_07007, FGIG_11346	STRK1_80370.1, STRK1_80370.2
OG0001747	FGIG_10446, FGIG_07087	STRK1_3580.1
OG0001748	FGIG_07196	STRK1_56440.1
OG0001749	FGIG_07207	STRK1_26340.1
OG0001750	FGIG_07290, FGIG_11354	STRK1_16080.1, STRK1_16080.2, STRK1_16070.2, STRK1_16070.1, STRK1_16070.3
OG0001751	FGIG_07350	STRK1_26220.1
OG0001752	FGIG_07833, FGIG_07832, FGIG_07400	STRK1_9630.1, STRK1_9630.2
OG0001753	FGIG_07740	STRK1_10680.4, STRK1_10680.2, STRK1_10680.3, STRK1_10680.1
OG0001754	FGIG_07797, FGIG_07796	STRK1_57620.1
OG0001755	FGIG_07829	STRK1_16170.1, STRK1_16170.2, STRK1_16170.3, STRK1_16170.4
OG0001756	FGIG_08210	STRK1_49060.1, STRK1_49060.2
OG0001757	FGIG_08253	STRK1_50420.2, STRK1_50420.1, STRK1_50420.3
OG0001758	FGIG_12341, FGIG_08329	STRK1_82650.1
OG0001759	FGIG_12373, FGIG_08557, FGIG_11928	STRK1_65980.1
OG0001760	FGIG_08695, FGIG_08696, FGIG_08694	STRK1_61210.1
OG0001761	FGIG_12460, FGIG_09474, FGIG_09475, FGIG_08736	STRK1_79240.1, STRK1_79260.1, STRK1_79230.1, STRK1_79220.1
OG0001762	FGIG_08880, FGIG_11962	STRK1_90460.1
OG0001763	FGIG_08936	STRK1_32630.1
OG0001764	FGIG_09029, FGIG_09028	STRK1_14990.1
OG0001765	FGIG_09205	STRK1_65860.1
OG0001766	FGIG_09234	STRK1_35430.1, STRK1_35430.2
OG0001767	FGIG_12380, FGIG_09314	STRK1_16230.1
OG0001768	FGIG_09327	STRK1_83760.1, STRK1_83760.2, STRK1_110440.1, STRK1_90860.1, STRK1_83770.1
OG0001769	FGIG_09331	STRK1_17500.1
OG0001770	FGIG_09332	STRK1_34820.1
OG0001771	FGIG_09366	STRK1_47100.1
OG0001772	FGIG_09813	STRK1_86290.1
OG0001773	FGIG_09836	STRK1_64050.1, STRK1_64050.2
OG0001774	FGIG_09938	STRK1_6360.1
OG0001775	FGIG_10075	STRK1_2700.1
OG0001776	FGIG_10105	STRK1_93390.1
OG0001777	FGIG_10186	STRK1_15300.1
OG0001778	FGIG_10398	STRK1_86620.1, STRK1_86620.2, STRK1_109070.1
OG0001779	FGIG_10521	STRK1_22220.1
OG0001780	FGIG_10677	STRK1_26980.1
OG0001781	FGIG_10803, FGIG_11244	STRK1_93160.1, STRK1_93160.2
OG0001782	FGIG_10806	STRK1_63020.1, STRK1_63020.2, STRK1_63020.4, STRK1_63020.5, STRK1_63020.3
OG0001783	FGIG_10960	STRK1_29320.1, STRK1_29320.2
OG0001784	FGIG_11263	STRK1_37370.5, STRK1_37370.4, STRK1_37370.2, STRK1_37370.1, STRK1_37370.3
OG0001785	FGIG_11277	STRK1_105890.2, STRK1_105890.1, STRK1_106430.1, STRK1_21420.1, STRK1_21410.1, STRK1_21410.2, STRK1_21410.3, STRK1_21410.4
OG0001786	FGIG_11466	STRK1_63570.1, STRK1_63570.2
OG0001787	FGIG_11743	STRK1_21400.1, STRK1_21400.2, STRK1_102650.1
OG0001788	FGIG_11918	STRK1_74080.1
OG0001789	FGIG_12472	STRK1_20850.1, STRK1_20860.1, STRK1_20860.2
OG0001790	FGIG_12557	STRK1_38530.1, STRK1_38530.2
OG0001800	FGIG_00037	STRK1_53850.1
OG0001801	FGIG_00130	STRK1_5320.1
OG0001802	FGIG_00149	STRK1_31380.2, STRK1_31380.1, STRK1_31380.3, STRK1_31380.4
OG0001803	FGIG_00286	STRK1_38700.1
OG0001804	FGIG_00398	STRK1_34180.1
OG0001805	FGIG_00507, FGIG_00508	STRK1_40060.1, STRK1_108740.1
OG0001806	FGIG_00525	STRK1_92380.1, STRK1_92370.1
OG0001807	FGIG_00587	STRK1_5310.1
OG0001808	FGIG_00700	STRK1_3840.1
OG0001809	FGIG_00729	STRK1_34400.1
OG0001810	FGIG_00762	STRK1_90340.1
OG0001811	FGIG_05656	STRK1_66980.1
OG0001811	FGIG_00833	STRK1_12210.1
OG0001812	FGIG_00836	STRK1_74210.1, STRK1_74210.2, STRK1_74210.3, STRK1_74210.4
OG0001813	FGIG_00936	STRK1_10900.1, STRK1_10910.1
OG0001814	FGIG_00962	STRK1_108280.1
OG0001815	FGIG_01073, FGIG_01074	STRK1_45430.1
OG0001816	FGIG_01170	STRK1_45240.1, STRK1_45250.1
OG0001817	FGIG_01315	STRK1_28470.1
OG0001818	FGIG_01476	STRK1_49720.1, STRK1_49720.2
OG0001819	FGIG_01638	STRK1_18000.1, STRK1_18000.2, STRK1_18000.3
OG0001820	FGIG_01817, FGIG_01816	STRK1_55380.1
OG0001821	FGIG_03077	STRK1_56560.1
OG0001822	FGIG_01856, FGIG_12355	STRK1_92000.1, STRK1_77350.1
OG0001823	FGIG_02236, FGIG_05411	STRK1_19350.1
OG0001824	FGIG_02287	STRK1_4420.1
OG0001825	FGIG_02531	STRK1_52600.1
OG0001826	FGIG_02634	STRK1_15420.1
OG0001827	FGIG_02803, FGIG_12147, FGIG_11771, FGIG_12499	STRK1_74950.1
OG0001828	FGIG_02847	STRK1_47230.2, STRK1_47230.4, STRK1_47230.1, STRK1_47230.3
OG0001829	FGIG_02872	STRK1_23790.1
OG0001829	FGIG_03015	STRK1_25930.1, STRK1_25940.1, STRK1_25940.2
OG0001830	FGIG_02879, FGIG_12693	STRK1_55870.1, STRK1_103100.1
OG0001831	FGIG_02881	STRK1_58970.3, STRK1_58970.1, STRK1_58970.2
OG0001832	FGIG_02973	STRK1_78880.1
OG0001833	FGIG_02974	STRK1_78870.1, STRK1_78870.2
OG0001834	FGIG_02991	STRK1_75710.1
OG0001835	FGIG_11589, FGIG_03039	STRK1_14430.1
OG0001836	FGIG_03199	STRK1_17280.1
OG0001837	FGIG_03271	STRK1_79550.1
OG0001838	FGIG_03289	STRK1_26200.1, STRK1_26200.2
OG0001839	FGIG_03331	STRK1_51460.1
OG0001840	FGIG_03379	STRK1_32930.1, STRK1_32930.2, STRK1_32930.3
OG0001841	FGIG_03429	STRK1_14750.1, STRK1_14750.2
OG0001842	FGIG_03482, FGIG_12479	STRK1_90950.1
OG0001843	FGIG_03549	STRK1_106240.1, STRK1_39750.1
OG0001845	FGIG_03666	STRK1_94510.1
OG0001846	FGIG_11334, FGIG_03780, FGIG_03781	STRK1_25870.1
OG0001847	FGIG_03848	STRK1_6440.1
OG0001848	FGIG_04380	STRK1_3270.1
OG0001849	FGIG_04452	STRK1_61800.1
OG0001850	FGIG_04633	STRK1_71550.1
OG0001851	FGIG_04765	STRK1_47220.1
OG0001852	FGIG_04961	STRK1_36550.1, STRK1_36550.2
OG0001853	FGIG_05001	STRK1_16650.1, STRK1_16650.2
OG0001854	FGIG_05079, FGIG_05080	STRK1_90730.1
OG0001855	FGIG_05092	STRK1_69380.1, STRK1_69380.2, STRK1_69380.3, STRK1_69380.4, STRK1_69380.5
OG0001856	FGIG_05147	STRK1_73400.1
OG0001857	FGIG_05152	STRK1_72820.1
OG0001858	FGIG_05246	STRK1_42380.1, STRK1_42380.2, STRK1_42380.3
OG0001859	FGIG_05352	STRK1_12430.1, STRK1_108870.1, STRK1_12420.1
OG0001860	FGIG_12696, FGIG_05529, FGIG_08194	STRK1_25660.3, STRK1_25660.1, STRK1_25660.2
OG0001861	FGIG_05537	STRK1_71910.1
OG0001862	FGIG_05612	STRK1_15850.1, STRK1_15850.2
OG0001863	FGIG_05675	STRK1_25710.1, STRK1_35840.1
OG0001864	FGIG_05957, FGIG_05774, FGIG_05958	STRK1_72100.1, STRK1_72100.2
OG0001865	FGIG_05792	STRK1_15550.1, STRK1_15550.2, STRK1_15550.3, STRK1_15550.4
OG0001866	FGIG_05934, FGIG_07819, FGIG_07820	STRK1_86440.1
OG0001867	FGIG_06039	STRK1_49680.1
OG0001868	FGIG_06184	STRK1_17460.1
OG0001869	FGIG_12654, FGIG_06195, FGIG_06196	STRK1_18800.1, STRK1_18750.1
OG0001870	FGIG_06239	STRK1_52460.1
OG0001871	FGIG_06490	STRK1_40960.1, STRK1_97480.1
OG0001872	FGIG_06502, FGIG_08638	STRK1_80020.1
OG0001873	FGIG_06583	STRK1_34810.1
OG0001874	FGIG_06688, FGIG_07094	STRK1_21780.1, STRK1_21780.2, STRK1_21780.3
OG0001875	FGIG_06832	STRK1_88070.1
OG0001876	FGIG_06870	STRK1_20500.1
OG0001877	FGIG_06876	STRK1_13680.1
OG0001878	FGIG_07481, FGIG_07111	STRK1_98740.1, STRK1_53250.1, STRK1_109430.1, STRK1_98730.1
OG0001879	FGIG_07185	STRK1_26350.1
OG0001880	FGIG_07399	STRK1_17700.1
OG0001881	FGIG_08617, FGIG_07427	STRK1_57350.1
OG0001882	FGIG_10254, FGIG_07480	STRK1_75620.1
OG0001883	FGIG_07514	STRK1_16930.1
OG0001884	FGIG_07616	STRK1_88080.1
OG0001885	FGIG_07748	STRK1_8480.1, STRK1_102660.1
OG0001886	FGIG_07805	STRK1_70490.1, STRK1_70520.1
OG0001887	FGIG_07966	STRK1_111220.1
OG0001888	FGIG_08128, FGIG_09905, FGIG_12317	STRK1_64530.1
OG0001889	FGIG_08133	STRK1_81670.1
OG0001890	FGIG_08277	STRK1_45700.1
OG0001891	FGIG_08290	STRK1_88910.1, STRK1_88920.1, STRK1_89800.1
OG0001892	FGIG_08312	STRK1_76330.1
OG0001893	FGIG_08493	STRK1_34950.1, STRK1_34950.2, STRK1_34950.3
OG0001894	FGIG_08662	STRK1_79310.1, STRK1_79310.2, STRK1_79310.3, STRK1_79310.4
OG0001895	FGIG_08712	STRK1_42600.1, STRK1_42600.2, STRK1_42650.1
OG0001896	FGIG_08759	STRK1_29160.1, STRK1_29160.2
OG0001897	FGIG_08889	STRK1_72470.1
OG0001898	FGIG_09045	STRK1_56070.1
OG0001899	FGIG_09165, FGIG_12532	STRK1_28480.1, STRK1_28480.2
OG0001900	FGIG_09208	STRK1_73790.1, STRK1_73790.2
OG0001901	FGIG_09292, FGIG_09291	STRK1_29790.1, STRK1_29790.2
OG0001902	FGIG_09325, FGIG_09326	STRK1_28500.1
OG0001903	FGIG_11383, FGIG_09404	STRK1_81870.1
OG0001904	FGIG_09502	STRK1_11500.1
OG0001905	FGIG_09751	STRK1_104070.1, STRK1_56210.2, STRK1_56200.1, STRK1_56200.2, STRK1_56210.1, STRK1_53590.1
OG0001906	FGIG_09783	STRK1_36580.2, STRK1_36580.1, STRK1_36580.3
OG0001907	FGIG_09790	STRK1_6270.1
OG0001908	FGIG_10713, FGIG_10014	STRK1_62080.1, STRK1_62090.1
OG0001909	FGIG_10056	STRK1_93170.1
OG0001910	FGIG_10144	STRK1_28890.1
OG0001911	FGIG_10217	STRK1_47770.1, STRK1_47770.2
OG0001912	FGIG_10259	STRK1_76490.1, STRK1_76490.2, STRK1_76490.3
OG0001913	FGIG_10326	STRK1_71560.1
OG0001914	FGIG_10404, FGIG_10403	STRK1_60010.1
OG0001915	FGIG_10465, FGIG_11686	STRK1_80790.1
OG0001916	FGIG_10612, FGIG_10605	STRK1_6160.1
OG0001917	FGIG_12536, FGIG_11628	STRK1_12730.1, STRK1_12730.2, STRK1_12730.4, STRK1_12730.3
OG0001918	FGIG_12348, FGIG_11631	STRK1_43990.1, STRK1_43990.2
OG0001919	FGIG_11652	STRK1_66110.1, STRK1_66110.2
OG0001920	FGIG_11748	STRK1_100410.1, STRK1_12580.1, STRK1_12580.2, STRK1_12590.1
OG0001921	FGIG_11845	STRK1_38000.1
OG0001922	FGIG_11872	STRK1_102080.1
OG0001923	FGIG_11902	STRK1_15570.1
OG0001924	FGIG_11939	STRK1_48810.5, STRK1_48810.6, STRK1_48810.7, STRK1_48810.1, STRK1_48810.2, STRK1_48810.3, STRK1_48810.4
OG0001925	FGIG_12270, FGIG_11988	STRK1_20340.1, STRK1_20340.2
OG0001926	FGIG_12026	STRK1_34130.1
OG0001927	FGIG_12178	STRK1_80850.1, STRK1_80850.2
OG0001941	FGIG_00126	STRK1_87790.1
OG0001942	FGIG_00190	STRK1_23630.1
OG0001943	FGIG_00220	STRK1_13300.1, STRK1_13300.3, STRK1_13300.2, STRK1_13300.4
OG0001944	FGIG_00245	STRK1_66250.1
OG0001945	FGIG_00280, FGIG_00284, FGIG_00283, FGIG_00281, FGIG_00285	STRK1_92480.1, STRK1_92480.2
OG0001946	FGIG_00457	STRK1_29760.3, STRK1_29760.4, STRK1_29760.1, STRK1_29760.2, STRK1_29760.5
OG0001947	FGIG_00619	STRK1_37240.2, STRK1_37240.1
OG0001948	FGIG_00736	STRK1_87890.1
OG0001949	FGIG_00760	STRK1_90360.1
OG0001950	FGIG_00800	STRK1_81210.1
OG0001951	FGIG_00894	STRK1_5790.1, STRK1_5790.2, STRK1_5790.3, STRK1_5790.4
OG0001952	FGIG_01038	STRK1_43440.1, STRK1_43440.2
OG0001953	FGIG_01050	STRK1_31500.1
OG0001954	FGIG_01129	STRK1_4450.1
OG0001955	FGIG_01306	STRK1_15370.1
OG0001956	FGIG_08032, FGIG_01323	STRK1_75910.1, STRK1_75910.2
OG0001957	FGIG_01445	STRK1_4590.1, STRK1_4590.2, STRK1_4590.4, STRK1_4590.3
OG0001958	FGIG_01525	STRK1_63180.1, STRK1_63180.2, STRK1_63180.3, STRK1_63180.4, STRK1_63180.5, STRK1_63180.7, STRK1_63180.8, STRK1_63180.6
OG0001959	FGIG_01707	STRK1_29460.1
OG0001960	FGIG_01709	STRK1_36730.1, STRK1_36730.2, STRK1_36730.3, STRK1_36730.4
OG0001961	FGIG_12229, FGIG_01718, FGIG_01717, FGIG_12228	STRK1_66370.1, STRK1_66380.1
OG0001962	FGIG_01870	STRK1_19080.1, STRK1_19080.2
OG0001963	FGIG_01934	STRK1_26880.1, STRK1_26880.2
OG0001964	FGIG_01965	STRK1_88000.1, STRK1_87980.1
OG0001965	FGIG_01978	STRK1_81330.1, STRK1_81330.2
OG0001966	FGIG_01994	STRK1_7060.1
OG0001967	FGIG_02023	STRK1_92780.1, STRK1_92780.2
OG0001968	FGIG_02090	STRK1_32200.1
OG0001969	FGIG_02108	STRK1_98290.1, STRK1_30280.1
OG0001970	FGIG_02292	STRK1_33610.1, STRK1_33610.2
OG0001971	FGIG_02395	STRK1_61440.1, STRK1_61440.2
OG0001972	FGIG_02971	STRK1_62890.1, STRK1_62890.2, STRK1_62890.3
OG0001973	FGIG_02972	STRK1_78890.1
OG0001974	FGIG_03001, FGIG_03000, FGIG_03002	STRK1_45210.1
OG0001975	FGIG_03194	STRK1_49290.1, STRK1_49290.2, STRK1_49290.3, STRK1_49290.4
OG0001976	FGIG_03267	STRK1_16210.1
OG0001977	FGIG_03396	STRK1_87120.1
OG0001978	FGIG_03425	STRK1_77150.1
OG0001979	FGIG_03430	STRK1_52570.1, STRK1_52570.2
OG0001980	FGIG_03446	STRK1_61260.1
OG0001981	FGIG_03545	STRK1_37230.1
OG0001982	FGIG_03564	STRK1_35660.1, STRK1_103410.1
OG0001983	FGIG_03619	STRK1_81340.1, STRK1_105420.1, STRK1_81340.2
OG0001984	FGIG_03674	STRK1_87560.1, STRK1_105350.1, STRK1_40520.1
OG0001985	FGIG_03737, FGIG_03736	STRK1_28620.1
OG0001986	FGIG_03793	STRK1_47290.5, STRK1_47290.2, STRK1_47290.1, STRK1_47290.4, STRK1_47290.3
OG0001987	FGIG_03835	STRK1_28660.1
OG0001988	FGIG_04295	STRK1_56990.1, STRK1_56980.1, STRK1_56980.2
OG0001989	FGIG_04368	STRK1_9860.1
OG0001990	FGIG_04430	STRK1_49580.1, STRK1_99370.1
OG0001991	FGIG_04551	STRK1_102090.1, STRK1_107370.1
OG0001992	FGIG_04557, FGIG_04558, FGIG_11227, FGIG_08602, FGIG_04556, FGIG_04555, FGIG_08601	STRK1_45810.1
OG0001993	FGIG_04621, FGIG_11304, FGIG_11303	STRK1_71960.1
OG0001994	FGIG_04647, FGIG_09294	STRK1_18820.1, STRK1_101670.1
OG0001995	FGIG_04654	STRK1_90330.1
OG0001996	FGIG_04771	STRK1_93830.1
OG0001996	FGIG_04770	STRK1_93820.1
OG0001997	FGIG_04930	STRK1_12200.1
OG0001998	FGIG_04945	STRK1_86940.1
OG0001999	FGIG_13995, FGIG_05007	STRK1_49470.1
OG0002000	FGIG_05071, FGIG_05073	STRK1_8570.1, STRK1_8570.2
OG0002001	FGIG_05351, FGIG_10322	STRK1_11390.1, STRK1_11390.2
OG0002002	FGIG_05474	STRK1_30720.1
OG0002003	FGIG_05597	STRK1_49500.1
OG0002004	FGIG_05610, FGIG_08593	STRK1_15720.1, STRK1_15720.2
OG0002005	FGIG_05614	STRK1_53420.1, STRK1_53430.2, STRK1_53430.1, STRK1_53650.1
OG0002006	FGIG_05620, FGIG_12403	STRK1_70840.1
OG0002007	FGIG_05753	STRK1_67070.1
OG0002008	FGIG_05878, FGIG_05879	STRK1_65320.1
OG0002009	FGIG_05904	STRK1_35040.1
OG0002010	FGIG_06031	STRK1_46260.1
OG0002011	FGIG_06078	STRK1_73470.3, STRK1_73470.1, STRK1_73470.2, STRK1_73470.4
OG0002012	FGIG_06082	STRK1_8670.1, STRK1_8740.1
OG0002013	FGIG_06141	STRK1_52560.1
OG0002014	FGIG_11116, FGIG_09556, FGIG_06161	STRK1_58790.1, STRK1_58790.2
OG0002015	FGIG_12200, FGIG_06387	STRK1_85130.1, STRK1_85130.2, STRK1_85130.3, STRK1_85140.1
OG0002016	FGIG_06393	STRK1_59390.1
OG0002017	FGIG_06543	STRK1_62490.1
OG0002018	FGIG_06578, FGIG_06579	STRK1_69140.1
OG0002019	FGIG_07624	STRK1_70750.1, STRK1_70750.2
OG0002020	FGIG_07652	STRK1_63480.1
OG0002021	FGIG_07835	STRK1_96350.1, STRK1_69810.1
OG0002023	FGIG_07949	STRK1_66030.1
OG0002024	FGIG_08028	STRK1_106230.1, STRK1_100730.1, STRK1_103030.1, STRK1_108160.1
OG0002025	FGIG_08079, FGIG_08077, FGIG_08078	STRK1_59400.1
OG0002026	FGIG_08218	STRK1_6580.1
OG0002027	FGIG_08231	STRK1_83110.1
OG0002028	FGIG_08327, FGIG_10920	STRK1_47040.1, STRK1_47040.2, STRK1_47040.3, STRK1_47040.4, STRK1_47040.5
OG0002029	FGIG_08478	STRK1_33970.1
OG0002030	FGIG_08503	STRK1_59790.1, STRK1_59790.2, STRK1_59790.3, STRK1_59790.4, STRK1_59790.5
OG0002031	FGIG_08525, FGIG_08524	STRK1_1210.1, STRK1_1210.2
OG0002032	FGIG_08730	STRK1_91950.1, STRK1_91940.1
OG0002033	FGIG_08755, FGIG_08754	STRK1_58290.1, STRK1_58290.2
OG0002034	FGIG_08831	STRK1_65680.1
OG0002035	FGIG_08871	STRK1_11290.5, STRK1_11290.6, STRK1_11290.1, STRK1_11290.2, STRK1_11290.3, STRK1_11290.4
OG0002036	FGIG_08929	STRK1_85050.1
OG0002037	FGIG_09110	STRK1_48310.1, STRK1_48310.2, STRK1_48310.3, STRK1_48310.4, STRK1_48310.5
OG0002038	FGIG_09222, FGIG_09223	STRK1_40110.1
OG0002039	FGIG_09256	STRK1_49390.1
OG0002040	FGIG_09293	STRK1_17390.1
OG0002041	FGIG_09352	STRK1_73740.1
OG0002042	FGIG_09643	STRK1_11430.1
OG0002043	FGIG_09653	STRK1_64210.1
OG0002044	FGIG_09704	STRK1_7260.2, STRK1_7260.3, STRK1_7260.1, STRK1_7260.4
OG0002045	FGIG_09717	STRK1_102790.1, STRK1_82780.1
OG0002046	FGIG_09852	STRK1_74240.1
OG0002047	FGIG_10163	STRK1_101930.1, STRK1_104400.1
OG0002048	FGIG_10239	STRK1_14740.1, STRK1_14740.2, STRK1_14740.3, STRK1_14740.4, STRK1_14740.5
OG0002049	FGIG_10299, FGIG_11534	STRK1_88350.1
OG0002050	FGIG_10507	STRK1_51810.1
OG0002051	FGIG_10793	STRK1_29610.1
OG0002052	FGIG_10797	STRK1_40680.1
OG0002053	FGIG_10820	STRK1_73920.1
OG0002054	FGIG_10935	STRK1_68680.1, STRK1_68680.2
OG0002055	FGIG_10947	STRK1_55820.1
OG0002056	FGIG_11048	STRK1_86610.1
OG0002057	FGIG_11544	STRK1_49220.1, STRK1_49220.2
OG0002058	FGIG_11772	STRK1_12790.1, STRK1_12790.2, STRK1_12790.3
OG0002059	FGIG_11780	STRK1_42640.1
OG0002060	FGIG_11842	STRK1_7150.1, STRK1_7150.2, STRK1_7150.3
OG0002061	FGIG_12110	STRK1_6390.1
OG0002062	FGIG_12184	STRK1_65100.1, STRK1_65100.2
OG0002063	FGIG_12410	STRK1_102420.1, STRK1_42750.1, STRK1_97310.1
OG0002073	FGIG_00082	STRK1_90760.1
OG0002074	FGIG_00101	STRK1_3740.1
OG0002075	FGIG_00132	STRK1_9920.1
OG0002076	FGIG_07077, FGIG_07078, FGIG_00206	STRK1_41870.1, STRK1_41870.2
OG0002077	FGIG_00216, FGIG_09924	STRK1_11530.1
OG0002079	FGIG_00383	STRK1_33160.1
OG0002080	FGIG_00484	STRK1_52540.1
OG0002081	FGIG_00552, FGIG_08298	STRK1_80380.1, STRK1_90910.1, STRK1_106750.1
OG0002082	FGIG_00579, FGIG_00578	STRK1_57490.1, STRK1_86050.1, STRK1_86060.1, STRK1_57500.1
OG0002083	FGIG_00658, FGIG_09985	STRK1_42540.1
OG0002084	FGIG_00755, FGIG_00754	STRK1_4170.1
OG0002085	FGIG_00781	STRK1_60360.1
OG0002086	FGIG_09005, FGIG_00788	STRK1_39450.1
OG0002087	FGIG_00882	STRK1_34790.1
OG0002088	FGIG_00913	STRK1_23900.1, STRK1_23900.2
OG0002089	FGIG_00932	STRK1_43970.1
OG0002090	FGIG_00986	STRK1_48180.1, STRK1_48190.1
OG0002091	FGIG_01070	STRK1_47130.1
OG0002092	FGIG_01268	STRK1_37170.1, STRK1_37140.1
OG0002093	FGIG_01356	STRK1_22600.1, STRK1_22610.1
OG0002094	FGIG_01469	STRK1_6730.1
OG0002095	FGIG_01632	STRK1_14760.1
OG0002096	FGIG_01676	STRK1_27420.1
OG0002097	FGIG_01680	STRK1_15270.1
OG0002098	FGIG_01746	STRK1_61730.1
OG0002099	FGIG_01747	STRK1_28520.1
OG0002100	FGIG_01904	STRK1_110120.1, STRK1_110120.2, STRK1_110120.3, STRK1_26630.1, STRK1_26630.2, STRK1_26630.3
OG0002101	FGIG_02032, FGIG_10566	STRK1_85600.1, STRK1_85610.1
OG0002102	FGIG_02054	STRK1_25080.1
OG0002102	FGIG_02312, FGIG_06101	STRK1_23070.1
OG0002103	FGIG_02069	STRK1_99050.1, STRK1_100170.1
OG0002104	FGIG_02074	STRK1_29110.1
OG0002105	FGIG_02131	STRK1_26710.1
OG0002106	FGIG_02208	STRK1_84750.1
OG0002107	FGIG_02265	STRK1_58010.1
OG0002108	FGIG_02477	STRK1_88340.1
OG0002109	FGIG_02633	STRK1_98690.1, STRK1_43220.1
OG0002110	FGIG_02667	STRK1_68910.1
OG0002111	FGIG_02740, FGIG_02741	STRK1_37490.1, STRK1_37490.2
OG0002112	FGIG_03025	STRK1_106420.1, STRK1_106420.2, STRK1_106420.3, STRK1_106420.4
OG0002113	FGIG_03296	STRK1_86010.1
OG0002114	FGIG_03896	STRK1_24830.1, STRK1_96770.1
OG0002115	FGIG_03962	STRK1_48360.3, STRK1_48360.2, STRK1_48360.1
OG0002116	FGIG_04721, FGIG_04077	STRK1_33820.1
OG0002117	FGIG_04173	STRK1_15680.1, STRK1_15680.2
OG0002118	FGIG_04184	STRK1_43840.1
OG0002118	FGIG_04185	STRK1_43830.1
OG0002119	FGIG_04220	STRK1_103970.1, STRK1_81430.1, STRK1_101560.1
OG0002120	FGIG_04231	STRK1_5850.1
OG0002121	FGIG_04233, FGIG_04232	STRK1_5860.1
OG0002122	FGIG_04355	STRK1_32260.1
OG0002123	FGIG_04472	STRK1_100220.2, STRK1_100220.3, STRK1_100220.5, STRK1_100220.1, STRK1_100220.4
OG0002124	FGIG_04560	STRK1_19270.1
OG0002125	FGIG_04585	STRK1_90580.1, STRK1_56130.1, STRK1_96650.1, STRK1_105090.1
OG0002126	FGIG_04673, FGIG_04675, FGIG_04674	STRK1_99190.1, STRK1_17010.1
OG0002127	FGIG_04867	STRK1_57720.1, STRK1_57720.2, STRK1_57720.3, STRK1_57720.4, STRK1_57720.5, STRK1_57720.6
OG0002128	FGIG_07940, FGIG_07941, FGIG_04883	STRK1_6110.1
OG0002129	FGIG_04937	STRK1_46320.1, STRK1_46330.1
OG0002130	FGIG_12658, FGIG_05062	STRK1_24210.1, STRK1_24220.1
OG0002131	FGIG_05119	STRK1_38710.1, STRK1_38710.3, STRK1_38710.2
OG0002132	FGIG_05232	STRK1_96480.1, STRK1_54740.1, STRK1_54740.2, STRK1_54730.1, STRK1_110650.1, STRK1_54880.1
OG0002133	FGIG_05314	STRK1_45290.1
OG0002134	FGIG_05624	STRK1_28130.1
OG0002135	FGIG_05765	STRK1_26940.1
OG0002136	FGIG_05990	STRK1_93460.1
OG0002138	FGIG_06285	STRK1_32620.1
OG0002139	FGIG_06377	STRK1_64460.1
OG0002140	FGIG_06385, FGIG_12408	STRK1_7110.1
OG0002141	FGIG_06397	STRK1_104910.1, STRK1_56340.1
OG0002142	FGIG_06549	STRK1_83800.1, STRK1_96740.1
OG0002143	FGIG_06744, FGIG_06745	STRK1_50090.1
OG0002144	FGIG_06833, FGIG_12222	STRK1_26400.1, STRK1_26400.2
OG0002145	FGIG_06894	STRK1_29480.1
OG0002146	FGIG_06966	STRK1_14510.1
OG0002147	FGIG_07060	STRK1_49400.1
OG0002148	FGIG_07150	STRK1_3700.1
OG0002149	FGIG_07229, FGIG_10638	STRK1_51580.2, STRK1_51580.1, STRK1_51590.1
OG0002150	FGIG_07241, FGIG_09386	STRK1_65660.1
OG0002151	FGIG_07245	STRK1_100800.1, STRK1_79470.1
OG0002152	FGIG_07252, FGIG_11124	STRK1_101700.1, STRK1_98260.1, STRK1_99100.1, STRK1_97910.1
OG0002153	FGIG_07293	STRK1_15530.1, STRK1_15540.1, STRK1_15540.2
OG0002154	FGIG_07297, FGIG_07298	STRK1_31230.1, STRK1_31230.2
OG0002155	FGIG_07344	STRK1_22360.1
OG0002156	FGIG_07411, FGIG_07410	STRK1_87710.1
OG0002157	FGIG_07422	STRK1_59540.1
OG0002158	FGIG_07479	STRK1_71180.1, STRK1_71180.3, STRK1_71180.2
OG0002159	FGIG_07668, FGIG_13986	STRK1_73780.1, STRK1_73780.2
OG0002160	FGIG_07809	STRK1_60300.1
OG0002161	FGIG_07886	STRK1_43200.1
OG0002162	FGIG_07893	STRK1_26560.1
OG0002162	FGIG_09044	STRK1_26480.1
OG0002163	FGIG_07909	STRK1_28810.1
OG0002164	FGIG_08058	STRK1_55390.2, STRK1_55390.1, STRK1_55390.3
