Orthogroup	opisthorchis_viverrini	schistosoma_guineensis
OG0000003	T265_11432	SGUI1_88310.1, SGUI1_88310.10, SGUI1_88310.2, SGUI1_88310.3, SGUI1_88310.4, SGUI1_88310.5, SGUI1_88310.6, SGUI1_88310.7, SGUI1_88310.8, SGUI1_88310.9, SGUI1_48420.1, SGUI1_39580.2, SGUI1_39580.4, SGUI1_39580.1, SGUI1_39580.3, SGUI1_4310.2, SGUI1_37100.5, SGUI1_37100.2, SGUI1_4310.3, SGUI1_4310.4, SGUI1_4310.5, SGUI1_4310.1, SGUI1_39580.5, SGUI1_28570.1, SGUI1_28570.2, SGUI1_54350.2, SGUI1_54350.3, SGUI1_54350.4, SGUI1_64140.1, SGUI1_54350.1, SGUI1_54350.5, SGUI1_64980.2, SGUI1_93520.1, SGUI1_65880.2, SGUI1_65880.4, SGUI1_12980.1, SGUI1_12980.3, SGUI1_12980.7, SGUI1_12980.8, SGUI1_12980.2, SGUI1_12980.4, SGUI1_12980.5, SGUI1_12980.6, SGUI1_64980.1, SGUI1_65880.3, SGUI1_65880.5, SGUI1_65880.1, SGUI1_12980.12, SGUI1_12980.13, SGUI1_12980.14, SGUI1_12980.15, SGUI1_12130.3, SGUI1_12980.11, SGUI1_12980.9, SGUI1_78310.1, SGUI1_12130.4, SGUI1_12130.2, SGUI1_3720.1, SGUI1_31530.3, SGUI1_31530.6, SGUI1_31530.1, SGUI1_31530.2, SGUI1_31530.4, SGUI1_19480.1, SGUI1_19480.2, SGUI1_19480.4, SGUI1_31530.7, SGUI1_31530.5, SGUI1_12130.5, SGUI1_12980.16, SGUI1_12980.17, SGUI1_78310.2, SGUI1_22480.2, SGUI1_22480.3, SGUI1_75660.4, SGUI1_75660.6, SGUI1_75660.1, SGUI1_75660.3, SGUI1_75660.5, SGUI1_22480.1, SGUI1_22480.4, SGUI1_31530.9, SGUI1_19480.3, SGUI1_19480.5, SGUI1_19480.6, SGUI1_31530.8, SGUI1_12980.10, SGUI1_78310.5, SGUI1_12980.19, SGUI1_78310.4, SGUI1_12980.18, SGUI1_78310.3, SGUI1_43280.1, SGUI1_86310.1, SGUI1_78270.5, SGUI1_78270.11, SGUI1_78270.3, SGUI1_78270.6, SGUI1_78270.1, SGUI1_78270.10, SGUI1_78270.4, SGUI1_78270.9, SGUI1_78270.2, SGUI1_78270.7, SGUI1_78270.8
OG0000005	T265_11244	SGUI1_22440.1, SGUI1_13160.1, SGUI1_13090.1, SGUI1_90020.1, SGUI1_46820.1, SGUI1_69540.1, SGUI1_48720.1, SGUI1_8030.1, SGUI1_75960.1, SGUI1_77060.1
OG0000006	T265_12134	SGUI1_74190.1, SGUI1_53820.1, SGUI1_46610.1, SGUI1_68830.1, SGUI1_54880.1, SGUI1_92600.1
OG0000006	T265_06454	SGUI1_6200.1, SGUI1_6200.2, SGUI1_6200.3, SGUI1_85990.1, SGUI1_58270.1, SGUI1_82620.1, SGUI1_51360.1, SGUI1_80960.1, SGUI1_25930.1
OG0000010	T265_00181	SGUI1_63390.1
OG0000012	T265_16252, T265_09012	SGUI1_40550.1
OG0000014	T265_11882	SGUI1_38080.28, SGUI1_38080.8, SGUI1_38080.21, SGUI1_38080.10, SGUI1_38080.12, SGUI1_38080.19, SGUI1_38080.2, SGUI1_38080.25, SGUI1_38080.27, SGUI1_38080.3, SGUI1_38080.4, SGUI1_38080.11, SGUI1_38080.22, SGUI1_38080.1, SGUI1_38080.18, SGUI1_38080.17, SGUI1_38080.7, SGUI1_38080.15, SGUI1_38080.24, SGUI1_38080.13, SGUI1_38080.20, SGUI1_38080.26, SGUI1_38080.6, SGUI1_38080.23, SGUI1_38080.16, SGUI1_38080.14, SGUI1_38080.9, SGUI1_38080.5
OG0000015	T265_11957	SGUI1_66240.1
OG0000015	T265_01474, T265_01478, T265_01475, T265_15127	SGUI1_38300.1
OG0000019	T265_07377	SGUI1_36590.13, SGUI1_36590.3, SGUI1_36590.1, SGUI1_36590.10, SGUI1_36590.2, SGUI1_36590.4, SGUI1_36590.5, SGUI1_36590.6, SGUI1_36590.9, SGUI1_36590.8, SGUI1_36590.11, SGUI1_36590.12, SGUI1_36590.7, SGUI1_36590.20, SGUI1_36590.17, SGUI1_36590.16, SGUI1_36590.14, SGUI1_36590.19, SGUI1_36590.18, SGUI1_36590.15
