Orthogroup	opisthorchis_viverrini	schistosoma_guineensis
OG0000390	T265_11108, T265_11109	SGUI1_83700.4, SGUI1_83700.5, SGUI1_83700.1, SGUI1_83700.2, SGUI1_83700.3, SGUI1_83700.6
OG0000391	T265_09227	SGUI1_13360.1, SGUI1_13370.1
OG0000392	T265_14483	SGUI1_62140.1
OG0000393	T265_15423	SGUI1_45540.1, SGUI1_45540.6, SGUI1_45540.2, SGUI1_45540.3, SGUI1_45540.4, SGUI1_45540.5
OG0000394	T265_08783	SGUI1_61540.6, SGUI1_61540.1, SGUI1_61540.2, SGUI1_61540.3, SGUI1_61540.4, SGUI1_61540.5, SGUI1_61540.7
OG0000395	T265_08193	SGUI1_79990.1
OG0000396	T265_13488	SGUI1_4260.1
OG0000397	T265_01775	SGUI1_79730.1, SGUI1_79730.2, SGUI1_79730.3, SGUI1_79730.4
OG0000398	T265_10761, T265_10760	SGUI1_20930.1, SGUI1_22190.1, SGUI1_22190.2, SGUI1_22160.1
OG0000399	T265_14889, T265_03269	SGUI1_27830.1, SGUI1_27830.3, SGUI1_27830.4, SGUI1_27830.2, SGUI1_27820.1
OG0000400	T265_14201, T265_08063, T265_08065, T265_10204	SGUI1_45490.1, SGUI1_44650.1
OG0000401	T265_05655	SGUI1_95030.5, SGUI1_95030.2, SGUI1_95030.4, SGUI1_95030.3, SGUI1_95030.1, SGUI1_95030.6
OG0000405	T265_09724	SGUI1_37640.1, SGUI1_37640.6, SGUI1_37640.7, SGUI1_37640.3, SGUI1_37640.5, SGUI1_37640.2, SGUI1_37640.4
OG0000406	T265_05341	SGUI1_38490.1, SGUI1_38490.2
OG0000407	T265_12731	SGUI1_62760.2, SGUI1_62760.4, SGUI1_62760.6, SGUI1_62760.1, SGUI1_62760.8, SGUI1_62760.7, SGUI1_62760.5, SGUI1_62760.3
OG0000408	T265_07479	SGUI1_26320.8, SGUI1_26320.1, SGUI1_26320.2, SGUI1_26320.5, SGUI1_26320.6, SGUI1_26320.7, SGUI1_26320.3, SGUI1_26320.4
OG0000409	T265_03788	SGUI1_88530.12, SGUI1_88530.6, SGUI1_88530.4, SGUI1_88530.9, SGUI1_88530.1, SGUI1_88530.10, SGUI1_88530.5, SGUI1_88530.8, SGUI1_88530.2, SGUI1_88530.7, SGUI1_88530.11, SGUI1_88530.3
OG0000411	T265_13195	SGUI1_26920.7, SGUI1_26920.4, SGUI1_26920.1, SGUI1_26920.2, SGUI1_26920.3, SGUI1_26920.6, SGUI1_26920.5
OG0000412	T265_09842	SGUI1_72450.3, SGUI1_72450.1, SGUI1_72450.2, SGUI1_72450.4
OG0000413	T265_02540	SGUI1_61390.1
OG0000414	T265_06878, T265_06876, T265_06877	SGUI1_9960.1
OG0000415	T265_13626, T265_04888	SGUI1_30570.1
OG0000416	T265_07350	SGUI1_87880.1, SGUI1_91730.1
OG0000416	T265_09488	SGUI1_87870.1
OG0000417	T265_01300	SGUI1_52310.2, SGUI1_52310.5, SGUI1_52310.4, SGUI1_52310.1, SGUI1_52310.3
OG0000418	T265_07406, T265_14544	SGUI1_94690.4, SGUI1_94690.1, SGUI1_94690.3, SGUI1_94690.2
OG0000419	T265_00950	SGUI1_5750.1, SGUI1_5750.2, SGUI1_5750.4, SGUI1_5750.3
OG0000420	T265_01216	SGUI1_45640.3, SGUI1_45640.5, SGUI1_45640.6, SGUI1_45640.9, SGUI1_45640.1, SGUI1_45640.8, SGUI1_45640.2, SGUI1_45640.4, SGUI1_45640.10, SGUI1_45640.7
OG0000421	T265_13603	SGUI1_67680.1
OG0000422	T265_01327	SGUI1_50010.13, SGUI1_50160.1, SGUI1_50010.8
OG0000425	T265_00752	SGUI1_29240.1, SGUI1_29240.2
OG0000426	T265_12440	SGUI1_54640.1, SGUI1_54650.1, SGUI1_54660.1, SGUI1_54630.1
OG0000427	T265_13396	SGUI1_53380.5, SGUI1_53380.1, SGUI1_53380.2, SGUI1_53380.3, SGUI1_53380.4, SGUI1_53390.2, SGUI1_53390.1
OG0000428	T265_08399	SGUI1_42120.6, SGUI1_42120.7, SGUI1_42120.4, SGUI1_42120.5, SGUI1_42120.8, SGUI1_42120.3, SGUI1_42120.1, SGUI1_42120.2
OG0000429	T265_07901	SGUI1_93270.1
OG0000429	T265_10847	SGUI1_45100.1
OG0000430	T265_11497	SGUI1_32100.9, SGUI1_32100.8, SGUI1_32100.3, SGUI1_32100.5, SGUI1_32100.6, SGUI1_32100.1, SGUI1_32100.4, SGUI1_32100.2, SGUI1_32100.7
OG0000431	T265_00379	SGUI1_49060.3, SGUI1_49060.5, SGUI1_49060.1, SGUI1_49060.2, SGUI1_49060.4
OG0000432	T265_10186	SGUI1_94350.1
OG0000433	T265_13054	SGUI1_40170.1
OG0000434	T265_05326	SGUI1_93870.1
OG0000435	T265_01204	SGUI1_54900.1
OG0000436	T265_03713	SGUI1_25340.5, SGUI1_25340.1, SGUI1_25340.3, SGUI1_25340.2, SGUI1_25340.4
OG0000437	T265_13806	SGUI1_3110.1, SGUI1_3110.2
OG0000438	T265_09760	SGUI1_64000.1
OG0000439	T265_02427	SGUI1_84880.4, SGUI1_84880.7, SGUI1_84880.8, SGUI1_84880.3, SGUI1_84880.1, SGUI1_84880.6, SGUI1_84880.2, SGUI1_84880.5
OG0000440	T265_08332	SGUI1_91380.1, SGUI1_91380.2, SGUI1_91370.1, SGUI1_91360.1
OG0000441	T265_00253	SGUI1_8450.1
OG0000441	T265_07836	SGUI1_14200.2, SGUI1_14200.1, SGUI1_14200.3
OG0000442	T265_09824	SGUI1_36130.1
OG0000444	T265_11552	SGUI1_71520.1
OG0000445	T265_12793	SGUI1_66020.1
OG0000446	T265_02125	SGUI1_8350.1, SGUI1_8390.1
OG0000447	T265_03299	SGUI1_57360.1
OG0000448	T265_05426	SGUI1_31220.4, SGUI1_31220.1, SGUI1_31220.2, SGUI1_31220.3
OG0000449	T265_03361	SGUI1_58000.3, SGUI1_58000.4, SGUI1_58000.1, SGUI1_58000.5, SGUI1_58000.7, SGUI1_58000.6, SGUI1_58000.2, SGUI1_58000.8
OG0000450	T265_11348, T265_01101	SGUI1_24520.1, SGUI1_24520.6, SGUI1_24520.5, SGUI1_24520.2, SGUI1_24520.3, SGUI1_24520.4
OG0000451	T265_05748	SGUI1_88120.1
OG0000452	T265_09821	SGUI1_39360.1
OG0000453	T265_06719	SGUI1_62630.8, SGUI1_62630.6, SGUI1_62630.2, SGUI1_62630.3, SGUI1_62630.4, SGUI1_62630.1, SGUI1_62630.5, SGUI1_62630.7
OG0000454	T265_12900	SGUI1_70660.1
OG0000454	T265_02660	SGUI1_84380.1, SGUI1_84390.1, SGUI1_72310.1
OG0000455	T265_13543	SGUI1_11520.2, SGUI1_11520.1, SGUI1_11520.4, SGUI1_11520.3
OG0000456	T265_00028	SGUI1_71320.6, SGUI1_71320.2, SGUI1_71320.1, SGUI1_71320.5, SGUI1_71320.3, SGUI1_71320.4
OG0000457	T265_06520	SGUI1_28290.4, SGUI1_28290.2, SGUI1_28290.3, SGUI1_28290.5, SGUI1_28290.9, SGUI1_28290.6, SGUI1_28290.1, SGUI1_28290.7, SGUI1_28290.8
OG0000458	T265_14731	SGUI1_34120.12, SGUI1_34120.10, SGUI1_34120.5, SGUI1_34120.6, SGUI1_34120.4, SGUI1_34120.1, SGUI1_34120.13, SGUI1_34120.8, SGUI1_34120.9, SGUI1_34120.2, SGUI1_34120.3, SGUI1_34120.11, SGUI1_34120.7
OG0000459	T265_12673	SGUI1_8770.1
OG0000460	T265_02175	SGUI1_11700.1, SGUI1_11700.2, SGUI1_11700.3, SGUI1_11700.4, SGUI1_11700.5, SGUI1_11700.6, SGUI1_11700.7, SGUI1_11700.8
OG0000460	T265_02173	SGUI1_11660.1
OG0000465	T265_12004, T265_15852	SGUI1_76280.1
OG0000466	T265_00717, T265_09088	SGUI1_53440.1
OG0000467	T265_06392, T265_14024, T265_15837	SGUI1_36920.8, SGUI1_36920.9, SGUI1_36920.7, SGUI1_36920.2, SGUI1_36920.6, SGUI1_36920.1, SGUI1_36920.10, SGUI1_36920.4, SGUI1_36920.3, SGUI1_36920.5
OG0000468	T265_13212	SGUI1_71050.7, SGUI1_71050.4, SGUI1_71050.3, SGUI1_71050.5, SGUI1_71050.2, SGUI1_71050.1, SGUI1_71050.6
OG0000470	T265_02354	SGUI1_51460.1
OG0000471	T265_04176	SGUI1_88870.1
OG0000472	T265_08287, T265_14526, T265_08288	SGUI1_36870.1, SGUI1_36870.7, SGUI1_36870.6, SGUI1_36870.3, SGUI1_36870.5, SGUI1_36870.8, SGUI1_36870.4, SGUI1_36870.2, SGUI1_36870.10, SGUI1_36870.11, SGUI1_36870.9
OG0000473	T265_09380	SGUI1_4730.3, SGUI1_4730.1, SGUI1_4730.5, SGUI1_4730.8, SGUI1_4730.9, SGUI1_4730.2, SGUI1_4730.7, SGUI1_4730.6, SGUI1_4730.4
OG0000474	T265_02290	SGUI1_20130.1
OG0000474	T265_12460	SGUI1_45720.1
OG0000475	T265_14673	SGUI1_64270.5, SGUI1_64270.6, SGUI1_64270.8, SGUI1_64270.1, SGUI1_64270.2, SGUI1_64270.4, SGUI1_64270.7, SGUI1_64270.3
OG0000476	T265_07244	SGUI1_19300.1
OG0000477	T265_01343	SGUI1_45620.1
OG0000478	T265_09689	SGUI1_6100.1
OG0000479	T265_11380	SGUI1_31370.1
OG0000480	T265_00389, T265_13589, T265_12846, T265_01772, T265_01033, T265_11693, T265_01859, T265_07661, T265_10676, T265_03719, T265_08374, T265_04371, T265_02027, T265_11038, T265_06133, T265_09446, T265_08269, T265_15662, T265_11568, T265_08423, T265_12491, T265_15632, T265_04892, T265_02994, T265_13852, T265_01186, T265_13974, T265_12776, T265_05455, T265_09979, T265_00308, T265_04912, T265_05271, T265_00689, T265_08138, T265_05417, T265_10575, T265_14180, T265_01804, T265_00016, T265_09320, T265_09509, T265_04945, T265_00925, T265_02510, T265_10253, T265_03397	SGUI1_64560.1
OG0000481	T265_00530	SGUI1_65530.1, SGUI1_65530.5, SGUI1_65530.2, SGUI1_65530.3, SGUI1_65530.4
OG0000482	T265_12690	SGUI1_9140.1
OG0000483	T265_06074	SGUI1_130.1, SGUI1_130.2, SGUI1_130.3, SGUI1_57600.1
OG0000484	T265_09654	SGUI1_96640.1, SGUI1_96630.1
OG0000485	T265_13168	SGUI1_12820.1, SGUI1_12820.2, SGUI1_12820.3
OG0000490	T265_01437, T265_16063	SGUI1_68590.1, SGUI1_68600.1
OG0000491	T265_14314	SGUI1_30010.4, SGUI1_30010.5, SGUI1_30010.1, SGUI1_30010.2, SGUI1_30010.3, SGUI1_30010.6
OG0000493	T265_10148, T265_15065	SGUI1_47430.1, SGUI1_47430.2
OG0000493	T265_15185, T265_10559	SGUI1_28700.1, SGUI1_28700.2, SGUI1_28700.3, SGUI1_28690.1
OG0000494	T265_10046	SGUI1_36470.1, SGUI1_92880.1
OG0000495	T265_15686	SGUI1_3120.1, SGUI1_3120.2
OG0000496	T265_07584	SGUI1_37710.1
OG0000497	T265_07772	SGUI1_5520.2, SGUI1_5530.1, SGUI1_5520.1, SGUI1_5530.2, SGUI1_5520.3
OG0000498	T265_12716, T265_12902	SGUI1_26930.1
OG0000499	T265_12977	SGUI1_70970.2, SGUI1_70970.1, SGUI1_70970.15, SGUI1_70970.8, SGUI1_70970.16, SGUI1_70970.12, SGUI1_70970.9, SGUI1_70970.11, SGUI1_70970.13, SGUI1_70970.10, SGUI1_70970.14, SGUI1_70970.5, SGUI1_70970.6, SGUI1_70970.3, SGUI1_70970.4, SGUI1_70970.7
OG0000500	T265_12964	SGUI1_18780.2, SGUI1_18780.6, SGUI1_18780.1, SGUI1_18780.5, SGUI1_18780.4, SGUI1_18780.3
OG0000501	T265_13462	SGUI1_25610.1, SGUI1_25610.3, SGUI1_25610.2
OG0000502	T265_07436, T265_06036	SGUI1_35470.4, SGUI1_35470.3, SGUI1_35470.1, SGUI1_35470.7, SGUI1_35470.2, SGUI1_35470.6, SGUI1_35470.5
OG0000503	T265_11949	SGUI1_3810.1
OG0000504	T265_03966	SGUI1_46850.3, SGUI1_46850.5, SGUI1_46850.4, SGUI1_46850.1, SGUI1_46850.2
OG0000505	T265_12584	SGUI1_41120.1, SGUI1_41120.8, SGUI1_41120.9, SGUI1_41120.2, SGUI1_41120.10, SGUI1_41120.11, SGUI1_41120.3, SGUI1_41120.4, SGUI1_41120.5, SGUI1_41120.6, SGUI1_41120.7
OG0000506	T265_07729, T265_16032	SGUI1_8630.2, SGUI1_8630.1, SGUI1_8630.13, SGUI1_8630.10, SGUI1_8630.12, SGUI1_8630.4, SGUI1_8630.5, SGUI1_8630.6, SGUI1_8630.7, SGUI1_8630.8, SGUI1_8630.9, SGUI1_8630.11, SGUI1_8630.3
OG0000507	T265_02979, T265_07797, T265_07796	SGUI1_31080.1
OG0000508	T265_10226, T265_16175	SGUI1_14860.2, SGUI1_14860.3, SGUI1_14860.4, SGUI1_14860.1
OG0000509	T265_06851, T265_06853, T265_06854, T265_14152	SGUI1_49530.1, SGUI1_51120.1
OG0000510	T265_03984, T265_03985, T265_13373	SGUI1_79290.3, SGUI1_79290.1, SGUI1_79290.2, SGUI1_79290.4, SGUI1_79310.1
OG0000511	T265_07656, T265_07655, T265_07657	SGUI1_72860.6, SGUI1_72860.3, SGUI1_72860.4, SGUI1_72860.1, SGUI1_72860.2, SGUI1_72860.5
OG0000512	T265_12454	SGUI1_51700.8, SGUI1_51700.9, SGUI1_51700.2, SGUI1_51700.7, SGUI1_51700.10, SGUI1_51700.6, SGUI1_51700.1, SGUI1_51700.4, SGUI1_51700.3, SGUI1_51700.5
OG0000513	T265_01157, T265_06044	SGUI1_67640.1
OG0000514	T265_01214, T265_01215	SGUI1_45630.2, SGUI1_45630.5, SGUI1_45630.3, SGUI1_45630.1, SGUI1_45630.4, SGUI1_45630.7, SGUI1_45630.6
OG0000515	T265_00984, T265_00985	SGUI1_14460.1, SGUI1_14460.4, SGUI1_14460.6, SGUI1_14460.2, SGUI1_14460.3, SGUI1_14460.5
OG0000516	T265_03354	SGUI1_63610.2, SGUI1_63610.4, SGUI1_63610.5, SGUI1_63610.7, SGUI1_63610.9, SGUI1_63610.10, SGUI1_63610.8, SGUI1_63610.3, SGUI1_63610.6, SGUI1_63610.1
OG0000517	T265_01106	SGUI1_25650.1
OG0000521	T265_12415	SGUI1_71990.8, SGUI1_71990.3, SGUI1_71990.7, SGUI1_71990.4, SGUI1_71990.6, SGUI1_71990.2, SGUI1_71990.1, SGUI1_71990.5
OG0000522	T265_04037	SGUI1_57210.1, SGUI1_57230.1, SGUI1_57460.1, SGUI1_95930.1, SGUI1_95910.1
OG0000523	T265_07660	SGUI1_77450.4, SGUI1_77450.1, SGUI1_77450.2, SGUI1_77450.3, SGUI1_77450.5, SGUI1_77450.7, SGUI1_77450.6
OG0000524	T265_07885	SGUI1_11580.1, SGUI1_11580.2, SGUI1_11580.3, SGUI1_11580.4
OG0000525	T265_05091	SGUI1_50690.9, SGUI1_50690.1, SGUI1_50690.6, SGUI1_50690.3, SGUI1_50690.2, SGUI1_50690.7, SGUI1_50690.8, SGUI1_50690.11, SGUI1_50690.10, SGUI1_50690.4, SGUI1_50690.5
OG0000526	T265_02282, T265_12113	SGUI1_16520.1, SGUI1_16520.2
OG0000527	T265_03411	SGUI1_18690.1
OG0000528	T265_06055	SGUI1_31930.1, SGUI1_31930.2, SGUI1_31930.3, SGUI1_31930.4
OG0000529	T265_09182, T265_03656	SGUI1_15360.1
OG0000529	T265_07511	SGUI1_25220.1
OG0000530	T265_09699	SGUI1_96160.1, SGUI1_96180.1
OG0000531	T265_14416, T265_14417	SGUI1_78190.1
OG0000532	T265_00995, T265_06267	SGUI1_4720.3, SGUI1_4720.5, SGUI1_4720.4, SGUI1_4720.2, SGUI1_4720.1, SGUI1_4720.6
OG0000533	T265_13786	SGUI1_18830.1
OG0000534	T265_09156	SGUI1_71240.1, SGUI1_71240.2, SGUI1_71240.3, SGUI1_71240.4, SGUI1_71240.5
OG0000535	T265_13029, T265_02526, T265_16334	SGUI1_59100.1, SGUI1_59150.1
OG0000536	T265_04792	SGUI1_66400.7, SGUI1_66400.2, SGUI1_66400.8, SGUI1_66400.3, SGUI1_66400.1, SGUI1_66400.4, SGUI1_66400.6, SGUI1_66400.5
OG0000537	T265_03566	SGUI1_53630.1
OG0000539	T265_02944	SGUI1_46700.1, SGUI1_46700.4, SGUI1_46700.3, SGUI1_46700.6, SGUI1_46700.2, SGUI1_46700.5
OG0000540	T265_06424	SGUI1_5370.1, SGUI1_5370.2, SGUI1_5350.1
OG0000541	T265_02592	SGUI1_28500.6, SGUI1_28500.4, SGUI1_28500.2, SGUI1_28500.1, SGUI1_28500.3, SGUI1_28500.5
OG0000542	T265_10499	SGUI1_87580.3, SGUI1_87580.5, SGUI1_87580.1, SGUI1_87580.2, SGUI1_87580.4, SGUI1_87580.6
OG0000543	T265_05515	SGUI1_14790.1, SGUI1_14790.7, SGUI1_14790.8, SGUI1_14790.9, SGUI1_14790.6, SGUI1_14790.2, SGUI1_14790.3, SGUI1_14790.4, SGUI1_14790.5
OG0000544	T265_14759	SGUI1_80310.1, SGUI1_80310.8, SGUI1_80310.4, SGUI1_80310.9, SGUI1_80310.12, SGUI1_80310.10, SGUI1_80310.11, SGUI1_80310.2, SGUI1_80310.3, SGUI1_80310.5, SGUI1_80310.6, SGUI1_80310.7
OG0000545	T265_01309	SGUI1_46500.1
OG0000545	T265_13998	SGUI1_70090.4, SGUI1_70090.1, SGUI1_70090.2, SGUI1_70090.6, SGUI1_70090.5, SGUI1_70090.3
OG0000546	T265_14392	SGUI1_29320.3, SGUI1_29320.4, SGUI1_29320.2, SGUI1_29320.1
OG0000547	T265_07333	SGUI1_89060.3, SGUI1_89060.1, SGUI1_89060.2, SGUI1_89060.4, SGUI1_89060.5
OG0000548	T265_14116	SGUI1_29420.1
OG0000549	T265_14374, T265_06649, T265_14373, T265_03050, T265_07757	SGUI1_10140.1, SGUI1_10140.2
OG0000550	T265_09507, T265_14868	SGUI1_18330.1, SGUI1_18340.1, SGUI1_18320.1
OG0000551	T265_04197, T265_11408, T265_09018, T265_09780, T265_09887	SGUI1_48750.1, SGUI1_66100.1
OG0000551	T265_05015	SGUI1_39110.1
OG0000552	T265_05767	SGUI1_86630.1
OG0000553	T265_05228, T265_05227	SGUI1_94940.3, SGUI1_94940.1, SGUI1_94940.2, SGUI1_94940.4
OG0000554	T265_06137	SGUI1_10240.1, SGUI1_10240.2
OG0000555	T265_04699, T265_04748, T265_04698	SGUI1_43560.1
OG0000556	T265_05172	SGUI1_66270.1
OG0000557	T265_09726	SGUI1_37630.1
OG0000558	T265_02473, T265_07551	SGUI1_17410.1
OG0000559	T265_15777, T265_15105	SGUI1_82370.1, SGUI1_82370.2, SGUI1_82370.4, SGUI1_82370.5, SGUI1_82370.3
OG0000561	T265_05307	SGUI1_95320.3, SGUI1_95320.4, SGUI1_95320.2, SGUI1_95320.1
OG0000562	T265_09617, T265_14904, T265_14905	SGUI1_85070.1, SGUI1_85070.2
OG0000563	T265_00934	SGUI1_20710.3, SGUI1_20710.4, SGUI1_20710.2, SGUI1_20710.1, SGUI1_20710.6, SGUI1_20710.7, SGUI1_20710.5
OG0000564	T265_04694	SGUI1_41980.1
OG0000565	T265_06308	SGUI1_3450.1, SGUI1_3450.2, SGUI1_3450.3
OG0000566	T265_06381	SGUI1_82760.1, SGUI1_82760.5, SGUI1_82760.6, SGUI1_82760.2, SGUI1_82760.3, SGUI1_82760.4
OG0000567	T265_09355	SGUI1_66190.1
OG0000568	T265_14125	SGUI1_57030.1
OG0000568	T265_06795	SGUI1_67450.1
OG0000568	T265_05196	SGUI1_34750.1
OG0000569	T265_16092, T265_15315, T265_15990	SGUI1_8870.1
OG0000570	T265_14462	SGUI1_12100.1
OG0000571	T265_09677	SGUI1_8230.1
OG0000572	T265_13892	SGUI1_59750.2, SGUI1_59750.7, SGUI1_59750.4, SGUI1_59750.3, SGUI1_59750.1, SGUI1_59750.5, SGUI1_59750.6, SGUI1_59750.8
OG0000574	T265_09231	SGUI1_2840.1, SGUI1_2880.1
OG0000575	T265_13730	SGUI1_94820.1
OG0000576	T265_04125	SGUI1_44120.1
OG0000577	T265_03389	SGUI1_53220.3, SGUI1_53220.6, SGUI1_53220.4, SGUI1_53220.5, SGUI1_53220.7, SGUI1_53220.1, SGUI1_53220.2
OG0000580	T265_11930	SGUI1_32130.2, SGUI1_32130.1
OG0000581	T265_03176, T265_03173	SGUI1_61490.4, SGUI1_61490.1, SGUI1_61490.2, SGUI1_61490.3, SGUI1_61490.5
OG0000582	T265_01669, T265_01670, T265_01668, T265_01664, T265_01665, T265_01666	SGUI1_83560.1
OG0000582	T265_01671	SGUI1_83570.1
OG0000583	T265_02005	SGUI1_61100.1
OG0000584	T265_13228	SGUI1_28160.1
OG0000585	T265_00232	SGUI1_5600.4, SGUI1_5600.1, SGUI1_5600.5, SGUI1_5600.2, SGUI1_5600.3, SGUI1_5600.6
OG0000586	T265_11386	SGUI1_30850.1
OG0000587	T265_07724	SGUI1_65370.1, SGUI1_65370.2
OG0000587	T265_12893, T265_14323	SGUI1_8650.1
OG0000588	T265_11101, T265_10758	SGUI1_22180.1
OG0000589	T265_12428, T265_12429, T265_12430, T265_12204, T265_12431, T265_08812, T265_15994, T265_12432, T265_12433, T265_00017	SGUI1_55120.1, SGUI1_55120.2, SGUI1_55120.3
OG0000590	T265_09102	SGUI1_28900.1
OG0000590	T265_06033	SGUI1_40530.1
OG0000591	T265_06310	SGUI1_3460.1
OG0000592	T265_14113	SGUI1_30690.5, SGUI1_30690.9, SGUI1_30690.8, SGUI1_30690.10, SGUI1_30690.1, SGUI1_30690.2, SGUI1_30690.3, SGUI1_30690.4, SGUI1_30690.6, SGUI1_30690.7
OG0000593	T265_10773	SGUI1_31580.7, SGUI1_31580.2, SGUI1_31580.3, SGUI1_31580.5, SGUI1_31580.1, SGUI1_31580.4, SGUI1_31580.6
OG0000594	T265_05797, T265_06525	SGUI1_49390.1
OG0000595	T265_03869	SGUI1_47700.2, SGUI1_47700.1, SGUI1_47700.3, SGUI1_47700.6, SGUI1_47700.4, SGUI1_47700.5
OG0000598	T265_02456	SGUI1_11950.1, SGUI1_11950.8, SGUI1_11950.3, SGUI1_11950.2, SGUI1_11950.4, SGUI1_11950.5, SGUI1_11950.6, SGUI1_11950.7, SGUI1_11950.9
OG0000599	T265_07673	SGUI1_63080.1, SGUI1_63070.1
OG0000600	T265_10590	SGUI1_68040.1, SGUI1_68060.4, SGUI1_68060.1, SGUI1_68060.2, SGUI1_68060.5, SGUI1_68060.3
OG0000601	T265_04621, T265_04618	SGUI1_95230.1, SGUI1_95240.1
OG0000601	T265_14218	SGUI1_40930.1
OG0000602	T265_09208, T265_12351	SGUI1_14820.1
OG0000603	T265_14992, T265_14991, T265_11543	SGUI1_50550.1, SGUI1_50550.2, SGUI1_50550.3
OG0000605	T265_14198	SGUI1_27270.1, SGUI1_27230.1
OG0000606	T265_01084, T265_11413, T265_01255, T265_13914, T265_10475	SGUI1_48740.1
OG0000607	T265_10825	SGUI1_30920.1
OG0000608	T265_02880, T265_02883	SGUI1_50910.4, SGUI1_50910.5, SGUI1_50910.6, SGUI1_50910.1, SGUI1_50910.3, SGUI1_50910.2
OG0000609	T265_09254	SGUI1_27150.2, SGUI1_27150.1, SGUI1_27150.5, SGUI1_27150.3, SGUI1_27150.4
OG0000610	T265_05701	SGUI1_22380.1, SGUI1_22380.2
OG0000611	T265_06968	SGUI1_43180.1, SGUI1_43200.1, SGUI1_43190.1
OG0000612	T265_09078	SGUI1_8200.1, SGUI1_8200.3, SGUI1_8200.2, SGUI1_8200.4
OG0000613	T265_02832	SGUI1_36960.2, SGUI1_36960.1, SGUI1_36960.3, SGUI1_36960.4
OG0000614	T265_12100	SGUI1_44300.1
OG0000615	T265_03195	SGUI1_12300.4, SGUI1_12300.2, SGUI1_12300.1, SGUI1_12300.3
OG0000616	T265_08938	SGUI1_60570.1, SGUI1_60570.3, SGUI1_60570.6, SGUI1_60570.2, SGUI1_60570.4, SGUI1_60570.5
OG0000617	T265_08274	SGUI1_81490.7, SGUI1_81490.4, SGUI1_81490.5, SGUI1_81490.1, SGUI1_81490.2, SGUI1_81490.6, SGUI1_81490.3
OG0000618	T265_13264	SGUI1_36350.5, SGUI1_36350.6, SGUI1_36350.1, SGUI1_36350.3, SGUI1_36350.2, SGUI1_36350.4
OG0000620	T265_10505	SGUI1_15020.1, SGUI1_15020.3, SGUI1_15020.2
OG0000620	T265_00373, T265_00374	SGUI1_45590.1
OG0000621	T265_14537	SGUI1_29800.1, SGUI1_29800.2, SGUI1_29800.4, SGUI1_29800.3
OG0000622	T265_00170	SGUI1_73710.1
OG0000623	T265_04780, T265_13600	SGUI1_12090.1, SGUI1_12080.1
OG0000624	T265_15535, T265_11776, T265_13342	SGUI1_28660.1, SGUI1_28660.5, SGUI1_28660.2, SGUI1_28660.3, SGUI1_28660.4
OG0000625	T265_03633	SGUI1_37340.1, SGUI1_37340.10, SGUI1_37340.11, SGUI1_37340.2, SGUI1_37340.3, SGUI1_37340.4, SGUI1_37340.5, SGUI1_37340.9, SGUI1_37340.8, SGUI1_37340.7, SGUI1_37340.6
OG0000626	T265_02683, T265_13068	SGUI1_54950.1, SGUI1_54950.5, SGUI1_54950.3, SGUI1_54950.2, SGUI1_54950.6, SGUI1_54950.4
OG0000627	T265_09410	SGUI1_10950.1, SGUI1_10950.3, SGUI1_10950.5, SGUI1_10950.4, SGUI1_10950.2
OG0000628	T265_08778, T265_14669, T265_16036	SGUI1_61570.3, SGUI1_61570.2, SGUI1_61570.1, SGUI1_61570.4
OG0000629	T265_05422	SGUI1_38690.3, SGUI1_38690.7, SGUI1_38690.1, SGUI1_38690.4, SGUI1_38690.5, SGUI1_38690.2, SGUI1_38690.6
OG0000630	T265_11517	SGUI1_59180.1
OG0000631	T265_00494	SGUI1_66320.1, SGUI1_66320.2, SGUI1_61590.1
OG0000632	T265_03948	SGUI1_12450.1
OG0000633	T265_08226	SGUI1_52690.1
OG0000634	T265_08726, T265_05043, T265_16055	SGUI1_37080.1
OG0000636	T265_09528	SGUI1_94990.1, SGUI1_94990.3, SGUI1_94990.2, SGUI1_94990.4
OG0000637	T265_08691	SGUI1_49680.1
OG0000638	T265_12571, T265_16335	SGUI1_64630.10, SGUI1_64630.2, SGUI1_64630.7, SGUI1_64630.8, SGUI1_64630.4, SGUI1_64630.5, SGUI1_64630.1, SGUI1_64630.6, SGUI1_64630.9, SGUI1_64630.3
OG0000639	T265_08132	SGUI1_62250.2, SGUI1_62250.1, SGUI1_62250.3
OG0000640	T265_06014	SGUI1_85100.1, SGUI1_85100.2
OG0000641	T265_11906	SGUI1_6350.1
OG0000642	T265_00484	SGUI1_62330.1
OG0000643	T265_06781	SGUI1_52190.1
OG0000643	T265_00368	SGUI1_52180.1, SGUI1_52180.2
OG0000644	T265_10096	SGUI1_95940.1, SGUI1_95940.8, SGUI1_95940.4, SGUI1_95940.3, SGUI1_95940.2, SGUI1_95940.6, SGUI1_95940.5, SGUI1_95940.7
OG0000645	T265_06416, T265_14031	SGUI1_9620.1, SGUI1_9610.1
OG0000646	T265_14032, T265_09682	SGUI1_8210.1, SGUI1_8210.2
OG0000647	T265_01179	SGUI1_62510.1, SGUI1_62510.2
OG0000649	T265_14362	SGUI1_60300.1, SGUI1_60300.2, SGUI1_60300.3
OG0000650	T265_04859	SGUI1_78100.6, SGUI1_78100.1, SGUI1_78100.2, SGUI1_78100.3, SGUI1_78100.4, SGUI1_78100.5, SGUI1_78100.7, SGUI1_78100.8
OG0000651	T265_08308	SGUI1_41760.1
