Orthogroup	opisthorchis_viverrini	schistosoma_intercalatum
OG0000053	T265_11166	SINT1_18650.2, SINT1_18650.3, SINT1_18650.4, SINT1_18650.10, SINT1_18650.5, SINT1_18650.6, SINT1_18650.7, SINT1_18650.8, SINT1_18650.1, SINT1_18650.11, SINT1_18650.12, SINT1_18650.9, SINT1_18650.13
OG0000054	T265_13045	SINT1_63080.1
OG0000055	T265_07023	SINT1_68170.4, SINT1_68170.6, SINT1_68170.7, SINT1_68170.9, SINT1_68170.5, SINT1_68170.8, SINT1_68170.3, SINT1_68170.1, SINT1_68170.2, SINT1_68160.2, SINT1_68160.3, SINT1_68160.6, SINT1_68160.1, SINT1_68160.4, SINT1_68160.5, SINT1_68160.7
OG0000058	T265_07455	SINT1_88570.1
OG0000058	T265_13746	SINT1_79220.1
OG0000060	T265_13025	SINT1_64930.1
OG0000061	T265_02884	SINT1_52570.12, SINT1_52570.1, SINT1_52570.10, SINT1_52570.11, SINT1_52570.2, SINT1_52570.4, SINT1_52570.8, SINT1_52570.3, SINT1_52570.6, SINT1_52570.7, SINT1_52570.9, SINT1_52570.5
OG0000062	T265_10452	SINT1_6140.1
OG0000063	T265_09823	SINT1_39400.9, SINT1_39400.8, SINT1_39400.3, SINT1_39400.6, SINT1_39400.2, SINT1_39400.7, SINT1_39400.1, SINT1_39400.5, SINT1_39400.11, SINT1_39400.4, SINT1_39400.10, SINT1_39400.12
OG0000064	T265_15306	SINT1_4150.18, SINT1_4150.22, SINT1_4150.4, SINT1_4150.19, SINT1_4150.16, SINT1_4150.24, SINT1_4150.25, SINT1_4150.13, SINT1_4150.20, SINT1_4150.17, SINT1_4150.21, SINT1_4150.15, SINT1_4150.11, SINT1_4150.1, SINT1_4150.7, SINT1_4150.3, SINT1_4150.6, SINT1_4150.9, SINT1_4150.23, SINT1_4150.26, SINT1_4150.2, SINT1_4150.8, SINT1_4150.10, SINT1_4150.12, SINT1_4150.14, SINT1_4150.5
OG0000065	T265_05693, T265_07607, T265_14333, T265_14334, T265_14335	SINT1_23130.1, SINT1_23160.1, SINT1_23220.3, SINT1_23220.2, SINT1_23220.1, SINT1_23190.1, SINT1_23180.2
OG0000066	T265_07972	SINT1_37090.4, SINT1_37090.9, SINT1_37090.1, SINT1_37090.7, SINT1_37090.8, SINT1_37090.6, SINT1_37090.12, SINT1_37090.10, SINT1_37090.3, SINT1_37090.11, SINT1_37090.5, SINT1_37090.2
OG0000068	T265_12520	SINT1_53720.1
OG0000068	T265_06616	SINT1_93040.1
OG0000068	T265_13582	SINT1_36550.2, SINT1_36550.1, SINT1_36550.3
OG0000068	T265_03815	SINT1_28800.1
OG0000070	T265_10197	SINT1_43770.13, SINT1_43770.12, SINT1_43770.5, SINT1_43770.7, SINT1_43770.15, SINT1_43770.10, SINT1_43770.2, SINT1_43770.17, SINT1_43770.3, SINT1_43770.8, SINT1_43770.16, SINT1_43770.1, SINT1_43770.6, SINT1_43770.4, SINT1_43770.9, SINT1_43770.14, SINT1_43770.11
OG0000071	T265_11263, T265_11264	SINT1_34230.1, SINT1_34230.2, SINT1_34230.4, SINT1_34230.6, SINT1_34230.8, SINT1_34230.7, SINT1_34230.9, SINT1_34230.10, SINT1_34230.3, SINT1_34230.5
OG0000072	T265_13598	SINT1_87990.2, SINT1_87990.6, SINT1_87990.10, SINT1_87990.4, SINT1_87990.3, SINT1_87990.1, SINT1_87990.5, SINT1_87990.7, SINT1_87990.14, SINT1_87990.12, SINT1_87990.13, SINT1_87990.9, SINT1_87990.11, SINT1_87990.8
