Orthogroup	opisthorchis_viverrini	schistosoma_intercalatum
OG0000756	T265_04901	SINT1_39030.1
OG0000757	T265_14154	SINT1_52550.2, SINT1_52550.3, SINT1_52550.1
OG0000758	T265_03111	SINT1_8970.8, SINT1_8970.9, SINT1_8970.4, SINT1_8970.1, SINT1_8970.2, SINT1_8970.5, SINT1_8970.6, SINT1_8970.7, SINT1_8970.3
OG0000759	T265_14472, T265_14473, T265_15924	SINT1_52950.3, SINT1_52950.1, SINT1_52950.4, SINT1_52950.2, SINT1_52950.6, SINT1_52950.5, SINT1_52950.7
OG0000760	T265_14346	SINT1_77620.1, SINT1_77620.10, SINT1_77620.11, SINT1_77620.12, SINT1_77620.2, SINT1_77620.3, SINT1_77620.4, SINT1_77620.5, SINT1_77620.6, SINT1_77620.7, SINT1_77620.8, SINT1_77620.9
OG0000761	T265_01230	SINT1_53610.2, SINT1_53610.4, SINT1_53610.1, SINT1_53610.5, SINT1_53610.9, SINT1_53610.7, SINT1_53610.6, SINT1_53610.8, SINT1_53610.3
OG0000762	T265_07913	SINT1_80630.1
OG0000762	T265_01864	SINT1_85900.1, SINT1_85900.2, SINT1_85900.3
OG0000763	T265_06905	SINT1_19820.5, SINT1_19820.1, SINT1_19820.2, SINT1_19820.3, SINT1_19820.4
OG0000764	T265_00997	SINT1_9100.5, SINT1_9100.3, SINT1_9100.2, SINT1_9100.1, SINT1_9100.4
OG0000765	T265_00442	SINT1_52930.1
OG0000765	T265_00440	SINT1_52940.1
OG0000766	T265_12796	SINT1_62770.1
OG0000767	T265_12911	SINT1_64820.1, SINT1_64820.2
OG0000768	T265_06451	SINT1_40010.2, SINT1_40010.3, SINT1_40010.1, SINT1_40010.4, SINT1_40010.5
OG0000769	T265_01586	SINT1_2060.3, SINT1_2060.1, SINT1_2060.2
OG0000770	T265_12873	SINT1_17990.1, SINT1_17990.2, SINT1_17990.3
OG0000773	T265_00411	SINT1_25800.3, SINT1_25800.2, SINT1_25800.1
OG0000774	T265_08743	SINT1_47130.1, SINT1_47130.2
OG0000775	T265_13684	SINT1_51610.1, SINT1_51610.2, SINT1_51610.3, SINT1_51610.4
OG0000776	T265_07866	SINT1_45850.1
OG0000776	T265_12745	SINT1_56460.1
OG0000777	T265_02206	SINT1_52160.3, SINT1_52160.1, SINT1_52160.6, SINT1_52160.5, SINT1_52160.2, SINT1_52160.4, SINT1_52160.8, SINT1_52160.7
OG0000778	T265_01511, T265_10392, T265_10394	SINT1_23030.1, SINT1_23030.3, SINT1_23030.2
OG0000779	T265_07269	SINT1_3610.1
OG0000780	T265_06690	SINT1_14980.1
OG0000781	T265_11274	SINT1_11380.1
OG0000781	T265_10911	SINT1_460.2, SINT1_460.1, SINT1_460.3, SINT1_460.4
OG0000782	T265_10870, T265_12889	SINT1_31730.1
OG0000783	T265_10176	SINT1_50520.1, SINT1_50520.2, SINT1_50520.3
OG0000784	T265_12066	SINT1_31650.4, SINT1_31650.3, SINT1_31650.2, SINT1_31650.1, SINT1_31650.5, SINT1_31650.6
OG0000785	T265_09886	SINT1_58640.1
OG0000786	T265_03503	SINT1_40750.5, SINT1_40750.2, SINT1_40750.1, SINT1_40750.4, SINT1_40750.3
OG0000787	T265_06799	SINT1_91330.1, SINT1_91330.2, SINT1_59320.1
OG0000788	T265_03219	SINT1_13680.1
OG0000789	T265_01031	SINT1_25610.1, SINT1_25600.1, SINT1_25600.2
OG0000790	T265_00688	SINT1_39340.1, SINT1_39340.2, SINT1_39340.3, SINT1_39340.4
OG0000791	T265_14202, T265_14203	SINT1_42730.1
OG0000792	T265_14379	SINT1_5640.2, SINT1_5640.1, SINT1_5640.3, SINT1_5640.4
OG0000793	T265_07034	SINT1_34260.3, SINT1_34260.1, SINT1_34260.2, SINT1_34260.4
OG0000794	T265_00948	SINT1_10230.1
OG0000795	T265_16059	SINT1_93650.7, SINT1_93650.6, SINT1_93650.3, SINT1_93650.1, SINT1_93650.2, SINT1_93650.4, SINT1_93650.5
OG0000796	T265_14897	SINT1_15870.1, SINT1_15870.2, SINT1_15860.1
OG0000797	T265_15019	SINT1_20130.6, SINT1_20130.2, SINT1_20130.5, SINT1_20130.3, SINT1_20130.4, SINT1_20130.1
OG0000798	T265_15843	SINT1_1260.1, SINT1_1260.2, SINT1_1260.3
OG0000799	T265_01805	SINT1_66270.1, SINT1_66270.2, SINT1_66270.3, SINT1_66270.4
OG0000800	T265_10271, T265_16198	SINT1_10160.1
OG0000801	T265_05496	SINT1_15740.2, SINT1_15740.1, SINT1_15740.3
OG0000802	T265_12896	SINT1_72380.1
OG0000802	T265_06568	SINT1_58280.1
OG0000803	T265_00805	SINT1_78010.2, SINT1_78010.1
OG0000804	T265_08025	SINT1_41330.1, SINT1_41330.2, SINT1_41330.4, SINT1_41330.5, SINT1_41330.3, SINT1_41330.6
OG0000805	T265_13484	SINT1_36400.1
OG0000806	T265_09116	SINT1_72740.1, SINT1_72740.2
OG0000807	T265_06277	SINT1_9860.1, SINT1_9860.2
OG0000808	T265_09441	SINT1_91880.1
OG0000808	T265_09443	SINT1_91890.1, SINT1_91890.4, SINT1_91890.2, SINT1_91890.3
OG0000809	T265_05763	SINT1_89370.1, SINT1_89370.2, SINT1_89370.4, SINT1_89370.5, SINT1_89370.3
OG0000810	T265_11471	SINT1_25130.1
OG0000811	T265_14828	SINT1_11150.1, SINT1_11150.2, SINT1_11150.3, SINT1_11150.4, SINT1_11150.5
OG0000812	T265_15805	SINT1_12150.1, SINT1_12150.2, SINT1_12150.3
OG0000813	T265_10364	SINT1_85090.1
OG0000814	T265_15846, T265_11631	SINT1_63100.1
OG0000815	T265_14139, T265_14138	SINT1_59300.3, SINT1_59300.1, SINT1_59300.2, SINT1_59300.5, SINT1_59300.4
OG0000816	T265_10520, T265_15172	SINT1_82520.1, SINT1_82520.2, SINT1_82520.3, SINT1_82520.4
OG0000817	T265_03538	SINT1_86900.1, SINT1_86900.2, SINT1_86900.3, SINT1_86900.4, SINT1_86900.5, SINT1_86900.6
OG0000818	T265_12681	SINT1_11620.1, SINT1_11620.3, SINT1_11620.2
OG0000819	T265_02518	SINT1_64960.2, SINT1_64960.4, SINT1_64960.1, SINT1_64960.3
OG0000820	T265_01694	SINT1_83190.1
OG0000821	T265_13288	SINT1_49050.1
OG0000822	T265_03848	SINT1_73410.1
OG0000823	T265_00829	SINT1_53300.1
OG0000823	T265_11555	SINT1_91290.1, SINT1_91300.1
OG0000824	T265_07875	SINT1_3060.1, SINT1_3060.4, SINT1_3060.3, SINT1_3060.2, SINT1_3060.6, SINT1_3060.5
OG0000826	T265_06114	SINT1_55170.3, SINT1_55170.1, SINT1_55170.4, SINT1_55170.2
OG0000827	T265_04215, T265_13453, T265_08146, T265_00316	SINT1_74310.1, SINT1_74310.2
OG0000830	T265_03604	SINT1_48820.2, SINT1_48820.3, SINT1_48820.1
OG0000831	T265_11740	SINT1_42440.3, SINT1_42440.1, SINT1_42440.4, SINT1_42440.5, SINT1_42440.2
OG0000832	T265_06731	SINT1_60050.2, SINT1_60050.1
OG0000833	T265_15296	SINT1_33300.1, SINT1_33300.3, SINT1_33300.2, SINT1_33300.4
OG0000834	T265_08688	SINT1_48650.1
OG0000835	T265_05875	SINT1_38110.1, SINT1_38110.2
OG0000836	T265_07620, T265_16203	SINT1_37330.4, SINT1_37330.5, SINT1_37330.2, SINT1_37330.3, SINT1_37330.1
OG0000837	T265_08390	SINT1_32380.2, SINT1_32380.3, SINT1_32380.1, SINT1_32380.5, SINT1_32380.4
OG0000838	T265_02612	SINT1_39150.1
OG0000839	T265_03005	SINT1_38540.3, SINT1_38540.1, SINT1_38540.2
OG0000840	T265_12899	SINT1_69580.1, SINT1_69580.2
OG0000841	T265_06170	SINT1_20460.2, SINT1_20460.7, SINT1_20460.4, SINT1_20460.3, SINT1_20460.6, SINT1_20460.5, SINT1_20460.1
OG0000842	T265_14136	SINT1_66450.1, SINT1_66450.2
OG0000843	T265_02386	SINT1_80990.1, SINT1_80990.2
OG0000844	T265_00279	SINT1_5220.10, SINT1_5220.3, SINT1_5220.4, SINT1_5220.7, SINT1_5220.1, SINT1_5220.11, SINT1_5220.5, SINT1_5220.6, SINT1_5220.8, SINT1_5220.9, SINT1_5220.2
OG0000845	T265_12579	SINT1_88300.2, SINT1_88300.1, SINT1_88300.3
OG0000846	T265_05703	SINT1_16940.1, SINT1_16940.2, SINT1_16940.3, SINT1_16940.4, SINT1_16940.5, SINT1_16940.6
OG0000847	T265_07827, T265_09008, T265_01575, T265_07199	SINT1_1170.1, SINT1_1170.2
OG0000848	T265_00764	SINT1_34870.4, SINT1_34870.2, SINT1_34870.5, SINT1_34870.3, SINT1_34870.6, SINT1_34870.1
OG0000849	T265_12610	SINT1_39190.1, SINT1_39190.2, SINT1_39190.3, SINT1_39190.4
OG0000850	T265_10398	SINT1_27390.4, SINT1_27390.6, SINT1_27390.1, SINT1_27390.7, SINT1_27390.2, SINT1_27390.3, SINT1_27390.5
OG0000851	T265_04154	SINT1_89380.1, SINT1_89380.2
OG0000852	T265_08766	SINT1_11010.1, SINT1_11000.1
OG0000853	T265_06027	SINT1_81500.1
OG0000854	T265_15559, T265_14260, T265_15560	SINT1_37340.1, SINT1_37340.3, SINT1_37340.2, SINT1_37340.4
OG0000855	T265_13837, T265_15500	SINT1_54440.1, SINT1_54440.2, SINT1_54440.3
OG0000856	T265_14822	SINT1_2940.5, SINT1_2940.2, SINT1_2940.3, SINT1_2940.4, SINT1_2940.1
OG0000857	T265_14322	SINT1_4110.1
OG0000858	T265_15000	SINT1_4510.2, SINT1_4510.1, SINT1_4510.4, SINT1_4510.3
OG0000860	T265_06072	SINT1_59580.1
OG0000860	T265_05631	SINT1_62150.1
OG0000861	T265_04574	SINT1_11800.1
OG0000862	T265_09368, T265_09366, T265_09369	SINT1_30070.2, SINT1_30070.3, SINT1_30070.4, SINT1_30070.5, SINT1_30070.6, SINT1_30070.1
OG0000863	T265_05435	SINT1_7360.1
OG0000864	T265_05363	SINT1_40340.1
OG0000865	T265_05335	SINT1_33260.1
OG0000866	T265_09230	SINT1_660.1, SINT1_95050.1
OG0000867	T265_03080	SINT1_7240.1, SINT1_7240.2, SINT1_7240.3, SINT1_7240.4
OG0000869	T265_14256	SINT1_87830.2, SINT1_87830.1, SINT1_87830.3
OG0000870	T265_06698	SINT1_910.4, SINT1_910.6, SINT1_910.1, SINT1_910.2, SINT1_910.3, SINT1_910.5
OG0000872	T265_16288, T265_12059	SINT1_3990.1
OG0000873	T265_15131	SINT1_85010.3, SINT1_85010.1, SINT1_85010.2, SINT1_85010.4, SINT1_85010.5
OG0000874	T265_04488, T265_09986, T265_09985	SINT1_43030.1
OG0000876	T265_03229	SINT1_96270.1, SINT1_23870.1
OG0000877	T265_14662	SINT1_7290.1
OG0000879	T265_08209	SINT1_58090.1, SINT1_58090.2
OG0000881	T265_09970	SINT1_89210.1
OG0000882	T265_15327, T265_15326	SINT1_22270.1
OG0000882	T265_00439, T265_08858	SINT1_40110.2, SINT1_40110.1
OG0000883	T265_08857	SINT1_40100.6, SINT1_40100.1, SINT1_40100.2, SINT1_40100.3, SINT1_40100.4, SINT1_40100.5, SINT1_40100.7
OG0000884	T265_10076, T265_15490	SINT1_39380.1, SINT1_39380.2, SINT1_39380.3
OG0000885	T265_12962, T265_02246	SINT1_90980.1, SINT1_140.1, SINT1_96860.1, SINT1_56940.1, SINT1_90990.1, SINT1_90960.1, SINT1_90970.2, SINT1_90970.1, SINT1_120.1
OG0000886	T265_01994	SINT1_69710.1, SINT1_69710.3, SINT1_69710.5, SINT1_69710.2, SINT1_69710.4
OG0000887	T265_15509	SINT1_19800.4, SINT1_19800.1, SINT1_19800.2, SINT1_19800.3
OG0000888	T265_14777, T265_14776	SINT1_77570.1, SINT1_77570.2, SINT1_77570.3, SINT1_77580.1
OG0000889	T265_10291, T265_03241	SINT1_27830.1, SINT1_27830.2, SINT1_27830.4, SINT1_27830.3
OG0000890	T265_04042, T265_05866	SINT1_40920.1
OG0000891	T265_13383, T265_13385	SINT1_37210.1, SINT1_37210.4, SINT1_37210.2, SINT1_37210.3
OG0000892	T265_13465, T265_04286	SINT1_51890.6, SINT1_51890.8, SINT1_51890.3, SINT1_51890.1, SINT1_51890.5, SINT1_51890.7, SINT1_51890.4, SINT1_51890.2
OG0000894	T265_14564, T265_08709	SINT1_96000.1, SINT1_86220.1, SINT1_86220.2
OG0000895	T265_08916	SINT1_44060.1, SINT1_44060.2
OG0000896	T265_11745, T265_15524	SINT1_21120.1
OG0000897	T265_09054	SINT1_10220.1, SINT1_10220.2
OG0000898	T265_03575	SINT1_71160.1, SINT1_71160.2, SINT1_71160.3, SINT1_71160.4, SINT1_71160.5
OG0000899	T265_00966	SINT1_14490.2, SINT1_14490.4, SINT1_14490.3, SINT1_14490.5, SINT1_14490.1
OG0000900	T265_15960	SINT1_3550.1, SINT1_3540.1
OG0000901	T265_03340	SINT1_62260.2, SINT1_62260.4, SINT1_62260.3, SINT1_62260.1
OG0000902	T265_03522	SINT1_55040.1, SINT1_55040.2, SINT1_55040.3
OG0000903	T265_02094	SINT1_15480.1
OG0000904	T265_06409	SINT1_5100.1, SINT1_5100.2, SINT1_5100.3, SINT1_5100.8, SINT1_5100.4, SINT1_5100.5, SINT1_5100.6, SINT1_5100.7
OG0000905	T265_08905	SINT1_77760.1
OG0000906	T265_09792	SINT1_63480.1, SINT1_63480.2
OG0000907	T265_00831	SINT1_73540.1
OG0000908	T265_13306	SINT1_26740.1, SINT1_26730.1
OG0000910	T265_10833	SINT1_8230.1, SINT1_8230.2, SINT1_8230.3
OG0000911	T265_11627, T265_11628	SINT1_57920.4, SINT1_57920.1, SINT1_57920.3, SINT1_57920.2
OG0000912	T265_06227	SINT1_6420.1
OG0000913	T265_10377, T265_05795, T265_15140	SINT1_31550.1, SINT1_31550.2, SINT1_31550.3
OG0000914	T265_06456	SINT1_38590.3, SINT1_38590.2, SINT1_38590.1, SINT1_38590.4
OG0000915	T265_00756	SINT1_29620.1, SINT1_29620.3, SINT1_29620.2
OG0000916	T265_11901	SINT1_39660.4, SINT1_39660.7, SINT1_39660.8, SINT1_39660.10, SINT1_39660.2, SINT1_39660.1, SINT1_39660.12, SINT1_39660.11, SINT1_39660.3, SINT1_39660.5, SINT1_39660.9, SINT1_39660.6
OG0000917	T265_02425	SINT1_82800.1, SINT1_82800.2, SINT1_82800.3
OG0000918	T265_13665	SINT1_26830.1, SINT1_26830.2, SINT1_26830.4, SINT1_26830.5, SINT1_26830.6, SINT1_26830.3, SINT1_26830.7, SINT1_26830.8
OG0000919	T265_11299	SINT1_82980.1
OG0000921	T265_10843	SINT1_43460.2, SINT1_43460.8, SINT1_43460.1, SINT1_43460.5, SINT1_43460.4, SINT1_43460.6, SINT1_43460.3, SINT1_43460.7, SINT1_43460.9
OG0000922	T265_14804, T265_09307	SINT1_6900.1
OG0000923	T265_03493	SINT1_41520.1
OG0000923	T265_05658	SINT1_91550.1
OG0000925	T265_07999	SINT1_16510.3, SINT1_16510.4, SINT1_16510.5, SINT1_16510.1, SINT1_16510.2
OG0000926	T265_15584	SINT1_27110.1, SINT1_27110.2
OG0000927	T265_13966	SINT1_19870.1
OG0000928	T265_02989	SINT1_32310.1, SINT1_32310.4, SINT1_32310.2, SINT1_32310.3, SINT1_32300.1
OG0000929	T265_11846	SINT1_64480.1
OG0000930	T265_13266	SINT1_42360.5, SINT1_42360.1, SINT1_42360.3, SINT1_42360.4, SINT1_42360.2
OG0000931	T265_10692	SINT1_70630.1, SINT1_70630.2, SINT1_70630.3, SINT1_70630.4, SINT1_70630.5, SINT1_70630.6, SINT1_70630.8, SINT1_70630.7
OG0000932	T265_09389	SINT1_1080.1
OG0000933	T265_10768	SINT1_39750.1, SINT1_39750.2
OG0000934	T265_09239	SINT1_10300.3, SINT1_10300.2, SINT1_10300.1
OG0000935	T265_09761	SINT1_63800.1
OG0000936	T265_08979	SINT1_92400.3, SINT1_92400.2, SINT1_92400.1
OG0000937	T265_04033	SINT1_54180.1
OG0000938	T265_08657, T265_08656	SINT1_59470.4, SINT1_59470.5, SINT1_59470.1, SINT1_59470.3, SINT1_59470.2, SINT1_59470.6, SINT1_59470.7
OG0000939	T265_05437	SINT1_85540.1, SINT1_85540.5, SINT1_85540.4, SINT1_85540.2, SINT1_85540.3, SINT1_85540.6
OG0000940	T265_08942, T265_16338	SINT1_5770.1, SINT1_5770.2, SINT1_5770.3
OG0000941	T265_08808	SINT1_32120.2, SINT1_32120.3, SINT1_32120.1, SINT1_32120.4
OG0000942	T265_10456	SINT1_16080.3, SINT1_16080.1, SINT1_16080.2
OG0000943	T265_03814	SINT1_28810.3, SINT1_28810.4, SINT1_28810.1, SINT1_28810.2
OG0000944	T265_00614	SINT1_57720.1, SINT1_94860.1
OG0000945	T265_01854	SINT1_11500.9, SINT1_11500.4, SINT1_11500.5, SINT1_11500.2, SINT1_11500.1, SINT1_11500.3, SINT1_11500.6, SINT1_11500.7, SINT1_11500.8
OG0000946	T265_06499	SINT1_8840.3, SINT1_8840.4, SINT1_8840.1, SINT1_8840.2, SINT1_8840.5, SINT1_8840.6
OG0000947	T265_13430	SINT1_38910.1
OG0000948	T265_04663	SINT1_80380.3, SINT1_80380.4, SINT1_80380.5, SINT1_80380.1, SINT1_80380.2
OG0000949	T265_09047, T265_09046, T265_09045	SINT1_16250.1, SINT1_16260.1, SINT1_16240.1, SINT1_16240.2, SINT1_16240.3
OG0000950	T265_04298	SINT1_53270.6, SINT1_53270.2, SINT1_53270.4, SINT1_53270.3, SINT1_53270.5, SINT1_53270.1
OG0000952	T265_00749	SINT1_29580.2, SINT1_29580.3, SINT1_29580.1
OG0000953	T265_13448	SINT1_62370.1, SINT1_62370.2, SINT1_62370.3
OG0000954	T265_05290	SINT1_79330.1, SINT1_79330.2
OG0000955	T265_03085	SINT1_12620.1
OG0000958	T265_07251	SINT1_13790.1
OG0000962	T265_00111	SINT1_73520.1, SINT1_73520.2
OG0000963	T265_13178	SINT1_2310.1
OG0000964	T265_10312	SINT1_40680.6, SINT1_40680.3, SINT1_40680.4, SINT1_40680.5, SINT1_40680.1, SINT1_40680.2
OG0000965	T265_03351	SINT1_63060.1
OG0000966	T265_04985	SINT1_36170.1, SINT1_36170.2
OG0000966	T265_15072	SINT1_48960.1
OG0000967	T265_16351	SINT1_35420.1, SINT1_35420.2
OG0000968	T265_03039	SINT1_2740.1, SINT1_2740.2, SINT1_2740.3, SINT1_2740.4
OG0000969	T265_01639	SINT1_80260.1
OG0000970	T265_05786	SINT1_68850.1, SINT1_68850.2
OG0000971	T265_14454	SINT1_1810.1, SINT1_1810.2, SINT1_1810.3, SINT1_1810.5, SINT1_1810.7, SINT1_1810.4, SINT1_1810.6
OG0000972	T265_04367	SINT1_6100.1, SINT1_6100.2, SINT1_6100.3
OG0000973	T265_07516	SINT1_24160.1, SINT1_24170.1, SINT1_24180.1
OG0000974	T265_12463	SINT1_55310.1, SINT1_55310.2
OG0000975	T265_02924, T265_09700	SINT1_5930.4, SINT1_5930.1, SINT1_5930.2, SINT1_5930.3
OG0000976	T265_00947	SINT1_10420.1, SINT1_10420.2, SINT1_10420.3
OG0000977	T265_04434	SINT1_12120.1, SINT1_12120.2, SINT1_12120.3
OG0000978	T265_05507	SINT1_21010.1, SINT1_21010.2, SINT1_21010.3, SINT1_21010.4, SINT1_21010.5
OG0000979	T265_00786	SINT1_72710.1
OG0000980	T265_03583	SINT1_52000.2, SINT1_52000.1
OG0000981	T265_04343	SINT1_40080.2, SINT1_40080.1
OG0000982	T265_03904	SINT1_63880.4, SINT1_63880.2, SINT1_63880.5, SINT1_63880.3, SINT1_63880.1
OG0000983	T265_09860	SINT1_15680.1, SINT1_15680.3, SINT1_15680.4, SINT1_15680.2, SINT1_15680.5, SINT1_15680.6
OG0000984	T265_10372, T265_07582	SINT1_34890.6, SINT1_34890.4, SINT1_34890.3, SINT1_34890.2, SINT1_34890.1, SINT1_34890.7, SINT1_34890.8, SINT1_34890.5
OG0000985	T265_11572	SINT1_16220.1, SINT1_16220.2, SINT1_16220.3
OG0000986	T265_02193, T265_12946	SINT1_71860.1
OG0000987	T265_02383	SINT1_82000.1, SINT1_82000.2, SINT1_82000.3
OG0000989	T265_04299	SINT1_51320.3, SINT1_51320.1, SINT1_51320.2
OG0000990	T265_08682	SINT1_4730.1
OG0000991	T265_13030	SINT1_58500.3, SINT1_58500.5, SINT1_58500.1, SINT1_58500.2, SINT1_58500.4
OG0000992	T265_01516	SINT1_44330.1, SINT1_44330.2, SINT1_44330.6, SINT1_44330.3, SINT1_44330.4, SINT1_44330.5
OG0000993	T265_14754	SINT1_76930.3, SINT1_76930.2, SINT1_76930.4, SINT1_76930.1
OG0000994	T265_02553	SINT1_33950.1
OG0000995	T265_13745	SINT1_79200.2, SINT1_79200.1, SINT1_79200.3
OG0000996	T265_00610	SINT1_64000.3, SINT1_64000.1, SINT1_64000.2
OG0000997	T265_13758	SINT1_87300.1
OG0000998	T265_02907	SINT1_55530.1
OG0000999	T265_02983	SINT1_37900.1
OG0001000	T265_02450	SINT1_7120.1
OG0001003	T265_02803	SINT1_32240.1, SINT1_32240.4, SINT1_32240.2, SINT1_32240.3
OG0001004	T265_15034	SINT1_15850.1, SINT1_15850.2, SINT1_15850.3, SINT1_15850.4, SINT1_15850.7, SINT1_15850.8, SINT1_15850.5, SINT1_15850.6, SINT1_15850.9
OG0001009	T265_08731	SINT1_86450.1
OG0001010	T265_06725	SINT1_59980.1
OG0001011	T265_13048	SINT1_39700.1, SINT1_39700.2
OG0001012	T265_06918	SINT1_5140.1, SINT1_5140.3, SINT1_5140.4, SINT1_5140.2
OG0001013	T265_10272, T265_16022	SINT1_13900.1
OG0001014	T265_12060, T265_16314	SINT1_3970.1
OG0001015	T265_11538, T265_15411, T265_10528, T265_15958	SINT1_38410.1
OG0001016	T265_01892	SINT1_37680.1, SINT1_37680.2, SINT1_37680.3
OG0001017	T265_03456	SINT1_15660.1
OG0001018	T265_11985	SINT1_29790.6, SINT1_29790.4, SINT1_29790.2, SINT1_29790.3, SINT1_29790.5, SINT1_29790.1
OG0001019	T265_06404, T265_12347	SINT1_42190.2, SINT1_42190.1, SINT1_42190.4, SINT1_42190.3, SINT1_42190.6, SINT1_42190.5
OG0001020	T265_14664	SINT1_11020.1
OG0001021	T265_05434	SINT1_29570.4, SINT1_29570.5, SINT1_29570.6, SINT1_29570.1, SINT1_29570.3, SINT1_29570.2
OG0001022	T265_08582	SINT1_21150.1
OG0001023	T265_14386	SINT1_62750.1
OG0001024	T265_15215	SINT1_77060.1, SINT1_77060.3, SINT1_77060.2
OG0001026	T265_08689	SINT1_49530.1, SINT1_49530.2
OG0001027	T265_05249	SINT1_920.1, SINT1_920.2, SINT1_920.3, SINT1_920.4
OG0001028	T265_02150	SINT1_55240.2, SINT1_55240.3, SINT1_55240.1
OG0001029	T265_06784	SINT1_49730.1, SINT1_49730.2, SINT1_49730.3
OG0001030	T265_03534	SINT1_28950.4, SINT1_28950.2, SINT1_28950.11, SINT1_28950.1, SINT1_28950.10, SINT1_28950.3, SINT1_28950.5, SINT1_28950.6, SINT1_28950.9, SINT1_28950.7, SINT1_28950.8
OG0001031	T265_02198	SINT1_69810.1, SINT1_69810.2, SINT1_69810.3
OG0001032	T265_07791	SINT1_64020.1, SINT1_64020.2, SINT1_64020.3
OG0001033	T265_12072	SINT1_71190.1
OG0001034	T265_00015	SINT1_53930.1, SINT1_53940.1
OG0001035	T265_07899, T265_11146, T265_07897, T265_11147	SINT1_54490.1
OG0001036	T265_15152	SINT1_17570.1
OG0001038	T265_06836	SINT1_1490.1
OG0001039	T265_13311	SINT1_27410.1, SINT1_27410.2, SINT1_27410.3, SINT1_27410.4, SINT1_27410.5
OG0001040	T265_08277	SINT1_80510.1, SINT1_80510.2, SINT1_80510.3
OG0001041	T265_02769, T265_02770	SINT1_92620.1, SINT1_92620.2
OG0001042	T265_09868, T265_16047	SINT1_12010.1, SINT1_12010.3, SINT1_12010.4, SINT1_12010.2
OG0001043	T265_04066	SINT1_48350.1, SINT1_48350.2, SINT1_48350.3, SINT1_48350.4
OG0001045	T265_14190	SINT1_66380.1, SINT1_66380.2
OG0001046	T265_00122	SINT1_50980.1
OG0001047	T265_14657, T265_15967	SINT1_94100.1
OG0001048	T265_05921	SINT1_76990.3, SINT1_76990.2, SINT1_76990.1
OG0001049	T265_01366	SINT1_55110.1, SINT1_55110.4, SINT1_55110.5, SINT1_55110.2, SINT1_55110.3
OG0001050	T265_06070	SINT1_62000.1, SINT1_62000.2, SINT1_62000.3, SINT1_62000.4
OG0001051	T265_08900	SINT1_86300.1
OG0001052	T265_03515, T265_03514	SINT1_55100.2, SINT1_55100.3, SINT1_55100.1
OG0001053	T265_10644	SINT1_63130.3, SINT1_63130.6, SINT1_63130.8, SINT1_63130.2, SINT1_63130.1, SINT1_63130.5, SINT1_63130.4, SINT1_63130.7
OG0001054	T265_07774	SINT1_11780.1
OG0001056	T265_06907	SINT1_57690.8, SINT1_57690.7, SINT1_57690.6, SINT1_57690.1, SINT1_57690.2, SINT1_57690.3, SINT1_57690.4, SINT1_57690.5
OG0001057	T265_08393	SINT1_86170.3, SINT1_86170.1, SINT1_86170.2
OG0001058	T265_09765, T265_07871	SINT1_60610.1
OG0001059	T265_09693	SINT1_17090.1
OG0001060	T265_08792, T265_05830, T265_12211	SINT1_63420.1, SINT1_63420.2
OG0001061	T265_10435	SINT1_11170.1, SINT1_11180.1, SINT1_11160.1, SINT1_11180.2
OG0001062	T265_10952	SINT1_48790.1, SINT1_48790.2
OG0001068	T265_05783	SINT1_74780.4, SINT1_74780.5, SINT1_74780.1, SINT1_74780.2, SINT1_74780.3
OG0001070	T265_01150	SINT1_62800.1, SINT1_62800.2, SINT1_62800.3
OG0001070	T265_03875	SINT1_75150.1
OG0001071	T265_01413, T265_01414	SINT1_64710.1, SINT1_64710.2, SINT1_64710.4, SINT1_64710.5, SINT1_64710.3, SINT1_64710.6
OG0001072	T265_11095	SINT1_42220.1
OG0001073	T265_06687	SINT1_16890.1
OG0001074	T265_07051	SINT1_27620.1, SINT1_27620.4, SINT1_27620.2, SINT1_27620.3
OG0001075	T265_00485	SINT1_61580.4, SINT1_61580.5, SINT1_61580.1, SINT1_61580.2, SINT1_61580.3
OG0001076	T265_04766	SINT1_46370.1, SINT1_46370.3, SINT1_46370.2
OG0001077	T265_03589	SINT1_50060.1
OG0001078	T265_01377	SINT1_61020.1
OG0001079	T265_01997	SINT1_74260.1, SINT1_74260.2, SINT1_74270.1
OG0001080	T265_03280, T265_06062	SINT1_72830.1, SINT1_72830.3, SINT1_72830.2, SINT1_72830.4
OG0001081	T265_02594	SINT1_33980.1
OG0001082	T265_14341	SINT1_48590.4, SINT1_48590.1, SINT1_48590.2, SINT1_48590.3, SINT1_48590.5
OG0001083	T265_05304	SINT1_92760.3, SINT1_92760.2, SINT1_92760.1
OG0001084	T265_03430	SINT1_20840.3, SINT1_20840.1, SINT1_20840.4, SINT1_20840.5, SINT1_20840.2
OG0001085	T265_05309	SINT1_93700.1
OG0001086	T265_00332	SINT1_70930.1, SINT1_70930.6, SINT1_70930.5, SINT1_70930.3, SINT1_70930.2, SINT1_70930.4
OG0001087	T265_02349, T265_02348, T265_04933	SINT1_51230.1
OG0001087	T265_13295	SINT1_36330.1
OG0001088	T265_14908	SINT1_23640.1, SINT1_24690.1, SINT1_24690.2, SINT1_24690.3, SINT1_24690.4
OG0001089	T265_04203	SINT1_64690.1, SINT1_64690.2, SINT1_64690.4, SINT1_64690.3
OG0001090	T265_05314	SINT1_94440.1, SINT1_94440.2
OG0001091	T265_08694	SINT1_48480.1, SINT1_48480.2
