Orthogroup	schistosoma_intercalatum	fasciola_gigantica
OG0000066	SINT1_37090.4, SINT1_37090.9, SINT1_37090.1, SINT1_37090.7, SINT1_37090.8, SINT1_37090.6, SINT1_37090.12, SINT1_37090.10, SINT1_37090.3, SINT1_37090.11, SINT1_37090.5, SINT1_37090.2	FGIG_00170
OG0000067	SINT1_67000.1, SINT1_67000.7, SINT1_67000.6, SINT1_67000.8, SINT1_67000.9, SINT1_67000.2, SINT1_67000.3, SINT1_67000.4, SINT1_67000.5	FGIG_02840, FGIG_02842
OG0000068	SINT1_53720.1	FGIG_12158
OG0000068	SINT1_93040.1	FGIG_12079
OG0000068	SINT1_36550.2, SINT1_36550.1, SINT1_36550.3	FGIG_07351
OG0000068	SINT1_28800.1	FGIG_05814
OG0000069	SINT1_20680.1, SINT1_20680.3, SINT1_20680.6, SINT1_20680.9, SINT1_20680.10, SINT1_20680.2, SINT1_20680.5, SINT1_20680.8, SINT1_20680.11, SINT1_20680.12, SINT1_20680.13, SINT1_20680.4, SINT1_20680.7	FGIG_12680, FGIG_06996
OG0000070	SINT1_43770.13, SINT1_43770.12, SINT1_43770.5, SINT1_43770.7, SINT1_43770.15, SINT1_43770.10, SINT1_43770.2, SINT1_43770.17, SINT1_43770.3, SINT1_43770.8, SINT1_43770.16, SINT1_43770.1, SINT1_43770.6, SINT1_43770.4, SINT1_43770.9, SINT1_43770.14, SINT1_43770.11	FGIG_00175, FGIG_00176, FGIG_00174
OG0000071	SINT1_34230.1, SINT1_34230.2, SINT1_34230.4, SINT1_34230.6, SINT1_34230.8, SINT1_34230.7, SINT1_34230.9, SINT1_34230.10, SINT1_34230.3, SINT1_34230.5	FGIG_07065, FGIG_07067
OG0000072	SINT1_87990.2, SINT1_87990.6, SINT1_87990.10, SINT1_87990.4, SINT1_87990.3, SINT1_87990.1, SINT1_87990.5, SINT1_87990.7, SINT1_87990.14, SINT1_87990.12, SINT1_87990.13, SINT1_87990.9, SINT1_87990.11, SINT1_87990.8	FGIG_06022, FGIG_09056
OG0000073	SINT1_55460.3, SINT1_55450.1, SINT1_55450.2, SINT1_55450.4, SINT1_55460.1, SINT1_55450.5, SINT1_55460.2, SINT1_55450.3	FGIG_05759
OG0000074	SINT1_1200.2, SINT1_1200.1	FGIG_06125
OG0000074	SINT1_86470.1	FGIG_03273
OG0000074	SINT1_11530.3, SINT1_11530.2, SINT1_11530.1	FGIG_07718
OG0000074	SINT1_86570.1	FGIG_01338
OG0000075	SINT1_33970.18, SINT1_33970.16, SINT1_33970.24, SINT1_33970.8, SINT1_33970.1, SINT1_33970.10, SINT1_33970.11, SINT1_33970.12, SINT1_33970.13, SINT1_33970.14, SINT1_33970.15, SINT1_33970.17, SINT1_33970.2, SINT1_33970.20, SINT1_33970.22, SINT1_33970.23, SINT1_33970.4, SINT1_33970.5, SINT1_33970.6, SINT1_33970.7, SINT1_33970.9, SINT1_33970.3, SINT1_33970.19, SINT1_33970.21	FGIG_05387
OG0000076	SINT1_89270.4, SINT1_89270.2, SINT1_89270.1, SINT1_89270.3	FGIG_04289, FGIG_04292, FGIG_04291, FGIG_04290
OG0000076	SINT1_3800.6, SINT1_3800.4, SINT1_3800.3, SINT1_3800.2, SINT1_3800.5, SINT1_3800.1, SINT1_3800.7	FGIG_08489, FGIG_08490, FGIG_08491
OG0000077	SINT1_10970.11, SINT1_10970.9, SINT1_10970.10, SINT1_10970.6, SINT1_10970.7, SINT1_10970.3, SINT1_10970.1, SINT1_10970.4, SINT1_10970.8, SINT1_10970.2, SINT1_10970.5	FGIG_09054
OG0000078	SINT1_5520.8, SINT1_5520.1, SINT1_5520.9, SINT1_5520.4, SINT1_5520.2, SINT1_5520.3, SINT1_5520.5, SINT1_5520.6, SINT1_5520.7	FGIG_04314
OG0000079	SINT1_30740.1, SINT1_30740.2, SINT1_30740.3, SINT1_30740.4	FGIG_07135, FGIG_07136
OG0000079	SINT1_53840.5, SINT1_53840.1, SINT1_53840.3, SINT1_53840.2, SINT1_53840.4, SINT1_53840.6	FGIG_05069, FGIG_05070
OG0000080	SINT1_44200.2, SINT1_44200.8, SINT1_44200.7, SINT1_44200.6, SINT1_44200.5, SINT1_44200.4, SINT1_44200.3, SINT1_44200.1, SINT1_44200.9	FGIG_03532
OG0000081	SINT1_2370.1, SINT1_69680.1, SINT1_65950.1, SINT1_34300.1, SINT1_80800.1, SINT1_7880.1, SINT1_44890.1, SINT1_44230.1, SINT1_19300.1, SINT1_2900.1, SINT1_38270.1, SINT1_58320.1	FGIG_05277, FGIG_11514
OG0000082	SINT1_10600.4, SINT1_10600.2, SINT1_10600.3, SINT1_10600.8, SINT1_10600.1, SINT1_10600.7, SINT1_10600.10, SINT1_10600.11, SINT1_10600.16, SINT1_10600.12, SINT1_10600.14, SINT1_10600.5, SINT1_10600.6, SINT1_10600.15, SINT1_10600.17, SINT1_10600.13, SINT1_10600.9	FGIG_06461
OG0000085	SINT1_36430.1	FGIG_06241
OG0000086	SINT1_72260.6, SINT1_72260.3, SINT1_72260.4, SINT1_72260.5, SINT1_72260.7, SINT1_72260.1, SINT1_72260.2	FGIG_09371
OG0000087	SINT1_52890.10, SINT1_52890.11, SINT1_52890.12, SINT1_52890.3, SINT1_52890.4, SINT1_52890.8, SINT1_52890.1, SINT1_52890.2, SINT1_52890.9, SINT1_52890.5, SINT1_52890.6, SINT1_52890.7	FGIG_03026
OG0000088	SINT1_3040.1, SINT1_3040.3, SINT1_3040.2, SINT1_3030.2, SINT1_3030.3, SINT1_3030.1, SINT1_3030.4, SINT1_3030.5, SINT1_3030.6	FGIG_14005, FGIG_05150
OG0000090	SINT1_49900.5, SINT1_49900.1, SINT1_49900.2, SINT1_49900.3, SINT1_49900.4, SINT1_49900.6, SINT1_49900.7, SINT1_49900.8	FGIG_01258
OG0000091	SINT1_47820.5, SINT1_47820.1, SINT1_47820.4, SINT1_47820.2, SINT1_47820.3, SINT1_47820.6	FGIG_02767, FGIG_02766, FGIG_02768
OG0000092	SINT1_2100.1, SINT1_2100.2	FGIG_06562
OG0000092	SINT1_13320.1, SINT1_13320.2	FGIG_11548
OG0000093	SINT1_40130.1	FGIG_04003
OG0000093	SINT1_39320.1	FGIG_03785, FGIG_02320, FGIG_07732, FGIG_10190
OG0000094	SINT1_8630.4, SINT1_8630.7, SINT1_8630.1, SINT1_8630.2, SINT1_8630.5, SINT1_8630.3, SINT1_8630.6, SINT1_8630.10, SINT1_8630.8, SINT1_8630.9	FGIG_00948
OG0000095	SINT1_61190.1, SINT1_61190.4, SINT1_61190.5, SINT1_61190.8, SINT1_61190.6, SINT1_61190.2, SINT1_61190.3, SINT1_61190.7	FGIG_01883
OG0000096	SINT1_35330.6, SINT1_35330.7, SINT1_35330.11, SINT1_35330.3, SINT1_35330.2, SINT1_35330.8, SINT1_35330.10, SINT1_35330.13, SINT1_35330.12, SINT1_35330.1, SINT1_35330.4, SINT1_35330.5, SINT1_35330.15, SINT1_35330.9, SINT1_35330.16, SINT1_35330.14	FGIG_03065
OG0000097	SINT1_6980.13, SINT1_6980.2, SINT1_6980.3, SINT1_6980.9, SINT1_6980.1, SINT1_6980.10, SINT1_6980.14, SINT1_6980.4, SINT1_6980.5, SINT1_6980.6, SINT1_6980.11, SINT1_6980.7, SINT1_6980.12, SINT1_6980.8	FGIG_06823
OG0000098	SINT1_94630.1, SINT1_41140.1	FGIG_08056
OG0000098	SINT1_66250.3, SINT1_66250.2, SINT1_66250.4, SINT1_66250.5, SINT1_66260.1, SINT1_66260.2	FGIG_08009
OG0000099	SINT1_67160.1, SINT1_67160.2, SINT1_67160.4, SINT1_67160.3, SINT1_67160.5	FGIG_01162
OG0000099	SINT1_71060.2, SINT1_71060.5, SINT1_71060.1, SINT1_71060.3, SINT1_71060.4	FGIG_12268, FGIG_12217, FGIG_10911
OG0000102	SINT1_5950.1	FGIG_11657
OG0000102	SINT1_58290.1, SINT1_58290.2	FGIG_04726, FGIG_06854
OG0000103	SINT1_73200.2, SINT1_73200.3, SINT1_73200.1, SINT1_73200.4, SINT1_73200.5, SINT1_73200.6	FGIG_06145, FGIG_13990
OG0000104	SINT1_6130.1	FGIG_08148
OG0000105	SINT1_7800.15, SINT1_7800.4, SINT1_7800.5, SINT1_7800.6, SINT1_7800.7, SINT1_7800.12, SINT1_7800.11, SINT1_7800.14, SINT1_7800.1, SINT1_7800.13, SINT1_7800.2, SINT1_7800.9, SINT1_7800.10, SINT1_7800.8, SINT1_7800.3	FGIG_00113, FGIG_06918
OG0000108	SINT1_8450.10, SINT1_8450.3, SINT1_8450.1, SINT1_8450.12, SINT1_8450.7, SINT1_8450.15, SINT1_8450.16, SINT1_8450.17, SINT1_8450.9, SINT1_8450.13, SINT1_8450.11, SINT1_8450.8, SINT1_8450.5, SINT1_8450.6, SINT1_8450.4, SINT1_8450.14, SINT1_8450.2	FGIG_10097, FGIG_10098, FGIG_03847
OG0000110	SINT1_29940.1, SINT1_29940.2, SINT1_29900.1	FGIG_03667
OG0000110	SINT1_29950.1, SINT1_29950.2	FGIG_10562
OG0000110	SINT1_29960.5, SINT1_29960.2, SINT1_29960.1, SINT1_29960.3, SINT1_29960.4	FGIG_06603
OG0000111	SINT1_41240.1	FGIG_04030
OG0000111	SINT1_51900.1	FGIG_03777
OG0000111	SINT1_31320.2, SINT1_31320.1	FGIG_04347
OG0000112	SINT1_82360.1, SINT1_82360.12, SINT1_82360.13, SINT1_82360.5, SINT1_82360.6, SINT1_82360.10, SINT1_82360.2, SINT1_82360.7, SINT1_82360.3, SINT1_82360.9, SINT1_82360.4, SINT1_82360.11, SINT1_82360.8	FGIG_09308, FGIG_06819
OG0000114	SINT1_92930.1, SINT1_92930.10, SINT1_92930.2, SINT1_92930.3, SINT1_92930.4, SINT1_92930.5, SINT1_92930.7, SINT1_92930.8, SINT1_92930.9, SINT1_92930.6	FGIG_00156
OG0000115	SINT1_36650.2, SINT1_36650.5, SINT1_36650.8, SINT1_36650.9, SINT1_36650.11, SINT1_36650.6, SINT1_36650.1, SINT1_36650.10, SINT1_36650.12, SINT1_36650.14, SINT1_36650.15, SINT1_36650.3, SINT1_36650.4, SINT1_36650.7, SINT1_36650.13	FGIG_02859
OG0000116	SINT1_50100.1	FGIG_03832, FGIG_01693
OG0000117	SINT1_30050.5, SINT1_30050.14, SINT1_30050.11, SINT1_30050.13, SINT1_30050.2, SINT1_30050.3, SINT1_30050.8, SINT1_30050.4, SINT1_30050.6, SINT1_30050.12, SINT1_30050.1, SINT1_30050.7, SINT1_30050.9, SINT1_30050.10	FGIG_02197
