Orthogroup	schistosoma_rodhaini	opisthorchis_viverrini
OG0000907	SRDH2_76380.1	T265_00831
OG0000908	SRDH2_27040.1	T265_13306
OG0000910	SRDH2_8380.1, SRDH2_8380.2, SRDH2_8370.1	T265_10833
OG0000911	SRDH2_59810.8, SRDH2_59810.3, SRDH2_59810.9, SRDH2_59810.1, SRDH2_59810.10, SRDH2_59810.11, SRDH2_59810.2, SRDH2_59810.7, SRDH2_59810.6, SRDH2_59810.12, SRDH2_59810.4, SRDH2_59810.5	T265_11627, T265_11628
OG0000912	SRDH2_6520.5, SRDH2_6520.8, SRDH2_6520.1, SRDH2_6520.6, SRDH2_6520.2, SRDH2_6520.3, SRDH2_6520.4, SRDH2_6520.7, SRDH2_6520.9, SRDH2_6520.10	T265_06227
OG0000913	SRDH2_37070.1	T265_10377, T265_05795, T265_15140
OG0000914	SRDH2_38680.1	T265_06456
OG0000915	SRDH2_29900.1, SRDH2_29900.6, SRDH2_29900.7, SRDH2_29900.2, SRDH2_29900.3, SRDH2_29900.4, SRDH2_29900.5	T265_00756
OG0000916	SRDH2_39820.1, SRDH2_39820.2, SRDH2_39820.3, SRDH2_39820.4	T265_11901
OG0000917	SRDH2_86710.2, SRDH2_86710.4, SRDH2_86710.1, SRDH2_86710.3, SRDH2_86710.5	T265_02425
OG0000918	SRDH2_27120.1, SRDH2_27120.3, SRDH2_27120.4, SRDH2_27120.2	T265_13665
OG0000919	SRDH2_86880.1, SRDH2_86880.2, SRDH2_86880.3, SRDH2_86880.5, SRDH2_86880.6, SRDH2_86880.7, SRDH2_86880.8, SRDH2_86880.4	T265_11299
OG0000920	SRDH2_98290.1	T265_04838
OG0000921	SRDH2_43720.1	T265_10843
OG0000922	SRDH2_6940.1	T265_14804, T265_09307
OG0000923	SRDH2_41800.1	T265_03493
OG0000923	SRDH2_96520.1	T265_05658
OG0000925	SRDH2_16890.1, SRDH2_16880.1, SRDH2_16880.2	T265_07999
OG0000926	SRDH2_27410.1	T265_15584
OG0000927	SRDH2_20140.3, SRDH2_20140.2, SRDH2_20140.8, SRDH2_20140.1, SRDH2_20140.4, SRDH2_20140.6, SRDH2_20140.13, SRDH2_20140.12, SRDH2_20140.7, SRDH2_20140.9, SRDH2_20140.10, SRDH2_20140.5, SRDH2_20140.11	T265_13966
OG0000928	SRDH2_36310.1, SRDH2_36310.2, SRDH2_36310.3, SRDH2_36310.4	T265_02989
OG0000929	SRDH2_67280.3, SRDH2_67280.5, SRDH2_67280.6, SRDH2_67280.7, SRDH2_67280.8, SRDH2_67280.1, SRDH2_67280.2, SRDH2_67280.4	T265_11846
OG0000930	SRDH2_42700.4, SRDH2_42700.2, SRDH2_42700.3, SRDH2_42700.1	T265_13266
OG0000931	SRDH2_74260.1, SRDH2_74260.3, SRDH2_74260.2, SRDH2_74260.5, SRDH2_74260.6, SRDH2_74260.7, SRDH2_74260.4, SRDH2_100270.1	T265_10692
OG0000932	SRDH2_1170.1, SRDH2_1170.2, SRDH2_1170.3	T265_09389
OG0000933	SRDH2_39920.14, SRDH2_39920.15, SRDH2_39920.12, SRDH2_39920.1, SRDH2_39920.3, SRDH2_39920.4, SRDH2_39920.8, SRDH2_39920.2, SRDH2_39920.10, SRDH2_39920.11, SRDH2_39920.6, SRDH2_39920.7, SRDH2_39920.9, SRDH2_39920.13, SRDH2_39920.16, SRDH2_39920.5	T265_10768
OG0000934	SRDH2_10520.3, SRDH2_10520.10, SRDH2_10520.1, SRDH2_10520.15, SRDH2_10520.12, SRDH2_10520.9, SRDH2_10520.11, SRDH2_10520.8, SRDH2_10520.7, SRDH2_10520.2, SRDH2_10520.5, SRDH2_10520.4, SRDH2_10520.6, SRDH2_10520.14, SRDH2_10520.13	T265_09239
OG0000935	SRDH2_67920.5, SRDH2_67920.4, SRDH2_67920.6, SRDH2_67920.1, SRDH2_67920.2, SRDH2_67920.7, SRDH2_67920.3	T265_09761
OG0000936	SRDH2_97320.6, SRDH2_97320.3, SRDH2_97320.1, SRDH2_97320.2, SRDH2_97320.7, SRDH2_97320.5, SRDH2_97320.4	T265_08979
OG0000937	SRDH2_55210.8, SRDH2_55210.1, SRDH2_55210.2, SRDH2_55210.3, SRDH2_55210.5, SRDH2_55210.4, SRDH2_55210.6, SRDH2_55210.7	T265_04033
OG0000938	SRDH2_61350.5, SRDH2_61350.1, SRDH2_61350.2, SRDH2_61350.6, SRDH2_61350.8, SRDH2_61350.9, SRDH2_61350.10, SRDH2_61350.3, SRDH2_61350.7, SRDH2_61350.4	T265_08657, T265_08656
OG0000939	SRDH2_89450.1	T265_05437
OG0000940	SRDH2_5830.2, SRDH2_5830.1, SRDH2_5830.3, SRDH2_5830.4	T265_08942, T265_16338
OG0000941	SRDH2_36490.2, SRDH2_36490.3, SRDH2_36490.7, SRDH2_36490.15, SRDH2_36490.12, SRDH2_36490.11, SRDH2_36490.1, SRDH2_36490.13, SRDH2_36490.8, SRDH2_36490.10, SRDH2_36490.9, SRDH2_36490.14	T265_08808
OG0000942	SRDH2_16480.1, SRDH2_16480.8, SRDH2_16480.7, SRDH2_16480.9, SRDH2_16480.2, SRDH2_16480.3, SRDH2_16480.6, SRDH2_16480.11, SRDH2_16480.5, SRDH2_16480.4, SRDH2_16480.10	T265_10456
OG0000943	SRDH2_29110.5, SRDH2_29110.3, SRDH2_29110.1, SRDH2_29110.4, SRDH2_29110.2, SRDH2_29110.6	T265_03814
OG0000944	SRDH2_59330.1, SRDH2_59340.3, SRDH2_59340.4, SRDH2_59340.8, SRDH2_59340.1, SRDH2_59340.2, SRDH2_59340.5, SRDH2_59340.6, SRDH2_59340.7, SRDH2_59340.9	T265_00614
OG0000945	SRDH2_11710.1, SRDH2_11710.2, SRDH2_11710.3, SRDH2_11710.5, SRDH2_11710.6, SRDH2_11710.8, SRDH2_11710.4, SRDH2_11710.7, SRDH2_11710.9	T265_01854
OG0000946	SRDH2_9010.10, SRDH2_9010.7, SRDH2_9010.5, SRDH2_9010.3, SRDH2_9010.4, SRDH2_9010.6, SRDH2_9010.9, SRDH2_9010.1, SRDH2_9010.2, SRDH2_9010.8	T265_06499
OG0000947	SRDH2_38980.1	T265_13430
OG0000948	SRDH2_83870.1, SRDH2_83870.2	T265_04663
OG0000949	SRDH2_16640.1	T265_09047, T265_09046, T265_09045
OG0000950	SRDH2_52730.1, SRDH2_52730.3, SRDH2_52730.2, SRDH2_52730.5, SRDH2_52730.6, SRDH2_52730.4	T265_04298
OG0000952	SRDH2_29860.1	T265_00749
OG0000953	SRDH2_64250.6, SRDH2_64250.1, SRDH2_64250.10, SRDH2_64250.11, SRDH2_64250.12, SRDH2_64250.13, SRDH2_64250.2, SRDH2_64250.3, SRDH2_64250.4, SRDH2_64250.8, SRDH2_64250.9, SRDH2_64250.5, SRDH2_64250.7	T265_13448
OG0000954	SRDH2_82630.2, SRDH2_82630.4, SRDH2_82610.1, SRDH2_82630.1, SRDH2_82630.3	T265_05290
OG0000955	SRDH2_14480.1	T265_03085
OG0000958	SRDH2_12890.1, SRDH2_12890.2	T265_07251
OG0000960	SRDH2_99950.1, SRDH2_99950.2, SRDH2_99950.3, SRDH2_99940.1, SRDH2_82700.1	T265_13744
OG0000962	SRDH2_76360.1, SRDH2_76360.2, SRDH2_76360.3, SRDH2_76360.4, SRDH2_76360.5, SRDH2_76360.6	T265_00111
OG0000963	SRDH2_2530.2, SRDH2_2530.3, SRDH2_2530.6, SRDH2_2530.8, SRDH2_2530.7, SRDH2_2530.1, SRDH2_2530.5, SRDH2_2530.4	T265_13178
OG0000964	SRDH2_40900.1	T265_10312
OG0000965	SRDH2_65000.4, SRDH2_65000.5, SRDH2_65000.1, SRDH2_65000.2, SRDH2_65000.3	T265_03351
OG0000966	SRDH2_33780.1	T265_04985
OG0000966	SRDH2_49790.1, SRDH2_49790.2	T265_15072
OG0000967	SRDH2_32970.2, SRDH2_32970.6, SRDH2_32970.1, SRDH2_32970.3, SRDH2_32970.4, SRDH2_32970.5, SRDH2_32970.7, SRDH2_32970.8	T265_16351
OG0000968	SRDH2_2950.6, SRDH2_2950.9, SRDH2_2950.12, SRDH2_2950.10, SRDH2_2950.1, SRDH2_2950.11, SRDH2_2950.2, SRDH2_2950.3, SRDH2_2950.4, SRDH2_2950.5, SRDH2_2950.8, SRDH2_2950.7	T265_03039
OG0000969	SRDH2_83750.2, SRDH2_83750.1	T265_09844, T265_10897, T265_14509, T265_14974
OG0000969	SRDH2_83760.1	T265_01639
OG0000970	SRDH2_72100.2, SRDH2_72100.1	T265_05786
OG0000971	SRDH2_1940.5, SRDH2_1940.2, SRDH2_1940.4, SRDH2_1940.3, SRDH2_1940.9, SRDH2_1940.1, SRDH2_1940.10, SRDH2_1940.11, SRDH2_1940.6, SRDH2_1940.7, SRDH2_1940.8, SRDH2_1940.12, SRDH2_1940.13	T265_14454
OG0000972	SRDH2_6180.1, SRDH2_6180.2, SRDH2_6180.3	T265_04367
OG0000973	SRDH2_24510.1, SRDH2_24500.1	T265_07516
OG0000974	SRDH2_56610.1	T265_12463
OG0000975	SRDH2_6010.1, SRDH2_5990.1, SRDH2_6030.1, SRDH2_6020.1, SRDH2_5980.1	T265_02924, T265_09700
OG0000976	SRDH2_10640.1	T265_00947
OG0000977	SRDH2_13910.10, SRDH2_13910.11, SRDH2_13910.12, SRDH2_13910.5, SRDH2_13910.9, SRDH2_13910.13, SRDH2_13910.7, SRDH2_13910.4, SRDH2_13910.6, SRDH2_13910.1, SRDH2_13910.14, SRDH2_13910.15, SRDH2_13910.17, SRDH2_13910.2, SRDH2_13910.3, SRDH2_13910.8, SRDH2_13910.16	T265_04434
OG0000978	SRDH2_21300.1	T265_05507
OG0000979	SRDH2_75470.5, SRDH2_75470.7, SRDH2_75470.10, SRDH2_75470.8, SRDH2_75470.9, SRDH2_75470.4, SRDH2_75470.6, SRDH2_75470.1, SRDH2_75470.2, SRDH2_75470.3	T265_00786
OG0000980	SRDH2_53980.2, SRDH2_53980.5, SRDH2_53980.6, SRDH2_53980.9, SRDH2_53980.7, SRDH2_53980.8, SRDH2_53980.1, SRDH2_53980.4, SRDH2_53980.3	T265_03583
OG0000981	SRDH2_40240.9, SRDH2_40240.1, SRDH2_40240.5, SRDH2_40240.7, SRDH2_40240.4, SRDH2_40240.8, SRDH2_40240.3, SRDH2_40240.2, SRDH2_40240.6	T265_04343
OG0000982	SRDH2_68000.1, SRDH2_68000.2, SRDH2_68000.3, SRDH2_68000.4	T265_03904
OG0000983	SRDH2_16110.1, SRDH2_16110.6, SRDH2_16110.7, SRDH2_16110.5, SRDH2_16110.3, SRDH2_16110.4, SRDH2_16110.2	T265_09860
OG0000984	SRDH2_32420.1	T265_10372, T265_07582
OG0000985	SRDH2_16620.1	T265_11572
OG0000986	SRDH2_72850.1	T265_02193, T265_12946
OG0000987	SRDH2_85670.1	T265_02383
OG0000989	SRDH2_52370.4, SRDH2_52370.6, SRDH2_52370.7, SRDH2_52370.5, SRDH2_52370.3, SRDH2_52370.9, SRDH2_52370.1, SRDH2_52370.2, SRDH2_52370.8	T265_04299
OG0000990	SRDH2_4810.12, SRDH2_4810.13, SRDH2_4810.7, SRDH2_4810.10, SRDH2_4810.9, SRDH2_4810.11, SRDH2_4810.8, SRDH2_4810.5, SRDH2_4810.6, SRDH2_4810.1, SRDH2_4810.2, SRDH2_4810.3, SRDH2_4810.4	T265_08682
OG0000991	SRDH2_60450.1	T265_13030
OG0000992	SRDH2_44520.4, SRDH2_44520.6, SRDH2_44520.5, SRDH2_44520.7, SRDH2_44520.2, SRDH2_44520.1, SRDH2_44520.3	T265_01516
OG0000993	SRDH2_80080.1	T265_14754
OG0000994	SRDH2_35840.1, SRDH2_35840.2	T265_02553
OG0000995	SRDH2_82470.1	T265_13745
OG0000996	SRDH2_68120.2, SRDH2_68120.3, SRDH2_68120.4, SRDH2_68120.5, SRDH2_68120.6, SRDH2_68120.9, SRDH2_68120.7, SRDH2_68120.1, SRDH2_68120.8	T265_00610
OG0000997	SRDH2_91650.1	T265_13758
OG0000998	SRDH2_56420.1, SRDH2_56420.10, SRDH2_56420.11, SRDH2_56420.2, SRDH2_56420.3, SRDH2_56420.8, SRDH2_56420.9, SRDH2_56420.5, SRDH2_56420.7, SRDH2_56420.4, SRDH2_56420.12, SRDH2_56420.13, SRDH2_56420.6	T265_02907
OG0000999	SRDH2_31730.5, SRDH2_31730.8, SRDH2_31730.4, SRDH2_31730.6, SRDH2_31730.7, SRDH2_31730.9, SRDH2_31730.1, SRDH2_31730.2, SRDH2_31730.3	T265_02983
OG0001000	SRDH2_7160.2, SRDH2_7160.3, SRDH2_7160.5, SRDH2_7160.4, SRDH2_7160.1	T265_02450
OG0001003	SRDH2_36370.1, SRDH2_36370.2, SRDH2_102150.2, SRDH2_102150.4, SRDH2_102150.5, SRDH2_102150.1, SRDH2_102150.3	T265_02803
OG0001004	SRDH2_16240.1	T265_15034
OG0001009	SRDH2_90810.1	T265_08731
OG0001010	SRDH2_61850.1, SRDH2_61850.2	T265_06725
OG0001011	SRDH2_39890.1, SRDH2_39890.2, SRDH2_39890.3, SRDH2_39890.4, SRDH2_39890.5	T265_13048
OG0001012	SRDH2_5230.3, SRDH2_5230.4, SRDH2_5230.6, SRDH2_5230.7, SRDH2_5230.5, SRDH2_5230.8, SRDH2_5230.1, SRDH2_5230.2	T265_06918
OG0001013	SRDH2_12990.1	T265_10272, T265_16022
OG0001014	SRDH2_4110.1, SRDH2_4110.2	T265_12060, T265_16314
OG0001015	SRDH2_38530.1, SRDH2_38530.2	T265_11538, T265_15411, T265_10528, T265_15958
OG0001016	SRDH2_37310.1, SRDH2_37310.5, SRDH2_37310.7, SRDH2_37310.8, SRDH2_37310.4, SRDH2_37310.6, SRDH2_37310.3, SRDH2_37310.10, SRDH2_37310.2, SRDH2_37310.11, SRDH2_37310.9	T265_01892
OG0001017	SRDH2_16090.1, SRDH2_16090.2, SRDH2_16090.3, SRDH2_16090.4, SRDH2_16090.5	T265_03456
OG0001018	SRDH2_30100.1, SRDH2_30100.2, SRDH2_30100.3, SRDH2_30100.4	T265_11985
OG0001019	SRDH2_42510.1, SRDH2_42510.2, SRDH2_42510.3, SRDH2_42510.4, SRDH2_42510.5, SRDH2_42510.6, SRDH2_42510.7, SRDH2_42510.9, SRDH2_42510.8	T265_06404, T265_12347
OG0001020	SRDH2_11240.10, SRDH2_11240.9, SRDH2_11240.8, SRDH2_11240.3, SRDH2_11240.6, SRDH2_11240.2, SRDH2_11240.1, SRDH2_11240.7, SRDH2_11240.5, SRDH2_11240.4	T265_14664
OG0001021	SRDH2_29850.1	T265_05434
OG0001022	SRDH2_21470.1, SRDH2_21470.5, SRDH2_21470.2, SRDH2_21470.3, SRDH2_21470.4	T265_08582
OG0001023	SRDH2_64620.1, SRDH2_64620.3, SRDH2_64620.2	T265_14386
OG0001024	SRDH2_80190.1, SRDH2_80200.1, SRDH2_80210.1, SRDH2_80210.2	T265_15215
OG0001026	SRDH2_50380.1	T265_08689
OG0001027	SRDH2_950.1	T265_05249
OG0001028	SRDH2_56670.1	T265_02150
OG0001029	SRDH2_50580.3, SRDH2_50580.4, SRDH2_50580.1, SRDH2_50580.5, SRDH2_50580.6, SRDH2_50580.2	T265_06784
OG0001030	SRDH2_29240.8, SRDH2_29240.12, SRDH2_29240.1, SRDH2_29240.14, SRDH2_29240.7, SRDH2_29240.10, SRDH2_29240.5, SRDH2_29240.9, SRDH2_29240.4, SRDH2_29240.11, SRDH2_29240.2, SRDH2_29240.6, SRDH2_29240.3, SRDH2_29240.13	T265_03534
OG0001031	SRDH2_72440.1	T265_02198
OG0001032	SRDH2_68150.1, SRDH2_68150.2, SRDH2_68150.3, SRDH2_68150.4, SRDH2_68150.5, SRDH2_68150.6, SRDH2_68150.7	T265_07791
OG0001034	SRDH2_54960.1, SRDH2_54960.2, SRDH2_54970.1	T265_00015
OG0001035	SRDH2_55590.1, SRDH2_55570.1, SRDH2_55610.1	T265_07899, T265_11146, T265_07897, T265_11147
OG0001036	SRDH2_17920.10, SRDH2_17920.13, SRDH2_17920.14, SRDH2_17920.11, SRDH2_17920.4, SRDH2_17920.6, SRDH2_17920.3, SRDH2_17920.5, SRDH2_17920.9, SRDH2_17920.1, SRDH2_17920.7, SRDH2_17920.8, SRDH2_17920.12, SRDH2_17920.2	T265_15152
OG0001038	SRDH2_1620.1	T265_06836
OG0001039	SRDH2_27750.1, SRDH2_27750.2, SRDH2_27750.6, SRDH2_27750.3, SRDH2_27750.4, SRDH2_27750.5	T265_13311
OG0001040	SRDH2_84000.1	T265_08277
OG0001041	SRDH2_97580.3, SRDH2_97580.6, SRDH2_97580.1, SRDH2_97580.5, SRDH2_97580.2, SRDH2_97580.4	T265_02769, T265_02770
OG0001042	SRDH2_13800.1	T265_09868, T265_16047
OG0001043	SRDH2_49150.1, SRDH2_49150.3, SRDH2_49150.6, SRDH2_49150.5, SRDH2_49150.2, SRDH2_49150.4	T265_04066
OG0001045	SRDH2_69210.1	T265_14190
OG0001046	SRDH2_52050.1, SRDH2_52050.3, SRDH2_52050.2	T265_00122
OG0001047	SRDH2_99120.1	T265_14657, T265_15967
OG0001048	SRDH2_80130.10, SRDH2_80130.8, SRDH2_80130.9, SRDH2_80130.4, SRDH2_80130.3, SRDH2_80130.1, SRDH2_80130.7	T265_05921
OG0001049	SRDH2_56260.1	T265_01366
OG0001050	SRDH2_63870.4, SRDH2_63870.3, SRDH2_63870.2, SRDH2_63870.6, SRDH2_63870.5, SRDH2_63870.1, SRDH2_63870.7	T265_06070
OG0001051	SRDH2_90640.1	T265_08900
OG0001052	SRDH2_56230.1, SRDH2_56230.2	T265_03515, T265_03514
OG0001053	SRDH2_65130.2, SRDH2_65130.4, SRDH2_65130.5, SRDH2_65130.6, SRDH2_65130.1, SRDH2_65130.3, SRDH2_65130.8, SRDH2_65130.9, SRDH2_65130.7	T265_10644
OG0001054	SRDH2_12170.1, SRDH2_12170.2, SRDH2_11910.1, SRDH2_11910.2	T265_07774
OG0001056	SRDH2_59300.2, SRDH2_59300.1, SRDH2_59300.3	T265_06907
OG0001057	SRDH2_89850.6, SRDH2_89850.8, SRDH2_89850.4, SRDH2_89850.3, SRDH2_89850.5, SRDH2_89850.2, SRDH2_89850.7, SRDH2_89850.1	T265_08393
OG0001058	SRDH2_62480.1, SRDH2_62480.2	T265_09765, T265_07871
OG0001059	SRDH2_17460.1, SRDH2_17460.2, SRDH2_17460.3, SRDH2_17460.4, SRDH2_17460.5, SRDH2_17460.8, SRDH2_17460.9, SRDH2_17460.7, SRDH2_17460.6	T265_09693
OG0001060	SRDH2_65430.1	T265_08792, T265_05830, T265_12211
OG0001061	SRDH2_11390.1, SRDH2_11390.4, SRDH2_11400.1, SRDH2_11390.5, SRDH2_11390.2, SRDH2_11390.3	T265_10435
OG0001062	SRDH2_49610.1	T265_10952
OG0001068	SRDH2_77720.15, SRDH2_77720.2, SRDH2_77720.14, SRDH2_77720.8, SRDH2_77720.1, SRDH2_77720.9, SRDH2_77720.10, SRDH2_77720.11, SRDH2_77720.12, SRDH2_77720.7, SRDH2_77720.6, SRDH2_77720.17, SRDH2_77720.3, SRDH2_77720.4, SRDH2_77720.18, SRDH2_77720.5, SRDH2_77720.16, SRDH2_77720.13	T265_05783
OG0001070	SRDH2_64720.1	T265_01150
OG0001070	SRDH2_78170.2, SRDH2_78170.1, SRDH2_78170.3	T265_03875
OG0001071	SRDH2_67530.1	T265_01413, T265_01414
OG0001072	SRDH2_42560.1	T265_11095
OG0001073	SRDH2_17300.1	T265_06687
OG0001074	SRDH2_27940.4, SRDH2_27940.3, SRDH2_27940.2, SRDH2_27940.1	T265_07051
OG0001075	SRDH2_63470.5, SRDH2_63470.6, SRDH2_63470.4, SRDH2_63470.3, SRDH2_63470.1, SRDH2_63470.2	T265_00485
OG0001076	SRDH2_47190.5, SRDH2_47190.2, SRDH2_47190.3, SRDH2_47190.6, SRDH2_47190.4, SRDH2_47190.1	T265_04766
OG0001077	SRDH2_50890.19, SRDH2_50890.1, SRDH2_50890.13, SRDH2_50890.15, SRDH2_50890.18, SRDH2_50890.7, SRDH2_50890.8, SRDH2_50890.20, SRDH2_50890.4, SRDH2_50890.12, SRDH2_50890.17, SRDH2_50890.5, SRDH2_50890.6, SRDH2_50890.16, SRDH2_50890.10, SRDH2_50890.11, SRDH2_50890.14, SRDH2_50890.2, SRDH2_50890.3, SRDH2_50890.9	T265_03589
OG0001078	SRDH2_62860.12, SRDH2_62860.4, SRDH2_62860.2, SRDH2_62860.13, SRDH2_62860.14, SRDH2_62860.15, SRDH2_62860.8, SRDH2_62860.9, SRDH2_62860.10, SRDH2_62860.16, SRDH2_62860.17, SRDH2_62860.7, SRDH2_62860.11, SRDH2_62860.6, SRDH2_62860.3, SRDH2_62860.1, SRDH2_62860.5	T265_01377
OG0001079	SRDH2_77220.1	T265_01997
OG0001080	SRDH2_75640.3, SRDH2_75640.1, SRDH2_75640.2	T265_03280, T265_06062
OG0001081	SRDH2_35870.1, SRDH2_35870.2, SRDH2_35870.7, SRDH2_35870.8, SRDH2_35870.3, SRDH2_35870.4, SRDH2_35870.5, SRDH2_35870.6	T265_02594
OG0001082	SRDH2_49410.6, SRDH2_49410.5, SRDH2_49410.3, SRDH2_49410.2, SRDH2_49410.4, SRDH2_49410.1	T265_14341
OG0001083	SRDH2_97720.2, SRDH2_97720.1	T265_05304
OG0001084	SRDH2_21140.2, SRDH2_21140.4, SRDH2_21140.1, SRDH2_21140.3	T265_03430
OG0001085	SRDH2_98730.2, SRDH2_98730.1	T265_05309
OG0001086	SRDH2_73900.3, SRDH2_73900.4, SRDH2_73900.5, SRDH2_73900.1, SRDH2_73900.2, SRDH2_73900.9, SRDH2_73900.6, SRDH2_73900.7, SRDH2_73900.8	T265_00332
OG0001087	SRDH2_52280.2, SRDH2_52280.3, SRDH2_52280.1	T265_02349, T265_02348, T265_04933
OG0001087	SRDH2_33940.1	T265_13295
OG0001088	SRDH2_25010.2, SRDH2_25010.3, SRDH2_25010.4, SRDH2_25010.5, SRDH2_25010.1, SRDH2_25010.6	T265_14908
OG0001089	SRDH2_67510.8, SRDH2_67510.7, SRDH2_67510.4, SRDH2_67510.1, SRDH2_67510.5, SRDH2_67510.2, SRDH2_67510.3	T265_04203
OG0001090	SRDH2_99440.1, SRDH2_99440.2, SRDH2_99440.3, SRDH2_99440.4	T265_05314
OG0001091	SRDH2_49320.1	T265_08694
OG0001092	SRDH2_71560.1, SRDH2_71560.2	T265_05477
OG0001094	SRDH2_34260.1, SRDH2_34260.3, SRDH2_34260.2, SRDH2_34260.5, SRDH2_34260.4	T265_01493
OG0001095	SRDH2_51990.1	T265_12507, T265_12509
OG0001096	SRDH2_19880.1	T265_02087
OG0001097	SRDH2_70670.2, SRDH2_70670.1, SRDH2_70670.4, SRDH2_70670.3	T265_12596, T265_12597
OG0001099	SRDH2_95420.1	T265_09134
OG0001100	SRDH2_66780.1, SRDH2_66780.2	T265_12718
OG0001101	SRDH2_46680.1, SRDH2_46680.6, SRDH2_46560.1, SRDH2_46670.1, SRDH2_46680.2, SRDH2_46680.3, SRDH2_46680.5, SRDH2_46680.4	T265_01277
OG0001102	SRDH2_64010.3, SRDH2_64010.4, SRDH2_64010.1, SRDH2_64010.2	T265_07011
OG0001103	SRDH2_97600.1, SRDH2_97600.2	T265_11524, T265_11526
OG0001105	SRDH2_36560.3, SRDH2_36560.4, SRDH2_36560.5, SRDH2_36560.1, SRDH2_36560.2	T265_00108
OG0001106	SRDH2_70610.4, SRDH2_70610.2, SRDH2_70610.1, SRDH2_70610.3	T265_03131
OG0001107	SRDH2_52400.7, SRDH2_52400.1, SRDH2_52400.10, SRDH2_52400.2, SRDH2_52400.3, SRDH2_52400.4, SRDH2_52400.5, SRDH2_52400.6, SRDH2_52400.8, SRDH2_52400.9	T265_01259
OG0001108	SRDH2_28990.1, SRDH2_28990.3, SRDH2_28990.5, SRDH2_28990.4, SRDH2_28990.2	T265_04027
OG0001109	SRDH2_35930.3, SRDH2_35930.1, SRDH2_35930.4, SRDH2_35930.2	T265_15651
OG0001110	SRDH2_3990.1, SRDH2_3990.2, SRDH2_3990.3, SRDH2_3990.5, SRDH2_3990.4	T265_03630
OG0001111	SRDH2_49740.4, SRDH2_49740.5, SRDH2_49740.2, SRDH2_49740.3, SRDH2_49740.1	T265_15867
OG0001112	SRDH2_98910.1, SRDH2_98900.1, SRDH2_98890.1	T265_07938
OG0001113	SRDH2_7970.1, SRDH2_7970.3, SRDH2_7970.2	T265_01569
OG0001114	SRDH2_6700.3, SRDH2_6700.2, SRDH2_6700.6, SRDH2_6700.1, SRDH2_6700.5, SRDH2_6700.4	T265_10355
OG0001115	SRDH2_97690.2, SRDH2_97690.1, SRDH2_97690.3	T265_14281
OG0001116	SRDH2_84040.1, SRDH2_84040.3, SRDH2_84040.4, SRDH2_84040.2	T265_04971
OG0001117	SRDH2_15770.1	T265_09895, T265_16078
OG0001118	SRDH2_74310.1, SRDH2_74310.2	T265_15682
OG0001119	SRDH2_67490.1	T265_00531
OG0001120	SRDH2_36930.1, SRDH2_36930.2, SRDH2_36930.4, SRDH2_36930.3	T265_14589, T265_14590
OG0001121	SRDH2_58200.1	T265_02829
OG0001122	SRDH2_81380.6, SRDH2_81380.2, SRDH2_81380.1, SRDH2_81380.5, SRDH2_81380.3, SRDH2_81380.4	T265_01758
OG0001123	SRDH2_92270.1, SRDH2_92270.2	T265_01870
OG0001124	SRDH2_31780.3, SRDH2_31780.1, SRDH2_31780.2	T265_12781
OG0001125	SRDH2_12830.1	T265_11059, T265_11060, T265_05778
OG0001129	SRDH2_37400.1	T265_03641
OG0001130	SRDH2_6320.1, SRDH2_13890.1, SRDH2_13890.3, SRDH2_13890.5, SRDH2_13890.2, SRDH2_13890.4	T265_02467
OG0001131	SRDH2_75800.1, SRDH2_75800.2, SRDH2_75800.3	T265_08223
OG0001132	SRDH2_85460.1	T265_02407
OG0001133	SRDH2_99580.1, SRDH2_99580.2	T265_03046
OG0001133	SRDH2_16490.1	T265_14376, T265_07758, T265_14375
OG0001134	SRDH2_65840.2, SRDH2_65840.4, SRDH2_65840.1, SRDH2_65840.5, SRDH2_65840.6, SRDH2_65840.3	T265_10110
OG0001135	SRDH2_38410.1	T265_08862
OG0001136	SRDH2_24070.1	T265_05385
OG0001137	SRDH2_54460.1	T265_00383
OG0001138	SRDH2_20970.1, SRDH2_20970.2, SRDH2_20970.3	T265_10030
OG0001139	SRDH2_37640.2, SRDH2_37640.8, SRDH2_37640.4, SRDH2_37640.5, SRDH2_37640.1, SRDH2_37640.3, SRDH2_37640.7, SRDH2_37640.6	T265_13523
OG0001140	SRDH2_47120.1, SRDH2_47120.10, SRDH2_47120.8, SRDH2_47120.6, SRDH2_47120.11, SRDH2_47120.12, SRDH2_47120.5, SRDH2_47120.7, SRDH2_47120.9, SRDH2_47120.2, SRDH2_47120.3, SRDH2_47120.4	T265_04041
OG0001141	SRDH2_81930.2, SRDH2_81930.1, SRDH2_81930.3	T265_05904
OG0001142	SRDH2_14980.1	T265_08036
OG0001143	SRDH2_64360.1	T265_00671
OG0001144	SRDH2_33710.1, SRDH2_33710.2, SRDH2_33710.3	T265_07617
OG0001145	SRDH2_66010.1, SRDH2_66010.2, SRDH2_66010.4, SRDH2_66010.3	T265_00186
OG0001146	SRDH2_4470.1, SRDH2_4460.1	T265_06313
OG0001147	SRDH2_7830.3, SRDH2_7830.1, SRDH2_7830.2, SRDH2_7830.5, SRDH2_7830.6, SRDH2_7830.4	T265_07177
OG0001149	SRDH2_80140.3, SRDH2_80140.4, SRDH2_80140.1, SRDH2_80140.5, SRDH2_80140.2	T265_05953
OG0001150	SRDH2_54010.1	T265_00437
