Orthogroup	schistosoma_spindale	fasciola_gigantica
OG0000077	SSPN1_19690.2, SSPN1_19690.20, SSPN1_19690.21, SSPN1_19690.3, SSPN1_19690.5, SSPN1_19690.6, SSPN1_19690.22, SSPN1_19690.24, SSPN1_19690.18, SSPN1_19690.19, SSPN1_19690.12, SSPN1_19690.13, SSPN1_19690.14, SSPN1_19690.15, SSPN1_19690.25, SSPN1_19690.16, SSPN1_19690.17, SSPN1_19690.7, SSPN1_19690.23, SSPN1_19690.1, SSPN1_19690.10, SSPN1_19690.11, SSPN1_19690.4, SSPN1_19690.8, SSPN1_19690.9	FGIG_09054
OG0000078	SSPN1_5440.6, SSPN1_5440.2, SSPN1_5440.4, SSPN1_5440.5, SSPN1_5440.1, SSPN1_5440.3	FGIG_04314
OG0000079	SSPN1_29590.2, SSPN1_29590.1	FGIG_07135, FGIG_07136
OG0000079	SSPN1_52110.7, SSPN1_52110.5, SSPN1_52110.1, SSPN1_52110.3, SSPN1_52110.9, SSPN1_52110.4, SSPN1_52110.6, SSPN1_52110.2, SSPN1_52110.8	FGIG_05069, FGIG_05070
OG0000080	SSPN1_42730.5, SSPN1_42730.4, SSPN1_42730.8, SSPN1_42730.6, SSPN1_42730.2, SSPN1_42730.9, SSPN1_42730.1, SSPN1_42730.7, SSPN1_42730.3	FGIG_03532
OG0000082	SSPN1_20040.1	FGIG_06461
OG0000085	SSPN1_34520.2, SSPN1_34520.5, SSPN1_34520.1, SSPN1_34520.4, SSPN1_34520.3	FGIG_06241
OG0000086	SSPN1_70330.4, SSPN1_70330.2, SSPN1_70330.6, SSPN1_70330.5, SSPN1_70330.1, SSPN1_70330.3	FGIG_09371
OG0000087	SSPN1_51210.1	FGIG_03026
OG0000088	SSPN1_3000.1, SSPN1_2990.4, SSPN1_2990.5, SSPN1_2990.3, SSPN1_2990.1, SSPN1_2990.2	FGIG_14005, FGIG_05150
OG0000090	SSPN1_48330.4, SSPN1_48330.1, SSPN1_48330.2, SSPN1_48330.3	FGIG_01258
OG0000091	SSPN1_46320.9, SSPN1_46320.14, SSPN1_46320.15, SSPN1_46320.16, SSPN1_46320.13, SSPN1_46320.1, SSPN1_46320.10, SSPN1_46320.5, SSPN1_46320.8, SSPN1_46320.12, SSPN1_46320.3, SSPN1_46320.7, SSPN1_46320.2, SSPN1_46320.4, SSPN1_46320.6, SSPN1_46320.11	FGIG_02767, FGIG_02766, FGIG_02768
OG0000092	SSPN1_2160.1, SSPN1_2160.2	FGIG_06562
OG0000092	SSPN1_17740.2, SSPN1_17740.4, SSPN1_17740.1, SSPN1_17740.3	FGIG_11548
OG0000093	SSPN1_30830.1	FGIG_04003
OG0000093	SSPN1_93300.1, SSPN1_31650.1, SSPN1_93310.2, SSPN1_31660.1, SSPN1_93310.1, SSPN1_93310.3	FGIG_03785, FGIG_02320, FGIG_07732, FGIG_10190
OG0000094	SSPN1_8420.5, SSPN1_8420.1, SSPN1_8420.2, SSPN1_8420.4, SSPN1_8420.6, SSPN1_8420.3	FGIG_00948
OG0000095	SSPN1_62740.3, SSPN1_62740.7, SSPN1_62740.8, SSPN1_62740.12, SSPN1_62740.4, SSPN1_62740.9, SSPN1_62740.1, SSPN1_62740.2, SSPN1_62740.5, SSPN1_62740.11, SSPN1_62740.6, SSPN1_62740.10	FGIG_01883
OG0000096	SSPN1_35570.1	FGIG_03065
OG0000097	SSPN1_6940.5, SSPN1_6940.1, SSPN1_6940.2, SSPN1_6940.3, SSPN1_6940.4	FGIG_06823
OG0000098	SSPN1_39820.1	FGIG_08056
OG0000098	SSPN1_58010.9, SSPN1_58010.2, SSPN1_58010.3, SSPN1_58010.1, SSPN1_58010.6, SSPN1_58010.5, SSPN1_58010.7, SSPN1_58010.8, SSPN1_58010.4	FGIG_08009
OG0000099	SSPN1_64930.1, SSPN1_64930.2	FGIG_01162
OG0000099	SSPN1_69100.2, SSPN1_69100.3, SSPN1_69100.1, SSPN1_69100.4	FGIG_12268, FGIG_12217, FGIG_10911
OG0000102	SSPN1_5840.1	FGIG_11657
OG0000102	SSPN1_56690.1, SSPN1_56690.5, SSPN1_56690.4, SSPN1_56690.3, SSPN1_56690.2	FGIG_04726, FGIG_06854
OG0000103	SSPN1_71380.1, SSPN1_71390.1, SSPN1_71390.10, SSPN1_71390.4, SSPN1_71390.5, SSPN1_71390.6, SSPN1_71390.2, SSPN1_71390.3, SSPN1_71390.7, SSPN1_71390.8, SSPN1_71390.9	FGIG_06145, FGIG_13990
OG0000104	SSPN1_6010.1, SSPN1_6010.10, SSPN1_6010.5, SSPN1_6010.8, SSPN1_6010.2, SSPN1_6010.3, SSPN1_6010.4, SSPN1_6010.9, SSPN1_6010.11, SSPN1_6010.6, SSPN1_6010.7	FGIG_08148
OG0000105	SSPN1_7680.6, SSPN1_7680.1, SSPN1_7680.2, SSPN1_7680.4, SSPN1_7680.3, SSPN1_7680.5	FGIG_00113, FGIG_06918
OG0000108	SSPN1_8260.1	FGIG_10097, FGIG_10098, FGIG_03847
OG0000110	SSPN1_28800.1, SSPN1_28780.1	FGIG_03667
OG0000110	SSPN1_28810.2, SSPN1_28810.1	FGIG_10562
OG0000110	SSPN1_28830.1, SSPN1_28820.1	FGIG_06603
OG0000111	SSPN1_39920.1	FGIG_04030
OG0000111	SSPN1_50260.2, SSPN1_50260.1	FGIG_03777
OG0000111	SSPN1_30100.1	FGIG_04347
OG0000112	SSPN1_80600.1	FGIG_09308, FGIG_06819
OG0000114	SSPN1_91010.1, SSPN1_91010.2, SSPN1_91010.4, SSPN1_91010.3	FGIG_00156
OG0000115	SSPN1_34290.1, SSPN1_34290.2	FGIG_02859
OG0000116	SSPN1_48510.3, SSPN1_48510.4, SSPN1_48510.5, SSPN1_48510.8, SSPN1_48510.1, SSPN1_48510.11, SSPN1_48510.2, SSPN1_48510.10, SSPN1_48510.6, SSPN1_48510.7, SSPN1_48510.9	FGIG_03832, FGIG_01693
OG0000117	SSPN1_28910.6, SSPN1_28910.9, SSPN1_28910.1, SSPN1_28910.3, SSPN1_28910.4, SSPN1_28910.7, SSPN1_28910.5, SSPN1_28910.10, SSPN1_28910.2, SSPN1_28910.8	FGIG_02197
OG0000118	SSPN1_31490.1, SSPN1_31480.1, SSPN1_31520.1, SSPN1_31510.1, SSPN1_31500.1	FGIG_02831
OG0000119	SSPN1_91830.6, SSPN1_91840.3, SSPN1_91830.10, SSPN1_91830.5, SSPN1_91830.8, SSPN1_91830.9, SSPN1_91840.2, SSPN1_91840.4, SSPN1_91830.1, SSPN1_91830.3, SSPN1_91830.4, SSPN1_91830.2, SSPN1_91830.7, SSPN1_91840.1	FGIG_05939
OG0000122	SSPN1_77430.1	FGIG_06459, FGIG_06458
OG0000123	SSPN1_75600.1, SSPN1_75600.2	FGIG_06911
OG0000125	SSPN1_1270.1	FGIG_12140, FGIG_05136
OG0000126	SSPN1_68020.1, SSPN1_68020.2, SSPN1_68020.3, SSPN1_68020.4	FGIG_02836, FGIG_00047
OG0000127	SSPN1_21920.1, SSPN1_21920.2, SSPN1_21920.3, SSPN1_21920.4, SSPN1_21920.5, SSPN1_21920.6	FGIG_10651, FGIG_01876
OG0000128	SSPN1_41670.7, SSPN1_41670.3, SSPN1_41670.4, SSPN1_41670.8, SSPN1_41670.9, SSPN1_41670.1, SSPN1_41670.2, SSPN1_41670.5, SSPN1_41670.6	FGIG_02928
OG0000129	SSPN1_38560.7, SSPN1_38560.8, SSPN1_38560.6, SSPN1_38560.3, SSPN1_38560.2, SSPN1_38560.1, SSPN1_38560.4, SSPN1_38560.5	FGIG_01051
OG0000130	SSPN1_79040.1, SSPN1_79040.2, SSPN1_79040.3, SSPN1_79040.5, SSPN1_79040.4	FGIG_06548, FGIG_01370
OG0000131	SSPN1_8540.1, SSPN1_82740.1, SSPN1_82770.1, SSPN1_82660.1, SSPN1_82670.1, SSPN1_82760.1, SSPN1_82760.2	FGIG_05376, FGIG_05377, FGIG_11768, FGIG_10846, FGIG_05375, FGIG_01592
OG0000132	SSPN1_35370.1	FGIG_04447, FGIG_04446
OG0000133	SSPN1_30530.3, SSPN1_30530.1, SSPN1_30530.4, SSPN1_30530.2	FGIG_10537
OG0000134	SSPN1_12980.6, SSPN1_12980.5, SSPN1_12980.9, SSPN1_12980.1, SSPN1_12980.2, SSPN1_12980.3, SSPN1_12980.4, SSPN1_12980.7, SSPN1_12980.8	FGIG_03080
OG0000135	SSPN1_17940.1, SSPN1_17940.11, SSPN1_17940.2, SSPN1_17940.12, SSPN1_17940.10, SSPN1_17940.9, SSPN1_17940.6, SSPN1_17940.7, SSPN1_17940.8, SSPN1_17940.4, SSPN1_17940.3, SSPN1_17940.5	FGIG_08997
OG0000136	SSPN1_7350.1	FGIG_11134, FGIG_12681, FGIG_11135
OG0000138	SSPN1_84510.1	FGIG_10020
OG0000138	SSPN1_43540.1	FGIG_00536, FGIG_00535
OG0000139	SSPN1_3890.10, SSPN1_3890.12, SSPN1_3890.11, SSPN1_3890.13, SSPN1_3890.5, SSPN1_3890.7, SSPN1_3890.1, SSPN1_3890.6, SSPN1_3890.8, SSPN1_3890.2, SSPN1_3890.3, SSPN1_3890.4, SSPN1_3890.9	FGIG_04756
OG0000140	SSPN1_73280.1	FGIG_05800
